Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47284,1,141706.8899999722,1,37,4963,blue,true,right,44,37,right,blue,1874,0
C47284,2,146097.58000000147,0,0,4963,blue,true,right,66,12,left,orange,1290,0
C47284,3,149904.3749999837,0,0,4963,blue,true,right,98,9,left,orange,547,0
C47284,4,152965.45499999775,1,20,4943,blue,false,right,20,91,left,orange,1296,0
C47284,5,156783.12999999616,1,8,4935,blue,true,right,28,8,right,blue,549,0
C47284,6,159856.94500000682,0,0,4935,blue,true,right,30,33,left,orange,670,0
C47284,7,163041.88500001328,0,0,4935,blue,true,left,27,24,right,orange,644,0
C47284,8,166198.6100000213,0,0,4935,blue,false,left,58,43,left,blue,1193,0
C47284,9,169904.85499997158,1,47,4888,blue,true,right,72,47,right,blue,454,0
C47284,10,172875.19499997143,0,0,4888,blue,false,left,44,44,left,blue,3533,0
C47284,11,178922.46500001056,1,26,4862,blue,true,right,69,26,right,blue,806,0
C47284,12,182243.10500000138,0,0,4862,blue,true,left,6,41,right,orange,604,0
C47284,13,185361.18000000715,1,34,4828,blue,true,left,88,34,left,blue,1161,0
C47284,14,189040.82499997457,0,0,4828,blue,false,right,73,18,right,blue,664,0
C47284,15,192220.484999998,1,25,4803,blue,true,left,60,25,left,blue,652,0
C47284,16,195389.98999999603,1,6,4797,blue,true,left,68,6,left,blue,2118,0
C47284,17,200026.84499998577,1,48,4749,blue,false,right,48,39,left,orange,1863,0
C47284,18,204407.04000002006,1,76,4673,blue,true,right,35,76,right,blue,404,0
C47284,19,207328.83499999298,0,0,4673,blue,true,right,23,85,left,orange,892,0
C47284,20,210732.6549999998,1,22,4651,blue,true,left,54,22,left,blue,799,0
C47284,21,214052.3449999746,1,66,4585,blue,false,left,66,58,right,orange,1831,0
C47284,22,218399.9649999896,1,41,4544,blue,true,left,98,41,left,blue,1508,0
C47284,23,222426.63499998162,1,80,4464,blue,true,left,58,80,left,blue,491,0
C47284,24,225434.80500002624,0,0,4464,blue,true,right,32,85,left,orange,451,0
C47284,25,228397.9849999887,0,0,4464,blue,false,right,83,15,right,blue,3001,0
C47284,26,233914.33499997947,1,16,4448,blue,true,left,18,16,left,blue,1684,0
C47284,27,238114.53500000061,0,0,4448,blue,true,right,56,99,left,orange,692,0
C47284,28,241320.950000023,0,0,4448,blue,true,right,23,75,left,orange,494,0
C47284,29,244329.17500002077,1,18,4430,blue,true,left,68,18,left,blue,1246,0
C47284,30,248092.79999998398,0,0,4430,blue,true,right,30,16,left,orange,442,0
C47284,31,251048.94499998773,0,0,4430,blue,true,right,86,37,left,orange,448,0
C47284,32,254011.21999998577,0,0,4430,blue,true,right,47,44,left,orange,1493,0
C47284,33,258017.54999998957,0,0,4430,blue,true,right,3,91,left,orange,1232,0
C47284,34,261765.85000002524,0,0,4430,blue,false,right,60,14,right,blue,1164,0
C47284,35,265442.6949999761,1,84,4346,blue,true,right,54,84,right,blue,536,0
C47284,36,268492.0750000165,1,23,4323,blue,true,right,34,23,right,blue,486,0
C47284,37,271493.77000000095,0,0,4323,blue,true,right,96,28,left,orange,477,0
C47284,38,274482.51000000164,1,83,4240,blue,false,left,83,94,right,orange,561,0
C47284,39,277558.48499998683,1,86,4154,blue,true,left,63,86,left,blue,534,0
C47284,40,280608.79999998724,1,53,4101,blue,true,right,99,53,right,blue,618,0
C47284,41,283747.005000012,0,0,4101,blue,true,right,29,91,left,orange,505,0
C47284,42,286768.07499997085,0,0,4101,blue,true,left,88,64,right,orange,627,0
C47284,43,289912.14500000933,0,0,4101,blue,true,right,84,70,left,orange,621,0
C47284,44,293047.22000000766,1,61,4040,blue,false,left,61,88,right,orange,661,0
C47284,45,296226.015000022,1,43,3997,blue,true,right,61,43,right,blue,587,0
C47284,46,299329.39500000793,0,0,3997,blue,true,left,87,54,right,orange,403,0
C47284,47,302246.5400000219,1,5,3992,blue,false,left,5,90,right,orange,424,0
C47284,48,309195.0550000183,1,44,3948,blue,true,left,71,44,left,blue,2380,0
C47284,49,314089.0299999737,0,0,3948,blue,true,left,42,52,right,orange,431,0
C47284,50,317034.0599999763,0,0,3948,blue,true,right,39,93,left,orange,709,0
C47284,51,320257.57000001613,0,0,3948,blue,true,left,39,24,right,orange,414,0
C47284,52,323185.34000002546,0,0,3948,blue,false,right,20,10,right,blue,1135,0
C47284,53,326835.9949999722,1,85,3863,blue,false,left,85,43,right,orange,589,0
C47284,54,329942.17499997467,0,0,3863,blue,false,right,77,7,right,blue,434,0
