Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47439,1,382344.5223,0,0,5000,blue,true,right,23,10,left,orange,651,0
C47439,2,385584.2223,0,0,5000,blue,true,left,45,97,right,orange,525,0
C47439,3,388684.8223,0,0,5000,blue,true,right,54,62,left,orange,443,0
C47439,4,391736.0223,1,99,4901,blue,false,right,99,16,left,orange,431,0
C47439,5,394757.6223,1,40,4861,blue,true,left,72,40,left,blue,432,0
C47439,6,397775.8223,0,0,4861,blue,true,right,98,88,left,orange,428,0
C47439,7,400788.5223,0,0,4861,blue,true,left,6,54,right,orange,307,0
C47439,8,403693.6223,0,0,4861,blue,true,left,64,55,right,orange,474,0
C47439,9,406753.8223,0,0,4861,blue,false,left,96,45,left,blue,394,0
C47439,10,409725.4223,0,0,4861,blue,true,right,28,19,left,orange,497,0
C47439,11,412816.3223,0,0,4861,blue,true,left,95,26,right,orange,315,0
C47439,12,415728.5223,0,0,4861,blue,true,right,90,29,left,orange,379,0
C47439,13,418718.6223,0,0,4861,blue,true,left,20,53,right,orange,490,0
C47439,14,421781.3223,0,0,4861,blue,true,right,74,56,left,orange,330,0
C47439,15,424697.6223,0,0,4861,blue,true,left,18,42,right,orange,463,0
C47439,16,427750.0223,0,0,4861,blue,true,right,11,91,left,orange,423,0
C47439,17,430755.6223,0,0,4861,blue,false,right,32,31,right,blue,495,0
C47439,18,433847.0223,0,0,4861,blue,true,left,36,65,right,orange,750,0
C47439,19,437182.6223,1,40,4821,blue,false,right,40,30,left,orange,401,0
C47439,20,440176.8223,1,26,4795,blue,true,right,29,26,right,blue,922,0
C47439,21,443705.9223,1,32,4763,blue,false,left,32,36,right,orange,661,0
C47439,22,446966.2223,1,81,4682,blue,true,left,72,81,left,blue,899,0
C47439,23,450468.6223,1,95,4587,blue,false,right,95,54,left,orange,810,0
C47439,24,453872.2223,1,40,4547,blue,false,left,40,59,right,orange,855,0
C47439,25,457339.3223,0,0,4547,blue,false,right,29,24,right,blue,694,0
C47439,26,460638.2223,1,60,4487,blue,false,left,60,51,right,orange,531,0
C47439,27,463760.1223,1,83,4404,blue,false,right,83,65,left,orange,901,0
C47439,28,467251.5223,0,0,4404,blue,true,right,78,98,left,orange,758,0
C47439,29,470607.2223,0,0,4404,blue,false,left,56,51,left,blue,875,0
C47439,30,474067.3223,1,5,4399,blue,false,left,5,20,right,orange,715,0
C47439,31,477402.8223,0,0,4399,blue,false,left,67,2,left,blue,477,0
C47439,32,480516.7223,0,0,4399,blue,false,left,85,84,left,blue,493,0
C47439,33,483604.8223,0,0,4399,blue,true,right,7,49,left,orange,534,0
C47439,34,486719.8223,0,0,4399,blue,false,right,37,47,right,blue,582,0
C47439,35,489914.9223,1,27,4372,blue,false,left,27,91,right,orange,604,0
C47439,36,493127.5223,0,0,4372,blue,false,right,44,42,right,blue,475,0
C47439,37,496185.9223,0,0,4372,blue,true,right,31,55,left,orange,652,0
C47439,38,499406.0223,0,0,4372,blue,false,left,97,70,left,blue,870,0
C47439,39,502842.9223,0,0,4372,blue,false,right,14,9,right,blue,802,0
C47439,40,506254.8223,0,0,4372,blue,true,left,23,51,right,orange,847,0
C47439,41,509691.0223,1,79,4293,blue,true,right,89,79,right,blue,1143,0
C47439,42,513436.5223,0,0,4293,blue,true,right,83,86,left,orange,947,0
C47439,43,516965.5223,0,0,4293,blue,true,left,40,62,right,orange,808,0
C47439,44,520364.3223,1,23,4270,blue,true,left,36,23,left,blue,948,0
C47439,45,523919.4223,1,61,4209,blue,true,right,65,61,right,blue,973,0
C47439,46,527500.6223,0,0,4209,blue,true,left,74,67,right,orange,671,0
C47439,47,530746.5223,1,41,4168,blue,true,right,73,41,right,blue,739,0
C47439,48,538116.5223,0,0,4168,blue,false,right,96,54,right,blue,726,0
C47439,49,541443.2223,0,0,4168,blue,true,right,86,88,left,orange,264,0
C47439,50,544324.0223,0,0,4168,blue,true,left,43,66,right,orange,574,0
C47439,51,547491.1223,0,0,4168,blue,true,right,72,79,left,orange,651,0
C47439,52,550706.8223,0,0,4168,blue,false,right,71,13,right,blue,741,0
C47439,53,554029.9223,0,0,4168,blue,true,right,78,53,left,orange,656,0
C47439,54,557271.7223,0,0,4168,blue,true,left,57,90,right,orange,958,0
C47439,55,560822.1223,0,0,4168,blue,false,right,3,12,right,blue,685,0
C47439,56,564107.5223,0,0,4168,blue,true,left,2,64,right,orange,608,0
C47439,57,567283.5223,1,9,4159,blue,true,right,99,9,right,blue,651,0
C47439,58,570521.5223,0,0,4159,blue,true,left,21,42,right,orange,709,0
C47439,59,573826.1223,0,0,4159,blue,true,right,83,72,left,orange,924,0
C47439,60,577344.0223,0,0,4159,blue,true,left,37,11,right,orange,563,0
C47439,61,580489.4223,1,67,4092,blue,false,left,67,81,right,orange,759,0
C47439,62,583820.7223,0,0,4092,blue,true,right,12,14,left,orange,469,0
C47439,63,586877.7223,0,0,4092,blue,false,left,78,90,left,blue,621,0
C47439,64,590087.4223,0,0,4092,blue,false,left,46,53,left,blue,680,0
C47439,65,593381.4223,0,0,4092,blue,false,left,30,42,left,blue,373,0
