Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47619,1,177147.09999999404,1,37,4963,blue,true,left,44,37,left,blue,3844,0
C47619,2,183518.29999998212,0,0,4963,blue,true,right,66,12,left,orange,807,0
C47619,3,186850.40000000596,0,0,4963,blue,true,right,98,9,left,orange,982,0
C47619,4,190371.29999998212,1,20,4943,blue,false,left,20,91,right,orange,501,0
C47619,5,193412.19999998808,0,0,4943,blue,true,right,28,8,left,orange,1109,0
C47619,6,197044.90000000596,1,33,4910,blue,true,right,30,33,right,blue,2357,0
C47619,7,201943.5,0,0,4910,blue,true,right,27,24,left,orange,398,0
C47619,8,204870.19999998808,0,0,4910,blue,false,left,58,43,left,blue,2082,0
C47619,9,209489.40000000596,0,0,4910,blue,true,right,72,47,left,orange,721,0
C47619,10,212738.69999998808,0,0,4910,blue,false,right,44,44,right,blue,869,0
C47619,11,216150.5,0,0,4910,blue,true,right,69,26,left,orange,1135,0
C47619,12,219816.79999998212,1,41,4869,blue,true,left,6,41,left,blue,813,0
C47619,13,223171.29999998212,0,0,4869,blue,true,left,88,34,right,orange,538,0
C47619,14,226243.90000000596,1,73,4796,blue,false,left,73,18,right,orange,628,0
C47619,15,229410.90000000596,0,0,4796,blue,true,right,60,25,left,orange,317,0
C47619,16,232265,0,0,4796,blue,true,left,68,6,right,orange,514,0
C47619,17,235305.5,1,48,4748,blue,false,right,48,39,left,orange,1699,0
C47619,18,239538.5,1,76,4672,blue,true,right,35,76,right,blue,598,0
C47619,19,242673.90000000596,0,0,4672,blue,true,right,23,85,left,orange,799,0
C47619,20,246002.90000000596,1,22,4650,blue,true,left,54,22,left,blue,499,0
C47619,21,249038.40000000596,1,66,4584,blue,false,left,66,58,right,orange,1020,0
C47619,22,252580.5,0,0,4584,blue,true,right,98,41,left,orange,372,0
C47619,23,255479.09999999404,1,80,4504,blue,true,right,58,80,right,blue,1284,0
C47619,24,259304.19999998808,0,0,4504,blue,true,right,32,85,left,orange,342,0
C47619,25,262172.6999999881,0,0,4504,blue,false,left,83,15,left,blue,900,0
C47619,26,265598.59999999404,1,16,4488,blue,true,right,18,16,right,blue,610,0
C47619,27,268742.90000000596,1,99,4389,blue,true,right,56,99,right,blue,1285,0
C47619,28,272560.09999999404,0,0,4389,blue,true,right,23,75,left,orange,703,0
C47619,29,275792.6999999881,0,0,4389,blue,true,right,68,18,left,orange,341,0
C47619,30,278669.1999999881,0,0,4389,blue,true,right,30,16,left,orange,326,0
C47619,31,281532.90000000596,0,0,4389,blue,true,left,86,37,right,orange,757,0
C47619,32,284822.5,0,0,4389,blue,true,right,47,44,left,orange,281,0
C47619,33,287625.2999999821,1,91,4298,blue,true,right,3,91,right,blue,757,0
C47619,34,290918.6999999881,0,0,4298,blue,false,left,60,14,left,blue,378,0
C47619,35,293823.2999999821,0,0,4298,blue,true,left,54,84,right,orange,901,0
C47619,36,297254.90000000596,1,23,4275,blue,true,right,34,23,right,blue,1101,0
C47619,37,300896,0,0,4275,blue,true,right,96,28,left,orange,354,0
C47619,38,303781.1999999881,1,83,4192,blue,false,left,83,94,right,orange,637,0
C47619,39,306956.5,0,0,4192,blue,true,right,63,86,left,orange,1586,0
C47619,40,311081.1999999881,1,53,4139,blue,true,left,99,53,left,blue,756,0
C47619,41,314382.1999999881,0,0,4139,blue,true,left,29,91,right,orange,858,0
C47619,42,317774.1999999881,1,64,4075,blue,true,right,88,64,right,blue,645,0
C47619,43,320956.90000000596,1,70,4005,blue,true,left,84,70,left,blue,539,0
C47619,44,324033.90000000596,0,0,4005,blue,false,left,61,88,left,blue,1218,0
C47619,45,327785.90000000596,1,43,3962,blue,true,left,61,43,left,blue,571,0
C47619,46,330886.90000000596,1,54,3908,blue,true,right,87,54,right,blue,359,0
C47619,47,333788.2999999821,0,0,3908,blue,false,left,5,90,left,blue,408,0
C47619,48,340735.90000000596,1,44,3864,blue,true,left,71,44,left,blue,1775,0
C47619,49,345058,1,52,3812,blue,true,right,42,52,right,blue,624,0
C47619,50,348220.90000000596,0,0,3812,blue,true,right,39,93,left,orange,356,0
C47619,51,351111.7999999821,1,24,3788,blue,true,left,39,24,left,blue,995,0
C47619,52,354641.6999999881,0,0,3788,blue,false,right,20,10,right,blue,446,0
C47619,53,357623.6999999881,1,85,3703,blue,false,right,85,43,left,orange,577,0
C47619,54,360732.2999999821,1,77,3626,blue,false,left,77,7,right,orange,362,0
C47619,55,363642,0,0,3626,blue,true,right,95,90,left,orange,329,0
C47619,56,366495.1999999881,0,0,3626,blue,true,right,56,7,left,orange,488,0
C47619,57,369513.90000000596,0,0,3626,blue,true,right,50,69,left,orange,777,0
C47619,58,372823.5,1,83,3543,blue,true,right,4,83,right,blue,572,0
C47619,59,375924.7999999821,0,0,3543,blue,false,left,40,8,left,blue,630,0
C47619,60,379082.2999999821,0,0,3543,blue,true,right,47,86,left,orange,1650,0
C47619,61,383265.40000000596,0,0,3543,blue,true,right,15,49,left,orange,965,0
C47619,62,386756,0,0,3543,blue,true,right,17,39,left,orange,629,0
C47619,63,389916.90000000596,0,0,3543,blue,false,left,76,97,left,blue,726,0
C47619,64,393172.7999999821,1,14,3529,blue,true,left,73,14,left,blue,671,0
C47619,65,396391.09999999404,0,0,3529,blue,true,left,67,29,right,orange,581,0
C47619,66,399499.40000000596,0,0,3529,blue,true,left,48,39,right,orange,646,0
C47619,67,402683.7999999821,1,99,3430,blue,true,right,30,99,right,blue,830,0
C47619,68,406051.2999999821,1,13,3417,blue,false,right,13,20,left,orange,420,0
C47619,69,409005.40000000596,0,0,3417,blue,true,left,66,59,right,orange,466,0
C47619,70,411998,1,60,3357,blue,true,right,20,60,right,blue,859,0
C47619,71,415398.09999999404,0,0,3357,blue,true,right,41,25,left,orange,497,0
C47619,72,418422.59999999404,1,76,3281,blue,false,right,76,70,left,orange,383,0
C47619,73,421342.6999999881,0,0,3281,blue,false,right,73,18,right,blue,639,0
C47619,74,424510.2999999821,0,0,3281,blue,false,left,41,80,left,blue,1167,0
C47619,75,428210.59999999404,1,76,3205,blue,true,right,25,76,right,blue,942,0
C47619,76,431700.1999999881,1,34,3171,blue,false,right,34,52,left,orange,365,0
C47619,77,434595.90000000596,1,30,3141,blue,false,left,30,60,right,orange,401,0
C47619,78,437528.40000000596,0,0,3141,blue,false,left,91,36,left,blue,400,0
C47619,79,440451.59999999404,1,70,3071,blue,false,left,70,59,right,orange,584,0
C47619,80,443572.1999999881,1,47,3024,blue,true,left,64,47,left,blue,317,0
C47619,81,446421.6999999881,0,0,3024,blue,false,right,28,44,right,blue,712,0
C47619,82,449655.90000000596,0,0,3024,blue,false,right,2,80,right,blue,579,0
C47619,83,452756,0,0,3024,blue,false,left,20,39,left,blue,864,0
C47619,84,456145.5,1,32,2992,blue,false,right,32,61,left,orange,1020,0
C47619,85,459700.1999999881,0,0,2992,blue,false,right,90,61,right,blue,481,0
C47619,86,462731.7999999821,1,70,2922,blue,true,left,62,70,left,blue,782,0
C47619,87,466046.59999999404,1,17,2905,blue,false,left,17,33,right,orange,442,0
C47619,88,469023.6999999881,1,74,2831,blue,false,right,74,17,left,orange,501,0
C47619,89,472058.5,1,2,2829,blue,false,left,2,85,right,orange,494,0
C47619,90,475095.2999999821,0,0,2829,blue,false,left,39,76,left,blue,469,0
C47619,91,478092.40000000596,1,70,2759,blue,false,right,70,20,left,orange,356,0
C47619,92,480996.90000000596,0,0,2759,blue,true,left,24,69,right,orange,352,0
C47619,93,483881.2999999821,0,0,2759,blue,true,right,59,52,left,orange,373,0
C47619,94,490781.40000000596,0,0,2759,blue,false,right,15,43,right,blue,802,0
C47619,95,494111.7999999821,1,34,2725,blue,true,right,50,34,right,blue,532,0
C47619,96,497178.7999999821,0,0,2725,blue,false,left,43,48,left,blue,372,0
C47619,97,500076.90000000596,1,35,2690,blue,true,right,14,35,right,blue,509,0
C47619,98,503121.1999999881,0,0,2690,blue,true,right,12,42,left,orange,316,0
C47619,99,505964.6999999881,0,0,2690,blue,true,right,40,44,left,orange,337,0
C47619,100,508824,1,50,2640,blue,true,left,88,50,left,blue,322,0
C47619,101,511682.40000000596,1,19,2621,blue,true,right,51,19,right,blue,350,0
C47619,102,514561,1,59,2562,blue,true,left,44,59,left,blue,338,0
C47619,103,517430.90000000596,0,0,2562,blue,true,left,23,9,right,orange,294,0
C47619,104,520255.1999999881,1,76,2486,blue,true,right,23,76,right,blue,293,0
C47619,105,523092.40000000596,1,47,2439,blue,true,left,94,47,left,blue,376,0
C47619,106,526000,0,0,2439,blue,false,right,67,56,right,blue,321,0
C47619,107,528844.7999999821,0,0,2439,blue,true,right,50,16,left,orange,367,0
C47619,108,531738.900000006,0,0,2439,blue,true,left,83,7,right,orange,430,0
C47619,109,534695.6999999881,1,41,2398,blue,true,right,86,41,right,blue,494,0
C47619,110,537727.1999999881,0,0,2398,blue,true,right,61,37,left,orange,423,0
