Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47700,1,123954.40000000596,1,37,4963,blue,true,left,44,37,left,blue,1617,0
C47700,2,128138.20000000298,1,12,4951,blue,true,left,66,12,left,blue,977,0
C47700,3,131686.30000001192,0,0,4951,blue,true,left,98,9,right,orange,841,0
C47700,4,135100,1,20,4931,blue,false,left,20,91,right,orange,1006,0
C47700,5,138673.20000000298,1,8,4923,blue,true,right,28,8,right,blue,862,0
C47700,6,142092,1,33,4890,blue,true,left,30,33,left,blue,876,0
C47700,7,145531.80000001192,0,0,4890,blue,true,left,27,24,right,orange,746,0
C47700,8,148820.60000000894,0,0,4890,blue,false,right,58,43,right,blue,1306,0
C47700,9,152697.20000000298,1,47,4843,blue,true,left,72,47,left,blue,1200,0
C47700,10,156466.80000001192,0,0,4843,blue,false,right,44,44,right,blue,2231,0
C47700,11,161269.10000000894,1,26,4817,blue,true,left,69,26,left,blue,1688,0
C47700,12,165545.30000001192,0,0,4817,blue,true,left,6,41,right,orange,812,0
C47700,13,168920.10000000894,1,34,4783,blue,true,right,88,34,right,blue,1470,0
C47700,14,178548.5,0,0,4783,blue,false,right,73,18,right,blue,617,1
C47700,15,181733.90000000596,1,25,4758,blue,true,right,60,25,right,blue,1179,0
C47700,16,185463.20000000298,1,6,4752,blue,true,left,68,6,left,blue,972,0
C47700,17,189007,0,0,4752,blue,false,right,48,39,right,blue,1068,0
C47700,18,192643.30000001192,0,0,4752,blue,true,right,35,76,left,orange,1172,0
C47700,19,196379.40000000596,0,0,4752,blue,true,left,23,85,right,orange,1076,0
C47700,20,200022.30000001192,1,22,4730,blue,true,left,54,22,left,blue,995,0
C47700,21,203589.5,0,0,4730,blue,false,right,66,58,right,blue,1065,0
C47700,22,207219.10000000894,1,41,4689,blue,true,left,98,41,left,blue,1078,0
C47700,23,210854.10000000894,0,0,4689,blue,true,right,58,80,left,orange,1238,0
C47700,24,214667.70000000298,0,0,4689,blue,true,right,32,85,left,orange,858,0
C47700,25,218085.30000001192,0,0,4689,blue,false,right,83,15,right,blue,1097,0
C47700,26,221755.10000000894,0,0,4689,blue,true,right,18,16,left,orange,886,0
C47700,27,225197.40000000596,0,0,4689,blue,true,right,56,99,left,orange,1057,0
C47700,28,228827.40000000596,0,0,4689,blue,true,left,23,75,right,orange,744,0
C47700,29,232127.70000000298,1,18,4671,blue,true,right,68,18,right,blue,972,0
C47700,30,235664.5,1,16,4655,blue,true,left,30,16,left,blue,532,0
C47700,31,238750.10000000894,0,0,4655,blue,true,right,86,37,left,orange,1250,0
C47700,32,242564.10000000894,1,44,4611,blue,true,left,47,44,left,blue,1342,0
C47700,33,246474.30000001192,0,0,4611,blue,true,right,3,91,left,orange,830,0
C47700,34,249875.60000000894,1,60,4551,blue,false,right,60,14,left,orange,484,0
C47700,35,258462.70000000298,1,84,4467,blue,true,right,54,84,right,blue,1081,1
C47700,36,262118.40000000596,0,0,4467,blue,true,right,34,23,left,orange,653,0
C47700,37,265345.8000000119,1,28,4439,blue,true,left,96,28,left,blue,642,0
C47700,38,268539.90000000596,1,83,4356,blue,false,left,83,94,right,orange,636,0
C47700,39,271733.200000003,1,86,4270,blue,true,left,63,86,left,blue,577,0
C47700,40,274887.200000003,0,0,4270,blue,true,left,99,53,right,orange,508,0
C47700,41,277947,0,0,4270,blue,true,right,29,91,left,orange,642,0
C47700,42,281164.5,0,0,4270,blue,true,left,88,64,right,orange,581,0
C47700,43,284311.40000000596,0,0,4270,blue,true,right,84,70,left,orange,471,0
C47700,44,287333.40000000596,1,61,4209,blue,false,right,61,88,left,orange,960,0
C47700,45,290868.10000000894,1,43,4166,blue,true,right,61,43,right,blue,1649,0
C47700,46,295083.8000000119,1,54,4112,blue,true,left,87,54,left,blue,947,0
C47700,47,298595,1,5,4107,blue,false,right,5,90,left,orange,612,0
C47700,48,305789.90000000596,0,0,4107,blue,true,right,71,44,left,orange,1235,0
C47700,49,309579,1,52,4055,blue,true,right,42,52,right,blue,556,0
C47700,50,312702.700000003,0,0,4055,blue,true,right,39,93,left,orange,458,0
C47700,51,315718.700000003,0,0,4055,blue,true,left,39,24,right,orange,1081,0
C47700,52,319375.5,0,0,4055,blue,false,right,20,10,right,blue,1198,0
C47700,53,323139.700000003,0,0,4055,blue,false,right,85,43,right,blue,862,0
C47700,54,326564.60000000894,1,77,3978,blue,false,left,77,7,right,orange,724,0
C47700,55,329866.3000000119,1,90,3888,blue,true,left,95,90,left,blue,1298,0
C47700,56,333730,1,7,3881,blue,true,left,56,7,left,blue,659,0
C47700,57,336939.40000000596,0,0,3881,blue,true,left,50,69,right,orange,774,0
C47700,58,340286.60000000894,0,0,3881,blue,true,left,4,83,right,orange,834,0
C47700,59,343697.10000000894,0,0,3881,blue,false,left,40,8,left,blue,896,0
C47700,60,347157.3000000119,0,0,3881,blue,true,left,47,86,right,orange,3427,0
C47700,61,353148.40000000596,0,0,3881,blue,true,right,15,49,left,orange,740,0
C47700,62,356447.200000003,0,0,3881,blue,true,left,17,39,right,orange,888,0
C47700,63,359907,1,76,3805,blue,false,right,76,97,left,orange,1257,0
C47700,64,363743.3000000119,1,14,3791,blue,true,right,73,14,right,blue,1619,0
C47700,65,367944,1,29,3762,blue,true,right,67,29,right,blue,1192,0
C47700,66,371709.60000000894,1,39,3723,blue,true,right,48,39,right,blue,1315,0
C47700,67,375594.60000000894,0,0,3723,blue,true,right,30,99,left,orange,728,0
C47700,68,378899.60000000894,1,13,3710,blue,false,right,13,20,left,orange,774,0
C47700,69,382241.10000000894,1,59,3651,blue,true,right,66,59,right,blue,981,0
C47700,70,385782.3000000119,0,0,3651,blue,true,left,20,60,right,orange,1160,0
C47700,71,389508.3000000119,1,25,3626,blue,true,left,41,25,left,blue,1514,0
C47700,72,393603.40000000596,0,0,3626,blue,false,left,76,70,left,blue,1104,0
C47700,73,397267.8000000119,0,0,3626,blue,false,left,73,18,left,blue,972,0
C47700,74,400806.5,0,0,3626,blue,false,right,41,80,right,blue,976,0
C47700,75,404347.5,0,0,3626,blue,true,right,25,76,left,orange,879,0
C47700,76,407802.40000000596,1,34,3592,blue,false,left,34,52,right,orange,1021,0
C47700,77,411396.60000000894,1,30,3562,blue,false,right,30,60,left,orange,765,0
C47700,78,414738.40000000596,0,0,3562,blue,false,left,91,36,left,blue,908,0
C47700,79,418205.3000000119,0,0,3562,blue,false,right,70,59,right,blue,976,0
C47700,80,421755.700000003,1,47,3515,blue,true,left,64,47,left,blue,919,0
C47700,81,425241.40000000596,0,0,3515,blue,false,left,28,44,left,blue,787,0
C47700,82,428590.90000000596,1,2,3513,blue,false,left,2,80,right,orange,880,0
C47700,83,432039.90000000596,1,20,3493,blue,false,right,20,39,left,orange,1346,0
C47700,84,435945,1,32,3461,blue,false,left,32,61,right,orange,1212,0
C47700,85,439720.90000000596,0,0,3461,blue,false,left,90,61,left,blue,1592,0
C47700,86,443867.10000000894,0,0,3461,blue,true,right,62,70,left,orange,2272,0
