Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C47896,1,152834.35500005726,1,37,4963,blue,true,left,44,37,left,blue,1915,0
C47896,2,157278.17000006326,1,12,4951,blue,true,left,66,12,left,blue,816,0
C47896,3,160622.55000008736,0,0,4951,blue,true,right,98,9,left,orange,778,0
C47896,4,163920.64999998547,1,20,4931,blue,false,right,20,91,left,orange,728,0
C47896,5,167179.33499999344,0,0,4931,blue,true,right,28,8,left,orange,921,0
C47896,6,170622.9900000617,0,0,4931,blue,true,right,30,33,left,orange,802,0
C47896,7,173951.24000008218,0,0,4931,blue,true,left,27,24,right,orange,791,0
C47896,8,177267.49500003643,1,58,4873,blue,false,left,58,43,right,orange,624,0
C47896,9,180423.80500002764,0,0,4873,blue,true,right,72,47,left,orange,751,0
C47896,10,183698.22000002023,1,44,4829,blue,false,left,44,44,right,orange,625,0
C47896,11,186850.27499997523,0,0,4829,blue,true,right,69,26,left,orange,978,0
C47896,12,190350.36000004038,0,0,4829,blue,true,left,6,41,right,orange,794,0
C47896,13,193665.92000005767,0,0,4829,blue,true,left,88,34,right,orange,679,0
C47896,14,196871.5450000018,1,73,4756,blue,false,left,73,18,right,orange,573,0
C47896,15,199971.37500008103,0,0,4756,blue,true,left,60,25,right,orange,645,0
C47896,16,203138.3350000251,1,6,4750,blue,true,left,68,6,left,blue,899,0
C47896,17,206568.84000007994,1,48,4702,blue,false,right,48,39,left,orange,783,0
C47896,18,209882.75500002783,0,0,4702,blue,true,left,35,76,right,orange,800,0
C47896,19,213207.96999998856,0,0,4702,blue,true,right,23,85,left,orange,933,0
C47896,20,216663.4100000374,0,0,4702,blue,true,left,54,22,right,orange,488,0
C47896,21,219676.79000005592,1,66,4636,blue,false,right,66,58,left,orange,514,0
C47896,22,222718.70000008494,0,0,4636,blue,true,left,98,41,right,orange,402,0
C47896,23,225644.8050000472,0,0,4636,blue,true,right,58,80,left,orange,452,0
C47896,24,228620.98500004504,0,0,4636,blue,true,right,32,85,left,orange,492,0
C47896,25,231637.60999997612,1,83,4553,blue,false,right,83,15,left,orange,533,0
C47896,26,234699.69500007574,0,0,4553,blue,true,left,18,16,right,orange,1068,0
C47896,27,238294.5550000295,0,0,4553,blue,true,left,56,99,right,orange,719,0
C47896,28,241540.26500007603,0,0,4553,blue,true,left,23,75,right,orange,849,0
C47896,29,244912.20500005875,0,0,4553,blue,true,right,68,18,left,orange,1033,0
C47896,30,248473.79499999806,0,0,4553,blue,true,left,30,16,right,orange,689,0
C47896,31,251684.74499997683,0,0,4553,blue,true,left,86,37,right,orange,658,0
C47896,32,254868.01500001457,0,0,4553,blue,true,right,47,44,left,orange,539,0
C47896,33,257926.90500000026,0,0,4553,blue,true,left,3,91,right,orange,520,0
C47896,34,260970.94999998808,1,60,4493,blue,false,right,60,14,left,orange,622,0
C47896,35,264125.3799999831,0,0,4493,blue,true,right,54,84,left,orange,747,0
C47896,36,267395.0500000501,0,0,4493,blue,true,left,34,23,right,orange,1099,0
C47896,37,271017.17000000644,0,0,4493,blue,true,left,96,28,right,orange,653,0
C47896,38,274196.585000027,1,83,4410,blue,false,right,83,94,left,orange,561,0
C47896,39,277289.5750000607,0,0,4410,blue,true,left,63,86,right,orange,394,0
C47896,40,280205.01000003424,0,0,4410,blue,true,right,99,53,left,orange,738,0
C47896,41,283465.2750000823,0,0,4410,blue,true,right,29,91,left,orange,689,0
C47896,42,286681.3850000035,0,0,4410,blue,true,left,88,64,right,orange,701,0
C47896,43,289907.94499998447,0,0,4410,blue,true,right,84,70,left,orange,578,0
C47896,44,293009.24500008114,1,61,4349,blue,false,right,61,88,left,orange,451,0
C47896,45,295991.99000000954,0,0,4349,blue,true,right,61,43,left,orange,483,0
C47896,46,298996.7249999754,0,0,4349,blue,true,right,87,54,left,orange,380,0
C47896,47,301900.09500004817,1,5,4344,blue,false,left,5,90,right,orange,511,0
C47896,48,308949.78500006255,0,0,4344,blue,true,left,71,44,right,orange,15,0
C47896,49,311488.51499997545,0,0,4344,blue,true,right,42,52,left,orange,566,0
C47896,50,314576.46000001114,0,0,4344,blue,true,right,39,93,left,orange,601,0
C47896,51,317699.4849999901,0,0,4344,blue,true,left,39,24,right,orange,465,0
C47896,52,320686.7349999957,1,20,4324,blue,false,left,20,10,right,orange,395,0
C47896,53,323615.2000000002,1,85,4239,blue,false,right,85,43,left,orange,495,0
C47896,54,326637.8900000127,0,0,4239,blue,false,right,77,7,right,blue,939,0
C47896,55,330100.27000005357,0,0,4239,blue,true,right,95,90,left,orange,1275,0
C47896,56,333899.9199999962,1,7,4232,blue,true,right,56,7,right,blue,659,0
C47896,57,337090.5999999959,0,0,4232,blue,true,right,50,69,left,orange,720,0
C47896,58,340335.8500000322,0,0,4232,blue,true,left,4,83,right,orange,672,0
C47896,59,343530.16500000376,0,0,4232,blue,false,left,40,8,left,blue,763,0
C47896,60,346813.9450000599,0,0,4232,blue,true,left,47,86,right,orange,800,0
C47896,61,350137.5100000296,0,0,4232,blue,true,right,15,49,left,orange,707,0
C47896,62,353368.97000006866,0,0,4232,blue,true,right,17,39,left,orange,469,0
C47896,63,356363.2050000597,1,76,4156,blue,false,left,76,97,right,orange,514,0
C47896,64,359405.8649999788,1,14,4142,blue,true,right,73,14,right,blue,668,0
C47896,65,362603.3949999837,1,29,4113,blue,true,right,67,29,right,blue,562,0
C47896,66,365696.76000007894,0,0,4113,blue,true,right,48,39,left,orange,707,0
C47896,67,368924.9350000173,0,0,4113,blue,true,right,30,99,left,orange,931,0
C47896,68,372382.9000000842,1,13,4100,blue,false,left,13,20,right,orange,740,0
C47896,69,375649.7199999867,0,0,4100,blue,true,left,66,59,right,orange,675,0
C47896,70,378845.0550000416,0,0,4100,blue,true,right,20,60,left,orange,600,0
C47896,71,381967.49499998987,0,0,4100,blue,true,left,41,25,right,orange,806,0
C47896,72,385295.999999973,1,76,4024,blue,false,right,76,70,left,orange,651,0
C47896,73,388478.7200000137,0,0,4024,blue,false,right,73,18,right,blue,658,0
C47896,74,391663.38500007987,0,0,4024,blue,false,left,41,80,left,blue,722,0
C47896,75,394913.0300000543,0,0,4024,blue,true,left,25,76,right,orange,488,0
C47896,76,397924.46500004735,1,34,3990,blue,false,left,34,52,right,orange,567,0
C47896,77,401019.59500007797,1,30,3960,blue,false,right,30,60,left,orange,514,0
C47896,78,404060.3550000815,1,91,3869,blue,false,left,91,36,right,orange,450,0
