Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48180,1,155166.39999997616,0,0,5000,blue,true,right,44,37,left,orange,678,0
C48180,2,158377,0,0,5000,blue,true,right,66,12,left,orange,664,0
C48180,3,161579.69999998808,0,0,5000,blue,true,right,98,9,left,orange,441,0
C48180,4,164570.19999998808,1,20,4980,blue,false,right,20,91,left,orange,340,0
C48180,5,167461.09999999404,0,0,4980,blue,true,right,28,8,left,orange,476,0
C48180,6,170483.09999999404,0,0,4980,blue,true,left,30,33,right,orange,433,0
C48180,7,173449.69999998808,0,0,4980,blue,true,left,27,24,right,orange,427,0
C48180,8,176393.89999997616,1,58,4922,blue,false,left,58,43,right,orange,357,0
C48180,9,179294.29999998212,0,0,4922,blue,true,left,72,47,right,orange,671,0
C48180,10,182507.79999998212,1,44,4878,blue,false,right,44,44,left,orange,369,0
C48180,11,185434.89999997616,1,26,4852,blue,true,right,69,26,right,blue,2573,0
C48180,12,190549,0,0,4852,blue,true,right,6,41,left,orange,902,0
C48180,13,193982,0,0,4852,blue,true,right,88,34,left,orange,841,0
C48180,14,197378.39999997616,0,0,4852,blue,false,right,73,18,right,blue,1918,0
C48180,15,201837.59999999404,0,0,4852,blue,true,right,60,25,left,orange,1971,0
C48180,16,206335.89999997616,1,6,4846,blue,true,right,68,6,right,blue,1263,0
C48180,17,210150.09999999404,1,48,4798,blue,false,right,48,39,left,orange,2565,0
C48180,18,215245.09999999404,0,0,4798,blue,true,right,35,76,left,orange,636,0
C48180,19,218394.79999998212,0,0,4798,blue,true,right,23,85,left,orange,359,0
C48180,20,221272,0,0,4798,blue,true,right,54,22,left,orange,328,0
C48180,21,224124.19999998808,1,66,4732,blue,false,right,66,58,left,orange,354,0
C48180,22,226997.39999997616,1,41,4691,blue,true,left,98,41,left,blue,1672,0
C48180,23,231181.29999998212,0,0,4691,blue,true,left,58,80,right,orange,952,0
C48180,24,234670.59999999404,0,0,4691,blue,true,right,32,85,left,orange,357,0
C48180,25,237543.5,1,83,4608,blue,false,right,83,15,left,orange,309,0
C48180,26,240392.39999997616,0,0,4608,blue,true,left,18,16,right,orange,481,0
C48180,27,243395.89999997616,0,0,4608,blue,true,left,56,99,right,orange,395,0
C48180,28,246301.09999999404,0,0,4608,blue,true,left,23,75,right,orange,390,0
C48180,29,249226.29999998212,0,0,4608,blue,true,left,68,18,right,orange,328,0
C48180,30,252067.59999999404,0,0,4608,blue,true,right,30,16,left,orange,367,0
C48180,31,254960.39999997616,0,0,4608,blue,true,left,86,37,right,orange,318,0
C48180,32,257814.59999999404,0,0,4608,blue,true,right,47,44,left,orange,440,0
C48180,33,260773.89999997616,0,0,4608,blue,true,right,3,91,left,orange,724,0
C48180,34,264013.59999999404,1,60,4548,blue,false,left,60,14,right,orange,407,0
C48180,35,266970.09999999404,0,0,4548,blue,true,right,54,84,left,orange,842,0
C48180,36,270322.59999999404,0,0,4548,blue,true,left,34,23,right,orange,392,0
C48180,37,273230.09999999404,0,0,4548,blue,true,left,96,28,right,orange,754,0
C48180,38,276504.7999999821,1,83,4465,blue,false,right,83,94,left,orange,254,0
C48180,39,279276.39999997616,0,0,4465,blue,true,left,63,86,right,orange,246,0
C48180,40,282037.39999997616,0,0,4465,blue,true,left,99,53,right,orange,353,0
C48180,41,284929.5,0,0,4465,blue,true,left,29,91,right,orange,509,0
C48180,42,287967.59999999404,0,0,4465,blue,true,right,88,64,left,orange,325,0
C48180,43,290805.2999999821,0,0,4465,blue,true,left,84,70,right,orange,339,0
C48180,44,293664.59999999404,1,61,4404,blue,false,left,61,88,right,orange,341,0
C48180,45,296524.7999999821,0,0,4404,blue,true,left,61,43,right,orange,385,0
C48180,46,299446,0,0,4404,blue,true,left,87,54,right,orange,332,0
C48180,47,302297.09999999404,1,5,4399,blue,false,left,5,90,right,orange,359,0
C48180,48,309178,0,0,4399,blue,true,left,71,44,right,orange,1681,0
C48180,49,313374.5,0,0,4399,blue,true,right,42,52,left,orange,372,0
