Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48247,1,100008,1,10,4990,blue,true,left,23,10,left,blue,986,0
C48247,2,103550,0,0,4990,blue,true,left,45,97,right,orange,1071,0
C48247,3,107183,0,0,4990,blue,true,right,54,62,left,orange,1492,0
C48247,4,111230,0,0,4990,blue,false,right,99,16,right,blue,1240,0
C48247,5,115026,1,40,4950,blue,true,right,72,40,right,blue,2089,0
C48247,6,119674,0,0,4950,blue,true,right,98,88,left,orange,1251,0
C48247,7,123483,0,0,4950,blue,true,left,6,54,right,orange,1097,0
C48247,8,127125,1,55,4895,blue,true,left,64,55,left,blue,1352,0
C48247,9,131031,1,96,4799,blue,false,left,96,45,right,orange,838,0
C48247,10,134421,0,0,4799,blue,true,left,28,19,right,orange,642,0
C48247,11,137646,0,0,4799,blue,true,left,95,26,right,orange,467,0
C48247,12,140679,1,29,4770,blue,true,left,90,29,left,blue,1058,0
C48247,13,144311,0,0,4770,blue,true,left,20,53,right,orange,755,0
C48247,14,147668,0,0,4770,blue,true,left,74,56,right,orange,742,0
C48247,15,150986,0,0,4770,blue,true,right,18,42,left,orange,693,0
C48247,16,154252,0,0,4770,blue,true,right,11,91,left,orange,625,0
C48247,17,157458,1,32,4738,blue,false,right,32,31,left,orange,1504,0
C48247,18,161549,0,0,4738,blue,true,right,36,65,left,orange,1012,0
C48247,19,165124,1,40,4698,blue,false,left,40,30,right,orange,1179,0
C48247,20,168864,1,26,4672,blue,true,right,29,26,right,blue,1285,0
C48247,21,172726,1,32,4640,blue,false,left,32,36,right,orange,1391,0
C48247,22,176691,0,0,4640,blue,true,right,72,81,left,orange,1008,0
C48247,23,180248,0,0,4640,blue,false,right,95,54,right,blue,1275,0
C48247,24,184082,1,40,4600,blue,false,right,40,59,left,orange,1461,0
C48247,25,188161,0,0,4600,blue,false,right,29,24,right,blue,1127,0
C48247,26,191839,0,0,4600,blue,false,left,60,51,left,blue,693,0
C48247,27,195113,0,0,4600,blue,false,left,83,65,left,blue,840,0
C48247,28,198502,0,0,4600,blue,true,right,78,98,left,orange,1132,0
C48247,29,202205,0,0,4600,blue,false,right,56,51,right,blue,1161,0
C48247,30,205931,1,5,4595,blue,false,left,5,20,right,orange,1216,0
C48247,31,209720,0,0,4595,blue,false,left,67,2,left,blue,747,0
C48247,32,213015,0,0,4595,blue,false,left,85,84,left,blue,1217,0
C48247,33,216784,0,0,4595,blue,true,right,7,49,left,orange,935,0
C48247,34,220293,1,37,4558,blue,false,right,37,47,left,orange,1002,0
C48247,35,223871,1,27,4531,blue,false,right,27,91,left,orange,1147,0
C48247,36,227601,0,0,4531,blue,false,right,44,42,right,blue,691,0
C48247,37,230832,0,0,4531,blue,true,left,31,55,right,orange,1256,0
C48247,38,234632,1,97,4434,blue,false,right,97,70,left,orange,1789,0
C48247,39,238983,0,0,4434,blue,false,right,14,9,right,blue,1229,0
C48247,40,242777,0,0,4434,blue,true,left,23,51,right,orange,1050,0
C48247,41,246389,1,79,4355,blue,true,left,89,79,left,blue,906,0
C48247,42,249873,1,86,4269,blue,true,right,83,86,right,blue,541,0
C48247,43,252978,0,0,4269,blue,true,left,40,62,right,orange,1063,0
C48247,44,256603,1,23,4246,blue,true,left,36,23,left,blue,968,0
C48247,45,260137,1,61,4185,blue,true,right,65,61,right,blue,879,0
C48247,46,263585,0,0,4185,blue,true,right,74,67,left,orange,1302,0
C48247,47,267425,0,0,4185,blue,true,right,73,41,left,orange,738,0
C48247,48,274717,0,0,4185,blue,false,left,96,54,left,blue,1284,0
C48247,49,278577,1,88,4097,blue,true,right,86,88,right,blue,550,0
C48247,50,281699,0,0,4097,blue,true,right,43,66,left,orange,650,0
C48247,51,284901,0,0,4097,blue,true,left,72,79,right,orange,441,0
C48247,52,287909,1,71,4026,blue,false,left,71,13,right,orange,489,0
C48247,53,290987,1,53,3973,blue,true,left,78,53,left,blue,917,0
C48247,54,294450,0,0,3973,blue,true,right,57,90,left,orange,890,0
C48247,55,297909,1,3,3970,blue,false,right,3,12,left,orange,596,0
C48247,56,301047,0,0,3970,blue,true,left,2,64,right,orange,857,0
C48247,57,304438,1,9,3961,blue,true,left,99,9,left,blue,1103,0
C48247,58,308096,0,0,3961,blue,true,left,21,42,right,orange,877,0
C48247,59,311499,0,0,3961,blue,true,left,83,72,right,orange,397,0
C48247,60,314457,1,11,3950,blue,true,right,37,11,right,blue,929,0
C48247,61,317995,1,67,3883,blue,false,left,67,81,right,orange,626,0
C48247,62,321170,0,0,3883,blue,true,right,12,14,left,orange,1138,0
C48247,63,324868,1,78,3805,blue,false,left,78,90,right,orange,429,0
C48247,64,327864,1,46,3759,blue,false,right,46,53,left,orange,854,0
C48247,65,331279,0,0,3759,blue,false,right,30,42,right,blue,451,0
C48247,66,334294,0,0,3759,blue,false,right,36,65,right,blue,646,0
C48247,67,337504,0,0,3759,blue,false,right,49,49,right,blue,392,0
C48247,68,340467,0,0,3759,blue,false,left,44,10,left,blue,498,0
C48247,69,343515,0,0,3759,blue,false,left,70,64,left,blue,773,0
C48247,70,346837,0,0,3759,blue,false,right,68,95,right,blue,565,0
C48247,71,349963,0,0,3759,blue,false,right,38,46,right,blue,499,0
C48247,72,353016,0,0,3759,blue,false,left,18,24,left,blue,432,0
C48247,73,356008,0,0,3759,blue,false,right,82,78,right,blue,686,0
C48247,74,359261,0,0,3759,blue,false,left,59,54,left,blue,369,0
C48247,75,362183,0,0,3759,blue,false,right,36,33,right,blue,402,0
C48247,76,365146,1,56,3703,blue,true,right,49,56,right,blue,418,0
C48247,77,368129,1,26,3677,blue,false,right,26,83,left,orange,558,0
C48247,78,371243,1,38,3639,blue,false,right,38,81,left,orange,1005,0
