Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48250,1,155131.59999990463,0,0,5000,blue,true,right,44,37,left,orange,3994,0
C48250,2,161668.59999990463,0,0,5000,blue,true,right,66,12,left,orange,698,0
C48250,3,164918.19999980927,0,0,5000,blue,true,left,98,9,right,orange,985,0
C48250,4,168458.79999995232,1,20,4980,blue,false,right,20,91,left,orange,519,0
C48250,5,171534.89999985695,0,0,4980,blue,true,right,28,8,left,orange,394,0
C48250,6,174477.5,0,0,4980,blue,true,right,30,33,left,orange,486,0
C48250,7,177504.79999995232,0,0,4980,blue,true,left,27,24,right,orange,695,0
C48250,8,180742.69999980927,1,58,4922,blue,false,right,58,43,left,orange,441,0
C48250,9,183740.29999995232,0,0,4922,blue,true,right,72,47,left,orange,459,0
C48250,10,186750.29999995232,1,44,4878,blue,false,left,44,44,right,orange,462,0
C48250,11,189764,1,26,4852,blue,true,left,69,26,left,blue,517,0
C48250,12,192839.09999990463,0,0,4852,blue,true,right,6,41,left,orange,663,0
C48250,13,196038.39999985695,0,0,4852,blue,true,right,88,34,left,orange,414,0
C48250,14,199005.59999990463,0,0,4852,blue,false,left,73,18,left,blue,2515,0
C48250,15,204068.09999990463,0,0,4852,blue,true,left,60,25,right,orange,557,0
C48250,16,207168,0,0,4852,blue,true,right,68,6,left,orange,552,0
C48250,17,210269.29999995232,1,48,4804,blue,false,right,48,39,left,orange,469,0
C48250,18,213288.59999990463,0,0,4804,blue,true,left,35,76,right,orange,451,0
C48250,19,216297.09999990463,0,0,4804,blue,true,right,23,85,left,orange,465,0
C48250,20,219310.19999980927,0,0,4804,blue,true,right,54,22,left,orange,389,0
C48250,21,222257.29999995232,0,0,4804,blue,false,right,66,58,right,blue,1392,0
C48250,22,226177.79999995232,1,41,4763,blue,true,left,98,41,left,blue,2165,0
C48250,23,230917.09999990463,0,0,4763,blue,true,left,58,80,right,orange,448,0
C48250,24,233905.19999980927,0,0,4763,blue,true,right,32,85,left,orange,526,0
C48250,25,236977.5,1,83,4680,blue,false,left,83,15,right,orange,376,0
C48250,26,239907.39999985695,0,0,4680,blue,true,right,18,16,left,orange,405,0
C48250,27,242849.09999990463,0,0,4680,blue,true,left,56,99,right,orange,421,0
C48250,28,245818.19999980927,0,0,4680,blue,true,left,23,75,right,orange,655,0
C48250,29,249007.69999980927,1,18,4662,blue,true,left,68,18,left,blue,3181,0
C48250,30,254744.19999980927,0,0,4662,blue,true,right,30,16,left,orange,478,0
C48250,31,257770.19999980927,0,0,4662,blue,true,left,86,37,right,orange,385,0
C48250,32,260699.89999985695,0,0,4662,blue,true,left,47,44,right,orange,414,0
C48250,33,263657.09999990463,1,91,4571,blue,true,right,3,91,right,blue,3988,0
C48250,34,270207.19999980927,0,0,4571,blue,false,left,60,14,left,blue,2661,0
C48250,35,275420.39999985695,0,0,4571,blue,true,left,54,84,right,orange,702,0
C48250,36,278684.19999980927,0,0,4571,blue,true,right,34,23,left,orange,424,0
C48250,37,281668.19999980927,0,0,4571,blue,true,right,96,28,left,orange,377,0
C48250,38,284576.5,1,83,4488,blue,false,left,83,94,right,orange,415,0
C48250,39,287562.5,0,0,4488,blue,true,right,63,86,left,orange,359,0
C48250,40,290469.59999990463,0,0,4488,blue,true,right,99,53,left,orange,1303,0
C48250,41,294318.5,0,0,4488,blue,true,right,29,91,left,orange,554,0
C48250,42,297418.69999980927,0,0,4488,blue,true,right,88,64,left,orange,398,0
C48250,43,300363.5,0,0,4488,blue,true,left,84,70,right,orange,744,0
C48250,44,303668.5,1,61,4427,blue,false,right,61,88,left,orange,732,0
C48250,45,306973.59999990463,0,0,4427,blue,true,left,61,43,right,orange,771,0
C48250,46,310277.39999985695,0,0,4427,blue,true,left,87,54,right,orange,418,0
C48250,47,313239.39999985695,1,5,4422,blue,false,left,5,90,right,orange,1145,0
C48250,48,320978.19999980927,0,0,4422,blue,true,right,71,44,left,orange,840,0
C48250,49,324368.5,0,0,4422,blue,true,left,42,52,right,orange,459,0
C48250,50,327375.5,0,0,4422,blue,true,left,39,93,right,orange,333,0
C48250,51,330254.5,0,0,4422,blue,true,left,39,24,right,orange,397,0
C48250,52,333186,1,20,4402,blue,false,left,20,10,right,orange,379,0
C48250,53,336104.59999990463,1,85,4317,blue,false,left,85,43,right,orange,573,0
C48250,54,339241.69999980927,0,0,4317,blue,false,right,77,7,right,blue,510,0
C48250,55,342303.59999990463,1,90,4227,blue,true,right,95,90,right,blue,443,0
C48250,56,345299.5,1,7,4220,blue,true,right,56,7,right,blue,851,0
