Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48347,1,109441.23000000036,0,0,5000,blue,true,right,44,37,left,orange,1929,0
C48347,2,113894.72999999998,0,0,5000,blue,true,right,66,12,left,orange,566,0
C48347,3,116990.89000000095,0,0,5000,blue,true,left,98,9,right,orange,1879,0
C48347,4,121398.28000000125,1,20,4980,blue,false,right,20,91,left,orange,735,0
C48347,5,124665.07999999885,0,0,4980,blue,true,right,28,8,left,orange,1144,0
C48347,6,128336.49499999956,0,0,4980,blue,true,right,30,33,left,orange,1001,0
C48347,7,131873.2600000003,0,0,4980,blue,true,right,27,24,left,orange,533,0
C48347,8,134932.714999999,0,0,4980,blue,false,right,58,43,right,blue,2009,0
C48347,9,139465.830000001,0,0,4980,blue,true,right,72,47,left,orange,622,0
C48347,10,142611.5949999985,1,44,4936,blue,false,right,44,44,left,orange,559,0
C48347,11,145701.7850000011,1,26,4910,blue,true,right,69,26,right,blue,911,0
C48347,12,149143.6649999996,0,0,4910,blue,true,right,6,41,left,orange,463,0
C48347,13,152136.37999999992,0,0,4910,blue,true,left,88,34,right,orange,704,0
C48347,14,155371.9400000009,1,73,4837,blue,false,right,73,18,left,orange,457,0
C48347,15,158362.54499999995,1,25,4812,blue,true,left,60,25,left,blue,2392,0
C48347,16,163289.17,0,0,4812,blue,true,left,68,6,right,orange,687,0
C48347,17,166501.29000000015,1,48,4764,blue,false,right,48,39,left,orange,1226,0
C48347,18,170263.2650000014,1,76,4688,blue,true,left,35,76,left,blue,1562,0
C48347,19,174354.92499999964,0,0,4688,blue,true,left,23,85,right,orange,1059,0
C48347,20,177942.68999999986,0,0,4688,blue,true,left,54,22,right,orange,667,0
C48347,21,181139.22000000093,1,66,4622,blue,false,right,66,58,left,orange,1479,0
C48347,22,185151.40999999858,1,41,4581,blue,true,right,98,41,right,blue,1154,0
C48347,23,188836.03999999832,0,0,4581,blue,true,right,58,80,left,orange,792,0
C48347,24,192152.20000000045,0,0,4581,blue,true,left,32,85,right,orange,991,0
C48347,25,195666.40499999994,1,83,4498,blue,false,right,83,15,left,orange,1530,0
C48347,26,199726.97999999946,0,0,4498,blue,true,right,18,16,left,orange,2536,0
C48347,27,204791.87000000093,0,0,4498,blue,true,right,56,99,left,orange,2121,0
C48347,28,209442.8650000009,0,0,4498,blue,true,right,23,75,left,orange,1309,0
C48347,29,213274.62000000014,1,18,4480,blue,true,left,68,18,left,blue,1393,0
C48347,30,217196.0450000006,1,16,4464,blue,true,left,30,16,left,blue,1343,0
C48347,31,221073.77500000075,1,37,4427,blue,true,right,86,37,right,blue,1314,0
C48347,32,224915.84000000148,0,0,4427,blue,true,left,47,44,right,orange,534,0
C48347,33,227974.44499999983,0,0,4427,blue,true,left,3,91,right,orange,939,0
C48347,34,231438.5450000009,1,60,4367,blue,false,right,60,14,left,orange,1347,0
C48347,35,235323.5050000003,0,0,4367,blue,true,left,54,84,right,orange,687,0
C48347,36,238537.90500000105,0,0,4367,blue,true,right,34,23,left,orange,899,0
C48347,37,241965.21500000017,0,0,4367,blue,true,right,96,28,left,orange,1263,0
C48347,38,245755.8250000002,1,83,4284,blue,false,right,83,94,left,orange,605,0
C48347,39,248883.3799999993,0,0,4284,blue,true,left,63,86,right,orange,554,0
C48347,40,251965.65499999997,0,0,4284,blue,true,right,99,53,left,orange,771,0
C48347,41,255266.27000000008,0,0,4284,blue,true,left,29,91,right,orange,695,0
C48347,42,258490.58499999956,0,0,4284,blue,true,right,88,64,left,orange,565,0
C48347,43,261581.56999999846,1,70,4214,blue,true,left,84,70,left,blue,1021,0
C48347,44,265134.17499999923,1,61,4153,blue,false,right,61,88,left,orange,1202,0
C48347,45,268866.14499999996,0,0,4153,blue,true,right,61,43,left,orange,1750,0
C48347,46,273144.21999999834,0,0,4153,blue,true,left,87,54,right,orange,760,0
C48347,47,276431.994999999,1,5,4148,blue,false,right,5,90,left,orange,608,0
C48347,48,283580.0799999997,0,0,4148,blue,true,right,71,44,left,orange,1487,0
C48347,49,287591.31999999954,0,0,4148,blue,true,left,42,52,right,orange,567,0
C48347,50,290686.9999999981,0,0,4148,blue,true,left,39,93,right,orange,591,0
C48347,51,293803.5600000003,0,0,4148,blue,true,left,39,24,right,orange,575,0
C48347,52,296901.2799999982,0,0,4148,blue,false,right,20,10,right,blue,660,0
C48347,53,300086.36000000115,1,85,4063,blue,false,left,85,43,right,orange,704,0
C48347,54,303321.7149999982,1,77,3986,blue,false,left,77,7,right,orange,578,0
C48347,55,306436.0950000009,1,90,3896,blue,true,right,95,90,right,blue,3520,0
C48347,56,312485.9550000001,1,7,3889,blue,true,right,56,7,right,blue,889,0
C48347,57,315905.5249999983,0,0,3889,blue,true,left,50,69,right,orange,573,0
C48347,58,318999.1000000009,0,0,3889,blue,true,right,4,83,left,orange,621,0
C48347,59,322152.0899999996,1,40,3849,blue,false,left,40,8,right,orange,807,0
C48347,60,325485.58499999857,0,0,3849,blue,true,left,47,86,right,orange,1266,0
C48347,61,329275.8499999982,0,0,3849,blue,true,right,15,49,left,orange,703,0
C48347,62,332503.5349999998,0,0,3849,blue,true,left,17,39,right,orange,829,0
C48347,63,335858.185000001,1,76,3773,blue,false,right,76,97,left,orange,1315,0
C48347,64,339707.37499999814,0,0,3773,blue,true,right,73,14,left,orange,1022,0
C48347,65,343252.75500000134,0,0,3773,blue,true,right,67,29,left,orange,848,0
C48347,66,346629.5800000007,0,0,3773,blue,true,right,48,39,left,orange,962,0
C48347,67,350114.82500000054,0,0,3773,blue,true,right,30,99,left,orange,571,0
C48347,68,353213.534999999,0,0,3773,blue,false,right,13,20,right,blue,1417,0
C48347,69,357156.6149999999,0,0,3773,blue,true,left,66,59,right,orange,737,0
C48347,70,360418.7749999983,0,0,3773,blue,true,left,20,60,right,orange,635,0
C48347,71,363579.2199999996,0,0,3773,blue,true,right,41,25,left,orange,718,0
C48347,72,366820.97000000067,1,76,3697,blue,false,right,76,70,left,orange,512,0
C48347,73,369859.9099999992,1,73,3624,blue,false,right,73,18,left,orange,414,0
C48347,74,372802.674999999,1,41,3583,blue,false,left,41,80,right,orange,680,0
C48347,75,376012.0199999983,0,0,3583,blue,true,right,25,76,left,orange,689,0
