Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48441,1,157578.59999990463,1,10,4990,blue,true,right,23,10,right,blue,1200,0
C48441,2,161336.29999995232,0,0,4990,blue,true,left,45,97,right,orange,1246,0
C48441,3,165128.90000009537,0,0,4990,blue,true,left,54,62,right,orange,1234,0
C48441,4,168897.70000004768,0,0,4990,blue,false,right,99,16,right,blue,1571,0
C48441,5,173009.20000004768,1,40,4950,blue,true,right,72,40,right,blue,1149,0
C48441,6,176685,1,88,4862,blue,true,left,98,88,left,blue,1602,0
C48441,7,180835,0,0,4862,blue,true,right,6,54,left,orange,1395,0
C48441,8,184761.20000004768,0,0,4862,blue,true,left,64,55,right,orange,1753,0
C48441,9,189046.5,1,96,4766,blue,false,right,96,45,left,orange,1965,0
C48441,10,193551.09999990463,1,19,4747,blue,true,right,28,19,right,blue,1189,0
C48441,11,197288,1,26,4721,blue,true,left,95,26,left,blue,1553,0
C48441,12,201364.20000004768,0,0,4721,blue,true,right,90,29,left,orange,1653,0
C48441,13,205543.70000004768,0,0,4721,blue,true,right,20,53,left,orange,1275,0
C48441,14,209363,0,0,4721,blue,true,left,74,56,right,orange,1635,0
C48441,15,213537.79999995232,0,0,4721,blue,true,right,18,42,left,orange,1106,0
C48441,16,217191.59999990463,0,0,4721,blue,true,right,11,91,left,orange,971,0
C48441,17,220686.90000009537,1,32,4689,blue,false,right,32,31,left,orange,1497,0
C48441,18,224710,0,0,4689,blue,true,left,36,65,right,orange,2288,0
C48441,19,229532.59999990463,1,40,4649,blue,false,left,40,30,right,orange,2353,0
C48441,20,234427.09999990463,1,26,4623,blue,true,right,29,26,right,blue,1449,0
C48441,21,238417.79999995232,1,32,4591,blue,false,left,32,36,right,orange,1260,0
C48441,22,242210.40000009537,1,81,4510,blue,true,left,72,81,left,blue,912,0
C48441,23,245667.5,0,0,4510,blue,false,left,95,54,left,blue,1002,0
C48441,24,249201.70000004768,0,0,4510,blue,false,right,40,59,right,blue,1676,0
C48441,25,253394,0,0,4510,blue,false,left,29,24,left,blue,979,0
C48441,26,256890.40000009537,0,0,4510,blue,false,right,60,51,right,blue,1021,0
C48441,27,260450.09999990463,0,0,4510,blue,false,left,83,65,left,blue,1050,0
C48441,28,264023.2000000477,1,98,4412,blue,true,left,78,98,left,blue,1994,0
C48441,29,268552.59999990463,0,0,4412,blue,false,right,56,51,right,blue,1029,0
C48441,30,272113,1,5,4407,blue,false,right,5,20,left,orange,1385,0
C48441,31,276023.09999990463,0,0,4407,blue,false,right,67,2,right,blue,811,0
C48441,32,279349.40000009537,0,0,4407,blue,false,right,85,84,right,blue,1186,0
C48441,33,283063.09999990463,1,49,4358,blue,true,left,7,49,left,blue,1839,0
C48441,34,287420,1,37,4321,blue,false,right,37,47,left,orange,1275,0
C48441,35,291244.7999999523,1,27,4294,blue,false,left,27,91,right,orange,1326,0
C48441,36,295107.40000009537,0,0,4294,blue,false,right,44,42,right,blue,566,0
C48441,37,298195.2000000477,1,55,4239,blue,true,left,31,55,left,blue,755,0
C48441,38,301501.2000000477,0,0,4239,blue,false,left,97,70,left,blue,1641,0
C48441,39,305656.09999990463,0,0,4239,blue,false,right,14,9,right,blue,710,0
C48441,40,308915.7000000477,0,0,4239,blue,true,left,23,51,right,orange,1724,0
C48441,41,313174.7999999523,1,79,4160,blue,true,left,89,79,left,blue,1981,0
C48441,42,317681.2999999523,0,0,4160,blue,true,left,83,86,right,orange,1135,0
C48441,43,321346.7000000477,0,0,4160,blue,true,right,40,62,left,orange,929,0
C48441,44,324794.2000000477,1,23,4137,blue,true,left,36,23,left,blue,1314,0
C48441,45,328643.5,1,61,4076,blue,true,right,65,61,right,blue,1187,0
C48441,46,332351.2999999523,1,67,4009,blue,true,right,74,67,right,blue,1107,0
C48441,47,335992.90000009537,0,0,4009,blue,true,right,73,41,left,orange,3196,0
C48441,48,345742,0,0,4009,blue,false,right,96,54,right,blue,2494,0
C48441,49,350752.2000000477,0,0,4009,blue,true,right,86,88,left,orange,2175,0
C48441,50,355467.59999990463,0,0,4009,blue,true,left,43,66,right,orange,1213,0
C48441,51,359228.7000000477,0,0,4009,blue,true,left,72,79,right,orange,1851,0
C48441,52,363631.09999990463,0,0,4009,blue,false,right,71,13,right,blue,1018,0
C48441,53,367176.7999999523,1,53,3956,blue,true,left,78,53,left,blue,838,0
C48441,54,370548.40000009537,1,90,3866,blue,true,left,57,90,left,blue,1867,0
C48441,55,374943.09999990463,1,3,3863,blue,false,right,3,12,left,orange,536,0
C48441,56,378018.7000000477,0,0,3863,blue,true,right,2,64,left,orange,739,0
C48441,57,381275.2000000477,1,9,3854,blue,true,right,99,9,right,blue,2242,0
C48441,58,386029.7000000477,0,0,3854,blue,true,right,21,42,left,orange,1764,0
C48441,59,390327.90000009537,0,0,3854,blue,true,left,83,72,right,orange,1595,0
C48441,60,394465.2000000477,0,0,3854,blue,true,left,37,11,right,orange,1611,0
C48441,61,398616.90000009537,1,67,3787,blue,false,right,67,81,left,orange,1411,0
C48441,62,402581.2000000477,1,14,3773,blue,true,right,12,14,right,blue,1199,0
C48441,63,406310,1,78,3695,blue,false,right,78,90,left,orange,1867,0
C48441,64,410696.90000009537,0,0,3695,blue,false,right,46,53,right,blue,691,0
C48441,65,413909.40000009537,0,0,3695,blue,false,right,30,42,right,blue,741,0
C48441,66,417174.09999990463,1,36,3659,blue,false,right,36,65,left,orange,1386,0
C48441,67,421119.5,1,49,3610,blue,false,left,49,49,right,orange,1344,0
C48441,68,424998.59999990463,0,0,3610,blue,false,left,44,10,left,blue,941,0
C48441,69,428461.7000000477,0,0,3610,blue,false,left,70,64,left,blue,1112,0
C48441,70,432101.2000000477,0,0,3610,blue,false,right,68,95,right,blue,1254,0
C48441,71,435892.09999990463,0,0,3610,blue,false,right,38,46,right,blue,1344,0
C48441,72,439770.7000000477,0,0,3610,blue,false,right,18,24,right,blue,966,0
C48441,73,443257.5,0,0,3610,blue,false,right,82,78,right,blue,1331,0
C48441,74,447130.7999999523,0,0,3610,blue,false,left,59,54,left,blue,1253,0
C48441,75,450905,0,0,3610,blue,false,left,36,33,left,blue,1186,0
C48441,76,454630.5,1,56,3554,blue,true,right,49,56,right,blue,806,0
C48441,77,457968.59999990463,1,26,3528,blue,false,right,26,83,left,orange,885,0
C48441,78,461398.5,1,38,3490,blue,false,left,38,81,right,orange,767,0
C48441,79,464705.7000000477,1,12,3478,blue,false,right,12,3,left,orange,534,0
C48441,80,467777,0,0,3478,blue,false,left,62,38,left,blue,1144,0
C48441,81,471454.2000000477,0,0,3478,blue,false,right,43,50,right,blue,805,0
C48441,82,474776,0,0,3478,blue,false,right,50,47,right,blue,904,0
C48441,83,478216.09999990463,1,35,3443,blue,true,right,41,35,right,blue,835,0
C48441,84,481587.7000000477,1,9,3434,blue,false,right,9,62,left,orange,585,0
C48441,85,484697.7999999523,0,0,3434,blue,false,left,60,58,left,blue,809,0
C48441,86,488055.2000000477,0,0,3434,blue,false,right,88,31,right,blue,1444,0
C48441,87,492025.2000000477,0,0,3434,blue,false,right,56,44,right,blue,856,0
C48441,88,495404.59999990463,1,15,3419,blue,true,left,31,15,left,blue,763,0
C48441,89,498707.09999990463,0,0,3419,blue,false,left,90,31,left,blue,1031,0
C48441,90,502264,1,80,3339,blue,false,left,80,76,right,orange,1662,0
C48441,91,506459.7999999523,0,0,3339,blue,false,left,78,4,left,blue,864,0
C48441,92,509863,0,0,3339,blue,false,left,60,28,left,blue,980,0
C48441,93,513373,0,0,3339,blue,true,left,56,99,right,orange,1227,0
