Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48514,1,132902.30499999598,0,0,5000,blue,true,right,44,37,left,orange,2426,0
C48514,2,137932.9349999898,1,12,4988,blue,true,right,66,12,right,blue,983,0
C48514,3,141503.2399999909,1,9,4979,blue,true,left,98,9,left,blue,940,0
C48514,4,145042.85500000697,1,20,4959,blue,false,left,20,91,right,orange,1165,0
C48514,5,148771.03000000352,1,8,4951,blue,true,right,28,8,right,blue,542,0
C48514,6,151915.34000000684,1,33,4918,blue,true,left,30,33,left,blue,1397,0
C48514,7,155885.43500000378,1,24,4894,blue,true,left,27,24,left,blue,1193,0
C48514,8,159683.4450000024,0,0,4894,blue,false,left,58,43,left,blue,1076,0
C48514,9,163337.75000000605,1,47,4847,blue,true,left,72,47,left,blue,1162,0
C48514,10,167083.57000001706,1,44,4803,blue,false,right,44,44,left,orange,1680,0
C48514,11,171353.07000001194,1,26,4777,blue,true,left,69,26,left,blue,879,0
C48514,12,174828.83499999298,0,0,4777,blue,true,right,6,41,left,orange,799,0
C48514,13,178201.59499999136,1,34,4743,blue,true,right,88,34,right,blue,941,0
C48514,14,181734.3600000022,1,73,4670,blue,false,left,73,18,right,orange,118,0
C48514,15,184447.18499999726,1,25,4645,blue,true,left,60,25,left,blue,836,0
C48514,16,187862.28500001016,1,6,4639,blue,true,right,68,6,right,blue,766,0
C48514,17,191218.27000001213,1,48,4591,blue,false,right,48,39,left,orange,1445,0
C48514,18,195257.64500000514,0,0,4591,blue,true,right,35,76,left,orange,1046,0
C48514,19,198886.90000001225,0,0,4591,blue,true,left,23,85,right,orange,875,0
C48514,20,202324.93999999133,0,0,4591,blue,true,right,54,22,left,orange,1020,0
C48514,21,205917.92999999598,1,66,4525,blue,false,right,66,58,left,orange,1012,0
C48514,22,209519.19500000076,1,41,4484,blue,true,left,98,41,left,blue,3028,0
C48514,23,215139.46999999462,0,0,4484,blue,true,right,58,80,left,orange,982,0
C48514,24,218700.97000000533,0,0,4484,blue,true,left,32,85,right,orange,933,0
C48514,25,222211.50999999372,1,83,4401,blue,false,right,83,15,left,orange,2329,0
C48514,26,227128.86500000604,1,16,4385,blue,true,left,18,16,left,blue,680,0
C48514,27,230422.61000000872,1,99,4286,blue,true,right,56,99,right,blue,450,0
C48514,28,233448.77000001725,0,0,4286,blue,true,right,23,75,left,orange,627,0
C48514,29,236648.17999998922,1,18,4268,blue,true,left,68,18,left,blue,929,0
C48514,30,240179.0050000127,0,0,4268,blue,true,right,30,16,left,orange,1037,0
C48514,31,243789.98500001035,1,37,4231,blue,true,right,86,37,right,blue,558,0
C48514,32,246948.60500001232,0,0,4231,blue,true,right,47,44,left,orange,890,0
C48514,33,250408.85000000708,0,0,4231,blue,true,left,3,91,right,orange,1556,0
C48514,34,254556.4449999947,0,0,4231,blue,false,right,60,14,right,blue,1812,0
C48514,35,258943.07999999728,0,0,4231,blue,true,right,54,84,left,orange,1394,0
C48514,36,262927.15000000317,1,23,4208,blue,true,left,34,23,left,blue,1326,0
