Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48677,1,198086.70499990694,1,10,4990,blue,true,left,23,10,left,blue,2659,0
C48677,2,203286.51999984868,0,0,4990,blue,true,left,45,97,right,orange,1353,0
C48677,3,207182.12499981746,0,0,4990,blue,true,right,54,62,left,orange,1052,0
C48677,4,210781.26999991946,0,0,4990,blue,false,left,99,16,left,blue,1095,0
C48677,5,214433.1949998159,1,40,4950,blue,true,left,72,40,left,blue,1098,0
C48677,6,218090.18999990076,1,88,4862,blue,true,left,98,88,left,blue,671,0
C48677,7,221318.6249998398,0,0,4862,blue,true,left,6,54,right,orange,931,0
C48677,8,224796.875,1,55,4807,blue,true,right,64,55,right,blue,938,0
C48677,9,228297.5949998945,0,0,4807,blue,false,left,96,45,left,blue,1016,0
C48677,10,231876.77500001155,0,0,4807,blue,true,right,28,19,left,orange,686,0
C48677,11,235117.06499988213,1,26,4781,blue,true,left,95,26,left,blue,691,0
C48677,12,238391.3449998945,1,29,4752,blue,true,right,90,29,right,blue,902,0
C48677,13,241851.8449999392,0,0,4752,blue,true,left,20,53,right,orange,1006,0
C48677,14,245416.22999985702,1,56,4696,blue,true,left,74,56,left,blue,983,0
C48677,15,248949.40999988467,0,0,4696,blue,true,right,18,42,left,orange,711,0
C48677,16,252207.97499991022,0,0,4696,blue,true,right,11,91,left,orange,685,0
C48677,17,255451.080000028,0,0,4696,blue,false,left,32,31,left,blue,1074,0
C48677,18,259080.43999993242,0,0,4696,blue,true,right,36,65,left,orange,1507,0
C48677,19,263133.9399998542,0,0,4696,blue,false,right,40,30,right,blue,3330,0
C48677,20,269026.55499987304,1,26,4670,blue,true,left,29,26,left,blue,1204,0
C48677,21,272818.34500003606,1,32,4638,blue,false,left,32,36,right,orange,1049,0
C48677,22,276419.6150000207,0,0,4638,blue,true,right,72,81,left,orange,489,0
C48677,23,279471.12499992363,1,95,4543,blue,false,right,95,54,left,orange,339,0
C48677,24,282359.80999981984,1,40,4503,blue,false,right,40,59,left,orange,539,0
C48677,25,285461.20999986306,0,0,4503,blue,false,right,29,24,right,blue,431,0
C48677,26,288442.1349999029,0,0,4503,blue,false,right,60,51,right,blue,323,0
C48677,27,291313.4200000204,1,83,4420,blue,false,left,83,65,right,orange,373,0
C48677,28,294232.774999924,0,0,4420,blue,true,left,78,98,right,orange,349,0
C48677,29,297126.04999984615,0,0,4420,blue,false,right,56,51,right,blue,267,0
C48677,30,299940.1000000071,0,0,4420,blue,false,right,5,20,right,blue,347,0
C48677,31,302835.2049998939,1,67,4353,blue,false,left,67,2,right,orange,371,0
C48677,32,305767.55500002764,0,0,4353,blue,false,right,85,84,right,blue,262,0
C48677,33,308568.6299998779,0,0,4353,blue,true,left,7,49,right,orange,309,0
C48677,34,311424.6249999851,1,37,4316,blue,false,left,37,47,right,orange,348,0
C48677,35,314331.2750000041,1,27,4289,blue,false,left,27,91,right,orange,440,0
C48677,36,317324.5449999813,0,0,4289,blue,false,right,44,42,right,blue,267,0
C48677,37,320150.3149999771,1,55,4234,blue,true,left,31,55,left,blue,528,0
C48677,38,323227.8249999508,0,0,4234,blue,false,right,97,70,right,blue,544,0
C48677,39,326339.5899999887,0,0,4234,blue,false,right,14,9,right,blue,591,0
C48677,40,329470.21499997936,1,51,4183,blue,true,left,23,51,left,blue,404,0
C48677,41,332432.7950000297,1,79,4104,blue,true,right,89,79,right,blue,544,0
C48677,42,335538.0249998998,1,86,4018,blue,true,left,83,86,left,blue,718,0
C48677,43,338817.0799999498,0,0,4018,blue,true,left,40,62,right,orange,326,0
C48677,44,341695.20499999635,1,23,3995,blue,true,right,36,23,right,blue,315,0
C48677,45,344561.9149999693,0,0,3995,blue,true,left,65,61,right,orange,275,0
C48677,46,347383.685000008,1,67,3928,blue,true,right,74,67,right,blue,306,0
C48677,47,350249.57500002347,1,41,3887,blue,true,right,73,41,right,blue,223,0
C48677,48,357073.4649999067,0,0,3887,blue,false,right,96,54,right,blue,2192,0
C48677,49,361814.74999990314,0,0,3887,blue,true,left,86,88,right,orange,1179,0
C48677,50,365553.94499981776,0,0,3887,blue,true,left,43,66,right,orange,382,0
C48677,51,368525.67999996245,0,0,3887,blue,true,left,72,79,right,orange,409,0
C48677,52,371527.2750000004,1,71,3816,blue,false,right,71,13,left,orange,957,0
C48677,53,375045.13999982737,1,53,3763,blue,true,right,78,53,right,blue,1257,0
C48677,54,378856.24999995343,0,0,3763,blue,true,left,57,90,right,orange,412,0
C48677,55,381808.704999974,1,3,3760,blue,false,left,3,12,right,orange,520,0
C48677,56,384877.5349999778,0,0,3760,blue,true,left,2,64,right,orange,401,0
C48677,57,387836.64499991573,0,0,3760,blue,true,left,99,9,right,orange,382,0
C48677,58,390762.4899998773,0,0,3760,blue,true,left,21,42,right,orange,298,0
C48677,59,393658.1399999559,1,72,3688,blue,true,right,83,72,right,blue,281,0
C48677,60,396487.4599999748,1,11,3677,blue,true,right,37,11,right,blue,278,0
C48677,61,399320.4550000373,0,0,3677,blue,false,right,67,81,right,blue,492,0
C48677,62,402360.0899998564,1,14,3663,blue,true,right,12,14,right,blue,514,0
C48677,63,405425.50499993376,1,78,3585,blue,false,left,78,90,right,orange,500,0
C48677,64,408480.3649999667,1,46,3539,blue,false,left,46,53,right,orange,285,0
C48677,65,411327.9399999883,0,0,3539,blue,false,left,30,42,left,blue,411,0
C48677,66,414286.21499985456,0,0,3539,blue,false,right,36,65,right,blue,578,0
C48677,67,417412.9749999847,0,0,3539,blue,false,left,49,49,left,blue,609,0
C48677,68,420574.6349999681,0,0,3539,blue,false,right,44,10,right,blue,468,0
C48677,69,423592.3949999269,0,0,3539,blue,false,right,70,64,right,blue,495,0
