Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48703,1,394544.5300000065,1,10,4990,blue,true,left,23,10,left,blue,1878,0
C48703,2,398941.98000000324,0,0,4990,blue,true,right,45,97,left,orange,959,0
C48703,3,402418.73000000487,0,0,4990,blue,true,left,54,62,right,orange,965,0
C48703,4,405900.2200000032,0,0,4990,blue,false,left,99,16,left,blue,1649,0
C48703,5,410064.08999999985,0,0,4990,blue,true,left,72,40,right,orange,3393,0
C48703,6,415973.48500000226,0,0,4990,blue,true,left,98,88,right,orange,1430,0
C48703,7,419919.99500000384,0,0,4990,blue,true,left,6,54,right,orange,990,0
C48703,8,423424.1750000001,0,0,4990,blue,true,right,64,55,left,orange,1275,0
C48703,9,427215.36500000366,0,0,4990,blue,false,right,96,45,right,blue,1178,0
C48703,10,430910.5400000044,0,0,4990,blue,true,right,28,19,left,orange,1604,0
C48703,11,435029.1500000021,1,26,4964,blue,true,right,95,26,right,blue,822,0
C48703,12,438373.5900000029,1,29,4935,blue,true,right,90,29,right,blue,917,0
C48703,13,441810.81500000437,0,0,4935,blue,true,left,20,53,right,orange,768,0
C48703,14,445096.5800000049,0,0,4935,blue,true,left,74,56,right,orange,1388,0
C48703,15,449001.6450000039,0,0,4935,blue,true,right,18,42,left,orange,758,0
C48703,16,452275.86000000156,0,0,4935,blue,true,left,11,91,right,orange,715,0
C48703,17,455506.79500000115,1,32,4903,blue,false,right,32,31,left,orange,1157,0
C48703,18,459182.0050000024,0,0,4903,blue,true,right,36,65,left,orange,674,0
C48703,19,462371.40000000363,1,40,4863,blue,false,right,40,30,left,orange,832,0
C48703,20,465720.91000000364,0,0,4863,blue,true,right,29,26,left,orange,602,0
C48703,21,468838.42500000173,1,32,4831,blue,false,right,32,36,left,orange,893,0
C48703,22,472247.9149999999,0,0,4831,blue,true,right,72,81,left,orange,925,0
C48703,23,475687.4900000039,0,0,4831,blue,false,right,95,54,right,blue,1227,0
C48703,24,479432.1650000056,1,40,4791,blue,false,left,40,59,right,orange,859,0
C48703,25,482810.6600000028,1,29,4762,blue,false,left,29,24,right,orange,784,0
C48703,26,486112.9000000001,1,60,4702,blue,false,right,60,51,left,orange,1492,0
C48703,27,490123.7250000049,1,83,4619,blue,false,left,83,65,right,orange,656,0
C48703,28,493298.99000000296,0,0,4619,blue,true,left,78,98,right,orange,668,0
C48703,29,496484.19500000455,1,56,4563,blue,false,left,56,51,right,orange,2632,0
C48703,30,501634.3300000008,1,5,4558,blue,false,right,5,20,left,orange,1104,0
C48703,31,505259.40500000434,1,67,4491,blue,false,left,67,2,right,orange,1415,0
C48703,32,509192.6450000028,1,85,4406,blue,false,left,85,84,right,orange,1140,0
C48703,33,512850.6400000042,0,0,4406,blue,true,left,7,49,right,orange,709,0
C48703,34,521588.71999999974,1,37,4369,blue,false,left,37,47,right,orange,1777,1
C48703,35,525887.6500000042,1,27,4342,blue,false,left,27,91,right,orange,680,0
C48703,36,529085.3650000063,1,44,4298,blue,false,right,44,42,left,orange,844,0
C48703,37,532446.3250000044,0,0,4298,blue,true,left,31,55,right,orange,1623,0
C48703,38,536584.7200000063,1,97,4201,blue,false,right,97,70,left,orange,1045,0
C48703,39,540148.2750000069,1,14,4187,blue,false,left,14,9,right,orange,1446,0
C48703,40,544112.4250000066,0,0,4187,blue,true,left,23,51,right,orange,544,0
C48703,41,547172.2100000043,0,0,4187,blue,true,right,89,79,left,orange,1773,0
C48703,42,551461.5800000029,0,0,4187,blue,true,right,83,86,left,orange,764,0
C48703,43,554741.3800000068,0,0,4187,blue,true,left,40,62,right,orange,459,0
C48703,44,557716.9100000028,0,0,4187,blue,true,right,36,23,left,orange,509,0
C48703,45,560739.6500000032,0,0,4187,blue,true,right,65,61,left,orange,1038,0
C48703,46,564293.0650000053,0,0,4187,blue,true,right,74,67,left,orange,430,0
C48703,47,567238.1350000069,0,0,4187,blue,true,left,73,41,right,orange,649,0
C48703,48,574407.2100000049,0,0,4187,blue,false,left,96,54,left,blue,2521,0
C48703,49,579443.8450000016,1,88,4099,blue,true,right,86,88,right,blue,808,0
C48703,50,582770.3700000057,1,66,4033,blue,true,left,43,66,left,blue,586,0
C48703,51,585875.6850000063,0,0,4033,blue,true,right,72,79,left,orange,633,0
C48703,52,589022.8400000051,0,0,4033,blue,false,left,71,13,left,blue,1044,0
C48703,53,592585.3850000058,0,0,4033,blue,true,right,78,53,left,orange,815,0
C48703,54,595914.8550000028,0,0,4033,blue,true,left,57,90,right,orange,672,0
C48703,55,599101.9250000026,1,3,4030,blue,false,left,3,12,right,orange,631,0
C48703,56,602252.8750000056,0,0,4030,blue,true,left,2,64,right,orange,925,0
C48703,57,605693.5900000026,1,9,4021,blue,true,left,99,9,left,blue,1027,0
C48703,58,609241.6000000013,0,0,4021,blue,true,right,21,42,left,orange,875,0
C48703,59,612632.5700000016,0,0,4021,blue,true,left,83,72,right,orange,615,0
C48703,60,615762.4649999999,0,0,4021,blue,true,left,37,11,right,orange,814,0
C48703,61,619091.3,1,67,3954,blue,false,right,67,81,left,orange,795,0
C48703,62,622407.5000000012,0,0,3954,blue,true,left,12,14,right,orange,568,0
C48703,63,625492.600000005,1,78,3876,blue,false,left,78,90,right,orange,699,0
C48703,64,628711.890000006,1,46,3830,blue,false,right,46,53,left,orange,552,0
C48703,65,631783.3900000041,1,30,3800,blue,false,left,30,42,right,orange,481,0
C48703,66,634784.4650000043,1,36,3764,blue,false,left,36,65,right,orange,478,0
C48703,67,637777.8300000064,1,49,3715,blue,false,left,49,49,right,orange,520,0
C48703,68,640816.6650000057,1,44,3671,blue,false,left,44,10,right,orange,556,0
C48703,69,643889.4150000052,1,70,3601,blue,false,right,70,64,left,orange,605,0
C48703,70,647011.6049999997,1,68,3533,blue,false,right,68,95,left,orange,608,0
C48703,71,650140.0150000046,1,38,3495,blue,false,right,38,46,left,orange,500,0
C48703,72,653159.4450000047,1,18,3477,blue,false,right,18,24,left,orange,570,0
C48703,73,656248.090000001,0,0,3477,blue,false,left,82,78,left,blue,495,0
C48703,74,659258.225000005,0,0,3477,blue,false,right,59,54,right,blue,386,0
C48703,75,662161.9050000008,0,0,3477,blue,false,right,36,33,right,blue,652,0
C48703,76,665329.8350000042,1,56,3421,blue,true,left,49,56,left,blue,585,0
C48703,77,668431.5249999999,1,26,3395,blue,false,right,26,83,left,orange,873,0
C48703,78,671820.2450000027,1,38,3357,blue,false,right,38,81,left,orange,736,0
C48703,79,675072.9350000038,0,0,3357,blue,false,right,12,3,right,blue,708,0
C48703,80,678302.8650000051,0,0,3357,blue,false,left,62,38,left,blue,694,0
C48703,81,681513.5250000021,0,0,3357,blue,false,left,43,50,left,blue,604,0
C48703,82,684633.5550000004,0,0,3357,blue,false,left,50,47,left,blue,595,0
C48703,83,687745.7300000023,1,35,3322,blue,true,right,41,35,right,blue,652,0
C48703,84,690918.8900000008,0,0,3322,blue,false,left,9,62,left,blue,659,0
C48703,85,694094.0050000063,0,0,3322,blue,false,right,60,58,right,blue,687,0
C48703,86,697296.5700000059,0,0,3322,blue,false,right,88,31,right,blue,573,0
C48703,87,700385.3700000036,0,0,3322,blue,false,left,56,44,left,blue,543,0
C48703,88,703444.4750000038,1,15,3307,blue,true,right,31,15,right,blue,525,0
C48703,89,706486.8450000067,0,0,3307,blue,false,left,90,31,left,blue,423,0
C48703,90,709425.780000005,0,0,3307,blue,false,left,80,76,left,blue,677,0
C48703,91,712617.6850000047,0,0,3307,blue,false,right,78,4,right,blue,442,0
C48703,92,715577.0150000026,0,0,3307,blue,false,left,60,28,left,blue,434,0
C48703,93,718526.8649999998,0,0,3307,blue,true,right,56,99,left,orange,796,0
C48703,94,725840.0950000068,0,0,3307,blue,false,left,31,45,left,blue,910,0
C48703,95,729269.0250000014,0,0,3307,blue,false,right,55,16,right,blue,755,0
C48703,96,732539.6550000005,1,89,3218,blue,true,right,12,89,right,blue,456,0
C48703,97,735515.155000001,0,0,3218,blue,false,right,49,4,right,blue,673,0
C48703,98,738704.3850000045,0,0,3218,blue,false,right,69,12,right,blue,659,0
C48703,99,741879.0600000066,1,26,3192,blue,true,left,49,26,left,blue,859,0
C48703,100,745260.3050000034,0,0,3192,blue,false,left,75,76,left,blue,912,0
C48703,101,748687.9500000068,1,22,3170,blue,false,left,22,90,right,orange,911,0
C48703,102,752114.9600000062,1,23,3147,blue,true,right,26,23,right,blue,649,0
C48703,103,755283.6250000037,0,0,3147,blue,false,left,11,68,left,blue,382,0
