Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48720,1,603106.5200000303,1,37,4963,blue,true,right,44,37,right,blue,1556,2
C48720,2,607211.5950000007,1,12,4951,blue,true,left,66,12,left,blue,1230,0
C48720,3,610980.120000022,1,9,4942,blue,true,left,98,9,left,blue,950,0
C48720,4,614479.0449999855,1,20,4922,blue,false,right,20,91,left,orange,2065,0
C48720,5,619100.7300000056,0,0,4922,blue,true,left,28,8,right,orange,923,0
C48720,6,622570.7549999934,0,0,4922,blue,true,left,30,33,right,orange,1314,0
C48720,7,626416.6550000082,1,24,4898,blue,true,right,27,24,right,blue,1770,0
C48720,8,630745.4400000279,1,58,4840,blue,false,right,58,43,left,orange,948,0
C48720,9,634257.2250000085,1,47,4793,blue,true,right,72,47,right,blue,639,0
C48720,10,637455.019999994,1,44,4749,blue,false,right,44,44,left,orange,1744,0
C48720,11,641749.2400000338,0,0,4749,blue,true,right,69,26,left,orange,1826,0
C48720,12,646120.2449999982,0,0,4749,blue,true,right,6,41,left,orange,1979,0
C48720,13,650630.9500000207,1,34,4715,blue,true,left,88,34,left,blue,2166,0
C48720,14,655374.0300000063,0,0,4715,blue,false,right,73,18,right,blue,1195,0
C48720,15,659110.0050000241,1,25,4690,blue,true,left,60,25,left,blue,2653,0
C48720,16,664311.5600000019,1,6,4684,blue,true,left,68,6,left,blue,2432,0
C48720,17,669288.0899999873,1,48,4636,blue,false,left,48,39,right,orange,920,0
C48720,18,672754.8050000332,0,0,4636,blue,true,right,35,76,left,orange,1218,0
C48720,19,676513.1249999977,0,0,4636,blue,true,right,23,85,left,orange,844,0
C48720,20,679903.5000000149,0,0,4636,blue,true,left,54,22,right,orange,1697,0
C48720,21,684154.2599999812,0,0,4636,blue,false,left,66,58,left,blue,1871,0
C48720,22,688555.400000012,0,0,4636,blue,true,left,98,41,right,orange,2484,0
C48720,23,693585.7200000319,0,0,4636,blue,true,right,58,80,left,orange,1624,0
C48720,24,697762.0200000238,0,0,4636,blue,true,right,32,85,left,orange,1444,0
C48720,25,701746.0399999982,0,0,4636,blue,false,left,83,15,left,blue,1431,0
C48720,26,705722.8999999934,1,16,4620,blue,true,left,18,16,left,blue,2128,0
C48720,27,710397.815000033,0,0,4620,blue,true,right,56,99,left,orange,2002,0
C48720,28,714943.0350000039,0,0,4620,blue,true,left,23,75,right,orange,1479,0
C48720,29,718964.7850000183,1,18,4602,blue,true,right,68,18,right,blue,1542,0
C48720,30,723057.1999999811,1,16,4586,blue,true,right,30,16,right,blue,1222,0
C48720,31,726832.6450000168,1,37,4549,blue,true,right,86,37,right,blue,2281,0
C48720,32,731682.7300000004,1,44,4505,blue,true,left,47,44,left,blue,1942,0
C48720,33,736163.5850000312,0,0,4505,blue,true,right,3,91,left,orange,1150,0
C48720,34,739844.8000000208,0,0,4505,blue,false,left,60,14,left,blue,1421,0
C48720,35,743795.4449999961,1,84,4421,blue,true,left,54,84,left,blue,1865,0
C48720,36,748213.1899999804,0,0,4421,blue,true,left,34,23,right,orange,1709,0
C48720,37,752472.1949999803,1,28,4393,blue,true,left,96,28,left,blue,2078,0
C48720,38,757095.6749999896,0,0,4393,blue,false,left,83,94,left,blue,1329,0
C48720,39,760957.4199999915,1,86,4307,blue,true,right,63,86,right,blue,1618,0
C48720,40,765117.6449999912,1,53,4254,blue,true,left,99,53,left,blue,2410,0
C48720,41,770067.1500000171,0,0,4254,blue,true,right,29,91,left,orange,1010,0
C48720,42,773626.2149999966,0,0,4254,blue,true,right,88,64,left,orange,2323,0
C48720,43,778491.634999984,1,70,4184,blue,true,left,84,70,left,blue,1904,0
C48720,44,782942.704999994,0,0,4184,blue,false,right,61,88,right,blue,1430,0
C48720,45,786927.8400000185,1,43,4141,blue,true,right,61,43,right,blue,1629,0
C48720,46,791110.0950000109,1,54,4087,blue,true,right,87,54,right,blue,1604,0
C48720,47,795270.7500000251,0,0,4087,blue,false,right,5,90,right,blue,2492,0
C48720,48,804338.5550000239,1,44,4043,blue,true,right,71,44,right,blue,1722,0
C48720,49,808597.7500000154,1,52,3991,blue,true,left,42,52,left,blue,2517,0
C48720,50,813669.7549999808,0,0,3991,blue,true,left,39,93,right,orange,1703,0
C48720,51,817911.2350000069,1,24,3967,blue,true,right,39,24,right,blue,771,0
C48720,52,821238.1550000282,1,20,3947,blue,false,right,20,10,left,orange,1372,0
C48720,53,825171.0800000001,1,85,3862,blue,false,right,85,43,left,orange,1906,0
C48720,54,829630.9250000049,0,0,3862,blue,false,left,77,7,left,blue,1287,0
C48720,55,833475.6349999807,1,90,3772,blue,true,right,95,90,right,blue,2530,0
C48720,56,838548.9299999899,1,7,3765,blue,true,left,56,7,left,blue,2356,0
C48720,57,843457.2899999912,0,0,3765,blue,true,left,50,69,right,orange,1856,0
C48720,58,847865.5000000144,1,83,3682,blue,true,right,4,83,right,blue,1074,0
C48720,59,851477.4699999834,1,40,3642,blue,false,left,40,8,right,orange,1050,0
C48720,60,855087.8800000064,0,0,3642,blue,true,right,47,86,left,orange,1791,0
C48720,61,859410.0050000125,1,49,3593,blue,true,left,15,49,left,blue,1520,0
C48720,62,863485.3000000003,0,0,3593,blue,true,right,17,39,left,orange,1435,0
C48720,63,867466.6599999764,0,0,3593,blue,false,left,76,97,left,blue,1903,0
C48720,64,871909.6700000227,1,14,3579,blue,true,right,73,14,right,blue,2068,0
C48720,65,876531.409999996,1,29,3550,blue,true,right,67,29,right,blue,1204,0
C48720,66,880289.860000019,0,0,3550,blue,true,right,48,39,left,orange,889,0
C48720,67,883721.4999999851,0,0,3550,blue,true,right,30,99,left,orange,847,0
C48720,68,887120.830000029,0,0,3550,blue,false,right,13,20,right,blue,1608,0
C48720,69,891284.7750000074,1,59,3491,blue,true,right,66,59,right,blue,1745,0
C48720,70,895585.699999996,0,0,3491,blue,true,right,20,60,left,orange,1057,0
C48720,71,899182.4100000085,1,25,3466,blue,true,left,41,25,left,blue,1916,0
C48720,72,903644.7749999934,0,0,3466,blue,false,left,76,70,left,blue,2015,0
C48720,73,908208.1849999959,0,0,3466,blue,false,left,73,18,left,blue,1124,0
C48720,74,911882.6349999872,0,0,3466,blue,false,left,41,80,left,blue,818,0
C48720,75,915245.7399999839,1,76,3390,blue,true,right,25,76,right,blue,1336,0
C48720,76,919124.9050000333,1,34,3356,blue,false,right,34,52,left,orange,2052,0
C48720,77,923717.6900000195,1,30,3326,blue,false,right,30,60,left,orange,1713,0
C48720,78,927990.7349999994,0,0,3326,blue,false,left,91,36,left,blue,1141,0
C48720,79,931679.684999981,0,0,3326,blue,false,left,70,59,left,blue,1478,0
C48720,80,935713.3599999943,1,47,3279,blue,true,left,64,47,left,blue,3084,0
C48720,81,941350.4599999869,1,28,3251,blue,false,left,28,44,right,orange,911,0
C48720,82,944828.6400000216,1,2,3249,blue,false,right,2,80,left,orange,931,0
C48720,83,948312.3599999817,1,20,3229,blue,false,left,20,39,right,orange,1402,0
C48720,84,952262.5250000274,1,32,3197,blue,false,left,32,61,right,orange,1216,0
C48720,85,956034.5199999865,1,90,3107,blue,false,left,90,61,right,orange,793,0
C48720,86,959382.8450000146,1,70,3037,blue,true,left,62,70,left,blue,537,0
C48720,87,962477.0700000226,1,17,3020,blue,false,left,17,33,right,orange,1954,0
C48720,88,966992.2249999945,0,0,3020,blue,false,left,74,17,left,blue,1325,0
C48720,89,970864.9699999951,1,2,3018,blue,false,right,2,85,left,orange,1032,0
C48720,90,974452.2700000089,0,0,3018,blue,false,left,39,76,left,blue,2122,0
C48720,91,979127.2800000152,1,70,2948,blue,false,right,70,20,left,orange,2051,0
C48720,92,983744.6500000078,0,0,2948,blue,true,right,24,69,left,orange,952,0
C48720,93,987244.8999999906,1,52,2896,blue,true,right,59,52,right,blue,1965,0
C48720,94,995781.335000007,0,0,2896,blue,false,right,15,43,right,blue,1426,0
