Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48805,1,102246,1,37,4963,blue,true,left,44,37,left,blue,2980,0
C48805,2,107755,0,0,4963,blue,true,left,66,12,right,orange,765,0
C48805,3,111038,0,0,4963,blue,true,left,98,9,right,orange,495,0
C48805,4,114106.00000000001,1,20,4943,blue,false,right,20,91,left,orange,932,0
C48805,5,117562,1,8,4935,blue,true,left,28,8,left,blue,589,0
C48805,6,120673,0,0,4935,blue,true,right,30,33,left,orange,485,0
C48805,7,123677,0,0,4935,blue,true,left,27,24,right,orange,601,0
C48805,8,126796,1,58,4877,blue,false,left,58,43,right,orange,523,0
C48805,9,129842.00000000001,0,0,4877,blue,true,right,72,47,left,orange,523,0
C48805,10,132884,1,44,4833,blue,false,left,44,44,right,orange,476,0
C48805,11,135881,0,0,4833,blue,true,right,69,26,left,orange,545,0
C48805,12,138942,0,0,4833,blue,true,left,6,41,right,orange,475,0
C48805,13,141937,0,0,4833,blue,true,right,88,34,left,orange,779,0
C48805,14,145233,1,73,4760,blue,false,right,73,18,left,orange,390,0
C48805,15,148145,0,0,4760,blue,true,right,60,25,left,orange,393,0
C48805,16,151055,0,0,4760,blue,true,right,68,6,left,orange,427,0
C48805,17,154000,1,48,4712,blue,false,left,48,39,right,orange,452,0
C48805,18,156971,0,0,4712,blue,true,right,35,76,left,orange,350,0
C48805,19,159840,0,0,4712,blue,true,left,23,85,right,orange,551,0
C48805,20,162907,1,22,4690,blue,true,right,54,22,right,blue,786,0
C48805,21,166214,1,66,4624,blue,false,right,66,58,left,orange,806,0
C48805,22,169542,1,41,4583,blue,true,left,98,41,left,blue,569,0
C48805,23,172630,0,0,4583,blue,true,left,58,80,right,orange,405,0
C48805,24,175553,0,0,4583,blue,true,right,32,85,left,orange,651,0
C48805,25,178721,0,0,4583,blue,false,left,83,15,left,blue,518,0
C48805,26,181757,0,0,4583,blue,true,right,18,16,left,orange,500,0
C48805,27,184773,0,0,4583,blue,true,left,56,99,right,orange,376,0
C48805,28,187667,0,0,4583,blue,true,right,23,75,left,orange,461,0
C48805,29,190646.00000000003,1,18,4565,blue,true,left,68,18,left,blue,432,0
C48805,30,193600,0,0,4565,blue,true,left,30,16,right,orange,1589,0
C48805,31,197705,0,0,4565,blue,true,right,86,37,left,orange,394,0
C48805,32,200614,0,0,4565,blue,true,right,47,44,left,orange,375,0
C48805,33,203507,0,0,4565,blue,true,left,3,91,right,orange,485,0
C48805,34,206510,1,60,4505,blue,false,right,60,14,left,orange,501,0
C48805,35,209532,0,0,4505,blue,true,left,54,84,right,orange,516,0
C48805,36,212565,0,0,4505,blue,true,left,34,23,right,orange,400,0
C48805,37,215481,0,0,4505,blue,true,right,96,28,left,orange,433,0
C48805,38,218431,1,83,4422,blue,false,right,83,94,left,orange,342,0
C48805,39,221294,0,0,4422,blue,true,right,63,86,left,orange,429,0
C48805,40,224241,0,0,4422,blue,true,right,99,53,left,orange,359,0
C48805,41,227119,0,0,4422,blue,true,left,29,91,right,orange,388,0
C48805,42,230024,0,0,4422,blue,true,left,88,64,right,orange,404,0
C48805,43,232946,0,0,4422,blue,true,left,84,70,right,orange,335,0
C48805,44,235798,1,61,4361,blue,false,right,61,88,left,orange,466,0
C48805,45,238785,0,0,4361,blue,true,right,61,43,left,orange,333,0
C48805,46,241636,0,0,4361,blue,true,right,87,54,left,orange,380,0
C48805,47,244534,1,5,4356,blue,false,left,5,90,right,orange,990,0
C48805,48,252050,0,0,4356,blue,true,right,71,44,left,orange,800,0
C48805,49,255365,0,0,4356,blue,true,left,42,52,right,orange,386,0
C48805,50,258269,0,0,4356,blue,true,right,39,93,left,orange,402,0
C48805,51,261190,1,24,4332,blue,true,left,39,24,left,blue,731,0
C48805,52,264445,0,0,4332,blue,false,right,20,10,right,blue,537,0
C48805,53,267499,0,0,4332,blue,false,left,85,43,left,blue,521,0
C48805,54,270537,1,77,4255,blue,false,right,77,7,left,orange,417,0
C48805,55,273475,1,90,4165,blue,true,right,95,90,right,blue,377,0
C48805,56,276373,1,7,4158,blue,true,right,56,7,right,blue,345,0
C48805,57,279239.00000000006,0,0,4158,blue,true,right,50,69,left,orange,567,0
C48805,58,282321,0,0,4158,blue,true,right,4,83,left,orange,350,0
C48805,59,285189,0,0,4158,blue,false,right,40,8,right,blue,929,0
C48805,60,288636,1,86,4072,blue,true,left,47,86,left,blue,441,0
C48805,61,291598,0,0,4072,blue,true,right,15,49,left,orange,562,0
C48805,62,294678,0,0,4072,blue,true,left,17,39,right,orange,479,0
C48805,63,297673,1,76,3996,blue,false,left,76,97,right,orange,577,0
C48805,64,300770,0,0,3996,blue,true,right,73,14,left,orange,466,0
C48805,65,303752,0,0,3996,blue,true,left,67,29,right,orange,530,0
C48805,66,306798,0,0,3996,blue,true,right,48,39,left,orange,528,0
C48805,67,309843,0,0,3996,blue,true,right,30,99,left,orange,416,0
C48805,68,312775.00000000006,1,13,3983,blue,false,right,13,20,left,orange,712,0
C48805,69,316009,1,59,3924,blue,true,right,66,59,right,blue,1034,0
C48805,70,319563,0,0,3924,blue,true,left,20,60,right,orange,559,0
C48805,71,322639,0,0,3924,blue,true,right,41,25,left,orange,406,0
C48805,72,325562,1,76,3848,blue,false,left,76,70,right,orange,331,0
C48805,73,328413,1,73,3775,blue,false,left,73,18,right,orange,344,0
C48805,74,331280.00000000006,1,41,3734,blue,false,right,41,80,left,orange,411,0
C48805,75,334213,0,0,3734,blue,true,left,25,76,right,orange,347,0
C48805,76,337078.00000000006,1,34,3700,blue,false,left,34,52,right,orange,359,0
C48805,77,339958,1,30,3670,blue,false,left,30,60,right,orange,336,0
C48805,78,342814,0,0,3670,blue,false,right,91,36,right,blue,1039,0
C48805,79,346370,1,70,3600,blue,false,left,70,59,right,orange,539,0
C48805,80,349429.00000000006,1,47,3553,blue,true,left,64,47,left,blue,464,0
C48805,81,352414,1,28,3525,blue,false,left,28,44,right,orange,316,0
C48805,82,355249,1,2,3523,blue,false,left,2,80,right,orange,557,0
C48805,83,358325,1,20,3503,blue,false,left,20,39,right,orange,465,0
C48805,84,361310,1,32,3471,blue,false,right,32,61,left,orange,804,0
C48805,85,364635,0,0,3471,blue,false,left,90,61,left,blue,432,0
C48805,86,367583,1,70,3401,blue,true,right,62,70,right,blue,1174,0
C48805,87,371277,1,17,3384,blue,false,right,17,33,left,orange,897,0
C48805,88,374693,0,0,3384,blue,false,left,74,17,left,blue,414,0
C48805,89,377623,0,0,3384,blue,false,left,2,85,left,blue,416,0
C48805,90,380555,0,0,3384,blue,false,right,39,76,right,blue,407,0
C48805,91,383479,0,0,3384,blue,false,right,70,20,right,blue,643,0
C48805,92,386640,1,69,3315,blue,true,right,24,69,right,blue,388,0
C48805,93,389549.00000000006,1,52,3263,blue,true,left,59,52,left,blue,403,0
C48805,94,396478,0,0,3263,blue,false,right,15,43,right,blue,861,0
C48805,95,399856,1,34,3229,blue,true,left,50,34,left,blue,786,0
C48805,96,403165,1,43,3186,blue,false,right,43,48,left,orange,448,0
C48805,97,406135,0,0,3186,blue,true,left,14,35,right,orange,596,0
C48805,98,409247,1,42,3144,blue,true,right,12,42,right,blue,472,0
C48805,99,412236,0,0,3144,blue,true,right,40,44,left,orange,488,0
C48805,100,415238,0,0,3144,blue,true,right,88,50,left,orange,496,0
C48805,101,418251.00000000006,0,0,3144,blue,true,left,51,19,right,orange,637,0
C48805,102,421403,0,0,3144,blue,true,right,44,59,left,orange,735,0
C48805,103,424656,1,9,3135,blue,true,left,23,9,left,blue,1449,0
C48805,104,428626.00000000006,0,0,3135,blue,true,left,23,76,right,orange,692,0
C48805,105,431836,1,47,3088,blue,true,right,94,47,right,blue,1333,0
C48805,106,435708,0,0,3088,blue,false,left,67,56,left,blue,623,0
C48805,107,438847.00000000006,0,0,3088,blue,true,right,50,16,left,orange,698,0
C48805,108,442061.00000000006,0,0,3088,blue,true,left,83,7,right,orange,808,0
C48805,109,445386,1,41,3047,blue,true,right,86,41,right,blue,842,0
C48805,110,448749,1,37,3010,blue,true,left,61,37,left,blue,1049,0
