Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C48933,1,108076,1,37,4963,blue,true,left,44,37,left,blue,2306,0
C48933,2,112920,0,0,4963,blue,true,right,66,12,left,orange,1876,0
C48933,3,117324,0,0,4963,blue,true,right,98,9,left,orange,1020,0
C48933,4,120867,0,0,4963,blue,false,right,20,91,right,blue,1429,0
C48933,5,124832,0,0,4963,blue,true,right,28,8,left,orange,682,0
C48933,6,128044,1,33,4930,blue,true,right,30,33,right,blue,959,0
C48933,7,131541,1,24,4906,blue,true,right,27,24,right,blue,765,0
C48933,8,134838,0,0,4906,blue,false,right,58,43,right,blue,1019,0
C48933,9,138377,0,0,4906,blue,true,left,72,47,right,orange,1408,0
C48933,10,142314,0,0,4906,blue,false,right,44,44,right,blue,1309,0
C48933,11,146169,0,0,4906,blue,true,right,69,26,left,orange,2149,0
C48933,12,150845,0,0,4906,blue,true,left,6,41,right,orange,1135,0
C48933,13,154507,1,34,4872,blue,true,right,88,34,right,blue,986,0
C48933,14,158052,0,0,4872,blue,false,right,73,18,right,blue,634,0
C48933,15,161222,1,25,4847,blue,true,left,60,25,left,blue,603,0
C48933,16,164355,1,6,4841,blue,true,right,68,6,right,blue,469,0
C48933,17,167352,1,48,4793,blue,false,left,48,39,right,orange,522,0
C48933,18,170408,0,0,4793,blue,true,right,35,76,left,orange,745,0
C48933,19,173679,0,0,4793,blue,true,right,23,85,left,orange,463,0
C48933,20,176683,0,0,4793,blue,true,left,54,22,right,orange,791,0
C48933,21,179995,1,66,4727,blue,false,left,66,58,right,orange,1644,0
C48933,22,184168,1,41,4686,blue,true,right,98,41,right,blue,35,0
C48933,23,186738,0,0,4686,blue,true,left,58,80,right,orange,504,0
C48933,24,189776,0,0,4686,blue,true,left,32,85,right,orange,983,0
C48933,25,193286,1,83,4603,blue,false,left,83,15,right,orange,717,0
C48933,26,196534,1,16,4587,blue,true,right,18,16,right,blue,912,0
C48933,27,199974,1,99,4488,blue,true,left,56,99,left,blue,15,0
C48933,28,202517,1,75,4413,blue,true,left,23,75,left,blue,772,0
C48933,29,205816,0,0,4413,blue,true,right,68,18,left,orange,804,0
C48933,30,209148,0,0,4413,blue,true,right,30,16,left,orange,675,0
C48933,31,212343,1,37,4376,blue,true,left,86,37,left,blue,673,0
C48933,32,215540,1,44,4332,blue,true,right,47,44,right,blue,171,0
C48933,33,218240,1,91,4241,blue,true,right,3,91,right,blue,312,0
