Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49092,1,129003.00000000001,0,0,5000,blue,true,left,44,37,right,orange,2767,0
C49092,2,134292,1,12,4988,blue,true,right,66,12,right,blue,1634,0
C49092,3,138448,0,0,4988,blue,true,left,98,9,right,orange,478,0
C49092,4,141443,0,0,4988,blue,false,left,20,91,left,blue,1931,0
C49092,5,145889,0,0,4988,blue,true,right,28,8,left,orange,557,0
C49092,6,148961,0,0,4988,blue,true,left,30,33,right,orange,877,0
C49092,7,152354,1,24,4964,blue,true,right,27,24,right,blue,525,0
C49092,8,155397,0,0,4964,blue,false,left,58,43,left,blue,330,0
C49092,9,158242,1,47,4917,blue,true,left,72,47,left,blue,572,0
C49092,10,161334,0,0,4917,blue,false,right,44,44,right,blue,416,0
C49092,11,164267,1,26,4891,blue,true,left,69,26,left,blue,875,0
C49092,12,167663,1,41,4850,blue,true,right,6,41,right,blue,344,0
C49092,13,170524,0,0,4850,blue,true,left,88,34,right,orange,410,0
C49092,14,173450.00000000003,1,73,4777,blue,false,left,73,18,right,orange,620,0
C49092,15,176590,0,0,4777,blue,true,left,60,25,right,orange,609,0
C49092,16,179714,1,6,4771,blue,true,left,68,6,left,blue,445,0
C49092,17,182679,0,0,4771,blue,false,right,48,39,right,blue,679,0
C49092,18,185874,0,0,4771,blue,true,right,35,76,left,orange,412,0
C49092,19,188802,1,85,4686,blue,true,left,23,85,left,blue,684,0
C49092,20,192006,1,22,4664,blue,true,right,54,22,right,blue,368,0
C49092,21,194893,1,66,4598,blue,false,left,66,58,right,orange,306,0
C49092,22,197719,0,0,4598,blue,true,right,98,41,left,orange,399,0
C49092,23,200636,0,0,4598,blue,true,right,58,80,left,orange,443,0
C49092,24,203596,0,0,4598,blue,true,right,32,85,left,orange,474,0
C49092,25,206587.00000000003,0,0,4598,blue,false,right,83,15,right,blue,379,0
C49092,26,209483,1,16,4582,blue,true,left,18,16,left,blue,569,0
C49092,27,212574,0,0,4582,blue,true,right,56,99,left,orange,448,0
C49092,28,215537,1,75,4507,blue,true,right,23,75,right,blue,429,0
C49092,29,218487,0,0,4507,blue,true,right,68,18,left,orange,344,0
C49092,30,221348,1,16,4491,blue,true,left,30,16,left,blue,481,0
C49092,31,224351,0,0,4491,blue,true,left,86,37,right,orange,399,0
C49092,32,227266,1,44,4447,blue,true,left,47,44,left,blue,460,0
C49092,33,230246,1,91,4356,blue,true,right,3,91,right,blue,353,0
C49092,34,233116,1,60,4296,blue,false,left,60,14,right,orange,394,0
C49092,35,236029,1,84,4212,blue,true,right,54,84,right,blue,649,0
C49092,36,239201,0,0,4212,blue,true,left,34,23,right,orange,461,0
C49092,37,242178,1,28,4184,blue,true,right,96,28,right,blue,372,0
C49092,38,245069.00000000003,1,83,4101,blue,false,left,83,94,right,orange,265,0
C49092,39,247853,0,0,4101,blue,true,right,63,86,left,orange,306,0
C49092,40,250674,0,0,4101,blue,true,left,99,53,right,orange,356,0
C49092,41,253545.00000000003,0,0,4101,blue,true,right,29,91,left,orange,324,0
C49092,42,256385,1,64,4037,blue,true,left,88,64,left,blue,453,0
C49092,43,259357.00000000003,1,70,3967,blue,true,right,84,70,right,blue,337,0
C49092,44,262212,1,61,3906,blue,false,right,61,88,left,orange,402,0
C49092,45,265132,1,43,3863,blue,true,right,61,43,right,blue,457,0
C49092,46,268111,1,54,3809,blue,true,left,87,54,left,blue,327,0
C49092,47,270956,1,5,3804,blue,false,right,5,90,left,orange,386,0
C49092,48,938377.0000000001,1,44,3760,blue,true,right,71,44,right,blue,812,32
C49092,49,941717,0,0,3760,blue,true,left,42,52,right,orange,444,0
C49092,50,944677,1,93,3667,blue,true,right,39,93,right,blue,427,0
C49092,51,947626,0,0,3667,blue,true,right,39,24,left,orange,711,0
C49092,52,950853.0000000001,1,20,3647,blue,false,right,20,10,left,orange,804,0
C49092,53,954178,0,0,3647,blue,false,right,85,43,right,blue,863,0
C49092,54,957556,0,0,3647,blue,false,right,77,7,right,blue,580,0
C49092,55,960652,1,90,3557,blue,true,right,95,90,right,blue,1012,0
C49092,56,964183,1,7,3550,blue,true,right,56,7,right,blue,1106,0
C49092,57,967807,0,0,3550,blue,true,right,50,69,left,orange,514,0
C49092,58,970836,0,0,3550,blue,true,right,4,83,left,orange,837,0
C49092,59,974188,1,40,3510,blue,false,left,40,8,right,orange,549,0
C49092,60,977256,0,0,3510,blue,true,left,47,86,right,orange,977,0
C49092,61,980747.0000000001,0,0,3510,blue,true,left,15,49,right,orange,894,0
C49092,62,984155,0,0,3510,blue,true,right,17,39,left,orange,790,0
C49092,63,987460,1,76,3434,blue,false,left,76,97,right,orange,1236,0
C49092,64,991215,1,14,3420,blue,true,left,73,14,left,blue,729,0
C49092,65,994463,1,29,3391,blue,true,right,67,29,right,blue,841,0
C49092,66,997824.0000000001,1,39,3352,blue,true,left,48,39,left,blue,896,0
C49092,67,1001238,0,0,3352,blue,true,left,30,99,right,orange,954,0
C49092,68,1004708,0,0,3352,blue,false,right,13,20,right,blue,492,0
C49092,69,1007716,1,59,3293,blue,true,left,66,59,left,blue,1204,0
C49092,70,1011439,0,0,3293,blue,true,left,20,60,right,orange,927,0
C49092,71,1014881,1,25,3268,blue,true,right,41,25,right,blue,852,0
C49092,72,1018251,0,0,3268,blue,false,right,76,70,right,blue,1514,0
C49092,73,1022280,0,0,3268,blue,false,right,73,18,right,blue,1349,0
C49092,74,1026145,1,41,3227,blue,false,left,41,80,right,orange,1196,0
C49092,75,1029858.9999999999,0,0,3227,blue,true,right,25,76,left,orange,907,0
C49092,76,1033281.9999999999,1,34,3193,blue,false,left,34,52,right,orange,987,0
C49092,77,1036788,1,30,3163,blue,false,left,30,60,right,orange,914,0
C49092,78,1040219,0,0,3163,blue,false,left,91,36,left,blue,1751,0
C49092,79,1044486.0000000001,0,0,3163,blue,false,left,70,59,left,blue,1099,0
C49092,80,1048103.0000000001,0,0,3163,blue,true,left,64,47,right,orange,627,0
C49092,81,1051245.0000000002,0,0,3163,blue,false,left,28,44,left,blue,844,0
C49092,82,1054606,1,2,3161,blue,false,right,2,80,left,orange,868,0
C49092,83,1057992,0,0,3161,blue,false,right,20,39,right,blue,1257,0
C49092,84,1061764.0000000002,0,0,3161,blue,false,left,32,61,left,blue,789,0
C49092,85,1065069,0,0,3161,blue,false,left,90,61,left,blue,700,0
C49092,86,1068286,1,70,3091,blue,true,right,62,70,right,blue,1044,0
C49092,87,1071845,1,17,3074,blue,false,right,17,33,left,orange,836,0
C49092,88,1075199,0,0,3074,blue,false,left,74,17,left,blue,451,0
C49092,89,1078165,0,0,3074,blue,false,right,2,85,right,blue,1052,0
C49092,90,1081732,0,0,3074,blue,false,right,39,76,right,blue,734,0
C49092,91,1084982,1,70,3004,blue,false,right,70,20,left,orange,995,0
C49092,92,1088496,0,0,3004,blue,true,left,24,69,right,orange,946,0
C49092,93,1091957,1,52,2952,blue,true,right,59,52,right,blue,461,0
C49092,94,1098938,0,0,2952,blue,false,left,15,43,left,blue,1592,0
C49092,95,1103046,0,0,2952,blue,true,right,50,34,left,orange,996,0
C49092,96,1106558,0,0,2952,blue,false,left,43,48,left,blue,1227,0
C49092,97,1110301,1,35,2917,blue,true,left,14,35,left,blue,1013,0
C49092,98,1113831.0000000002,1,42,2875,blue,true,left,12,42,left,blue,834,0
C49092,99,1117184,0,0,2875,blue,true,left,40,44,right,orange,1153,0
C49092,100,1120853,0,0,2875,blue,true,left,88,50,right,orange,948,0
C49092,101,1124317,0,0,2875,blue,true,right,51,19,left,orange,1276,0
C49092,102,1128110.0000000002,0,0,2875,blue,true,left,44,59,right,orange,820,0
C49092,103,1131445,1,9,2866,blue,true,right,23,9,right,blue,716,0
C49092,104,1134679,1,76,2790,blue,true,left,23,76,left,blue,1211,0
C49092,105,1138406,1,47,2743,blue,true,left,94,47,left,blue,395,0
C49092,106,1141319,1,67,2676,blue,false,left,67,56,right,orange,554,0
C49092,107,1144392,1,16,2660,blue,true,left,50,16,left,blue,1002,0
C49092,108,1147912,0,0,2660,blue,true,left,83,7,right,orange,906,0
C49092,109,1151334,0,0,2660,blue,true,left,86,41,right,orange,876,0
C49092,110,1154725.0000000002,0,0,2660,blue,true,right,61,37,left,orange,773,0
C49092,111,1158012,1,82,2578,blue,false,right,82,57,left,orange,829,0
C49092,112,1161360.0000000002,1,68,2510,blue,false,right,68,28,left,orange,1529,0
C49092,113,1165411,0,0,2510,blue,false,right,65,76,right,blue,885,0
C49092,114,1168813,1,25,2485,blue,false,left,25,19,right,orange,1021,0
C49092,115,1172351,1,67,2418,blue,false,right,67,68,left,orange,770,0
C49092,116,1175641,1,82,2336,blue,false,left,82,68,right,orange,842,0
C49092,117,1179004.0000000002,1,88,2248,blue,false,right,88,19,left,orange,887,0
C49092,118,1182408.0000000002,0,0,2248,blue,true,left,55,11,right,orange,641,0
C49092,119,1185564,0,0,2248,blue,true,right,74,36,left,orange,1549,0
C49092,120,1189630,0,0,2248,blue,false,left,18,64,left,blue,1091,0
C49092,121,1193238,0,0,2248,blue,false,left,15,3,left,blue,1116,0
C49092,122,1196870.0000000002,1,91,2157,blue,false,left,91,76,right,orange,844,0
C49092,123,1200231,0,0,2157,blue,false,left,66,92,left,blue,1163,0
C49092,124,1203909,1,67,2090,blue,false,left,67,14,right,orange,956,0
C49092,125,1207383,1,77,2013,blue,true,right,11,77,right,blue,395,0
C49092,126,1210297,1,36,1977,blue,false,right,36,20,left,orange,393,0
C49092,127,1213208,1,44,1933,blue,false,right,44,61,left,orange,457,0
C49092,128,1216183,0,0,1933,blue,false,right,4,34,right,blue,555,0
C49092,129,1219253,0,0,1933,blue,false,left,86,63,left,blue,437,0
C49092,130,1222205,0,0,1933,blue,false,right,99,43,right,blue,420,0
C49092,131,1225140,1,56,1877,blue,true,right,95,56,right,blue,510,0
C49092,132,1228167,0,0,1877,blue,false,right,89,63,right,blue,650,0
C49092,133,1231333,0,0,1877,blue,true,right,88,80,left,orange,485,0
C49092,134,1234333,0,0,1877,blue,false,right,5,10,right,blue,428,0
C49092,135,1237277,1,80,1797,blue,true,left,35,80,left,blue,668,0
C49092,136,1240464,1,57,1740,blue,true,right,8,57,right,blue,666,0
C49092,137,1243647,1,47,1693,blue,true,left,78,47,left,blue,451,0
C49092,138,1246614,1,99,1594,blue,true,right,5,99,right,blue,275,0
C49092,139,1249410,0,0,1594,blue,true,left,62,67,right,orange,919,0
C49092,140,1252847,1,95,1499,blue,false,left,95,27,right,orange,1034,0
