Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49094,1,133066.80000019073,1,37,4963,blue,true,right,44,37,right,blue,2155,0
C49094,2,137788,1,12,4951,blue,true,right,66,12,right,blue,799,0
C49094,3,141146.90000009537,0,0,4951,blue,true,left,98,9,right,orange,1305,0
C49094,4,144988.90000009537,1,20,4931,blue,false,left,20,91,right,orange,1613,0
C49094,5,149151.69999980927,0,0,4931,blue,true,left,28,8,right,orange,1044,0
C49094,6,152719.5,0,0,4931,blue,true,left,30,33,right,orange,1147,0
C49094,7,156402.09999990463,0,0,4931,blue,true,left,27,24,right,orange,1447,0
C49094,8,160387,1,58,4873,blue,false,left,58,43,right,orange,1039,0
C49094,9,163959.80000019073,0,0,4873,blue,true,left,72,47,right,orange,755,0
C49094,10,167252.19999980927,1,44,4829,blue,false,right,44,44,left,orange,2311,0
C49094,11,172094.69999980927,0,0,4829,blue,true,left,69,26,right,orange,1700,0
C49094,12,176343.69999980927,0,0,4829,blue,true,left,6,41,right,orange,1226,0
C49094,13,180103.59999990463,0,0,4829,blue,true,left,88,34,right,orange,1296,0
C49094,14,183956.19999980927,1,73,4756,blue,false,left,73,18,right,orange,1082,0
C49094,15,187572.80000019073,0,0,4756,blue,true,right,60,25,left,orange,500,0
C49094,16,190619.80000019073,0,0,4756,blue,true,left,68,6,right,orange,1630,0
C49094,17,194781.19999980927,1,48,4708,blue,false,right,48,39,left,orange,1195,0
C49094,18,198503,0,0,4708,blue,true,left,35,76,right,orange,618,0
C49094,19,201648.69999980927,0,0,4708,blue,true,left,23,85,right,orange,686,0
C49094,20,204853.80000019073,0,0,4708,blue,true,right,54,22,left,orange,1095,0
C49094,21,208482,1,66,4642,blue,false,right,66,58,left,orange,895,0
C49094,22,211902.09999990463,0,0,4642,blue,true,right,98,41,left,orange,529,0
C49094,23,214966.90000009537,0,0,4642,blue,true,left,58,80,right,orange,571,0
C49094,24,218083.59999990463,0,0,4642,blue,true,left,32,85,right,orange,518,0
C49094,25,221122,1,83,4559,blue,false,right,83,15,left,orange,488,0
C49094,26,224169,0,0,4559,blue,true,right,18,16,left,orange,588,0
C49094,27,227289.30000019073,0,0,4559,blue,true,left,56,99,right,orange,534,0
C49094,28,230368.40000009537,0,0,4559,blue,true,left,23,75,right,orange,536,0
C49094,29,233433.5,0,0,4559,blue,true,left,68,18,right,orange,514,0
C49094,30,236505.80000019073,0,0,4559,blue,true,right,30,16,left,orange,540,0
C49094,31,239595.09999990463,0,0,4559,blue,true,right,86,37,left,orange,590,0
C49094,32,242717.30000019073,0,0,4559,blue,true,left,47,44,right,orange,497,0
C49094,33,245753.80000019073,0,0,4559,blue,true,right,3,91,left,orange,963,0
C49094,34,249236.40000009537,1,60,4499,blue,false,right,60,14,left,orange,1222,0
C49094,35,253000.69999980927,0,0,4499,blue,true,left,54,84,right,orange,909,0
C49094,36,256450.90000009537,0,0,4499,blue,true,right,34,23,left,orange,642,0
C49094,37,259637.19999980927,0,0,4499,blue,true,left,96,28,right,orange,392,0
C49094,38,262568.69999980927,1,83,4416,blue,false,left,83,94,right,orange,628,0
C49094,39,265737.09999990463,0,0,4416,blue,true,right,63,86,left,orange,598,0
C49094,40,268869.59999990463,0,0,4416,blue,true,right,99,53,left,orange,695,0
C49094,41,272088.59999990463,0,0,4416,blue,true,left,29,91,right,orange,476,0
C49094,42,275100.09999990463,0,0,4416,blue,true,right,88,64,left,orange,494,0
C49094,43,278135.69999980927,0,0,4416,blue,true,left,84,70,right,orange,483,0
C49094,44,281153.59999990463,1,61,4355,blue,false,right,61,88,left,orange,1524,0
C49094,45,285215.19999980927,0,0,4355,blue,true,left,61,43,right,orange,367,0
C49094,46,288135.30000019073,0,0,4355,blue,true,left,87,54,right,orange,687,0
C49094,47,291352.59999990463,1,5,4350,blue,false,left,5,90,right,orange,608,0
C49094,48,298500.5,0,0,4350,blue,true,right,71,44,left,orange,1590,0
C49094,49,302632.80000019073,0,0,4350,blue,true,right,42,52,left,orange,764,0
C49094,50,305918.19999980927,0,0,4350,blue,true,left,39,93,right,orange,703,0
C49094,51,309154.5,0,0,4350,blue,true,right,39,24,left,orange,430,0
C49094,52,312119.59999990463,1,20,4330,blue,false,right,20,10,left,orange,432,0
C49094,53,315090,1,85,4245,blue,false,right,85,43,left,orange,490,0
C49094,54,318134.40000009537,1,77,4168,blue,false,left,77,7,right,orange,411,0
