Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49473,1,348210.4700000491,0,0,5000,blue,true,right,23,10,left,orange,1665,1
C49473,2,352441.0149999894,0,0,5000,blue,true,left,45,97,right,orange,1168,0
C49473,3,356171.6650000308,0,0,5000,blue,true,left,54,62,right,orange,2473,0
C49473,4,361231.6600000486,0,0,5000,blue,false,left,99,16,left,blue,2542,0
C49473,5,366346.4999999851,1,40,4960,blue,true,right,72,40,right,blue,1034,0
C49473,6,369968.85000006296,1,88,4872,blue,true,left,98,88,left,blue,1107,0
C49473,7,373654.21500010416,0,0,4872,blue,true,left,6,54,right,orange,1611,0
C49473,8,377845.20500013605,1,55,4817,blue,true,right,64,55,right,blue,1452,0
C49473,9,381901.56999998726,1,96,4721,blue,false,right,96,45,left,orange,1397,0
C49473,10,385873.15999995917,1,19,4702,blue,true,right,28,19,right,blue,1967,0
C49473,11,390438.3600000292,0,0,4702,blue,true,left,95,26,right,orange,1720,0
C49473,12,394739.7750001401,0,0,4702,blue,true,left,90,29,right,orange,1191,0
C49473,13,398508.89000017196,0,0,4702,blue,true,right,20,53,left,orange,2155,0
C49473,14,403237.3000001535,1,56,4646,blue,true,right,74,56,right,blue,1523,0
C49473,15,407350.7100001443,0,0,4646,blue,true,left,18,42,right,orange,1533,0
C49473,16,411467.2300000675,0,0,4646,blue,true,right,11,91,left,orange,1631,0
C49473,17,415673.7500000745,0,0,4646,blue,false,right,32,31,right,blue,2127,0
C49473,18,420387.1100000106,0,0,4646,blue,true,left,36,65,right,orange,2069,0
C49473,19,425042.8550001234,0,0,4646,blue,false,right,40,30,right,blue,2325,0
C49473,20,429942.895000102,0,0,4646,blue,true,left,29,26,right,orange,1587,0
C49473,21,434108.1000000704,1,32,4614,blue,false,left,32,36,right,orange,2802,0
C49473,22,439486.8000000715,1,81,4533,blue,true,left,72,81,left,blue,3009,0
C49473,23,445070.7350000739,1,95,4438,blue,false,left,95,54,right,orange,1279,0
C49473,24,448929.98000001535,0,0,4438,blue,false,right,40,59,right,blue,2275,0
C49473,25,453768.4800000861,1,29,4409,blue,false,left,29,24,right,orange,1686,0
C49473,26,458027.1199999843,1,60,4349,blue,false,right,60,51,left,orange,1962,0
C49473,27,462551.9050001167,1,83,4266,blue,false,left,83,65,right,orange,1502,0
C49473,28,466617.2700000461,0,0,4266,blue,true,right,78,98,left,orange,852,0
C49473,29,470042.8349999711,1,56,4210,blue,false,left,56,51,right,orange,3559,0
C49473,30,476182.72000015713,0,0,4210,blue,false,left,5,20,left,blue,1856,0
C49473,31,480610.3900000453,0,0,4210,blue,false,left,67,2,left,blue,3716,0
C49473,32,486899.2000001017,0,0,4210,blue,false,right,85,84,right,blue,3085,0
C49473,33,492566.43999996595,0,0,4210,blue,true,left,7,49,right,orange,1539,0
C49473,34,496682.2200000752,1,37,4173,blue,false,left,37,47,right,orange,2116,0
C49473,35,501368.0849999655,0,0,4173,blue,false,left,27,91,left,blue,1868,0
C49473,36,505806.5400000196,1,44,4129,blue,false,right,44,42,left,orange,2759,0
C49473,37,511140.0399999693,0,0,4129,blue,true,left,31,55,right,orange,1707,0
C49473,38,515408.41000014916,0,0,4129,blue,false,left,97,70,left,blue,1654,0
C49473,39,519646.82000014,0,0,4129,blue,false,left,14,9,left,blue,3022,0
C49473,40,525234.5600000117,1,51,4078,blue,true,left,23,51,left,blue,1094,0
C49473,41,528900.0950001646,1,79,3999,blue,true,right,89,79,right,blue,2063,0
C49473,42,533542.0699999668,0,0,3999,blue,true,right,83,86,left,orange,2573,0
C49473,43,538685.1500000339,0,0,3999,blue,true,right,40,62,left,orange,1971,0
C49473,44,543241.2849999964,1,23,3976,blue,true,right,36,23,right,blue,1795,0
C49473,45,547619.1200001631,0,0,3976,blue,true,right,65,61,left,orange,1502,0
C49473,46,551689.4450001419,1,67,3909,blue,true,right,74,67,right,blue,1918,0
C49473,47,556157.3900000658,1,41,3868,blue,true,left,73,41,left,blue,1191,0
C49473,48,563946.6699999757,0,0,3868,blue,false,right,96,54,right,blue,2975,0
C49473,49,569493.5149999801,0,0,3868,blue,true,right,86,88,left,orange,3015,0
C49473,50,575094.4650000893,1,66,3802,blue,true,left,43,66,left,blue,2841,0
C49473,51,580512.8999999724,0,0,3802,blue,true,right,72,79,left,orange,1082,0
C49473,52,584176.8000000156,0,0,3802,blue,false,right,71,13,right,blue,1604,0
