Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49503,1,126409.37310714552,1,10,4990,blue,true,left,23,10,left,blue,1562,0
C49503,2,130615.37320412542,0,0,4990,blue,true,left,45,97,right,orange,788,0
C49503,3,134034.67319007157,0,0,4990,blue,true,right,54,62,left,orange,2361,0
C49503,4,139027.17327431258,0,0,4990,blue,false,right,99,16,right,blue,1526,0
C49503,5,143161.97327792877,1,40,4950,blue,true,left,72,40,left,blue,1700,0
C49503,6,147509.17322993194,0,0,4950,blue,true,right,98,88,left,orange,1841,0
C49503,7,151960.67300761785,0,0,4950,blue,true,left,6,54,right,orange,899,0
C49503,8,155461.1731115836,0,0,4950,blue,true,left,64,55,right,orange,1830,0
C49503,9,159929.1730326847,0,0,4950,blue,false,right,96,45,right,blue,2416,0
C49503,10,164935.3731712509,1,19,4931,blue,true,right,28,19,right,blue,780,0
C49503,11,168353.87307303818,1,26,4905,blue,true,left,95,26,left,blue,1212,0
C49503,12,172209.67300515226,1,29,4876,blue,true,left,90,29,left,blue,2191,0
C49503,13,177041.27316525127,0,0,4876,blue,true,left,20,53,right,orange,827,0
C49503,14,180494.97307164103,0,0,4876,blue,true,left,74,56,right,orange,2682,0
C49503,15,185807.87295962102,0,0,4876,blue,true,left,18,42,right,orange,1252,0
C49503,16,189697.37299537208,0,0,4876,blue,true,right,11,91,left,orange,830,0
C49503,17,193113.77303580777,1,32,4844,blue,false,right,32,31,left,orange,849,0
C49503,18,196607.57330817336,0,0,4844,blue,true,right,36,65,left,orange,1975,0
C49503,19,201223.87316344317,0,0,4844,blue,false,right,40,30,right,blue,1278,0
C49503,20,205129.27297129147,1,26,4818,blue,true,right,29,26,right,blue,2342,0
C49503,21,210135.27298608504,1,32,4786,blue,false,right,32,36,left,orange,1397,0
C49503,22,214152.4733572386,1,81,4705,blue,true,right,72,81,right,blue,1159,0
C49503,23,217951.77304731385,1,95,4610,blue,false,right,95,54,left,orange,1411,0
C49503,24,221977.47313122614,0,0,4610,blue,false,left,40,59,left,blue,1474,0
C49503,25,226048.37324439673,0,0,4610,blue,false,right,29,24,right,blue,989,0
C49503,26,229625.67320897442,0,0,4610,blue,false,right,60,51,right,blue,839,0
C49503,27,233080.17319952298,0,0,4610,blue,false,right,83,65,right,blue,683,0
C49503,28,236436.0729880575,1,98,4512,blue,true,right,78,98,right,blue,907,0
C49503,29,239978.47333915762,0,0,4512,blue,false,left,56,51,left,blue,2168,0
C49503,30,244739.57322269955,1,5,4507,blue,false,right,5,20,left,orange,1032,0
C49503,31,248463.77307690095,0,0,4507,blue,false,right,67,2,right,blue,819,0
C49503,32,251903.17296857934,0,0,4507,blue,false,left,85,84,left,blue,1201,0
C49503,33,255698.473059724,0,0,4507,blue,true,right,7,49,left,orange,788,0
C49503,34,259116.17328828425,1,37,4470,blue,false,left,37,47,right,orange,1635,0
C49503,35,263385.1733351305,1,27,4443,blue,false,left,27,91,right,orange,1618,0
C49503,36,267645.7731147067,0,0,4443,blue,false,right,44,42,right,blue,1253,0
C49503,37,271549.77328894176,1,55,4388,blue,true,right,31,55,right,blue,941,0
C49503,38,275129.4730950641,0,0,4388,blue,false,right,97,70,right,blue,2648,0
C49503,39,280418.77317141526,0,0,4388,blue,false,right,14,9,right,blue,991,0
C49503,40,284021.87307632563,1,51,4337,blue,true,right,23,51,right,blue,743,0
C49503,41,287416.3733298705,1,79,4258,blue,true,right,89,79,right,blue,2043,0
C49503,42,292161.27305019035,0,0,4258,blue,true,right,83,86,left,orange,683,0
C49503,43,295434.7732108647,0,0,4258,blue,true,right,40,62,left,orange,317,0
C49503,44,298397.1729537858,0,0,4258,blue,true,right,36,23,left,orange,508,0
C49503,45,301512.6731358286,0,0,4258,blue,true,left,65,61,right,orange,618,0
C49503,46,304742.07333159644,0,0,4258,blue,true,right,74,67,left,orange,610,0
C49503,47,307964.47330463933,0,0,4258,blue,true,left,73,41,right,orange,346,0
C49503,48,314961.27296800405,0,0,4258,blue,false,left,96,54,left,blue,2244,0
C49503,49,319787.272949923,1,88,4170,blue,true,right,86,88,right,blue,573,0
C49503,50,322980.47334408876,0,0,4170,blue,true,left,43,66,right,orange,743,0
C49503,51,326343.07296422345,0,0,4170,blue,true,left,72,79,right,orange,540,0
C49503,52,329501.67331417295,1,71,4099,blue,false,left,71,13,right,orange,472,0
C49503,53,332607.27332798024,1,53,4046,blue,true,right,78,53,right,blue,720,0
C49503,54,335997.5730369584,0,0,4046,blue,true,right,57,90,left,orange,808,0
C49503,55,339411.17298830405,1,3,4043,blue,false,left,3,12,right,orange,422,0
C49503,56,342459.073250232,0,0,4043,blue,true,right,2,64,left,orange,1027,0
C49503,57,346131.8733475406,1,9,4034,blue,true,right,99,9,right,blue,1250,0
C49503,58,350033.6729821401,0,0,4034,blue,true,right,21,42,left,orange,906,0
C49503,59,353544.8733385001,0,0,4034,blue,true,left,83,72,right,orange,333,0
C49503,60,356530.17307624343,1,11,4023,blue,true,left,37,11,left,blue,361,0
C49503,61,359595.97311519977,1,67,3956,blue,false,left,67,81,right,orange,872,0
C49503,62,363082.973288613,0,0,3956,blue,true,right,12,14,left,orange,522,0
C49503,63,366201.5731290071,1,78,3878,blue,false,left,78,90,right,orange,1713,0
C49503,64,370568.9732540947,1,46,3832,blue,false,left,46,53,right,orange,1166,0
C49503,65,374357.27312251436,0,0,3832,blue,false,right,30,42,right,blue,554,0
C49503,66,377567.6730659702,0,0,3832,blue,false,right,36,65,right,blue,392,0
