Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49621,1,270873,1,37,4963,blue,true,left,44,37,left,blue,1939,0
C49621,2,275360,1,12,4951,blue,true,left,66,12,left,blue,1403,0
C49621,3,279301,0,0,4951,blue,true,left,98,9,right,orange,1839,0
C49621,4,283658,1,20,4931,blue,false,right,20,91,left,orange,1617,0
C49621,5,287821,1,8,4923,blue,true,right,28,8,right,blue,1437,0
C49621,6,291800,0,0,4923,blue,true,right,30,33,left,orange,1474,0
C49621,7,295810,0,0,4923,blue,true,right,27,24,left,orange,1705,0
C49621,8,300030,1,58,4865,blue,false,right,58,43,left,orange,2052,0
C49621,9,304631,1,47,4818,blue,true,left,72,47,left,blue,1237,0
C49621,10,308402,1,44,4774,blue,false,right,44,44,left,orange,2057,0
C49621,11,312997,1,26,4748,blue,true,right,69,26,right,blue,1229,0
C49621,12,316775,0,0,4748,blue,true,left,6,41,right,orange,2347,0
C49621,13,321652,1,34,4714,blue,true,right,88,34,right,blue,1682,0
C49621,14,325882,0,0,4714,blue,false,right,73,18,right,blue,1794,0
C49621,15,330204,1,25,4689,blue,true,left,60,25,left,blue,1669,0
C49621,16,334417,1,6,4683,blue,true,right,68,6,right,blue,1473,0
C49621,17,338427,1,48,4635,blue,false,left,48,39,right,orange,3256,0
C49621,18,344226,0,0,4635,blue,true,left,35,76,right,orange,2313,0
C49621,19,349069,0,0,4635,blue,true,right,23,85,left,orange,1654,0
C49621,20,353248,0,0,4635,blue,true,left,54,22,right,orange,1707,0
C49621,21,357473,1,66,4569,blue,false,right,66,58,left,orange,1714,0
C49621,22,361714,1,41,4528,blue,true,left,98,41,left,blue,1305,0
C49621,23,365554,0,0,4528,blue,true,right,58,80,left,orange,2576,0
C49621,24,370652,0,0,4528,blue,true,right,32,85,left,orange,980,0
C49621,25,374160,0,0,4528,blue,false,right,83,15,right,blue,1618,0
C49621,26,378307,1,16,4512,blue,true,right,18,16,right,blue,2280,0
C49621,27,383134,0,0,4512,blue,true,left,56,99,right,orange,1964,0
C49621,28,387631,0,0,4512,blue,true,right,23,75,left,orange,1116,0
C49621,29,391270,0,0,4512,blue,true,left,68,18,right,orange,1858,0
C49621,30,395681,0,0,4512,blue,true,left,30,16,right,orange,1609,0
C49621,31,399821,1,37,4475,blue,true,right,86,37,right,blue,1724,0
C49621,32,404082,0,0,4475,blue,true,right,47,44,left,orange,1178,0
C49621,33,407778,0,0,4475,blue,true,right,3,91,left,orange,1008,0
C49621,34,411318,1,60,4415,blue,false,left,60,14,right,orange,1980,0
C49621,35,415830,0,0,4415,blue,true,left,54,84,right,orange,1781,0
C49621,36,420136,0,0,4415,blue,true,left,34,23,right,orange,1283,0
C49621,37,423950,1,28,4387,blue,true,right,96,28,right,blue,1469,0
C49621,38,427959,1,83,4304,blue,false,right,83,94,left,orange,1828,0
C49621,39,432339,0,0,4304,blue,true,left,63,86,right,orange,1543,0
C49621,40,436411,1,53,4251,blue,true,right,99,53,right,blue,1344,0
C49621,41,440288,0,0,4251,blue,true,left,29,91,right,orange,1090,0
C49621,42,443912,0,0,4251,blue,true,right,88,64,left,orange,1177,0
C49621,43,447621,0,0,4251,blue,true,left,84,70,right,orange,1309,0
C49621,44,451461,1,61,4190,blue,false,left,61,88,right,orange,1005,0
C49621,45,455008,0,0,4190,blue,true,left,61,43,right,orange,2202,0
C49621,46,459735,0,0,4190,blue,true,left,87,54,right,orange,1908,0
C49621,47,464161,1,5,4185,blue,false,right,5,90,left,orange,2562,0
C49621,48,473269,1,44,4141,blue,true,right,71,44,right,blue,2174,0
C49621,49,477980,0,0,4141,blue,true,right,42,52,left,orange,1111,0
C49621,50,481620,0,0,4141,blue,true,left,39,93,right,orange,966,0
C49621,51,485113,0,0,4141,blue,true,right,39,24,left,orange,826,0
C49621,52,488473,0,0,4141,blue,false,left,20,10,left,blue,3561,0
C49621,53,494567,1,85,4056,blue,false,left,85,43,right,orange,2300,0
C49621,54,499415,0,0,4056,blue,false,right,77,7,right,blue,2843,0
C49621,55,504791,1,90,3966,blue,true,right,95,90,right,blue,1659,0
C49621,56,508986,1,7,3959,blue,true,left,56,7,left,blue,1977,0
C49621,57,513496,1,69,3890,blue,true,left,50,69,left,blue,1354,0
C49621,58,517393,0,0,3890,blue,true,right,4,83,left,orange,1199,0
C49621,59,521115,1,40,3850,blue,false,left,40,8,right,orange,1560,0
C49621,60,525212,0,0,3850,blue,true,right,47,86,left,orange,1542,0
C49621,61,529284,0,0,3850,blue,true,left,15,49,right,orange,926,0
C49621,62,532731,0,0,3850,blue,true,left,17,39,right,orange,1089,0
C49621,63,536340,1,76,3774,blue,false,left,76,97,right,orange,1077,0
C49621,64,539959,1,14,3760,blue,true,right,73,14,right,blue,2268,0
C49621,65,544775,0,0,3760,blue,true,left,67,29,right,orange,1707,0
C49621,66,549000,0,0,3760,blue,true,left,48,39,right,orange,1143,0
C49621,67,552694,0,0,3760,blue,true,left,30,99,right,orange,1500,0
C49621,68,556719,0,0,3760,blue,false,right,13,20,right,blue,1747,0
C49621,69,560999,0,0,3760,blue,true,right,66,59,left,orange,1341,0
C49621,70,564886,0,0,3760,blue,true,left,20,60,right,orange,885,0
C49621,71,568295,0,0,3760,blue,true,left,41,25,right,orange,1490,0
C49621,72,572304,0,0,3760,blue,false,right,76,70,right,blue,1313,0
C49621,73,576181,1,73,3687,blue,false,left,73,18,right,orange,2153,0
C49621,74,580895,1,41,3646,blue,false,right,41,80,left,orange,957,0
C49621,75,584389,0,0,3646,blue,true,left,25,76,right,orange,1878,0
C49621,76,588831,1,34,3612,blue,false,left,34,52,right,orange,1716,0
C49621,77,593108,0,0,3612,blue,false,left,30,60,left,blue,983,0
C49621,78,596632,0,0,3612,blue,false,right,91,36,right,blue,2267,0
C49621,79,601428,1,70,3542,blue,false,right,70,59,left,orange,1470,0
C49621,80,605438,1,47,3495,blue,true,left,64,47,left,blue,957,0
C49621,81,608927,0,0,3495,blue,false,left,28,44,left,blue,1131,0
C49621,82,612588,1,2,3493,blue,false,left,2,80,right,orange,1374,0
C49621,83,616498,1,20,3473,blue,false,left,20,39,right,orange,1796,0
C49621,84,620843,0,0,3473,blue,false,right,32,61,right,blue,1616,0
C49621,85,624984,0,0,3473,blue,false,right,90,61,right,blue,1187,0
C49621,86,628694,0,0,3473,blue,true,left,62,70,right,orange,2357,0
C49621,87,633573,0,0,3473,blue,false,right,17,33,right,blue,2559,0
C49621,88,638671,0,0,3473,blue,false,right,74,17,right,blue,1166,0
C49621,89,642373,1,2,3471,blue,false,right,2,85,left,orange,2959,0
C49621,90,647871,1,39,3432,blue,false,right,39,76,left,orange,1853,0
C49621,91,652266,0,0,3432,blue,false,left,70,20,left,blue,1578,0
C49621,92,656376,0,0,3432,blue,true,right,24,69,left,orange,2171,0
C49621,93,661072,0,0,3432,blue,true,right,59,52,left,orange,1267,0
C49621,94,668878,1,15,3417,blue,false,right,15,43,left,orange,1199,0
C49621,95,672631,1,34,3383,blue,true,right,50,34,right,blue,3524,0
C49621,96,678698,1,43,3340,blue,false,right,43,48,left,orange,896,0
C49621,97,682137,1,35,3305,blue,true,right,14,35,right,blue,1337,0
C49621,98,686032,1,42,3263,blue,true,right,12,42,right,blue,1835,0
C49621,99,690407,0,0,3263,blue,true,left,40,44,right,orange,1363,0
C49621,100,694299,1,50,3213,blue,true,right,88,50,right,blue,1255,0
C49621,101,703621,0,0,3213,blue,true,right,51,19,left,orange,1277,1
C49621,102,707458,0,0,3213,blue,true,left,44,59,right,orange,2116,0
C49621,103,712129,0,0,3213,blue,true,left,23,9,right,orange,1410,0
C49621,104,716074,0,0,3213,blue,true,right,23,76,left,orange,1529,0
C49621,105,720125,1,47,3166,blue,true,right,94,47,right,blue,1221,0
C49621,106,723893,0,0,3166,blue,false,right,67,56,right,blue,2398,0
C49621,107,728820,0,0,3166,blue,true,right,50,16,left,orange,2108,0
C49621,108,733480,1,7,3159,blue,true,right,83,7,right,blue,1278,0
C49621,109,737302,1,41,3118,blue,true,left,86,41,left,blue,2284,0
C49621,110,742114,1,37,3081,blue,true,left,61,37,left,blue,1793,0
C49621,111,746462,0,0,3081,blue,false,left,82,57,left,blue,2068,0
C49621,112,751058,1,68,3013,blue,false,right,68,28,left,orange,1945,0
C49621,113,755547,1,65,2948,blue,false,right,65,76,left,orange,1129,0
C49621,114,759209,1,25,2923,blue,false,left,25,19,right,orange,1883,0
C49621,115,763634,0,0,2923,blue,false,left,67,68,left,blue,1224,0
C49621,116,767399,0,0,2923,blue,false,left,82,68,left,blue,1510,0
C49621,117,771438,0,0,2923,blue,false,left,88,19,left,blue,1382,0
C49621,118,775365,1,11,2912,blue,true,right,55,11,right,blue,1611,0
C49621,119,779519,1,36,2876,blue,true,right,74,36,right,blue,1066,0
C49621,120,783127,1,18,2858,blue,false,left,18,64,right,orange,1932,0
C49621,121,787607,0,0,2858,blue,false,left,15,3,left,blue,852,0
C49621,122,790985,0,0,2858,blue,false,left,91,76,left,blue,1150,0
C49621,123,794670,0,0,2858,blue,false,right,66,92,right,blue,2186,0
C49621,124,799404,0,0,2858,blue,false,right,67,14,right,blue,1023,0
C49621,125,802960,0,0,2858,blue,true,right,11,77,left,orange,1722,0
C49621,126,807201,0,0,2858,blue,false,left,36,20,left,blue,2817,0
C49621,127,812535,0,0,2858,blue,false,right,44,61,right,blue,1177,0
C49621,128,816244,0,0,2858,blue,false,left,4,34,left,blue,1734,0
C49621,129,820518,0,0,2858,blue,false,right,86,63,right,blue,2149,0
C49621,130,825197,0,0,2858,blue,false,left,99,43,left,blue,1118,0
C49621,131,828840,1,56,2802,blue,true,right,95,56,right,blue,1458,0
C49621,132,832865,0,0,2802,blue,false,right,89,63,right,blue,1257,0
C49621,133,836696,1,80,2722,blue,true,right,88,80,right,blue,1505,0
C49621,134,840750,1,5,2717,blue,false,right,5,10,left,orange,940,0
C49621,135,844216,0,0,2717,blue,true,right,35,80,left,orange,1123,0
C49621,136,847868,0,0,2717,blue,true,left,8,57,right,orange,1086,0
C49621,137,851492,1,47,2670,blue,true,right,78,47,right,blue,1950,0
C49621,138,855988,0,0,2670,blue,true,left,5,99,right,orange,1631,0
C49621,139,860152,0,0,2670,blue,true,right,62,67,left,orange,1723,0
C49621,140,864393,0,0,2670,blue,false,left,95,27,left,blue,1587,0
