Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49662,1,156023.29499999178,1,10,4990,blue,true,left,23,10,left,blue,1841,0
C49662,2,160399.31000000797,0,0,4990,blue,true,right,45,97,left,orange,1246,0
C49662,3,164163.74000001815,0,0,4990,blue,true,right,54,62,left,orange,892,0
C49662,4,167576.2650000106,1,99,4891,blue,false,left,99,16,right,orange,1417,0
C49662,5,171521.13500001724,1,40,4851,blue,true,right,72,40,right,blue,2464,0
C49662,6,176521.11500001047,1,88,4763,blue,true,right,98,88,right,blue,798,0
C49662,7,179846.92000001087,0,0,4763,blue,true,left,6,54,right,orange,707,0
C49662,8,183092.7500000107,0,0,4763,blue,true,left,64,55,right,orange,1211,0
C49662,9,186829.99500000733,0,0,4763,blue,false,left,96,45,left,blue,1430,0
C49662,10,190791.18000000017,1,19,4744,blue,true,left,28,19,left,blue,1267,0
C49662,11,194590.32000001753,1,26,4718,blue,true,left,95,26,left,blue,686,0
C49662,12,197796.57999999472,1,29,4689,blue,true,left,90,29,left,blue,934,0
C49662,13,201264.72999999532,0,0,4689,blue,true,right,20,53,left,orange,815,0
C49662,14,204606.0700000089,0,0,4689,blue,true,left,74,56,right,orange,1763,0
C49662,15,208897.01000001514,0,0,4689,blue,true,left,18,42,right,orange,784,0
C49662,16,212213.13000001828,0,0,4689,blue,true,left,11,91,right,orange,620,0
C49662,17,215360.81499999273,1,32,4657,blue,false,left,32,31,right,orange,641,0
C49662,18,218539.0999999945,0,0,4657,blue,true,left,36,65,right,orange,772,0
C49662,19,221832.2749999934,1,40,4617,blue,false,right,40,30,left,orange,1586,0
C49662,20,225952.13000001968,0,0,4617,blue,true,right,29,26,left,orange,1244,0
C49662,21,229731.8099999975,0,0,4617,blue,false,left,32,36,left,blue,1679,0
C49662,22,233925.2100000158,0,0,4617,blue,true,left,72,81,right,orange,2020,0
C49662,23,238478.99999999208,1,95,4522,blue,false,left,95,54,right,orange,740,0
C49662,24,241752.24000000162,1,40,4482,blue,false,left,40,59,right,orange,911,0
C49662,25,245186.8400000094,0,0,4482,blue,false,left,29,24,left,blue,588,0
C49662,26,248294.73500000313,0,0,4482,blue,false,left,60,51,left,blue,735,0
C49662,27,251558.2449999929,0,0,4482,blue,false,left,83,65,left,blue,732,0
C49662,28,254822.26499999524,1,98,4384,blue,true,left,78,98,left,blue,577,0
C49662,29,257936.5950000065,0,0,4384,blue,false,right,56,51,right,blue,1304,0
C49662,30,261772.6299999922,0,0,4384,blue,false,left,5,20,left,blue,1241,0
C49662,31,265537.5950000016,0,0,4384,blue,false,right,67,2,right,blue,1160,0
C49662,32,269224.9299999967,0,0,4384,blue,false,right,85,84,right,blue,634,0
C49662,33,272390.64500000677,0,0,4384,blue,true,left,7,49,right,orange,1378,0
C49662,34,276280.064999999,0,0,4384,blue,false,right,37,47,right,blue,1137,0
C49662,35,279952.6049999986,0,0,4384,blue,false,left,27,91,left,blue,1435,0
C49662,36,283911.1550000089,0,0,4384,blue,false,right,44,42,right,blue,1593,0
C49662,37,288038.2700000191,1,55,4329,blue,true,left,31,55,left,blue,2084,0
C49662,38,292648.30000000075,0,0,4329,blue,false,right,97,70,right,blue,1926,0
C49662,39,297105.06500001065,0,0,4329,blue,false,right,14,9,right,blue,723,0
C49662,40,300355.6300000055,0,0,4329,blue,true,left,23,51,right,orange,968,0
C49662,41,303845.965000015,0,0,4329,blue,true,left,89,79,right,orange,1183,0
C49662,42,307561.4050000149,0,0,4329,blue,true,left,83,86,right,orange,673,0
C49662,43,310767.53499999177,0,0,4329,blue,true,left,40,62,right,orange,752,0
C49662,44,314041.0550000088,0,0,4329,blue,true,left,36,23,right,orange,649,0
C49662,45,317213.9449999959,0,0,4329,blue,true,left,65,61,right,orange,917,0
C49662,46,320662.3050000053,1,67,4262,blue,true,left,74,67,left,blue,2593,0
C49662,47,325788.77000001376,1,41,4221,blue,true,left,73,41,left,blue,795,0
C49662,48,333117.7050000115,0,0,4221,blue,false,left,96,54,left,blue,1213,0
C49662,49,336857.17000000295,0,0,4221,blue,true,right,86,88,left,orange,1128,0
C49662,50,340511.20999999694,0,0,4221,blue,true,left,43,66,right,orange,1600,0
C49662,51,344640.6750000024,1,79,4142,blue,true,right,72,79,right,blue,1553,0
C49662,52,348715.2500000084,0,0,4142,blue,false,right,71,13,right,blue,2769,0
C49662,53,354009.3449999986,1,53,4089,blue,true,right,78,53,right,blue,845,0
C49662,54,357376.17500001215,0,0,4089,blue,true,right,57,90,left,orange,1124,0
C49662,55,361030.070000008,1,3,4086,blue,false,right,3,12,left,orange,630,0
C49662,56,364188.8850000105,0,0,4086,blue,true,left,2,64,right,orange,1155,0
C49662,57,367869.26000000676,1,9,4077,blue,true,right,99,9,right,blue,1129,0
C49662,58,371519.52000000165,0,0,4077,blue,true,right,21,42,left,orange,1366,0
C49662,59,375408.07000000495,0,0,4077,blue,true,right,83,72,left,orange,907,0
C49662,60,378835.619999998,1,11,4066,blue,true,left,37,11,left,blue,747,0
C49662,61,382121.8799999915,1,67,3999,blue,false,left,67,81,right,orange,1371,0
C49662,62,386015.5650000088,1,14,3985,blue,true,right,12,14,right,blue,1156,0
C49662,63,389702.8350000037,1,78,3907,blue,false,right,78,90,left,orange,1396,0
C49662,64,393637.1700000018,0,0,3907,blue,false,left,46,53,left,blue,1043,0
C49662,65,397214.33499999694,1,30,3877,blue,false,right,30,42,left,orange,909,0
C49662,66,400656.35000000475,0,0,3877,blue,false,right,36,65,right,blue,1845,0
C49662,67,405036.935000011,0,0,3877,blue,false,left,49,49,left,blue,1036,0
C49662,68,408608.9800000191,0,0,3877,blue,false,right,44,10,right,blue,1000,0
C49662,69,412147.65500000794,0,0,3877,blue,false,right,70,64,right,blue,674,0
C49662,70,415360.3100000182,0,0,3877,blue,false,right,68,95,right,blue,760,0
C49662,71,418640.22000000114,0,0,3877,blue,false,right,38,46,right,blue,841,0
C49662,72,422009.5399999991,0,0,3877,blue,false,right,18,24,right,blue,888,0
C49662,73,425424.82000001473,0,0,3877,blue,false,left,82,78,left,blue,1395,0
C49662,74,429354.01999999885,0,0,3877,blue,false,left,59,54,left,blue,941,0
C49662,75,432823.51000001654,0,0,3877,blue,false,right,36,33,right,blue,1998,0
C49662,76,437347.13500001817,1,56,3821,blue,true,right,49,56,right,blue,942,0
C49662,77,440818.12999999966,1,26,3795,blue,false,left,26,83,right,orange,1084,0
C49662,78,444435.62999999267,1,38,3757,blue,false,right,38,81,left,orange,1527,0
