Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49722,1,162579,1,10,4990,blue,true,right,23,10,right,blue,1907,0
C49722,2,167022,0,0,4990,blue,true,left,45,97,right,orange,1218,0
C49722,3,170770,0,0,4990,blue,true,left,54,62,right,orange,604,0
C49722,4,173913,1,99,4891,blue,false,right,99,16,left,orange,616,0
C49722,5,177064,0,0,4891,blue,true,left,72,40,right,orange,623,0
C49722,6,180219,0,0,4891,blue,true,right,98,88,left,orange,885,0
C49722,7,183635,0,0,4891,blue,true,right,6,54,left,orange,1231,0
C49722,8,187399,0,0,4891,blue,true,left,64,55,right,orange,619,0
C49722,9,190551.00000000003,1,96,4795,blue,false,right,96,45,left,orange,691,0
C49722,10,193781,1,19,4776,blue,true,left,28,19,left,blue,850,0
C49722,11,197174,0,0,4776,blue,true,right,95,26,left,orange,581,0
C49722,12,200288,0,0,4776,blue,true,left,90,29,right,orange,641,0
C49722,13,203461,0,0,4776,blue,true,left,20,53,right,orange,820,0
C49722,14,206815,0,0,4776,blue,true,right,74,56,left,orange,804,0
C49722,15,210151,0,0,4776,blue,true,left,18,42,right,orange,793,0
C49722,16,213485,0,0,4776,blue,true,right,11,91,left,orange,585,0
C49722,17,216604,1,32,4744,blue,false,left,32,31,right,orange,715,0
C49722,18,219854,0,0,4744,blue,true,left,36,65,right,orange,654,0
C49722,19,223040,1,40,4704,blue,false,left,40,30,right,orange,843,0
C49722,20,226420.00000000003,0,0,4704,blue,true,right,29,26,left,orange,750,0
C49722,21,229700.00000000003,1,32,4672,blue,false,left,32,36,right,orange,593,0
C49722,22,232837.00000000003,0,0,4672,blue,true,left,72,81,right,orange,1034,0
C49722,23,236407,1,95,4577,blue,false,left,95,54,right,orange,886,0
C49722,24,239833,1,40,4537,blue,false,left,40,59,right,orange,913,0
C49722,25,243281,1,29,4508,blue,false,right,29,24,left,orange,715,0
C49722,26,246532,0,0,4508,blue,false,left,60,51,left,blue,500,0
C49722,27,249573,0,0,4508,blue,false,left,83,65,left,blue,617,0
C49722,28,252720,1,98,4410,blue,true,right,78,98,right,blue,627,0
