Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49795,1,101525.55500000017,1,10,4990,blue,true,right,23,10,right,blue,1141,0
C49795,2,105208.75000000023,1,97,4893,blue,true,right,45,97,right,blue,774,0
C49795,3,108514.2350000001,0,0,4893,blue,true,left,54,62,right,orange,844,0
C49795,4,111887.18000000017,0,0,4893,blue,false,left,99,16,left,blue,83,0
C49795,5,114500.85500000023,0,0,4893,blue,true,right,72,40,left,orange,253,0
C49795,6,117284.30000000025,0,0,4893,blue,true,left,98,88,right,orange,278,0
C49795,7,120092.56500000038,1,54,4839,blue,true,right,6,54,right,blue,497,0
C49795,8,123121.26000000034,0,0,4839,blue,true,right,64,55,left,orange,199,0
C49795,9,125851.36500000044,0,0,4839,blue,false,left,96,45,left,blue,649,0
C49795,10,129033.48000000005,0,0,4839,blue,true,left,28,19,right,orange,685,0
C49795,11,132249.29500000007,1,26,4813,blue,true,right,95,26,right,blue,337,0
C49795,12,135122.7200000003,1,29,4784,blue,true,right,90,29,right,blue,476,0
C49795,13,138139.4250000003,1,53,4731,blue,true,right,20,53,right,blue,374,0
C49795,14,141047.7300000002,1,56,4675,blue,true,right,74,56,right,blue,130,0
C49795,15,143717.80000000034,0,0,4675,blue,true,right,18,42,left,orange,294,0
C49795,16,146546.32000000039,0,0,4675,blue,true,right,11,91,left,orange,285,0
C49795,17,149362.68500000006,1,32,4643,blue,false,left,32,31,right,orange,157,0
C49795,18,152060.56500000024,1,65,4578,blue,true,left,36,65,left,blue,125,0
C49795,19,154723.88500000033,1,40,4538,blue,false,right,40,30,left,orange,65,0
C49795,20,157325.91000000003,0,0,4538,blue,true,right,29,26,left,orange,284,0
C49795,21,160139.34500000006,1,32,4506,blue,false,left,32,36,right,orange,590,0
C49795,22,163261.68000000008,1,81,4425,blue,true,left,72,81,left,blue,223,0
C49795,23,166022.68500000038,1,95,4330,blue,false,right,95,54,left,orange,70,0
C49795,24,168627.68000000005,1,40,4290,blue,false,right,40,59,left,orange,7,0
C49795,25,171172.17000000027,1,29,4261,blue,false,right,29,24,left,orange,195,0
C49795,26,173906.3000000001,1,60,4201,blue,false,left,60,51,right,orange,222,0
C49795,27,176671.7550000003,1,83,4118,blue,false,left,83,65,right,orange,196,0
C49795,28,179401.93000000046,0,0,4118,blue,true,left,78,98,right,orange,253,0
C49795,29,182185.3900000001,0,0,4118,blue,false,left,56,51,left,blue,496,0
C49795,30,185210.34000000008,1,5,4113,blue,false,right,5,20,left,orange,215,0
C49795,31,187964.6200000002,1,67,4046,blue,false,right,67,2,left,orange,136,0
C49795,32,190630.30000000025,0,0,4046,blue,false,right,85,84,right,blue,121,0
C49795,33,193276.87500000003,0,0,4046,blue,true,right,7,49,left,orange,1117,0
C49795,34,196923.86000000034,0,0,4046,blue,false,right,37,47,right,blue,578,0
C49795,35,200036.3650000004,0,0,4046,blue,false,right,27,91,right,blue,387,0
C49795,36,202956.84500000015,0,0,4046,blue,false,left,44,42,left,blue,55,0
C49795,37,205547.63500000036,0,0,4046,blue,true,right,31,55,left,orange,52,0
C49795,38,208132.1300000004,0,0,4046,blue,false,left,97,70,left,blue,119,0
C49795,39,210781.55500000002,0,0,4046,blue,false,left,14,9,left,blue,230,0
C49795,40,213544.9150000004,0,0,4046,blue,true,left,23,51,right,orange,605,0
C49795,41,216681.86000000013,1,79,3967,blue,true,right,89,79,right,blue,106,0
C49795,42,219330.41500000036,1,86,3881,blue,true,right,83,86,right,blue,99,0
C49795,43,221969.50000000015,0,0,3881,blue,true,right,40,62,left,orange,574,0
C49795,44,225076.17500000016,0,0,3881,blue,true,right,36,23,left,orange,391,0
C49795,45,228002.27500000029,1,61,3820,blue,true,right,65,61,right,blue,309,0
C49795,46,230842.4600000003,0,0,3820,blue,true,left,74,67,right,orange,367,0
C49795,47,233743.93000000008,0,0,3820,blue,true,right,73,41,left,orange,16,0
C49795,48,240289.62500000035,0,0,3820,blue,false,left,96,54,left,blue,1348,0
C49795,49,244172.9250000003,0,0,3820,blue,true,left,86,88,right,orange,1630,0
C49795,50,248335.71500000017,1,66,3754,blue,true,right,43,66,right,blue,428,0
C49795,51,251301.78000000023,0,0,3754,blue,true,left,72,79,right,orange,67,0
C49795,52,253902.94500000027,1,71,3683,blue,false,right,71,13,left,orange,330,0
C49795,53,256772.35500000007,0,0,3683,blue,true,left,78,53,right,orange,349,0
C49795,54,259652.84500000006,1,90,3593,blue,true,right,57,90,right,blue,836,0
C49795,55,263024.4950000001,1,3,3590,blue,false,left,3,12,right,orange,477,0
C49795,56,266041.1100000001,0,0,3590,blue,true,left,2,64,right,orange,282,0
C49795,57,268852.6650000003,0,0,3590,blue,true,left,99,9,right,orange,365,0
C49795,58,271748.98500000016,1,42,3548,blue,true,left,21,42,left,blue,309,0
C49795,59,274596.35500000016,1,72,3476,blue,true,right,83,72,right,blue,253,0
C49795,60,277383.45500000013,0,0,3476,blue,true,left,37,11,right,orange,370,0
C49795,61,280289.5300000005,1,67,3409,blue,false,left,67,81,right,orange,282,0
C49795,62,283107.12500000047,0,0,3409,blue,true,left,12,14,right,orange,157,0
C49795,63,285793.6450000002,0,0,3409,blue,false,left,78,90,left,blue,485,0
C49795,64,288813.57000000024,1,46,3363,blue,false,right,46,53,left,orange,360,0
C49795,65,291715.0000000001,0,0,3363,blue,false,left,30,42,left,blue,99,0
C49795,66,294339.9750000003,1,36,3327,blue,false,left,36,65,right,orange,272,0
C49795,67,297149.66000000003,1,49,3278,blue,false,left,49,49,right,orange,496,0
C49795,68,300179.52000000014,0,0,3278,blue,false,left,44,10,left,blue,290,0
C49795,69,303003.87500000035,1,70,3208,blue,false,left,70,64,right,orange,322,0
C49795,70,305867.8400000003,0,0,3208,blue,false,left,68,95,left,blue,253,0
C49795,71,308653.00000000023,1,38,3170,blue,false,right,38,46,left,orange,710,0
C49795,72,311908.11000000034,1,18,3152,blue,false,left,18,24,right,orange,851,0
C49795,73,315296.1750000004,0,0,3152,blue,false,right,82,78,right,blue,390,0
C49795,74,318216.1600000004,1,59,3093,blue,false,left,59,54,right,orange,438,0
C49795,75,321188.54500000045,0,0,3093,blue,false,right,36,33,right,blue,360,0
C49795,76,324081.71500000026,0,0,3093,blue,true,left,49,56,right,orange,309,0
C49795,77,326921.0000000003,0,0,3093,blue,false,left,26,83,left,blue,604,0
C49795,78,330055.8600000004,0,0,3093,blue,false,left,38,81,left,blue,204,0
C49795,79,332790.3600000004,0,0,3093,blue,false,right,12,3,right,blue,248,0
C49795,80,335564.9050000002,1,62,3031,blue,false,right,62,38,left,orange,160,0
C49795,81,338263.0800000002,0,0,3031,blue,false,right,43,50,right,blue,301,0
C49795,82,341097.4100000003,1,50,2981,blue,false,left,50,47,right,orange,274,0
C49795,83,343903.10000000044,0,0,2981,blue,true,left,41,35,right,orange,339,0
C49795,84,346767.0850000004,0,0,2981,blue,false,left,9,62,left,blue,184,0
C49795,85,349488.0350000003,0,0,2981,blue,false,right,60,58,right,blue,258,0
C49795,86,352273.43500000006,0,0,2981,blue,false,left,88,31,left,blue,209,0
C49795,87,355018.4350000004,1,56,2925,blue,false,left,56,44,right,orange,109,0
C49795,88,357660.6650000003,0,0,2925,blue,true,left,31,15,right,orange,201,0
C49795,89,360390.17500000045,0,0,2925,blue,false,left,90,31,left,blue,1082,0
C49795,90,364000.4600000002,0,0,2925,blue,false,left,80,76,left,blue,297,0
C49795,91,366827.3700000004,0,0,2925,blue,false,right,78,4,right,blue,174,0
C49795,92,369528.8800000003,1,60,2865,blue,false,right,60,28,left,orange,247,0
C49795,93,372314.78000000014,0,0,2865,blue,true,left,56,99,right,orange,211,0
C49795,94,379062.4600000001,1,31,2834,blue,false,left,31,45,right,orange,611,0
C49795,95,382210.92500000034,1,55,2779,blue,false,left,55,16,right,orange,175,0
C49795,96,384924.5750000005,0,0,2779,blue,true,left,12,89,right,orange,80,0
C49795,97,387536.33500000025,0,0,2779,blue,false,left,49,4,left,blue,155,0
C49795,98,390219.8250000001,1,69,2710,blue,false,right,69,12,left,orange,486,0
C49795,99,393248.06000000035,1,26,2684,blue,true,right,49,26,right,blue,337,0
C49795,100,396119.8600000002,0,0,2684,blue,false,right,75,76,right,blue,514,0
C49795,101,399163.94500000024,0,0,2684,blue,false,left,22,90,left,blue,417,0
C49795,102,402118.2350000004,0,0,2684,blue,true,left,26,23,right,orange,137,0
C49795,103,404785.93500000035,0,0,2684,blue,false,left,11,68,left,blue,0,0
C49795,104,407313.9600000004,1,82,2602,blue,true,right,71,82,right,blue,555,0
C49795,105,410399.3200000004,0,0,2602,blue,false,right,86,95,right,blue,385,0
C49795,106,413322.44000000035,1,79,2523,blue,false,right,79,88,left,orange,319,0
C49795,107,416173.04500000045,1,75,2448,blue,false,right,75,40,left,orange,287,0
C49795,108,418996.6350000004,0,0,2448,blue,false,right,11,94,right,blue,199,0
C49795,109,421726.34500000003,0,0,2448,blue,true,left,53,44,right,orange,435,0
C49795,110,424693.1350000004,1,85,2363,blue,false,left,85,17,right,orange,94,0
C49795,111,427320.31000000006,1,32,2331,blue,true,right,85,32,right,blue,53,0
C49795,112,429907.3300000005,0,0,2331,blue,false,right,38,68,right,blue,314,0
C49795,113,432755.9550000001,1,28,2303,blue,false,right,28,93,left,orange,524,0
