Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49824,1,218870.6100001,1,37,4963,blue,true,left,44,37,left,blue,1074,0
C49824,2,222495.92499993742,1,12,4951,blue,true,left,66,12,left,blue,843,0
C49824,3,225895.82500001416,1,9,4942,blue,true,right,98,9,right,blue,333,0
C49824,4,228784.645000007,0,0,4942,blue,false,left,20,91,left,blue,638,0
C49824,5,231969.1599998623,0,0,4942,blue,true,right,28,8,left,orange,1070,0
C49824,6,235591.59999992698,0,0,4942,blue,true,right,30,33,left,orange,1089,0
C49824,7,239229.11499999464,1,24,4918,blue,true,right,27,24,right,blue,690,0
C49824,8,242493.23999974877,0,0,4918,blue,false,left,58,43,left,blue,567,0
C49824,9,245613.7199997902,1,47,4871,blue,true,left,72,47,left,blue,624,0
C49824,10,248802.08999989554,0,0,4871,blue,false,right,44,44,right,blue,725,0
C49824,11,252075.69500012323,0,0,4871,blue,true,right,69,26,left,orange,1019,0
C49824,12,255644.26499977708,1,41,4830,blue,true,right,6,41,right,blue,712,0
C49824,13,258928.91500005499,1,34,4796,blue,true,left,88,34,left,blue,1260,0
C49824,14,262756.42499979585,1,73,4723,blue,false,left,73,18,right,orange,852,0
C49824,15,266159.0149998665,0,0,4723,blue,true,right,60,25,left,orange,853,0
C49824,16,269564.67500003055,0,0,4723,blue,true,left,68,6,right,orange,766,0
C49824,17,272876.2099999003,0,0,4723,blue,false,right,48,39,right,blue,821,0
C49824,18,276250.82499999553,1,76,4647,blue,true,right,35,76,right,blue,686,0
C49824,19,279495.34499971196,0,0,4647,blue,true,right,23,85,left,orange,1185,0
C49824,20,283226.7499999143,0,0,4647,blue,true,left,54,22,right,orange,1360,0
C49824,21,287140.2099998668,0,0,4647,blue,false,left,66,58,left,blue,715,0
C49824,22,290412.9399997182,0,0,4647,blue,true,right,98,41,left,orange,755,0
C49824,23,293714.49999976903,1,80,4567,blue,true,left,58,80,left,blue,761,0
C49824,24,297029.53499974683,1,85,4482,blue,true,right,32,85,right,blue,515,0
C49824,25,300107.99499973655,0,0,4482,blue,false,left,83,15,left,blue,773,0
C49824,26,303429.3100000359,1,16,4466,blue,true,left,18,16,left,blue,661,0
C49824,27,306652.960000094,1,99,4367,blue,true,right,56,99,right,blue,1900,0
C49824,28,311114.3999998458,0,0,4367,blue,true,right,23,75,left,orange,584,0
C49824,29,314251.5949998051,0,0,4367,blue,true,right,68,18,left,orange,1529,0
C49824,30,318332.3599998839,0,0,4367,blue,true,right,30,16,left,orange,693,0
C49824,31,321578.69999995455,1,37,4330,blue,true,right,86,37,right,blue,790,0
C49824,32,324923.88999974355,1,44,4286,blue,true,left,47,44,left,blue,887,0
C49824,33,328374.0799999796,1,91,4195,blue,true,right,3,91,right,blue,713,0
C49824,34,331654.9999997951,0,0,4195,blue,false,left,60,14,left,blue,1160,0
C49824,35,335372.97499971464,1,84,4111,blue,true,left,54,84,left,blue,694,0
C49824,36,338637.4399997294,1,23,4088,blue,true,right,34,23,right,blue,1014,0
C49824,37,342209.9500000477,0,0,4088,blue,true,right,96,28,left,orange,443,0
C49824,38,345207.2600000538,1,83,4005,blue,false,right,83,94,left,orange,1048,0
C49824,39,348812.17999989167,0,0,4005,blue,true,left,63,86,right,orange,894,0
C49824,40,352256.9649997167,0,0,4005,blue,true,left,99,53,right,orange,2070,0
C49824,41,356878.73499980196,0,0,4005,blue,true,right,29,91,left,orange,1357,0
C49824,42,360787.0649998076,0,0,4005,blue,true,right,88,64,left,orange,922,0
C49824,43,364257.9149999656,1,70,3935,blue,true,right,84,70,right,blue,1041,0
C49824,44,367864.56999974325,0,0,3935,blue,false,left,61,88,left,blue,601,0
C49824,45,370999.805000145,0,0,3935,blue,true,right,61,43,left,orange,565,0
C49824,46,374090.52000008523,1,54,3881,blue,true,left,87,54,left,blue,1076,0
C49824,47,377694.1499998793,1,5,3876,blue,false,left,5,90,right,orange,601,0
C49824,48,384832.57999969646,0,0,3876,blue,true,right,71,44,left,orange,788,0
C49824,49,388144.7000000626,0,0,3876,blue,true,right,42,52,left,orange,724,0
