Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
C49996,1,215086.59999990463,0,0,5000,blue,true,left,44,37,right,orange,2163,0
C49996,2,219766,0,0,5000,blue,true,right,66,12,left,orange,2154,0
C49996,3,224438,0,0,5000,blue,true,left,98,9,right,orange,490,0
C49996,4,227463.29999995232,1,20,4980,blue,false,left,20,91,right,orange,497,0
C49996,5,230495.39999985695,1,8,4972,blue,true,right,28,8,right,blue,785,0
C49996,6,233811.19999980927,0,0,4972,blue,true,right,30,33,left,orange,483,0
C49996,7,236818.69999980927,0,0,4972,blue,true,right,27,24,left,orange,414,0
C49996,8,239765.79999995232,1,58,4914,blue,false,right,58,43,left,orange,439,0
C49996,9,242734.59999990463,1,47,4867,blue,true,right,72,47,right,blue,465,0
C49996,10,245725,1,44,4823,blue,false,right,44,44,left,orange,364,0
C49996,11,248617.29999995232,0,0,4823,blue,true,right,69,26,left,orange,715,0
C49996,12,251861.5,0,0,4823,blue,true,right,6,41,left,orange,482,0
C49996,13,254881.19999980927,0,0,4823,blue,true,right,88,34,left,orange,827,0
C49996,14,258238.5,1,73,4750,blue,false,left,73,18,right,orange,1792,0
C49996,15,262553.5,0,0,4750,blue,true,right,60,25,left,orange,940,0
C49996,16,266023.09999990463,0,0,4750,blue,true,left,68,6,right,orange,1105,0
C49996,17,269653.09999990463,1,48,4702,blue,false,right,48,39,left,orange,1241,0
C49996,18,273434.69999980927,0,0,4702,blue,true,left,35,76,right,orange,958,0
C49996,19,276916.7999999523,0,0,4702,blue,true,left,23,85,right,orange,661,0
C49996,20,280104,0,0,4702,blue,true,right,54,22,left,orange,1161,0
C49996,21,283800.7999999523,1,66,4636,blue,false,left,66,58,right,orange,713,0
C49996,22,287043.09999990463,0,0,4636,blue,true,left,98,41,right,orange,369,0
C49996,23,289943.19999980927,0,0,4636,blue,true,right,58,80,left,orange,371,0
C49996,24,292840.59999990463,0,0,4636,blue,true,left,32,85,right,orange,816,0
C49996,25,296189.39999985695,1,83,4553,blue,false,left,83,15,right,orange,481,0
C49996,26,299208.19999980927,0,0,4553,blue,true,left,18,16,right,orange,472,0
C49996,27,302213.59999990463,0,0,4553,blue,true,right,56,99,left,orange,865,0
C49996,28,305607.5,0,0,4553,blue,true,left,23,75,right,orange,594,0
C49996,29,308735,0,0,4553,blue,true,right,68,18,left,orange,2851,0
C49996,30,314114.2999999523,0,0,4553,blue,true,right,30,16,left,orange,547,0
C49996,31,317202,0,0,4553,blue,true,right,86,37,left,orange,585,0
C49996,32,320319.5,0,0,4553,blue,true,right,47,44,left,orange,574,0
C49996,33,323421.19999980927,1,91,4462,blue,true,left,3,91,left,blue,1223,0
C49996,34,327177.09999990463,0,0,4462,blue,false,left,60,14,left,blue,548,0
C49996,35,330249.7999999523,1,84,4378,blue,true,right,54,84,right,blue,688,0
