Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,2415086.5999999642,1,37,4963,blue,true,left,44,37,left,blue,1914,0
2,2419539.699999988,0,0,4963,blue,true,left,66,12,right,orange,1059,0
3,2423139.300000012,1,9,4954,blue,true,left,98,9,left,blue,709,0
4,2426405.199999988,1,20,4934,blue,false,right,20,91,left,orange,875,0
5,2429820.899999976,1,8,4926,blue,true,right,28,8,right,blue,750,0
6,2433120.5999999642,0,0,4926,blue,true,right,30,33,left,orange,1905,0
7,2437568.800000012,1,24,4902,blue,true,left,27,24,left,blue,2990,0
8,2443099.399999976,1,58,4844,blue,false,left,58,43,right,orange,1156,0
9,2446800.5,1,47,4797,blue,true,left,72,47,left,blue,1472,0
10,2450814.5,0,0,4797,blue,false,right,44,44,right,blue,1031,0
11,2454379.800000012,1,26,4771,blue,true,right,69,26,right,blue,860,0
12,2457778.300000012,0,0,4771,blue,true,left,6,41,right,orange,626,0
13,2460944.800000012,1,34,4737,blue,true,left,88,34,left,blue,2129,0
14,2465625.399999976,0,0,4737,blue,false,right,73,18,right,blue,621,0
15,2468791.800000012,1,25,4712,blue,true,right,60,25,right,blue,361,0
16,2471691.699999988,0,0,4712,blue,true,left,68,6,right,orange,252,0
17,2474490.199999988,0,0,4712,blue,false,left,48,39,left,blue,3244,0
18,2480274.0999999642,0,0,4712,blue,true,right,35,76,left,orange,834,0
19,2483637.699999988,0,0,4712,blue,true,left,23,85,right,orange,2472,0
20,2488654.399999976,1,22,4690,blue,true,left,54,22,left,blue,1249,0
21,2492449.0999999642,1,66,4624,blue,false,right,66,58,left,orange,314,0
22,2495301,1,41,4583,blue,true,right,98,41,right,blue,239,0
23,2498086.399999976,0,0,4583,blue,true,right,58,80,left,orange,470,0
24,2501099.800000012,0,0,4583,blue,true,left,32,85,right,orange,533,0
25,2504155.300000012,1,83,4500,blue,false,left,83,15,right,orange,413,0
26,2507112.300000012,1,16,4484,blue,true,left,18,16,left,blue,263,0
27,2509914,1,99,4385,blue,true,right,56,99,right,blue,54,0
28,2512513.5999999642,1,75,4310,blue,true,right,23,75,right,blue,378,0
29,2515445.199999988,1,18,4292,blue,true,right,68,18,right,blue,223,0
30,2518210.699999988,0,0,4292,blue,true,left,30,16,right,orange,401,0
31,2521160,0,0,4292,blue,true,right,86,37,left,orange,438,0
32,2524142.5,0,0,4292,blue,true,left,47,44,right,orange,426,0
33,2527104.800000012,0,0,4292,blue,true,left,3,91,right,orange,514,0
34,2530157.899999976,1,60,4232,blue,false,left,60,14,right,orange,384,0
35,2533090.399999976,1,84,4148,blue,true,left,54,84,left,blue,475,0
36,2536104.399999976,1,23,4125,blue,true,right,34,23,right,blue,458,0
37,2539105.300000012,0,0,4125,blue,true,right,96,28,left,orange,445,0
38,2542088.0999999642,1,83,4042,blue,false,left,83,94,right,orange,392,0
39,2545019.699999988,0,0,4042,blue,true,left,63,86,right,orange,508,0
40,2548069.699999988,1,53,3989,blue,true,right,99,53,right,blue,47,0
41,2550651.699999988,0,0,3989,blue,true,right,29,91,left,orange,299,0
42,2553484.800000012,1,64,3925,blue,true,left,88,64,left,blue,333,0
43,2556369.399999976,0,0,3925,blue,true,right,84,70,left,orange,421,0
44,2559332.5999999642,1,61,3864,blue,false,right,61,88,left,orange,257,0
45,2562131.399999976,0,0,3864,blue,true,left,61,43,right,orange,259,0
46,2564931.399999976,0,0,3864,blue,true,right,87,54,left,orange,342,0
47,2567818.300000012,1,5,3859,blue,false,right,5,90,left,orange,409,0
48,2574772.300000012,0,0,3859,blue,true,left,71,44,right,orange,1781,0
49,2579093.300000012,0,0,3859,blue,true,right,42,52,left,orange,918,0
50,2582558.899999976,0,0,3859,blue,true,left,39,93,right,orange,471,0
51,2585574.399999976,1,24,3835,blue,true,left,39,24,left,blue,855,0
52,2588972.800000012,1,20,3815,blue,false,left,20,10,right,orange,1095,0
53,2592605.5,0,0,3815,blue,false,right,85,43,right,blue,832,0
54,2595971.800000012,0,0,3815,blue,false,left,77,7,left,blue,370,0
55,2598871.199999988,1,90,3725,blue,true,left,95,90,left,blue,472,0
56,2601886,1,7,3718,blue,true,right,56,7,right,blue,1052,0
57,2605468.800000012,0,0,3718,blue,true,right,50,69,left,orange,469,0
58,2608470.800000012,0,0,3718,blue,true,left,4,83,right,orange,443,0
59,2611450.899999976,1,40,3678,blue,false,left,40,8,right,orange,1595,0
60,2615582.800000012,0,0,3678,blue,true,right,47,86,left,orange,534,0
61,2618648.899999976,1,49,3629,blue,true,left,15,49,left,blue,393,0
62,2621582.0999999642,0,0,3629,blue,true,left,17,39,right,orange,428,0
63,2624551.5999999642,1,76,3553,blue,false,left,76,97,right,orange,446,0
64,2627533.0999999642,1,14,3539,blue,true,right,73,14,right,blue,477,0
65,2630544.899999976,1,29,3510,blue,true,right,67,29,right,blue,445,0
66,2633527.899999976,1,39,3471,blue,true,left,48,39,left,blue,363,0
67,2636426.5,0,0,3471,blue,true,right,30,99,left,orange,354,0
68,2639326.399999976,1,13,3458,blue,false,left,13,20,right,orange,333,0
69,2642191.699999988,0,0,3458,blue,true,right,66,59,left,orange,278,0
70,2645007.300000012,1,60,3398,blue,true,left,20,60,left,blue,87,0
71,2647639.0999999642,0,0,3398,blue,true,right,41,25,left,orange,227,0
72,2650406.199999988,0,0,3398,blue,false,right,76,70,right,blue,282,0
73,2653220.699999988,1,73,3325,blue,false,right,73,18,left,orange,281,0
74,2656054.0999999642,0,0,3325,blue,false,right,41,80,right,blue,290,0
75,2658886.199999988,1,76,3249,blue,true,left,25,76,left,blue,1445,0
76,2662868.699999988,0,0,3249,blue,false,left,34,52,left,blue,623,0
77,2666034.899999976,0,0,3249,blue,false,right,30,60,right,blue,999,0
78,2669567.300000012,1,91,3158,blue,false,right,91,36,left,orange,541,0
79,2672649.800000012,0,0,3158,blue,false,left,70,59,left,blue,557,0
80,2675748,1,47,3111,blue,true,left,64,47,left,blue,511,0
81,2678800.5999999642,1,28,3083,blue,false,right,28,44,left,orange,412,0
82,2681746,0,0,3083,blue,false,right,2,80,right,blue,263,0
83,2684549.5,0,0,3083,blue,false,right,20,39,right,blue,243,0
84,2687318.899999976,0,0,3083,blue,false,left,32,61,left,blue,519,0
85,2690378,0,0,3083,blue,false,right,90,61,right,blue,436,0
86,2693360,0,0,3083,blue,true,right,62,70,left,orange,1151,0
