Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,180473.1000000001,1,37,4963,blue,true,left,44,37,left,blue,1820,0
2,184874.80000000028,1,12,4951,blue,true,left,66,12,left,blue,1004,0
3,188469,0,0,4951,blue,true,left,98,9,right,orange,340,0
4,191385.90000000037,1,20,4931,blue,false,right,20,91,left,orange,416,0
5,194368.6000000001,0,0,4931,blue,true,right,28,8,left,orange,442,0
6,197357.80000000028,0,0,4931,blue,true,left,30,33,right,orange,516,0
7,200457.80000000028,0,0,4931,blue,true,right,27,24,left,orange,429,0
8,203449.2000000002,1,58,4873,blue,false,right,58,43,left,orange,571,0
9,206585.90000000037,0,0,4873,blue,true,right,72,47,left,orange,452,0
10,209591.80000000028,1,44,4829,blue,false,right,44,44,left,orange,448,0
11,212622.2000000002,0,0,4829,blue,true,left,69,26,right,orange,567,0
12,215730.1000000001,0,0,4829,blue,true,right,6,41,left,orange,562,0
13,218847.7000000002,1,34,4795,blue,true,right,88,34,right,blue,1374,0
14,222792.6000000001,0,0,4795,blue,false,right,73,18,right,blue,1568,0
15,226916.80000000028,0,0,4795,blue,true,left,60,25,right,orange,1530,0
16,230994.1000000001,1,6,4789,blue,true,right,68,6,right,blue,686,0
17,234252.30000000028,0,0,4789,blue,false,right,48,39,right,blue,790,0
18,237601.7000000002,0,0,4789,blue,true,right,35,76,left,orange,1099,0
19,241269.1000000001,0,0,4789,blue,true,left,23,85,right,orange,838,0
20,244658.80000000028,1,22,4767,blue,true,left,54,22,left,blue,716,0
21,247945.2000000002,1,66,4701,blue,false,left,66,58,right,orange,997,0
22,251506.30000000028,1,41,4660,blue,true,left,98,41,left,blue,970,0
23,255022.6000000001,0,0,4660,blue,true,left,58,80,right,orange,1827,0
24,259409.5,0,0,4660,blue,true,right,32,85,left,orange,1886,0
25,263848.7000000002,1,83,4577,blue,false,left,83,15,right,orange,2514,0
26,268924.3000000003,0,0,4577,blue,true,right,18,16,left,orange,573,0
27,272067,0,0,4577,blue,true,left,56,99,right,orange,990,0
28,275609.4000000004,0,0,4577,blue,true,right,23,75,left,orange,627,0
29,278784.1000000001,0,0,4577,blue,true,right,68,18,left,orange,666,0
30,282016.7000000002,0,0,4577,blue,true,left,30,16,right,orange,924,0
31,285494.5,0,0,4577,blue,true,left,86,37,right,orange,1225,0
32,289273.3000000003,0,0,4577,blue,true,left,47,44,right,orange,484,0
33,292299.3000000003,0,0,4577,blue,true,left,3,91,right,orange,364,0
34,295214.7000000002,1,60,4517,blue,false,left,60,14,right,orange,1639,0
35,299425.8000000003,0,0,4517,blue,true,right,54,84,left,orange,747,0
36,302730.5,0,0,4517,blue,true,left,34,23,right,orange,412,0
37,305698.1000000001,0,0,4517,blue,true,right,96,28,left,orange,1389,0
38,309639,1,83,4434,blue,false,right,83,94,left,orange,672,0
39,312871.4000000004,0,0,4434,blue,true,right,63,86,left,orange,1766,0
40,317193.8000000003,1,53,4381,blue,true,right,99,53,right,blue,1175,0
41,320925.6000000001,0,0,4381,blue,true,left,29,91,right,orange,469,0
42,323947.9000000004,0,0,4381,blue,true,right,88,64,left,orange,2075,0
43,328573.5,0,0,4381,blue,true,left,84,70,right,orange,2225,0
44,333350.7000000002,1,61,4320,blue,false,left,61,88,right,orange,1177,0
45,337092.9000000004,0,0,4320,blue,true,right,61,43,left,orange,524,0
46,340182.6000000001,0,0,4320,blue,true,left,87,54,right,orange,687,0
47,343428.9000000004,1,5,4315,blue,false,right,5,90,left,orange,1133,0
48,351130.3000000003,0,0,4315,blue,true,right,71,44,left,orange,1982,0
