Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,237384.59999999404,1,10,4990,blue,true,right,23,10,right,blue,2202,0
2,242108.79999998212,0,0,4990,blue,true,right,45,97,left,orange,1148,0
3,245775,0,0,4990,blue,true,right,54,62,left,orange,1138,0
4,249432.19999998808,0,0,4990,blue,false,left,99,16,left,blue,1271,0
5,253223.09999999404,1,40,4950,blue,true,left,72,40,left,blue,1211,0
6,256959.5,0,0,4950,blue,true,right,98,88,left,orange,900,0
7,260373.79999998212,0,0,4950,blue,true,left,6,54,right,orange,744,0
8,263639.6999999881,0,0,4950,blue,true,left,64,55,right,orange,636,0
9,266794.39999997616,1,96,4854,blue,false,left,96,45,right,orange,470,0
10,269788.1999999881,0,0,4854,blue,true,right,28,19,left,orange,541,0
11,272849.89999997616,0,0,4854,blue,true,right,95,26,left,orange,585,0
12,275956.39999997616,0,0,4854,blue,true,left,90,29,right,orange,432,0
13,278905.59999999404,0,0,4854,blue,true,right,20,53,left,orange,903,0
14,282329.7999999821,0,0,4854,blue,true,left,74,56,right,orange,1034,0
15,285888,0,0,4854,blue,true,right,18,42,left,orange,646,0
16,289050.2999999821,0,0,4854,blue,true,right,11,91,left,orange,471,0
17,292035.1999999881,1,32,4822,blue,false,right,32,31,left,orange,422,0
18,294979.89999997616,0,0,4822,blue,true,right,36,65,left,orange,445,0
19,297944.39999997616,1,40,4782,blue,false,left,40,30,right,orange,478,0
20,300944.7999999821,0,0,4782,blue,true,right,29,26,left,orange,438,0
21,303901.09999999404,1,32,4750,blue,false,left,32,36,right,orange,592,0
22,307012.6999999881,0,0,4750,blue,true,right,72,81,left,orange,677,0
23,310208.1999999881,1,95,4655,blue,false,left,95,54,right,orange,529,0
24,313261.59999999404,1,40,4615,blue,false,right,40,59,left,orange,696,0
25,316482.89999997616,0,0,4615,blue,false,right,29,24,right,blue,530,0
26,319534.5,0,0,4615,blue,false,left,60,51,left,blue,595,0
27,322644.89999997616,0,0,4615,blue,false,left,83,65,left,blue,406,0
28,325573.2999999821,1,98,4517,blue,true,right,78,98,right,blue,626,0
29,328721.89999997616,0,0,4517,blue,false,right,56,51,right,blue,489,0
30,331730.89999997616,0,0,4517,blue,false,left,5,20,left,blue,1072,0
31,335323.59999999404,0,0,4517,blue,false,right,67,2,right,blue,524,0
32,338362.5,0,0,4517,blue,false,left,85,84,left,blue,1107,0
33,341983.7999999821,1,49,4468,blue,true,right,7,49,right,blue,427,0
34,344934.59999999404,0,0,4468,blue,false,left,37,47,left,blue,875,0
35,348328.2999999821,1,27,4441,blue,false,right,27,91,left,orange,1079,0
36,351932.2999999821,0,0,4441,blue,false,left,44,42,left,blue,576,0
37,355022.89999997616,1,55,4386,blue,true,right,31,55,right,blue,717,0
38,358259.59999999404,0,0,4386,blue,false,right,97,70,right,blue,922,0
39,361699.89999997616,0,0,4386,blue,false,right,14,9,right,blue,595,0
40,364807.5,1,51,4335,blue,true,right,23,51,right,blue,1036,0
41,368363.2999999821,1,79,4256,blue,true,right,89,79,right,blue,1056,0
42,371940.89999997616,0,0,4256,blue,true,left,83,86,right,orange,506,0
43,374963.39999997616,0,0,4256,blue,true,right,40,62,left,orange,822,0
44,378307.09999999404,0,0,4256,blue,true,right,36,23,left,orange,981,0
45,381810.39999997616,0,0,4256,blue,true,right,65,61,left,orange,635,0
46,384966.2999999821,0,0,4256,blue,true,left,74,67,right,orange,483,0
47,387969.39999997616,0,0,4256,blue,true,left,73,41,right,orange,1351,0
48,395838.09999999404,0,0,4256,blue,false,right,96,54,right,blue,1283,0
49,399637.2999999821,1,88,4168,blue,true,left,86,88,left,blue,443,0
50,402600.7999999821,1,66,4102,blue,true,right,43,66,right,blue,435,0
51,405555.1999999881,0,0,4102,blue,true,left,72,79,right,orange,434,0
52,408506.09999999404,1,71,4031,blue,false,left,71,13,right,orange,424,0
53,411456.1999999881,0,0,4031,blue,true,right,78,53,left,orange,748,0
54,414722.89999997616,0,0,4031,blue,true,left,57,90,right,orange,437,0
55,417676.89999997616,1,3,4028,blue,false,right,3,12,left,orange,1063,0
56,421261.5,0,0,4028,blue,true,right,2,64,left,orange,1223,0
57,425008.6999999881,1,9,4019,blue,true,right,99,9,right,blue,1192,0
58,428720.5,0,0,4019,blue,true,left,21,42,right,orange,910,0
59,432150.39999997616,0,0,4019,blue,true,right,83,72,left,orange,429,0
60,435099.59999999404,0,0,4019,blue,true,right,37,11,left,orange,632,0
61,438249.6999999881,1,67,3952,blue,false,right,67,81,left,orange,438,0
62,441215.09999999404,0,0,3952,blue,true,right,12,14,left,orange,381,0
63,444110.7999999821,1,78,3874,blue,false,left,78,90,right,orange,452,0
64,447081.2999999821,1,46,3828,blue,false,left,46,53,right,orange,565,0
65,450167.5,1,30,3798,blue,false,left,30,42,right,orange,489,0
66,453174.59999999404,0,0,3798,blue,false,right,36,65,right,blue,642,0
67,456336.09999999404,0,0,3798,blue,false,right,49,49,right,blue,582,0
68,459438.7999999821,0,0,3798,blue,false,right,44,10,right,blue,440,0
69,462395.59999999404,0,0,3798,blue,false,left,70,64,left,blue,722,0
70,465632.6999999881,0,0,3798,blue,false,left,68,95,left,blue,752,0
71,468904.59999999404,0,0,3798,blue,false,left,38,46,left,blue,846,0
72,472263.7999999821,0,0,3798,blue,false,right,18,24,right,blue,514,0
73,475294,0,0,3798,blue,false,right,82,78,right,blue,528,0
