Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,232835.5,1,10,4990,blue,true,left,23,10,left,blue,853,0
2,236234.09999999404,0,0,4990,blue,true,left,45,97,right,orange,759,0
3,239533,0,0,4990,blue,true,left,54,62,right,orange,1100,0
4,243164.40000000596,0,0,4990,blue,false,left,99,16,left,blue,896,0
5,246603.09999999404,1,40,4950,blue,true,left,72,40,left,blue,945,0
6,250093.59999999404,1,88,4862,blue,true,right,98,88,right,blue,780,0
7,253408.20000000298,0,0,4862,blue,true,right,6,54,left,orange,842,0
8,256794.79999999702,1,55,4807,blue,true,left,64,55,left,blue,2007,0
9,261342.29999999702,0,0,4807,blue,false,left,96,45,left,blue,1249,0
10,265121.90000000596,0,0,4807,blue,true,left,28,19,right,orange,853,0
11,268507.700000003,1,26,4781,blue,true,right,95,26,right,blue,1547,0
12,272595.799999997,1,29,4752,blue,true,left,90,29,left,blue,1583,0
13,276717.700000003,0,0,4752,blue,true,left,20,53,right,orange,646,0
14,279901.299999997,0,0,4752,blue,true,right,74,56,left,orange,1103,0
15,283534.90000000596,0,0,4752,blue,true,left,18,42,right,orange,698,0
16,286755.90000000596,0,0,4752,blue,true,right,11,91,left,orange,654,0
17,289941.09999999404,1,32,4720,blue,false,right,32,31,left,orange,668,0
18,293157.5,0,0,4720,blue,true,left,36,65,right,orange,671,0
19,296355.40000000596,1,40,4680,blue,false,left,40,30,right,orange,844,0
20,299743.59999999404,0,0,4680,blue,true,right,29,26,left,orange,834,0
21,303111.59999999404,1,32,4648,blue,false,right,32,36,left,orange,741,0
22,306391.700000003,1,81,4567,blue,true,right,72,81,right,blue,1251,0
23,310190.5,1,95,4472,blue,false,right,95,54,left,orange,1050,0
24,313771.90000000596,1,40,4432,blue,false,left,40,59,right,orange,1040,0
25,317359.799999997,0,0,4432,blue,false,right,29,24,right,blue,756,0
26,320641.40000000596,0,0,4432,blue,false,right,60,51,right,blue,704,0
27,323884.700000003,0,0,4432,blue,false,right,83,65,right,blue,855,0
28,327283.5,1,98,4334,blue,true,right,78,98,right,blue,940,0
29,330777.90000000596,0,0,4334,blue,false,left,56,51,left,blue,856,0
30,334156.40000000596,1,5,4329,blue,false,right,5,20,left,orange,907,0
31,337601.90000000596,0,0,4329,blue,false,right,67,2,right,blue,1005,0
32,341146.799999997,0,0,4329,blue,false,right,85,84,right,blue,909,0
33,344594.799999997,1,49,4280,blue,true,left,7,49,left,blue,1167,0
34,348300,0,0,4280,blue,false,right,37,47,right,blue,1128,0
35,351959.200000003,1,27,4253,blue,false,right,27,91,left,orange,860,0
36,355363.5,0,0,4253,blue,false,right,44,42,right,blue,1157,0
37,359058.700000003,1,55,4198,blue,true,left,31,55,left,blue,1306,0
38,362904.90000000596,0,0,4198,blue,false,left,97,70,left,blue,860,0
39,366303.90000000596,0,0,4198,blue,false,left,14,9,left,blue,565,0
40,369414.200000003,1,51,4147,blue,true,right,23,51,right,blue,889,0
41,372831.09999999404,1,79,4068,blue,true,right,89,79,right,blue,844,0
42,376199.09999999404,0,0,4068,blue,true,left,83,86,right,orange,1070,0
43,379791.299999997,0,0,4068,blue,true,right,40,62,left,orange,645,0
44,382965.09999999404,0,0,4068,blue,true,left,36,23,right,orange,636,0
45,386142.200000003,0,0,4068,blue,true,left,65,61,right,orange,780,0
46,389454.5,0,0,4068,blue,true,right,74,67,left,orange,789,0
47,392779.700000003,1,41,4027,blue,true,left,73,41,left,blue,1009,0
48,400342.59999999404,0,0,4027,blue,false,right,96,54,right,blue,1357,0
49,404240.799999997,1,88,3939,blue,true,left,86,88,left,blue,748,0
50,407530.700000003,0,0,3939,blue,true,right,43,66,left,orange,979,0
51,411036.799999997,0,0,3939,blue,true,right,72,79,left,orange,666,0
52,414238.59999999404,0,0,3939,blue,false,right,71,13,right,blue,880,0
53,417646.200000003,1,53,3886,blue,true,left,78,53,left,blue,693,0
54,420870.59999999404,0,0,3886,blue,true,right,57,90,left,orange,889,0
55,424292.200000003,1,3,3883,blue,false,left,3,12,right,orange,636,0
56,427465.5,0,0,3883,blue,true,left,2,64,right,orange,461,0
57,430466,0,0,3883,blue,true,right,99,9,left,orange,887,0
58,433882.200000003,0,0,3883,blue,true,left,21,42,right,orange,985,0
59,437388.799999997,0,0,3883,blue,true,right,83,72,left,orange,1284,0
60,441194.90000000596,1,11,3872,blue,true,right,37,11,right,blue,1206,0
61,444943.5,1,67,3805,blue,false,right,67,81,left,orange,928,0
62,448409.799999997,0,0,3805,blue,true,left,12,14,right,orange,924,0
63,451862.5,1,78,3727,blue,false,right,78,90,left,orange,790,0
64,455192.90000000596,1,46,3681,blue,false,right,46,53,left,orange,879,0
65,458613.5,0,0,3681,blue,false,left,30,42,left,blue,863,0
66,462005.09999999404,0,0,3681,blue,false,left,36,65,left,blue,939,0
67,465479.09999999404,0,0,3681,blue,false,left,49,49,left,blue,727,0
68,468753.09999999404,0,0,3681,blue,false,right,44,10,right,blue,581,0
69,471870.299999997,0,0,3681,blue,false,left,70,64,left,blue,565,0
70,474959.799999997,0,0,3681,blue,false,left,68,95,left,blue,888,0
71,478384.09999999404,0,0,3681,blue,false,right,38,46,right,blue,1061,0
72,481984,0,0,3681,blue,false,left,18,24,left,blue,675,0
73,485201.299999997,0,0,3681,blue,false,right,82,78,right,blue,616,0
74,488346.5,0,0,3681,blue,false,left,59,54,left,blue,832,0
75,491714.59999999404,0,0,3681,blue,false,right,36,33,right,blue,775,0
76,495027.59999999404,1,56,3625,blue,true,right,49,56,right,blue,633,0
77,498200,1,26,3599,blue,false,right,26,83,left,orange,755,0
78,501491.799999997,1,38,3561,blue,false,left,38,81,right,orange,1183,0
79,505227.799999997,0,0,3561,blue,false,right,12,3,right,blue,666,0
80,508424.200000003,0,0,3561,blue,false,left,62,38,left,blue,652,0
81,511613.799999997,0,0,3561,blue,false,left,43,50,left,blue,611,0
82,514775,0,0,3561,blue,false,left,50,47,left,blue,655,0
83,517960.299999997,1,35,3526,blue,true,left,41,35,left,blue,779,0
84,521302,1,9,3517,blue,false,right,9,62,left,orange,868,0
85,524717.5,0,0,3517,blue,false,right,60,58,right,blue,684,0
86,527942,0,0,3517,blue,false,right,88,31,right,blue,971,0
87,531450.5,0,0,3517,blue,false,left,56,44,left,blue,685,0
88,534680.700000003,1,15,3502,blue,true,left,31,15,left,blue,638,0
89,537848.5,0,0,3502,blue,false,left,90,31,left,blue,714,0
90,541096.900000006,0,0,3502,blue,false,right,80,76,right,blue,637,0
91,544277.299999997,0,0,3502,blue,false,right,78,4,right,blue,446,0
92,547260.700000003,0,0,3502,blue,false,right,60,28,right,blue,581,0
93,550374.5,0,0,3502,blue,true,right,56,99,left,orange,1498,0
94,558411.700000003,0,0,3502,blue,false,left,31,45,left,blue,1256,0
95,562205,0,0,3502,blue,false,left,55,16,left,blue,498,0
96,565241.299999997,0,0,3502,blue,true,right,12,89,left,orange,929,0
97,568703.599999994,0,0,3502,blue,false,left,49,4,left,blue,471,0
98,571722.900000006,0,0,3502,blue,false,right,69,12,right,blue,588,0
99,574836.799999997,1,26,3476,blue,true,right,49,26,right,blue,725,0
100,578100,0,0,3476,blue,false,right,75,76,right,blue,830,0
101,581466.599999994,1,22,3454,blue,false,right,22,90,left,orange,773,0
102,584781.099999994,1,23,3431,blue,true,left,26,23,left,blue,1466,0
103,588786.099999994,1,11,3420,blue,false,right,11,68,left,orange,743,0
104,592061.5,1,82,3338,blue,true,right,71,82,right,blue,718,0
105,595332.299999997,1,86,3252,blue,false,right,86,95,left,orange,740,0
106,598616.599999994,1,79,3173,blue,false,left,79,88,right,orange,1002,0
107,602157.599999994,0,0,3173,blue,false,right,75,40,right,blue,786,0
108,605476.400000006,1,11,3162,blue,false,left,11,94,right,orange,1138,0
109,609142.700000003,1,44,3118,blue,true,right,53,44,right,blue,975,0
110,612656.799999997,0,0,3118,blue,false,left,85,17,left,blue,649,0
111,615839.799999997,1,32,3086,blue,true,right,85,32,right,blue,666,0
112,619037.700000003,1,38,3048,blue,false,right,38,68,left,orange,1079,0
113,622651.299999997,1,28,3020,blue,false,right,28,93,left,orange,862,0
114,626073.5,1,13,3007,blue,false,left,13,95,right,orange,954,0
115,629566,0,0,3007,blue,false,right,69,60,right,blue,869,0
116,632982,1,95,2912,blue,true,left,56,95,left,blue,586,0
117,636112.799999997,1,2,2910,blue,false,right,2,41,left,orange,656,0
118,639312.900000006,0,0,2910,blue,false,right,42,5,right,blue,596,0
119,642444.299999997,0,0,2910,blue,false,right,44,30,right,blue,562,0
120,645536.200000003,0,0,2910,blue,false,right,79,4,right,blue,475,0
121,648545.099999994,1,83,2827,blue,false,left,83,87,right,orange,1086,0
122,652174.400000006,0,0,2827,blue,false,right,59,44,right,blue,812,0
123,655523.900000006,1,10,2817,blue,true,left,15,10,left,blue,805,0
124,658863.900000006,0,0,2817,blue,false,left,60,15,left,blue,505,0
125,661904.799999997,0,0,2817,blue,false,left,73,25,left,blue,588,0
126,665020.099999994,0,0,2817,blue,false,left,43,23,left,blue,433,0
127,667984.900000006,0,0,2817,blue,false,right,22,87,right,blue,620,0
128,671151.400000006,1,77,2740,blue,true,left,27,77,left,blue,1211,0
