Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,245952,1,10,4990,blue,true,left,23,10,left,blue,1127,0
2,249626.5,0,0,4990,blue,true,right,45,97,left,orange,780,0
3,252939.79999998212,0,0,4990,blue,true,right,54,62,left,orange,697,0
4,256175,0,0,4990,blue,false,left,99,16,left,blue,1264,0
5,259972.69999998808,0,0,4990,blue,true,left,72,40,right,orange,1471,0
6,263973.5,0,0,4990,blue,true,left,98,88,right,orange,1158,0
7,267662,0,0,4990,blue,true,right,6,54,left,orange,711,0
8,270897.59999999404,0,0,4990,blue,true,right,64,55,left,orange,738,0
9,274148.1999999881,0,0,4990,blue,false,left,96,45,left,blue,989,0
10,277663,0,0,4990,blue,true,right,28,19,left,orange,651,0
11,280851.5,1,26,4964,blue,true,left,95,26,left,blue,1145,0
12,284539.7999999821,1,29,4935,blue,true,left,90,29,left,blue,922,0
13,287979.6999999881,0,0,4935,blue,true,right,20,53,left,orange,645,0
14,291150.39999997616,0,0,4935,blue,true,right,74,56,left,orange,696,0
15,294385.6999999881,0,0,4935,blue,true,right,18,42,left,orange,546,0
16,297464.39999997616,0,0,4935,blue,true,left,11,91,right,orange,613,0
17,300605.6999999881,1,32,4903,blue,false,left,32,31,right,orange,671,0
18,303809.2999999821,0,0,4903,blue,true,right,36,65,left,orange,900,0
19,307231.6999999881,1,40,4863,blue,false,left,40,30,right,orange,533,0
20,310294.7999999821,1,26,4837,blue,true,left,29,26,left,blue,1172,0
21,313998.7999999821,0,0,4837,blue,false,left,32,36,left,blue,583,0
22,317108.7999999821,1,81,4756,blue,true,left,72,81,left,blue,1145,0
23,320797.09999999404,1,95,4661,blue,false,left,95,54,right,orange,1262,0
24,324594.2999999821,1,40,4621,blue,false,right,40,59,left,orange,732,0
25,327861.1999999881,1,29,4592,blue,false,right,29,24,left,orange,480,0
26,330864.09999999404,0,0,4592,blue,false,right,60,51,right,blue,780,0
27,334174.89999997616,0,0,4592,blue,false,left,83,65,left,blue,715,0
28,337425.89999997616,1,98,4494,blue,true,right,78,98,right,blue,1012,0
29,340972.89999997616,0,0,4494,blue,false,left,56,51,left,blue,918,0
30,344427.59999999404,1,5,4489,blue,false,right,5,20,left,orange,825,0
31,347787.39999997616,0,0,4489,blue,false,left,67,2,left,blue,522,0
32,350834.5,0,0,4489,blue,false,left,85,84,left,blue,1119,0
33,354491.59999999404,1,49,4440,blue,true,left,7,49,left,blue,1480,0
34,358523.6999999881,0,0,4440,blue,false,right,37,47,right,blue,689,0
35,361743.2999999821,0,0,4440,blue,false,left,27,91,left,blue,521,0
36,364790.5,0,0,4440,blue,false,right,44,42,right,blue,769,0
37,368088,0,0,4440,blue,true,left,31,55,right,orange,922,0
38,371542.1999999881,0,0,4440,blue,false,left,97,70,left,blue,1430,0
39,375497.6999999881,0,0,4440,blue,false,left,14,9,left,blue,703,0
40,378733.59999999404,1,51,4389,blue,true,right,23,51,right,blue,866,0
41,382138.89999997616,1,79,4310,blue,true,left,89,79,left,blue,1196,0
42,385857.39999997616,0,0,4310,blue,true,left,83,86,right,orange,2154,0
43,390545.2999999821,0,0,4310,blue,true,right,40,62,left,orange,529,0
44,393609,0,0,4310,blue,true,right,36,23,left,orange,546,0
45,396687.2999999821,1,61,4249,blue,true,right,65,61,right,blue,1142,0
46,400345.1999999881,1,67,4182,blue,true,left,74,67,left,blue,1390,0
47,404267.59999999404,1,41,4141,blue,true,right,73,41,right,blue,652,0
48,411456.1999999881,0,0,4141,blue,false,right,96,54,right,blue,1359,0
49,415347.89999997616,1,88,4053,blue,true,left,86,88,left,blue,659,0
50,418536.2999999821,0,0,4053,blue,true,left,43,66,right,orange,781,0
51,421849.1999999881,0,0,4053,blue,true,right,72,79,left,orange,796,0
52,425178,1,71,3982,blue,false,left,71,13,right,orange,587,0
53,428287.59999999404,1,53,3929,blue,true,left,78,53,left,blue,1864,0
54,432680.7999999821,0,0,3929,blue,true,left,57,90,right,orange,620,0
55,435836.1999999881,1,3,3926,blue,false,left,3,12,right,orange,538,0
56,438915,0,0,3926,blue,true,right,2,64,left,orange,527,0
57,441978.2999999821,1,9,3917,blue,true,left,99,9,left,blue,1044,0
58,445556.6999999881,0,0,3917,blue,true,left,21,42,right,orange,730,0
59,448823.39999997616,0,0,3917,blue,true,left,83,72,right,orange,746,0
60,452105.5,0,0,3917,blue,true,left,37,11,right,orange,1342,0
61,455981.09999999404,1,67,3850,blue,false,left,67,81,right,orange,857,0
62,459372.1999999881,0,0,3850,blue,true,right,12,14,left,orange,537,0
63,462421.2999999821,1,78,3772,blue,false,right,78,90,left,orange,852,0
64,465810.7999999821,1,46,3726,blue,false,left,46,53,right,orange,724,0
65,469061.89999997616,0,0,3726,blue,false,right,30,42,right,blue,634,0
66,472219.59999999404,0,0,3726,blue,false,right,36,65,right,blue,713,0
67,475469.59999999404,0,0,3726,blue,false,left,49,49,left,blue,891,0
68,478892.39999997616,0,0,3726,blue,false,left,44,10,left,blue,596,0
69,482017.2999999821,0,0,3726,blue,false,left,70,64,left,blue,789,0
70,485346.59999999404,0,0,3726,blue,false,left,68,95,left,blue,773,0
71,488645.5,1,38,3688,blue,false,right,38,46,left,orange,981,0
72,492160.39999997616,0,0,3688,blue,false,left,18,24,left,blue,672,0
73,495363.89999997616,0,0,3688,blue,false,right,82,78,right,blue,818,0
74,498708.59999999404,0,0,3688,blue,false,right,59,54,right,blue,891,0
75,502131.2999999821,0,0,3688,blue,false,left,36,33,left,blue,523,0
76,505178.2999999821,0,0,3688,blue,true,left,49,56,right,orange,1093,0
77,508804.2999999821,1,26,3662,blue,false,left,26,83,right,orange,733,0
78,512070.59999999404,1,38,3624,blue,false,right,38,81,left,orange,975,0
79,515586.5,0,0,3624,blue,false,right,12,3,right,blue,848,0
80,518963,0,0,3624,blue,false,left,62,38,left,blue,650,0
81,522150.7999999821,0,0,3624,blue,false,right,43,50,right,blue,720,0
82,525401.3999999762,0,0,3624,blue,false,left,50,47,left,blue,611,0
83,528543,1,35,3589,blue,true,right,41,35,right,blue,554,0
84,531637,0,0,3589,blue,false,left,9,62,left,blue,1035,0
85,535200.6999999881,0,0,3589,blue,false,right,60,58,right,blue,631,0
86,538372.8999999762,0,0,3589,blue,false,right,88,31,right,blue,545,0
87,541451.599999994,0,0,3589,blue,false,left,56,44,left,blue,580,0
88,544561.7999999821,1,15,3574,blue,true,right,31,15,right,blue,580,0
89,547671.1999999881,0,0,3574,blue,false,right,90,31,right,blue,462,0
90,550671.7999999821,0,0,3574,blue,false,right,80,76,right,blue,429,0
91,553626,0,0,3574,blue,false,right,78,4,right,blue,548,0
92,556704.7999999821,0,0,3574,blue,false,left,60,28,left,blue,579,0
93,559814.6999999881,0,0,3574,blue,true,right,56,99,left,orange,1109,0
94,567457,1,31,3543,blue,false,right,31,45,left,orange,737,0
95,570738.7999999821,0,0,3543,blue,false,right,55,16,right,blue,791,0
96,574067.599999994,1,89,3454,blue,true,right,12,89,right,blue,941,0
97,577537,0,0,3454,blue,false,left,49,4,left,blue,567,0
98,580631.599999994,0,0,3454,blue,false,right,69,12,right,blue,631,0
99,583790.599999994,1,26,3428,blue,true,left,49,26,left,blue,484,0
100,586804.1999999881,0,0,3428,blue,false,left,75,76,left,blue,1037,0
101,590370.7999999821,0,0,3428,blue,false,right,22,90,right,blue,500,0
102,593399.599999994,1,23,3405,blue,true,left,26,23,left,blue,536,0
103,596478.1999999881,0,0,3405,blue,false,right,11,68,right,blue,994,0
104,599994.7999999821,0,0,3405,blue,true,left,71,82,right,orange,1352,0
105,603886.3999999762,0,0,3405,blue,false,right,86,95,right,blue,1248,0
106,607668,1,79,3326,blue,false,right,79,88,left,orange,949,0
107,611153.2999999821,0,0,3326,blue,false,right,75,40,right,blue,974,0
108,614654,0,0,3326,blue,false,right,11,94,right,blue,1073,0
109,618249.5,1,44,3282,blue,true,left,53,44,left,blue,796,0
110,621577.5,0,0,3282,blue,false,left,85,17,left,blue,534,0
111,624640.8999999762,1,32,3250,blue,true,right,85,32,right,blue,679,0
112,627859.6999999881,0,0,3250,blue,false,left,38,68,left,blue,797,0
113,631188.599999994,1,28,3222,blue,false,right,28,93,left,orange,713,0
114,634438.7999999821,1,13,3209,blue,false,right,13,95,left,orange,847,0
115,637830.5,0,0,3209,blue,false,right,69,60,right,blue,699,0
116,641065.8999999762,1,95,3114,blue,true,right,56,95,right,blue,533,0
117,644128.599999994,0,0,3114,blue,false,left,2,41,left,blue,607,0
118,647269.8999999762,0,0,3114,blue,false,left,42,5,left,blue,768,0
119,650556.6999999881,0,0,3114,blue,false,left,44,30,left,blue,708,0
120,653788.599999994,0,0,3114,blue,false,left,79,4,left,blue,502,0
121,656805.2999999821,0,0,3114,blue,false,left,83,87,left,blue,1179,0
122,660510.8999999762,0,0,3114,blue,false,right,59,44,right,blue,678,0
123,663726.3999999762,1,10,3104,blue,true,left,15,10,left,blue,700,0
124,666961.599999994,0,0,3104,blue,false,left,60,15,left,blue,542,0
125,670040.1999999881,0,0,3104,blue,false,right,73,25,right,blue,481,0
126,673056.599999994,0,0,3104,blue,false,right,43,23,right,blue,645,0
127,676230.599999994,1,22,3082,blue,false,left,22,87,right,orange,1668,0
128,680433.1999999881,1,77,3005,blue,true,right,27,77,right,blue,585,0
129,683558.6999999881,0,0,3005,blue,false,left,99,35,left,blue,709,0
130,686793.599999994,1,39,2966,blue,true,right,49,39,right,blue,568,0
131,689888.7999999821,0,0,2966,blue,false,left,83,60,left,blue,946,0
132,693373.2999999821,1,54,2912,blue,true,left,61,54,left,blue,856,0
133,696764.3999999762,0,0,2912,blue,false,left,82,34,left,blue,575,0
134,699875.8999999762,0,0,2912,blue,false,right,96,86,right,blue,998,0
135,703407,0,0,2912,blue,false,right,65,27,right,blue,701,0
136,706641.8999999762,0,0,2912,blue,false,right,63,93,right,blue,636,0
137,709814.3999999762,0,0,2912,blue,false,left,65,40,left,blue,1041,0
138,713394.8999999762,1,7,2905,blue,false,left,7,69,right,orange,820,0
139,716752.6999999881,1,28,2877,blue,true,right,94,28,right,blue,886,0
140,720175.3999999762,0,0,2877,blue,false,left,90,4,left,blue,573,0
