Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,176757.40000009537,1,10,4990,blue,true,left,23,10,left,blue,1339,0
2,180634,0,0,4990,blue,true,right,45,97,left,orange,1226,0
3,184398,0,0,4990,blue,true,left,54,62,right,orange,1851,0
4,188790.29999995232,0,0,4990,blue,false,left,99,16,left,blue,1387,0
5,192711.60000014305,1,40,4950,blue,true,right,72,40,right,blue,1906,0
6,197146.79999995232,0,0,4950,blue,true,right,98,88,left,orange,1932,0
7,201600.90000009537,0,0,4950,blue,true,right,6,54,left,orange,1478,0
8,205628.79999995232,0,0,4950,blue,true,left,64,55,right,orange,1686,0
9,209868.29999995232,0,0,4950,blue,false,left,96,45,left,blue,1940,0
10,219867.20000004768,1,19,4931,blue,true,left,28,19,left,blue,2106,1
11,224524.90000009537,1,26,4905,blue,true,right,95,26,right,blue,1278,0
12,228354.29999995232,1,29,4876,blue,true,right,90,29,right,blue,1615,0
13,232513.60000014305,0,0,4876,blue,true,left,20,53,right,orange,637,0
14,235686.5,0,0,4876,blue,true,right,74,56,left,orange,946,0
15,239177.79999995232,0,0,4876,blue,true,right,18,42,left,orange,1122,0
16,242821.40000009537,0,0,4876,blue,true,left,11,91,right,orange,625,0
17,245971.10000014305,1,32,4844,blue,false,right,32,31,left,orange,571,0
18,249102.29999995232,0,0,4844,blue,true,left,36,65,right,orange,614,0
19,252244.10000014305,1,40,4804,blue,false,left,40,30,right,orange,597,0
20,255385.20000004768,0,0,4804,blue,true,left,29,26,right,orange,705,0
21,258616.60000014305,1,32,4772,blue,false,left,32,36,right,orange,514,0
22,261677.5,0,0,4772,blue,true,right,72,81,left,orange,457,0
23,264666.5,1,95,4677,blue,false,right,95,54,left,orange,780,0
24,267998.5,1,40,4637,blue,false,left,40,59,right,orange,588,0
25,271143.2000000477,0,0,4637,blue,false,left,29,24,left,blue,404,0
26,274079.60000014305,0,0,4637,blue,false,right,60,51,right,blue,927,0
27,277539.2999999523,0,0,4637,blue,false,right,83,65,right,blue,631,0
28,280701,1,98,4539,blue,true,right,78,98,right,blue,870,0
29,284112.10000014305,0,0,4539,blue,false,right,56,51,right,blue,752,0
30,287394.7000000477,1,5,4534,blue,false,right,5,20,left,orange,991,0
31,290923.2000000477,0,0,4534,blue,false,right,67,2,right,blue,669,0
32,294124.2999999523,0,0,4534,blue,false,right,85,84,right,blue,825,0
33,297479.60000014305,0,0,4534,blue,true,right,7,49,left,orange,980,0
34,301002,0,0,4534,blue,false,left,37,47,left,blue,676,0
35,304221.90000009537,1,27,4507,blue,false,left,27,91,right,orange,1122,0
36,307886.7000000477,0,0,4507,blue,false,right,44,42,right,blue,922,0
37,311343.2999999523,1,55,4452,blue,true,left,31,55,left,blue,637,0
38,314509.40000009537,0,0,4452,blue,false,left,97,70,left,blue,908,0
