Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,240509.5,1,10,4990,blue,true,right,23,10,right,blue,2011,0
2,245053.40000009537,0,0,4990,blue,true,right,45,97,left,orange,714,0
3,248295.10000014305,0,0,4990,blue,true,right,54,62,left,orange,613,0
4,251437.5,0,0,4990,blue,false,left,99,16,left,blue,870,0
5,254830.70000004768,1,40,4950,blue,true,right,72,40,right,blue,897,0
6,258271.90000009537,1,88,4862,blue,true,left,98,88,left,blue,2257,0
7,263094.5,0,0,4862,blue,true,left,6,54,right,orange,1047,0
8,266667.30000019073,1,55,4807,blue,true,right,64,55,right,blue,640,0
9,269845.10000014305,0,0,4807,blue,false,right,96,45,right,blue,1944,0
10,274330.10000014305,1,19,4788,blue,true,left,28,19,left,blue,657,0
11,277527.80000019073,1,26,4762,blue,true,left,95,26,left,blue,920,0
12,280982.40000009537,0,0,4762,blue,true,left,90,29,right,orange,585,0
13,284099.10000014305,0,0,4762,blue,true,left,20,53,right,orange,970,0
14,287597.60000014305,0,0,4762,blue,true,left,74,56,right,orange,489,0
15,290625.2000000477,0,0,4762,blue,true,right,18,42,left,orange,882,0
16,294036.90000009537,0,0,4762,blue,true,right,11,91,left,orange,871,0
17,297442.60000014305,1,32,4730,blue,false,right,32,31,left,orange,706,0
18,300692.7000000477,0,0,4730,blue,true,right,36,65,left,orange,1715,0
19,304936.40000009537,1,40,4690,blue,false,right,40,30,left,orange,761,0
20,308232.60000014305,0,0,4690,blue,true,left,29,26,right,orange,756,0
21,311515,1,32,4658,blue,false,left,32,36,right,orange,422,0
22,314472.80000019073,0,0,4658,blue,true,left,72,81,right,orange,684,0
23,317676.2000000477,0,0,4658,blue,false,right,95,54,right,blue,2532,0
24,322737.40000009537,1,40,4618,blue,false,right,40,59,left,orange,660,0
25,325938.80000019073,1,29,4589,blue,false,right,29,24,left,orange,1829,0
26,330311.2000000477,1,60,4529,blue,false,left,60,51,right,orange,738,0
27,333586.7000000477,0,0,4529,blue,false,left,83,65,left,blue,561,0
28,336687,1,98,4431,blue,true,right,78,98,right,blue,510,0
29,339737.90000009537,0,0,4431,blue,false,right,56,51,right,blue,1531,0
30,343797.60000014305,1,5,4426,blue,false,right,5,20,left,orange,690,0
31,347023.30000019073,0,0,4426,blue,false,left,67,2,left,blue,1985,0
32,351536.10000014305,1,85,4341,blue,false,left,85,84,right,orange,794,0
33,354868.10000014305,0,0,4341,blue,true,right,7,49,left,orange,610,0
34,358013.2000000477,1,37,4304,blue,false,right,37,47,left,orange,575,0
35,361126.7000000477,1,27,4277,blue,false,right,27,91,left,orange,550,0
36,364221.10000014305,0,0,4277,blue,false,right,44,42,right,blue,368,0
37,367112.90000009537,1,55,4222,blue,true,left,31,55,left,blue,544,0
38,370226.2000000477,0,0,4222,blue,false,right,97,70,right,blue,551,0
39,373307.90000009537,1,14,4208,blue,false,left,14,9,right,orange,1280,0
40,377117,1,51,4157,blue,true,left,23,51,left,blue,512,0
41,380157.5,1,79,4078,blue,true,right,89,79,right,blue,451,0
42,383139.90000009537,1,86,3992,blue,true,right,83,86,right,blue,884,0
43,386562.40000009537,0,0,3992,blue,true,right,40,62,left,orange,2662,0
44,391755,0,0,3992,blue,true,right,36,23,left,orange,372,0
45,394658.60000014305,0,0,3992,blue,true,right,65,61,left,orange,460,0
46,397644.90000009537,0,0,3992,blue,true,left,74,67,right,orange,494,0
47,400659.2000000477,0,0,3992,blue,true,right,73,41,left,orange,511,0
48,407709.40000009537,0,0,3992,blue,false,right,96,54,right,blue,1380,0
49,411618.80000019073,1,88,3904,blue,true,left,86,88,left,blue,471,0
50,414622.40000009537,0,0,3904,blue,true,left,43,66,right,orange,306,0
51,417450.5,0,0,3904,blue,true,right,72,79,left,orange,518,0
52,420492.5,1,71,3833,blue,false,right,71,13,left,orange,457,0
53,423479.30000019073,0,0,3833,blue,true,right,78,53,left,orange,571,0
54,426576.5,0,0,3833,blue,true,right,57,90,left,orange,492,0
55,429592.40000009537,1,3,3830,blue,false,right,3,12,left,orange,434,0
56,432566.7000000477,0,0,3830,blue,true,right,2,64,left,orange,590,0
57,435687.2000000477,1,9,3821,blue,true,right,99,9,right,blue,652,0
58,438866.7000000477,0,0,3821,blue,true,left,21,42,right,orange,1051,0
59,442443.40000009537,0,0,3821,blue,true,left,83,72,right,orange,575,0
60,445547.80000019073,0,0,3821,blue,true,left,37,11,right,orange,390,0
61,448475.80000019073,1,67,3754,blue,false,right,67,81,left,orange,696,0
62,451736.80000019073,0,0,3754,blue,true,left,12,14,right,orange,612,0
63,454926.40000009537,1,78,3676,blue,false,left,78,90,right,orange,422,0
64,457920.40000009537,1,46,3630,blue,false,left,46,53,right,orange,507,0
65,461019.5,1,30,3600,blue,false,right,30,42,left,orange,669,0
66,464243.7000000477,0,0,3600,blue,false,left,36,65,left,blue,596,0
67,467371.80000019073,0,0,3600,blue,false,left,49,49,left,blue,475,0
68,470400.40000009537,0,0,3600,blue,false,left,44,10,left,blue,428,0
69,473384.90000009537,0,0,3600,blue,false,right,70,64,right,blue,495,0
70,476404.90000009537,0,0,3600,blue,false,right,68,95,right,blue,663,0
71,479623.60000014305,0,0,3600,blue,false,left,38,46,left,blue,437,0
72,482640.60000014305,0,0,3600,blue,false,right,18,24,right,blue,412,0
73,485621,0,0,3600,blue,false,right,82,78,right,blue,627,0
74,488806.90000009537,0,0,3600,blue,false,left,59,54,left,blue,354,0
75,491732.90000009537,0,0,3600,blue,false,left,36,33,left,blue,634,0
76,494920.5,1,56,3544,blue,true,right,49,56,right,blue,374,0
77,497852.90000009537,1,26,3518,blue,false,left,26,83,right,orange,684,0
78,501138.80000019073,1,38,3480,blue,false,right,38,81,left,orange,516,0
79,504250.30000019073,0,0,3480,blue,false,left,12,3,left,blue,656,0
80,507469.30000019073,0,0,3480,blue,false,right,62,38,right,blue,416,0
81,510454.90000009537,0,0,3480,blue,false,right,43,50,right,blue,452,0
82,513477.40000009537,0,0,3480,blue,false,left,50,47,left,blue,608,0
83,516652.60000014305,1,35,3445,blue,true,left,41,35,left,blue,469,0
84,519719.60000014305,0,0,3445,blue,false,left,9,62,left,blue,489,0
85,522778,0,0,3445,blue,false,right,60,58,right,blue,512,0
86,525844.2000000477,0,0,3445,blue,false,right,88,31,right,blue,444,0
87,528853.9000000954,0,0,3445,blue,false,right,56,44,right,blue,551,0
88,531968.3000001907,1,15,3430,blue,true,right,31,15,right,blue,707,0
89,535243,0,0,3430,blue,false,left,90,31,left,blue,557,0
90,538362.100000143,0,0,3430,blue,false,right,80,76,right,blue,1913,0
91,542833.3000001907,0,0,3430,blue,false,left,78,4,left,blue,673,0
92,546079.4000000954,0,0,3430,blue,false,right,60,28,right,blue,439,0
93,549076.3000001907,1,99,3331,blue,true,left,56,99,left,blue,473,0
94,556153.5,0,0,3331,blue,false,right,31,45,right,blue,1425,0
95,560150.600000143,0,0,3331,blue,false,right,55,16,right,blue,405,0
96,563131.9000000954,0,0,3331,blue,true,right,12,89,left,orange,1490,0
97,567187.5,0,0,3331,blue,false,right,49,4,right,blue,824,0
98,570564.7000000477,1,69,3262,blue,false,left,69,12,right,orange,1012,0
99,574158.600000143,1,26,3236,blue,true,right,49,26,right,blue,935,0
100,577683.8000001907,0,0,3236,blue,false,right,75,76,right,blue,4004,0
101,584262.2000000477,1,22,3214,blue,false,left,22,90,right,orange,1871,0
102,588706.600000143,1,23,3191,blue,true,left,26,23,left,blue,1010,0
103,592296.2000000477,1,11,3180,blue,false,left,11,68,right,orange,575,0
104,595437.4000000954,1,82,3098,blue,true,left,71,82,left,blue,1433,0
105,599473,0,0,3098,blue,false,left,86,95,left,blue,624,0
106,602688.2000000477,0,0,3098,blue,false,right,79,88,right,blue,658,0
107,605914.2000000477,0,0,3098,blue,false,left,75,40,left,blue,556,0
108,609045.3000001907,1,11,3087,blue,false,left,11,94,right,orange,1326,0
109,612957.4000000954,1,44,3043,blue,true,right,53,44,right,blue,1163,0
110,616720.100000143,0,0,3043,blue,false,left,85,17,left,blue,2035,0
111,621308.2000000477,1,32,3011,blue,true,right,85,32,right,blue,497,0
112,624406.100000143,0,0,3011,blue,false,right,38,68,right,blue,482,0
113,627450,1,28,2983,blue,false,right,28,93,left,orange,1147,0
114,631175.3000001907,1,13,2970,blue,false,left,13,95,right,orange,859,0
115,634613.7000000477,0,0,2970,blue,false,right,69,60,right,blue,578,0
116,637741.9000000954,1,95,2875,blue,true,left,56,95,left,blue,466,0
117,640788.9000000954,1,2,2873,blue,false,left,2,41,right,orange,769,0
118,644136.2000000477,0,0,2873,blue,false,right,42,5,right,blue,639,0
119,647350.8000001907,0,0,2873,blue,false,right,44,30,right,blue,598,0
120,650526.5,0,0,2873,blue,false,left,79,4,left,blue,522,0
121,653610.4000000954,0,0,2873,blue,false,right,83,87,right,blue,477,0
122,656652.100000143,0,0,2873,blue,false,right,59,44,right,blue,812,0
123,660028.8000001907,1,10,2863,blue,true,left,15,10,left,blue,1150,0
124,663754,0,0,2863,blue,false,left,60,15,left,blue,1001,0
125,667318.4000000954,0,0,2863,blue,false,right,73,25,right,blue,528,0
126,670414.100000143,0,0,2863,blue,false,right,43,23,right,blue,753,0
127,673736.5,1,22,2841,blue,false,right,22,87,left,orange,665,0
128,676972.600000143,0,0,2841,blue,true,left,27,77,right,orange,1215,0
129,680763.100000143,0,0,2841,blue,false,right,99,35,right,blue,580,0
130,683921.600000143,1,39,2802,blue,true,left,49,39,left,blue,510,0
131,687038.8000001907,0,0,2802,blue,false,right,83,60,right,blue,416,0
132,690013.7000000477,1,54,2748,blue,true,right,61,54,right,blue,699,0
133,693297.8000001907,0,0,2748,blue,false,left,82,34,left,blue,600,0
134,696479.8000001907,0,0,2748,blue,false,left,96,86,left,blue,561,0
135,699632.7000000477,0,0,2748,blue,false,left,65,27,left,blue,516,0
136,702721.2000000477,0,0,2748,blue,false,right,63,93,right,blue,587,0
137,705878.7000000477,0,0,2748,blue,false,left,65,40,left,blue,546,0
138,708988.4000000954,1,7,2741,blue,false,left,7,69,right,orange,540,0
139,712125.7000000477,0,0,2741,blue,true,right,94,28,left,orange,512,0
140,715209.100000143,0,0,2741,blue,false,right,90,4,right,blue,542,0
