Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,173101.10000002384,1,37,4963,blue,true,right,44,37,right,blue,3505,0
2,179152.79999995232,0,0,4963,blue,true,right,66,12,left,orange,1116,0
3,182818.89999997616,1,9,4954,blue,true,right,98,9,right,blue,1205,0
4,186571,0,0,4954,blue,false,left,20,91,left,blue,489,0
5,189596,1,8,4946,blue,true,left,28,8,left,blue,644,0
6,192790.29999995232,0,0,4946,blue,true,left,30,33,right,orange,477,0
7,195808.89999997616,0,0,4946,blue,true,right,27,24,left,orange,1088,0
8,199442.5,0,0,4946,blue,false,left,58,43,left,blue,1636,0
9,203618,0,0,4946,blue,true,left,72,47,right,orange,988,0
10,207135.89999997616,1,44,4902,blue,false,left,44,44,right,orange,1426,0
11,211110,1,26,4876,blue,true,left,69,26,left,blue,850,0
12,214503.39999997616,0,0,4876,blue,true,right,6,41,left,orange,585,0
13,217617.10000002384,1,34,4842,blue,true,left,88,34,left,blue,2028,0
14,222189.60000002384,1,73,4769,blue,false,right,73,18,left,orange,533,0
15,225263.89999997616,1,25,4744,blue,true,right,60,25,right,blue,385,0
16,228181.60000002384,1,6,4738,blue,true,left,68,6,left,blue,877,0
17,231595.70000004768,1,48,4690,blue,false,left,48,39,right,orange,665,0
18,234808,1,76,4614,blue,true,right,35,76,right,blue,670,0
19,238020.60000002384,1,85,4529,blue,true,left,23,85,left,blue,1084,0
20,241642.29999995232,1,22,4507,blue,true,left,54,22,left,blue,779,0
21,244953.29999995232,0,0,4507,blue,false,right,66,58,right,blue,849,0
22,248335.60000002384,0,0,4507,blue,true,left,98,41,right,orange,708,0
23,251576.20000004768,1,80,4427,blue,true,right,58,80,right,blue,1055,0
24,255176.29999995232,0,0,4427,blue,true,left,32,85,right,orange,694,0
25,258398.10000002384,1,83,4344,blue,false,right,83,15,left,orange,1707,0
26,262647.7999999523,1,16,4328,blue,true,right,18,16,right,blue,316,0
27,265494.7000000477,0,0,4328,blue,true,left,56,99,right,orange,508,0
28,268541,1,75,4253,blue,true,left,23,75,left,blue,372,0
29,271459.5,0,0,4253,blue,true,left,68,18,right,orange,1721,0
30,275708.5,1,16,4237,blue,true,left,30,16,left,blue,803,0
31,279047.39999997616,1,37,4200,blue,true,right,86,37,right,blue,457,0
32,282039.7999999523,1,44,4156,blue,true,right,47,44,right,blue,1296,0
33,285872.7999999523,0,0,4156,blue,true,left,3,91,right,orange,565,0
34,288972.7000000477,0,0,4156,blue,false,right,60,14,right,blue,638,0
35,292150.5,0,0,4156,blue,true,right,54,84,left,orange,364,0
36,295043.89999997616,1,23,4133,blue,true,right,34,23,right,blue,377,0
37,297954.60000002384,0,0,4133,blue,true,right,96,28,left,orange,1987,0
38,302486.39999997616,0,0,4133,blue,false,right,83,94,right,blue,470,0
39,305505.7000000477,1,86,4047,blue,true,left,63,86,left,blue,1142,0
40,309183.2999999523,0,0,4047,blue,true,right,99,53,left,orange,792,0
