Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,185873.5,1,10,4990,blue,true,left,23,10,left,blue,1395,0
2,189832.5,0,0,4990,blue,true,left,45,97,right,orange,754,0
3,193131.5,0,0,4990,blue,true,right,54,62,left,orange,735,0
4,196416.80000001192,1,99,4891,blue,false,left,99,16,right,orange,477,0
5,199433.5,0,0,4891,blue,true,left,72,40,right,orange,868,0
6,202850.80000001192,1,88,4803,blue,true,right,98,88,right,blue,1352,0
7,206750.59999999404,0,0,4803,blue,true,left,6,54,right,orange,758,0
8,210050.80000001192,0,0,4803,blue,true,right,64,55,left,orange,848,0
9,213435.30000001192,0,0,4803,blue,false,right,96,45,right,blue,918,0
10,216892.59999999404,1,19,4784,blue,true,right,28,19,right,blue,1068,0
11,220514.80000001192,0,0,4784,blue,true,right,95,26,left,orange,1671,0
12,224731.5,0,0,4784,blue,true,left,90,29,right,orange,512,0
13,227786.40000000596,0,0,4784,blue,true,right,20,53,left,orange,426,0
14,230754.09999999404,1,56,4728,blue,true,right,74,56,right,blue,921,0
15,234236.90000000596,0,0,4728,blue,true,right,18,42,left,orange,548,0
16,237320.70000001788,0,0,4728,blue,true,right,11,91,left,orange,388,0
17,240263.09999999404,1,32,4696,blue,false,left,32,31,right,orange,406,0
18,243206.59999999404,0,0,4696,blue,true,right,36,65,left,orange,556,0
19,246308.70000001788,1,40,4656,blue,false,left,40,30,right,orange,385,0
20,249242.20000001788,1,26,4630,blue,true,left,29,26,left,blue,554,0
21,252358.90000000596,1,32,4598,blue,false,left,32,36,right,orange,985,0
22,255896.20000001788,0,0,4598,blue,true,left,72,81,right,orange,1150,0
23,259593.70000001788,0,0,4598,blue,false,right,95,54,right,blue,883,0
24,263007.5,1,40,4558,blue,false,right,40,59,left,orange,836,0
25,266410.3000000119,0,0,4558,blue,false,left,29,24,left,blue,506,0
26,269460,0,0,4558,blue,false,right,60,51,right,blue,539,0
27,272544.40000000596,0,0,4558,blue,false,left,83,65,left,blue,455,0
28,275544.09999999404,1,98,4460,blue,true,right,78,98,right,blue,521,0
29,278627.8000000119,1,56,4404,blue,false,right,56,51,left,orange,917,0
30,282101.40000000596,0,0,4404,blue,false,left,5,20,left,blue,541,0
31,285177.09999999404,0,0,4404,blue,false,right,67,2,right,blue,460,0
32,288168.40000000596,0,0,4404,blue,false,left,85,84,left,blue,440,0
33,291148.09999999404,1,49,4355,blue,true,left,7,49,left,blue,438,0
34,294131.3000000119,1,37,4318,blue,false,right,37,47,left,orange,988,0
35,297666.2000000179,1,27,4291,blue,false,right,27,91,left,orange,889,0
36,301115.59999999404,0,0,4291,blue,false,right,44,42,right,blue,384,0
37,304032.2000000179,1,55,4236,blue,true,left,31,55,left,blue,771,0
38,307370,0,0,4236,blue,false,right,97,70,right,blue,1256,0
39,311166.5,0,0,4236,blue,false,left,14,9,left,blue,400,0
40,314118.40000000596,1,51,4185,blue,true,left,23,51,left,blue,743,0
41,317413,1,79,4106,blue,true,left,89,79,left,blue,628,0
42,320580.8000000119,0,0,4106,blue,true,left,83,86,right,orange,762,0
43,323882,0,0,4106,blue,true,right,40,62,left,orange,711,0
44,327134.8000000119,0,0,4106,blue,true,right,36,23,left,orange,439,0
45,330119.90000000596,0,0,4106,blue,true,left,65,61,right,orange,447,0
46,333107.59999999404,0,0,4106,blue,true,left,74,67,right,orange,437,0
47,336087.09999999404,0,0,4106,blue,true,right,73,41,left,orange,591,0
48,343229,1,96,4010,blue,false,right,96,54,left,orange,1129,0
49,346921.59999999404,0,0,4010,blue,true,right,86,88,left,orange,717,0
50,350173.40000000596,0,0,4010,blue,true,left,43,66,right,orange,637,0
51,353352.8000000119,0,0,4010,blue,true,right,72,79,left,orange,616,0
52,356503.40000000596,1,71,3939,blue,false,left,71,13,right,orange,419,0
53,359458.90000000596,1,53,3886,blue,true,right,78,53,right,blue,625,0
54,362632.09999999404,0,0,3886,blue,true,right,57,90,left,orange,421,0
55,365585.7000000179,1,3,3883,blue,false,right,3,12,left,orange,490,0
56,368623.3000000119,0,0,3883,blue,true,right,2,64,left,orange,699,0
57,371859.90000000596,1,9,3874,blue,true,right,99,9,right,blue,905,0
58,375330,0,0,3874,blue,true,right,21,42,left,orange,534,0
59,378409.5,0,0,3874,blue,true,right,83,72,left,orange,391,0
60,381344,0,0,3874,blue,true,right,37,11,left,orange,509,0
61,384384.5,1,67,3807,blue,false,left,67,81,right,orange,524,0
62,387461.8000000119,1,14,3793,blue,true,left,12,14,left,blue,515,0
63,390529.40000000596,1,78,3715,blue,false,right,78,90,left,orange,957,0
64,394030.3000000119,0,0,3715,blue,false,right,46,53,right,blue,755,0
65,397328.3000000119,0,0,3715,blue,false,left,30,42,left,blue,395,0
66,400260.8000000119,0,0,3715,blue,false,left,36,65,left,blue,409,0
67,403216.59999999404,0,0,3715,blue,false,left,49,49,left,blue,383,0
68,406151.90000000596,0,0,3715,blue,false,right,44,10,right,blue,429,0
69,409113.3000000119,0,0,3715,blue,false,left,70,64,left,blue,354,0
70,412018.90000000596,0,0,3715,blue,false,left,68,95,left,blue,339,0
71,414907.40000000596,0,0,3715,blue,false,right,38,46,right,blue,568,0
72,418013.7000000179,0,0,3715,blue,false,left,18,24,left,blue,399,0
73,420952,0,0,3715,blue,false,left,82,78,left,blue,432,0
74,423918.90000000596,0,0,3715,blue,false,left,59,54,left,blue,660,0
75,427120.2000000179,0,0,3715,blue,false,right,36,33,right,blue,544,0
76,430201.09999999404,1,56,3659,blue,true,left,49,56,left,blue,367,0
77,433125.8000000119,1,26,3633,blue,false,right,26,83,left,orange,1142,0
78,436813.59999999404,0,0,3633,blue,false,right,38,81,right,blue,1569,0
79,440919.90000000596,0,0,3633,blue,false,right,12,3,right,blue,475,0
80,443938,0,0,3633,blue,false,left,62,38,left,blue,414,0
81,446887.90000000596,0,0,3633,blue,false,left,43,50,left,blue,366,0
82,449789.09999999404,0,0,3633,blue,false,left,50,47,left,blue,442,0
83,452771,1,35,3598,blue,true,right,41,35,right,blue,518,0
84,455836,1,9,3589,blue,false,left,9,62,right,orange,639,0
85,459038.8000000119,0,0,3589,blue,false,right,60,58,right,blue,874,0
86,462455.2000000179,0,0,3589,blue,false,left,88,31,left,blue,424,0
87,465432.7000000179,0,0,3589,blue,false,left,56,44,left,blue,409,0
88,468389.8000000119,1,15,3574,blue,true,left,31,15,left,blue,376,0
89,471331.09999999404,0,0,3574,blue,false,right,90,31,right,blue,1951,0
90,475832.09999999404,0,0,3574,blue,false,left,80,76,left,blue,1115,0
91,479489.7000000179,0,0,3574,blue,false,right,78,4,right,blue,952,0
92,482971.3000000119,0,0,3574,blue,false,right,60,28,right,blue,411,0
93,485927.5,1,99,3475,blue,true,left,56,99,left,blue,451,0
94,492949,1,31,3444,blue,false,right,31,45,left,orange,1528,0
95,497029.7000000179,0,0,3444,blue,false,right,55,16,right,blue,794,0
96,500363.59999999404,1,89,3355,blue,true,right,12,89,right,blue,425,0
97,503351.90000000596,0,0,3355,blue,false,right,49,4,right,blue,808,0
98,506697.40000000596,0,0,3355,blue,false,right,69,12,right,blue,710,0
99,509947.90000000596,1,26,3329,blue,true,left,49,26,left,blue,786,0
100,513281.8000000119,1,75,3254,blue,false,right,75,76,left,orange,1842,0
101,517671.2000000179,1,22,3232,blue,false,right,22,90,left,orange,876,0
102,521089.5,0,0,3232,blue,true,left,26,23,right,orange,449,0
103,524083.3000000119,1,11,3221,blue,false,left,11,68,right,orange,572,0
104,527216.400000006,0,0,3221,blue,true,right,71,82,left,orange,1211,0
105,530968,1,86,3135,blue,false,right,86,95,left,orange,812,0
106,534347.7000000179,0,0,3135,blue,false,right,79,88,right,blue,987,0
107,537868.900000006,0,0,3135,blue,false,left,75,40,left,blue,423,0
108,540837.099999994,0,0,3135,blue,false,left,11,94,left,blue,416,0
109,543805.8000000119,1,44,3091,blue,true,right,53,44,right,blue,496,0
110,546853.599999994,0,0,3091,blue,false,right,85,17,right,blue,746,0
111,550138.099999994,1,32,3059,blue,true,left,85,32,left,blue,728,0
112,553409.099999994,1,38,3021,blue,false,right,38,68,left,orange,1584,0
113,557555.599999994,0,0,3021,blue,false,left,28,93,left,blue,875,0
114,560963.3000000119,1,13,3008,blue,false,right,13,95,left,orange,1975,0
115,565490.400000006,0,0,3008,blue,false,right,69,60,right,blue,722,0
116,568756.099999994,1,95,2913,blue,true,left,56,95,left,blue,450,0
117,571758.3000000119,1,2,2911,blue,false,left,2,41,right,orange,643,0
118,574961.8000000119,0,0,2911,blue,false,left,42,5,left,blue,579,0
119,578087.5,0,0,2911,blue,false,right,44,30,right,blue,652,0
120,581280.2000000179,0,0,2911,blue,false,left,79,4,left,blue,364,0
121,584189.099999994,0,0,2911,blue,false,right,83,87,right,blue,583,0
122,587323.5,0,0,2911,blue,false,right,59,44,right,blue,443,0
123,590314.3000000119,1,10,2901,blue,true,left,15,10,left,blue,449,0
124,593321.099999994,0,0,2901,blue,false,right,60,15,right,blue,1017,0
125,596878.8000000119,0,0,2901,blue,false,right,73,25,right,blue,656,0
126,600080.8000000119,0,0,2901,blue,false,left,43,23,left,blue,630,0
