Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,387876.6999999285,1,10,4990,blue,true,left,23,10,left,blue,1459,0
2,391858.7999999523,0,0,4990,blue,true,right,45,97,left,orange,1596,0
3,395979.7999999523,0,0,4990,blue,true,left,54,62,right,orange,1276,0
4,399783.89999997616,0,0,4990,blue,false,left,99,16,left,blue,1432,0
5,403738.59999990463,0,0,4990,blue,true,left,72,40,right,orange,3311,0
6,409562.2999999523,0,0,4990,blue,true,right,98,88,left,orange,1455,0
7,413544.6999999285,0,0,4990,blue,true,left,6,54,right,orange,833,0
8,416923.7999999523,0,0,4990,blue,true,right,64,55,left,orange,1126,0
9,420572.6999999285,1,96,4894,blue,false,left,96,45,right,orange,2518,0
10,425617.39999997616,0,0,4894,blue,true,left,28,19,right,orange,1659,0
11,429805.6999999285,1,26,4868,blue,true,left,95,26,left,blue,1791,0
12,434117.59999990463,1,29,4839,blue,true,right,90,29,right,blue,2624,0
13,439273.2999999523,0,0,4839,blue,true,left,20,53,right,orange,923,0
14,442718,0,0,4839,blue,true,left,74,56,right,orange,1543,0
15,446781,0,0,4839,blue,true,left,18,42,right,orange,1577,0
16,450890.59999990463,0,0,4839,blue,true,right,11,91,left,orange,1324,0
17,454736.1999999285,1,32,4807,blue,false,right,32,31,left,orange,1375,0
18,458639.1999999285,0,0,4807,blue,true,right,36,65,left,orange,864,0
19,462040.1999999285,1,40,4767,blue,false,right,40,30,left,orange,887,0
20,465452.1999999285,0,0,4767,blue,true,left,29,26,right,orange,852,0
21,468831.89999997616,1,32,4735,blue,false,right,32,36,left,orange,1097,0
22,472452.89999997616,0,0,4735,blue,true,right,72,81,left,orange,1468,0
23,476454.09999990463,0,0,4735,blue,false,right,95,54,right,blue,1979,0
24,480957.59999990463,1,40,4695,blue,false,left,40,59,right,orange,1109,0
25,484590.7999999523,0,0,4695,blue,false,right,29,24,right,blue,1187,0
26,488301.89999997616,0,0,4695,blue,false,left,60,51,left,blue,1085,0
27,491906.1999999285,0,0,4695,blue,false,left,83,65,left,blue,929,0
28,495348.6999999285,1,98,4597,blue,true,left,78,98,left,blue,1262,0
29,499146,0,0,4597,blue,false,right,56,51,right,blue,1154,0
30,502827.2999999523,0,0,4597,blue,false,left,5,20,left,blue,1353,0
31,506695.09999990463,0,0,4597,blue,false,left,67,2,left,blue,939,0
32,510168,0,0,4597,blue,false,right,85,84,right,blue,1053,0
33,513739.2999999523,0,0,4597,blue,true,right,7,49,left,orange,2099,0
34,518355.5,0,0,4597,blue,false,left,37,47,left,blue,1995,0
35,522875.1999999285,1,27,4570,blue,false,right,27,91,left,orange,1932,0
36,527325.3999999762,0,0,4570,blue,false,right,44,42,right,blue,1081,0
37,530936.3999999762,1,55,4515,blue,true,left,31,55,left,blue,1431,0
38,534905.5999999046,0,0,4515,blue,false,right,97,70,right,blue,1430,0
39,538871.1999999285,0,0,4515,blue,false,right,14,9,right,blue,1146,0
40,542535,1,51,4464,blue,true,right,23,51,right,blue,1465,0
41,546531.5999999046,1,79,4385,blue,true,right,89,79,right,blue,3118,0
42,552174.6999999285,0,0,4385,blue,true,right,83,86,left,orange,1067,0
43,555754.5,0,0,4385,blue,true,left,40,62,right,orange,984,0
44,559269.8999999762,0,0,4385,blue,true,right,36,23,left,orange,982,0
45,562761.7999999523,0,0,4385,blue,true,left,65,61,right,orange,890,0
46,566181.1999999285,0,0,4385,blue,true,right,74,67,left,orange,991,0
47,569691.3999999762,0,0,4385,blue,true,left,73,41,right,orange,1025,0
48,577246.7999999523,0,0,4385,blue,false,left,96,54,left,blue,3080,0
49,582843.1999999285,1,88,4297,blue,true,right,86,88,right,blue,1219,0
50,586589.5999999046,0,0,4297,blue,true,right,43,66,left,orange,1226,0
51,590334.1999999285,0,0,4297,blue,true,right,72,79,left,orange,1081,0
52,593942.1999999285,0,0,4297,blue,false,right,71,13,right,blue,2161,0
53,598642,1,53,4244,blue,true,right,78,53,right,blue,3406,0
54,604571.7999999523,1,90,4154,blue,true,left,57,90,left,blue,3861,0
55,610957.7999999523,1,3,4151,blue,false,right,3,12,left,orange,1147,0
56,614625.8999999762,0,0,4151,blue,true,left,2,64,right,orange,1648,0
57,618791.3999999762,1,9,4142,blue,true,left,99,9,left,blue,1083,0
58,622403.3999999762,0,0,4142,blue,true,left,21,42,right,orange,1256,0
59,626180.5999999046,0,0,4142,blue,true,left,83,72,right,orange,1775,0
60,630482,0,0,4142,blue,true,right,37,11,left,orange,1537,0
61,634544.2999999523,1,67,4075,blue,false,right,67,81,left,orange,1180,0
62,638254.5,0,0,4075,blue,true,right,12,14,left,orange,1151,0
63,641925.1999999285,1,78,3997,blue,false,right,78,90,left,orange,2247,0
64,646684.5,1,46,3951,blue,false,right,46,53,left,orange,1121,0
65,650336.5999999046,0,0,3951,blue,false,right,30,42,right,blue,1477,0
66,654338.1999999285,0,0,3951,blue,false,right,36,65,right,blue,1605,0
67,658474.3999999762,0,0,3951,blue,false,right,49,49,right,blue,973,0
68,661977.0999999046,0,0,3951,blue,false,left,44,10,left,blue,991,0
69,665488.3999999762,0,0,3951,blue,false,right,70,64,right,blue,839,0
70,668849.7999999523,0,0,3951,blue,false,right,68,95,right,blue,1342,0
71,672731.6999999285,0,0,3951,blue,false,left,38,46,left,blue,1005,0
72,676253.5,0,0,3951,blue,false,left,18,24,left,blue,1196,0
73,679987.5999999046,0,0,3951,blue,false,left,82,78,left,blue,1255,0
74,683769.5,0,0,3951,blue,false,left,59,54,left,blue,1129,0
75,687416.0999999046,0,0,3951,blue,false,left,36,33,left,blue,883,0
76,690820.8999999762,1,56,3895,blue,true,right,49,56,right,blue,1815,0
77,695160,1,26,3869,blue,false,right,26,83,left,orange,1420,0
78,699108,1,38,3831,blue,false,right,38,81,left,orange,2264,0
79,703886.7999999523,0,0,3831,blue,false,left,12,3,left,blue,1558,0
80,707960.8999999762,0,0,3831,blue,false,right,62,38,right,blue,1212,0
81,711696.5999999046,0,0,3831,blue,false,right,43,50,right,blue,1109,0
82,715339.7999999523,0,0,3831,blue,false,right,50,47,right,blue,849,0
83,718726.0999999046,1,35,3796,blue,true,right,41,35,right,blue,881,0
84,722125.8999999762,1,9,3787,blue,false,left,9,62,right,orange,1801,0
85,726441.1999999285,0,0,3787,blue,false,left,60,58,left,blue,1445,0
86,730399.1999999285,0,0,3787,blue,false,left,88,31,left,blue,961,0
87,733887.1999999285,0,0,3787,blue,false,left,56,44,left,blue,858,0
88,737264.7999999523,1,15,3772,blue,true,left,31,15,left,blue,784,0
89,740577.2999999523,0,0,3772,blue,false,right,90,31,right,blue,992,0
90,744094.8999999762,0,0,3772,blue,false,right,80,76,right,blue,851,0
