Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,203935.80000007153,1,10,4990,blue,true,left,23,10,left,blue,466,1
2,206929.70000004768,1,97,4893,blue,true,right,45,97,right,blue,2130,0
3,211589.70000004768,0,0,4893,blue,true,right,54,62,left,orange,569,0
4,214680.60000002384,1,99,4794,blue,false,left,99,16,right,orange,694,0
5,217899.80000007153,0,0,4794,blue,true,left,72,40,right,orange,558,0
6,220984.5,0,0,4794,blue,true,right,98,88,left,orange,415,0
7,223928.39999997616,0,0,4794,blue,true,left,6,54,right,orange,409,0
8,226872.60000002384,0,0,4794,blue,true,left,64,55,right,orange,598,0
9,230009.70000004768,1,96,4698,blue,false,left,96,45,right,orange,576,0
10,233112.80000007153,0,0,4698,blue,true,left,28,19,right,orange,428,0
11,236082,0,0,4698,blue,true,right,95,26,left,orange,419,0
12,239040.30000007153,0,0,4698,blue,true,left,90,29,right,orange,889,0
13,242467.70000004768,0,0,4698,blue,true,right,20,53,left,orange,560,0
14,245569.70000004768,0,0,4698,blue,true,left,74,56,right,orange,923,0
15,249030.80000007153,0,0,4698,blue,true,left,18,42,right,orange,519,0
16,252096.60000002384,0,0,4698,blue,true,right,11,91,left,orange,419,0
17,255040.70000004768,1,32,4666,blue,false,left,32,31,right,orange,352,0
18,257927.80000007153,0,0,4666,blue,true,left,36,65,right,orange,418,0
19,260871.60000002384,1,40,4626,blue,false,right,40,30,left,orange,337,0
20,263749.3000000715,0,0,4626,blue,true,left,29,26,right,orange,303,0
21,266587.60000002384,1,32,4594,blue,false,left,32,36,right,orange,404,0
22,269528.10000002384,1,81,4513,blue,true,left,72,81,left,blue,320,0
23,272368,0,0,4513,blue,false,left,95,54,left,blue,786,0
24,275678.5,1,40,4473,blue,false,right,40,59,left,orange,1033,0
25,279251.89999997616,0,0,4473,blue,false,right,29,24,right,blue,509,0
26,282300.10000002384,1,60,4413,blue,false,right,60,51,left,orange,1194,0
27,286038.10000002384,1,83,4330,blue,false,right,83,65,left,orange,720,0
28,289278.60000002384,0,0,4330,blue,true,right,78,98,left,orange,273,0
29,292082.2000000477,1,56,4274,blue,false,left,56,51,right,orange,399,0
30,295022.2000000477,0,0,4274,blue,false,left,5,20,left,blue,279,0
31,297846.89999997616,1,67,4207,blue,false,left,67,2,right,orange,260,0
32,300642.8000000715,0,0,4207,blue,false,right,85,84,right,blue,735,0
33,303918.10000002384,1,49,4158,blue,true,right,7,49,right,blue,503,0
34,306955.2000000477,0,0,4158,blue,false,right,37,47,right,blue,266,0
35,309756.89999997616,0,0,4158,blue,false,right,27,91,right,blue,1468,0
36,313767.2000000477,0,0,4158,blue,false,right,44,42,right,blue,541,0
37,316834.89999997616,0,0,4158,blue,true,left,31,55,right,orange,1048,0
38,320404.5,1,97,4061,blue,false,right,97,70,left,orange,457,0
39,323391.5,0,0,4061,blue,false,right,14,9,right,blue,402,0
40,326317.3000000715,0,0,4061,blue,true,right,23,51,left,orange,549,0
41,329401.3000000715,1,79,3982,blue,true,right,89,79,right,blue,1221,0
42,333163.89999997616,1,86,3896,blue,true,left,83,86,left,blue,1406,0
43,337103.10000002384,1,62,3834,blue,true,right,40,62,right,blue,537,0
44,340186.39999997616,0,0,3834,blue,true,right,36,23,left,orange,586,0
45,343297.60000002384,1,61,3773,blue,true,right,65,61,right,blue,754,0
46,346586.10000002384,0,0,3773,blue,true,left,74,67,right,orange,653,0
47,349771.8000000715,1,41,3732,blue,true,left,73,41,left,blue,1093,0
48,357411.8000000715,1,96,3636,blue,false,left,96,54,right,orange,953,0
49,360895.5,1,88,3548,blue,true,left,86,88,left,blue,286,0
