Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,316038.2999997139,1,37,4963,blue,true,right,44,37,right,blue,1241,0
2,319816.7999997139,0,0,4963,blue,true,left,66,12,right,orange,2566,0
3,324904.5,1,9,4954,blue,true,right,98,9,right,blue,1424,0
4,328877.69999980927,1,20,4934,blue,false,right,20,91,left,orange,1085,0
5,332491.7999997139,0,0,4934,blue,true,left,28,8,right,orange,440,0
6,335467.7999997139,0,0,4934,blue,true,left,30,33,right,orange,459,0
7,338458.59999990463,0,0,4934,blue,true,right,27,24,left,orange,723,0
8,341709.19999980927,1,58,4876,blue,false,left,58,43,right,orange,1163,0
9,345401.09999990463,0,0,4876,blue,true,left,72,47,right,orange,1443,0
10,349364.2999997139,1,44,4832,blue,false,left,44,44,right,orange,877,0
11,352773.09999990463,0,0,4832,blue,true,left,69,26,right,orange,1585,0
12,356901.2999997139,0,0,4832,blue,true,right,6,41,left,orange,641,0
13,360075.19999980927,0,0,4832,blue,true,right,88,34,left,orange,1294,0
14,363899.19999980927,1,73,4759,blue,false,right,73,18,left,orange,1237,0
15,367684.5,0,0,4759,blue,true,left,60,25,right,orange,1185,0
16,371400.40000009537,1,6,4753,blue,true,left,68,6,left,blue,1029,0
17,374966.59999990463,1,48,4705,blue,false,right,48,39,left,orange,1145,0
18,378647,0,0,4705,blue,true,right,35,76,left,orange,1313,0
19,382495,0,0,4705,blue,true,left,23,85,right,orange,690,0
20,385723,0,0,4705,blue,true,left,54,22,right,orange,1412,0
21,389670.69999980927,1,66,4639,blue,false,right,66,58,left,orange,855,0
22,393058.69999980927,0,0,4639,blue,true,right,98,41,left,orange,1152,0
23,396732.7999997139,0,0,4639,blue,true,right,58,80,left,orange,963,0
24,400222.7999997139,0,0,4639,blue,true,left,32,85,right,orange,747,0
25,403511.40000009537,0,0,4639,blue,false,right,83,15,right,blue,1383,0
26,407430.19999980927,0,0,4639,blue,true,left,18,16,right,orange,721,0
