Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,209317.19999998808,1,10,4990,blue,true,right,23,10,right,blue,1288,0
2,213128.30000001192,0,0,4990,blue,true,left,45,97,right,orange,1036,0
3,216686.30000001192,0,0,4990,blue,true,right,54,62,left,orange,948,0
4,220152.30000001192,0,0,4990,blue,false,right,99,16,right,blue,1264,0
5,223937.09999999404,1,40,4950,blue,true,right,72,40,right,blue,877,0
6,227340.69999998808,0,0,4950,blue,true,left,98,88,right,orange,1513,0
7,231373.30000001192,0,0,4950,blue,true,left,6,54,right,orange,1000,0
8,234891.19999998808,0,0,4950,blue,true,left,64,55,right,orange,996,0
9,238409.09999999404,1,96,4854,blue,false,left,96,45,right,orange,1024,0
10,241955.80000001192,0,0,4854,blue,true,right,28,19,left,orange,2210,0
11,246682.59999999404,1,26,4828,blue,true,right,95,26,right,blue,1496,0
12,250709.90000000596,1,29,4799,blue,true,right,90,29,right,blue,1223,0
13,254457.40000000596,0,0,4799,blue,true,left,20,53,right,orange,1848,0
14,258825,0,0,4799,blue,true,left,74,56,right,orange,850,0
15,262197.3000000119,0,0,4799,blue,true,left,18,42,right,orange,949,0
16,265662.40000000596,0,0,4799,blue,true,left,11,91,right,orange,1988,0
17,270167.6999999881,1,32,4767,blue,false,right,32,31,left,orange,831,0
18,273527,0,0,4767,blue,true,right,36,65,left,orange,865,0
19,276912.8000000119,1,40,4727,blue,false,left,40,30,right,orange,843,0
20,280280.1999999881,0,0,4727,blue,true,left,29,26,right,orange,738,0
21,283534.1999999881,1,32,4695,blue,false,right,32,36,left,orange,766,0
22,286828.1999999881,0,0,4695,blue,true,left,72,81,right,orange,906,0
23,290253,1,95,4600,blue,false,left,95,54,right,orange,683,0
24,293457.5,1,40,4560,blue,false,left,40,59,right,orange,644,0
25,296625.1999999881,1,29,4531,blue,false,left,29,24,right,orange,815,0
26,299964.8000000119,0,0,4531,blue,false,left,60,51,left,blue,584,0
27,303070.5,0,0,4531,blue,false,left,83,65,left,blue,548,0
28,306141.40000000596,1,98,4433,blue,true,left,78,98,left,blue,991,0
29,309658.5,1,56,4377,blue,false,left,56,51,right,orange,638,0
30,312814.8000000119,1,5,4372,blue,false,right,5,20,left,orange,2576,0
31,317908.3000000119,1,67,4305,blue,false,right,67,2,left,orange,894,0
32,321321.5,1,85,4220,blue,false,left,85,84,right,orange,991,0
33,324837.59999999404,1,49,4171,blue,true,right,7,49,right,blue,1426,0
34,328792.59999999404,1,37,4134,blue,false,right,37,47,left,orange,712,0
35,332025.59999999404,1,27,4107,blue,false,left,27,91,right,orange,853,0
36,335404.09999999404,1,44,4063,blue,false,left,44,42,right,orange,1337,0
37,339262.59999999404,0,0,4063,blue,true,left,31,55,right,orange,463,0
38,342246.1999999881,1,97,3966,blue,false,right,97,70,left,orange,733,0
39,345502.90000000596,1,14,3952,blue,false,left,14,9,right,orange,636,0
40,348661,0,0,3952,blue,true,right,23,51,left,orange,432,0
41,351617.6999999881,0,0,3952,blue,true,right,89,79,left,orange,674,0
42,354810.3000000119,0,0,3952,blue,true,left,83,86,right,orange,678,0
43,358009.3000000119,0,0,3952,blue,true,right,40,62,left,orange,680,0
44,361207.09999999404,0,0,3952,blue,true,left,36,23,right,orange,952,0
45,364678.8000000119,0,0,3952,blue,true,right,65,61,left,orange,739,0
46,367935.5,0,0,3952,blue,true,left,74,67,right,orange,651,0
47,371104.8000000119,0,0,3952,blue,true,right,73,41,left,orange,543,0
48,378175.59999999404,1,96,3856,blue,false,right,96,54,left,orange,885,0
49,381588.8000000119,1,88,3768,blue,true,right,86,88,right,blue,457,0
50,384568.40000000596,0,0,3768,blue,true,left,43,66,right,orange,825,0
51,387910.40000000596,0,0,3768,blue,true,right,72,79,left,orange,744,0
52,391172.8000000119,1,71,3697,blue,false,left,71,13,right,orange,679,0
53,394377.1999999881,0,0,3697,blue,true,right,78,53,left,orange,648,0
54,397539.40000000596,0,0,3697,blue,true,left,57,90,right,orange,750,0
55,400809,1,3,3694,blue,false,left,3,12,right,orange,1505,0
56,404837.3000000119,0,0,3694,blue,true,left,2,64,right,orange,667,0
57,408024.8000000119,0,0,3694,blue,true,left,99,9,right,orange,631,0
58,411176.1999999881,0,0,3694,blue,true,left,21,42,right,orange,651,0
59,414347.40000000596,0,0,3694,blue,true,right,83,72,left,orange,760,0
