Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,330276.1999999285,1,10,4990,blue,true,right,23,10,right,blue,1221,0
2,334015.5,0,0,4990,blue,true,right,45,97,left,orange,592,0
3,337122,0,0,4990,blue,true,right,54,62,left,orange,803,0
4,340436.6999999285,0,0,4990,blue,false,left,99,16,left,blue,2672,0
5,345619.1999999285,0,0,4990,blue,true,right,72,40,left,orange,1257,0
6,349388.59999990463,1,88,4902,blue,true,right,98,88,right,blue,2477,0
7,354378.59999990463,0,0,4902,blue,true,right,6,54,left,orange,1044,0
8,357939.6999999285,0,0,4902,blue,true,right,64,55,left,orange,886,0
9,361339.2999999523,1,96,4806,blue,false,right,96,45,left,orange,2381,0
10,366234.89999997616,1,19,4787,blue,true,right,28,19,right,blue,1236,0
11,369985.39999997616,1,26,4761,blue,true,left,95,26,left,blue,816,0
12,373314.6999999285,0,0,4761,blue,true,left,90,29,right,orange,1414,0
13,377241.89999997616,1,53,4708,blue,true,right,20,53,right,blue,1157,0
14,380914.5,0,0,4708,blue,true,right,74,56,left,orange,1341,0
15,384764.7999999523,0,0,4708,blue,true,left,18,42,right,orange,866,0
16,388143.09999990463,0,0,4708,blue,true,right,11,91,left,orange,1646,0
17,392302,1,32,4676,blue,false,right,32,31,left,orange,1802,0
18,396619.6999999285,0,0,4676,blue,true,left,36,65,right,orange,1128,0
19,400259.09999990463,0,0,4676,blue,false,right,40,30,right,blue,1493,0
20,404263.7999999523,1,26,4650,blue,true,right,29,26,right,blue,1104,0
21,407879.09999990463,1,32,4618,blue,false,right,32,36,left,orange,1667,0
22,412060.6999999285,0,0,4618,blue,true,right,72,81,left,orange,1316,0
23,415889.7999999523,0,0,4618,blue,false,right,95,54,right,blue,1125,0
24,419526.09999990463,1,40,4578,blue,false,right,40,59,left,orange,1077,0
25,423120,0,0,4578,blue,false,right,29,24,right,blue,1153,0
26,426783.7999999523,0,0,4578,blue,false,left,60,51,left,blue,2088,0
