Quiz_round,2,RESULT:,Steal2Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,271733,0,0,5000,blue,true,right,44,37,left,orange,1584,0
2,275909,0,0,5000,blue,true,left,66,12,right,orange,895,0
3,279360,0,0,5000,blue,true,left,98,9,right,orange,1130,0
4,283034,1,20,4980,blue,false,right,20,91,left,orange,855,0
5,286441,1,8,4972,blue,true,right,28,8,right,blue,1188,0
6,290189,0,0,4972,blue,true,right,30,33,left,orange,1086,0
7,293825,0,0,4972,blue,true,left,27,24,right,orange,1052,0
8,297422,1,58,4914,blue,false,right,58,43,left,orange,792,0
9,300770,0,0,4914,blue,true,left,72,47,right,orange,2379,0
10,305701,1,44,4870,blue,false,right,44,44,left,orange,688,0
11,308950,0,0,4870,blue,true,left,69,26,right,orange,725,0
12,312234,0,0,4870,blue,true,right,6,41,left,orange,780,0
13,315557,0,0,4870,blue,true,right,88,34,left,orange,511,0
14,318611,1,73,4797,blue,false,right,73,18,left,orange,675,0
15,321838,0,0,4797,blue,true,right,60,25,left,orange,1613,0
16,325998,0,0,4797,blue,true,right,68,6,left,orange,617,0
17,329153,1,48,4749,blue,false,right,48,39,left,orange,516,0
18,332227,0,0,4749,blue,true,right,35,76,left,orange,667,0
19,335457,0,0,4749,blue,true,left,23,85,right,orange,1043,0
20,339053,1,22,4727,blue,true,right,54,22,right,blue,699,0
21,342328,1,66,4661,blue,false,right,66,58,left,orange,588,0
22,345475,0,0,4661,blue,true,left,98,41,right,orange,1171,0
23,349200,0,0,4661,blue,true,right,58,80,left,orange,666,0
24,352422,0,0,4661,blue,true,left,32,85,right,orange,695,0
25,355667,1,83,4578,blue,false,left,83,15,right,orange,778,0
26,359001,0,0,4578,blue,true,right,18,16,left,orange,682,0
27,362244,0,0,4578,blue,true,left,56,99,right,orange,1190,0
28,365990,0,0,4578,blue,true,right,23,75,left,orange,738,0
29,369279,1,18,4560,blue,true,right,68,18,right,blue,1542,0
30,373392,0,0,4560,blue,true,left,30,16,right,orange,1253,0
31,377199,0,0,4560,blue,true,right,86,37,left,orange,1205,0
32,380965,0,0,4560,blue,true,left,47,44,right,orange,748,0
33,384268,0,0,4560,blue,true,left,3,91,right,orange,921,0
34,387746,1,60,4500,blue,false,right,60,14,left,orange,847,0
35,391164,0,0,4500,blue,true,left,54,84,right,orange,702,0
36,394422,0,0,4500,blue,true,left,34,23,right,orange,551,0
37,397519,0,0,4500,blue,true,right,96,28,left,orange,662,0
38,400727,1,83,4417,blue,false,left,83,94,right,orange,857,0
39,404162,0,0,4417,blue,true,right,63,86,left,orange,566,0
40,407264,0,0,4417,blue,true,right,99,53,left,orange,559,0
41,410378,0,0,4417,blue,true,left,29,91,right,orange,796,0
42,413731,1,64,4353,blue,true,right,88,64,right,blue,2620,0
43,418911,0,0,4353,blue,true,right,84,70,left,orange,1069,0
44,422534,1,61,4292,blue,false,right,61,88,left,orange,406,0
45,425495,0,0,4292,blue,true,left,61,43,right,orange,1129,0
46,429160,0,0,4292,blue,true,right,87,54,left,orange,758,0
47,432478,1,5,4287,blue,false,right,5,90,left,orange,535,0
48,439574,0,0,4287,blue,true,left,71,44,right,orange,1189,0
49,443317,0,0,4287,blue,true,right,42,52,left,orange,571,0
50,446432,0,0,4287,blue,true,left,39,93,right,orange,748,0
51,449733,0,0,4287,blue,true,left,39,24,right,orange,611,0
52,452899,1,20,4267,blue,false,left,20,10,right,orange,709,0
53,456152,1,85,4182,blue,false,right,85,43,left,orange,722,0
54,459434,1,77,4105,blue,false,right,77,7,left,orange,556,0
55,462543,1,90,4015,blue,true,left,95,90,left,blue,848,0
56,465938,1,7,4008,blue,true,left,56,7,left,blue,633,0
57,469126,0,0,4008,blue,true,right,50,69,left,orange,1065,0
58,472741,0,0,4008,blue,true,left,4,83,right,orange,749,0
59,476029,1,40,3968,blue,false,right,40,8,left,orange,543,0
60,479131,0,0,3968,blue,true,left,47,86,right,orange,1297,0
61,482987,0,0,3968,blue,true,right,15,49,left,orange,584,0
62,486125,0,0,3968,blue,true,left,17,39,right,orange,644,0
63,489334,1,76,3892,blue,false,left,76,97,right,orange,585,0
64,492479,0,0,3892,blue,true,right,73,14,left,orange,616,0
65,495646,0,0,3892,blue,true,right,67,29,left,orange,1503,0
66,499708,0,0,3892,blue,true,right,48,39,left,orange,589,0
67,502842,0,0,3892,blue,true,right,30,99,left,orange,682,0
68,506083,1,13,3879,blue,false,right,13,20,left,orange,624,0
69,509282,0,0,3879,blue,true,right,66,59,left,orange,747,0
70,512582,0,0,3879,blue,true,left,20,60,right,orange,756,0
71,515908,0,0,3879,blue,true,right,41,25,left,orange,595,0
72,519066,1,76,3803,blue,false,right,76,70,left,orange,1763,0
73,523404,1,73,3730,blue,false,left,73,18,right,orange,1109,0
74,527083,1,41,3689,blue,false,left,41,80,right,orange,622,0
75,530290,0,0,3689,blue,true,right,25,76,left,orange,496,0
76,533338,1,34,3655,blue,false,right,34,52,left,orange,426,0
77,536348,1,30,3625,blue,false,right,30,60,left,orange,612,0
78,539528,0,0,3625,blue,false,left,91,36,left,blue,1572,0
79,543655,0,0,3625,blue,false,right,70,59,right,blue,825,0
80,547039,1,47,3578,blue,true,left,64,47,left,blue,796,0
81,550404,0,0,3578,blue,false,left,28,44,left,blue,693,0
82,553669,1,2,3576,blue,false,left,2,80,right,orange,1805,0
83,558040,0,0,3576,blue,false,left,20,39,left,blue,648,0
84,561250,0,0,3576,blue,false,right,32,61,right,blue,2049,0
85,565848,0,0,3576,blue,false,right,90,61,right,blue,950,0
86,569357,1,70,3506,blue,true,right,62,70,right,blue,765,0
87,572677,0,0,3506,blue,false,left,17,33,left,blue,1094,0
88,576327,0,0,3506,blue,false,left,74,17,left,blue,671,0
89,579553,0,0,3506,blue,false,right,2,85,right,blue,1864,0
90,583962,0,0,3506,blue,false,left,39,76,left,blue,740,0
91,587251,0,0,3506,blue,false,left,70,20,left,blue,790,0
92,590601,0,0,3506,blue,true,left,24,69,right,orange,1568,0
93,594737,1,52,3454,blue,true,left,59,52,left,blue,1287,0
94,602587,0,0,3454,blue,false,left,15,43,left,blue,1194,0
