Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,199249,1,10,4990,blue,true,right,23,10,right,blue,1889,0
2,203680,0,0,4990,blue,true,right,45,97,left,orange,1093,0
3,207317,0,0,4990,blue,true,left,54,62,right,orange,922,0
4,210784,1,99,4891,blue,false,left,99,16,right,orange,865,0
5,214201,0,0,4891,blue,true,right,72,40,left,orange,957,0
6,217684,0,0,4891,blue,true,left,98,88,right,orange,852,0
7,221083,0,0,4891,blue,true,left,6,54,right,orange,685,0
8,224298,0,0,4891,blue,true,left,64,55,right,orange,653,0
9,227497,1,96,4795,blue,false,left,96,45,right,orange,624,0
10,230678,0,0,4795,blue,true,right,28,19,left,orange,1173,0
11,234400,0,0,4795,blue,true,left,95,26,right,orange,707,0
12,237652,0,0,4795,blue,true,right,90,29,left,orange,625,0
13,240809,0,0,4795,blue,true,left,20,53,right,orange,825,0
14,244188,0,0,4795,blue,true,left,74,56,right,orange,640,0
15,247364,0,0,4795,blue,true,left,18,42,right,orange,587,0
16,250500,0,0,4795,blue,true,left,11,91,right,orange,523,0
17,253553,1,32,4763,blue,false,right,32,31,left,orange,582,0
18,256674,0,0,4763,blue,true,right,36,65,left,orange,491,0
19,259699,1,40,4723,blue,false,right,40,30,left,orange,532,0
20,262788,0,0,4723,blue,true,left,29,26,right,orange,1227,0
21,266549,1,32,4691,blue,false,left,32,36,right,orange,597,0
22,269710,1,81,4610,blue,true,right,72,81,right,blue,1063,0
23,273312,1,95,4515,blue,false,left,95,54,right,orange,861,0
24,276716,1,40,4475,blue,false,left,40,59,right,orange,750,0
25,280005,0,0,4475,blue,false,left,29,24,left,blue,490,0
26,283050,0,0,4475,blue,false,right,60,51,right,blue,747,0
27,286329,0,0,4475,blue,false,left,83,65,left,blue,489,0
28,295375,1,98,4377,blue,true,right,78,98,right,blue,2096,1
29,301022,1,56,4321,blue,false,right,56,51,left,orange,1072,0
30,304634,0,0,4321,blue,false,left,5,20,left,blue,1076,0
31,308243,0,0,4321,blue,false,right,67,2,right,blue,557,0
32,311330,0,0,4321,blue,false,left,85,84,left,blue,470,0
33,314332,1,49,4272,blue,true,left,7,49,left,blue,578,0
34,317460,0,0,4272,blue,false,right,37,47,right,blue,872,0
35,320871,0,0,4272,blue,false,right,27,91,right,blue,508,0
36,323920,1,44,4228,blue,false,right,44,42,left,orange,458,0
37,326919,1,55,4173,blue,true,left,31,55,left,blue,685,0
38,330157,0,0,4173,blue,false,left,97,70,left,blue,522,0
39,333227,0,0,4173,blue,false,left,14,9,left,blue,643,0
40,336393,1,51,4122,blue,true,left,23,51,left,blue,719,0
41,339644,1,79,4043,blue,true,right,89,79,right,blue,812,0
42,343008,0,0,4043,blue,true,right,83,86,left,orange,932,0
43,346491,0,0,4043,blue,true,left,40,62,right,orange,494,0
44,349538,0,0,4043,blue,true,left,36,23,right,orange,498,0
45,352578,0,0,4043,blue,true,right,65,61,left,orange,504,0
46,355619,0,0,4043,blue,true,left,74,67,right,orange,573,0
47,358734,0,0,4043,blue,true,left,73,41,right,orange,551,0
48,365839,1,96,3947,blue,false,left,96,54,right,orange,1151,0
49,369532,0,0,3947,blue,true,right,86,88,left,orange,457,0
50,372523,0,0,3947,blue,true,right,43,66,left,orange,517,0
51,375563,0,0,3947,blue,true,right,72,79,left,orange,499,0
52,378592,1,71,3876,blue,false,left,71,13,right,orange,466,0
53,381607,0,0,3876,blue,true,left,78,53,right,orange,435,0
54,384567,0,0,3876,blue,true,right,57,90,left,orange,542,0
55,387646,1,3,3873,blue,false,right,3,12,left,orange,478,0
56,390668,1,64,3809,blue,true,right,2,64,right,blue,529,0
57,393735,1,9,3800,blue,true,left,99,9,left,blue,523,0
58,396803,0,0,3800,blue,true,left,21,42,right,orange,573,0
59,399920,0,0,3800,blue,true,right,83,72,left,orange,1198,0
60,403666,0,0,3800,blue,true,right,37,11,left,orange,471,0
61,406684,1,67,3733,blue,false,right,67,81,left,orange,442,0
62,409674,0,0,3733,blue,true,left,12,14,right,orange,416,0
63,412635,1,78,3655,blue,false,right,78,90,left,orange,436,0
64,415625,0,0,3655,blue,false,right,46,53,right,blue,511,0
65,418682,0,0,3655,blue,false,right,30,42,right,blue,459,0
66,421679,0,0,3655,blue,false,left,36,65,left,blue,440,0
67,424669,0,0,3655,blue,false,left,49,49,left,blue,461,0
68,427664,0,0,3655,blue,false,left,44,10,left,blue,466,0
69,430665,0,0,3655,blue,false,left,70,64,left,blue,482,0
70,433693,0,0,3655,blue,false,left,68,95,left,blue,417,0
71,436639,0,0,3655,blue,false,left,38,46,left,blue,438,0
