Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,306200.89999999106,0,0,5000,blue,true,left,23,10,right,orange,2048,0
2,310767.39999999106,0,0,5000,blue,true,right,45,97,left,orange,1406,0
3,314691.5,0,0,5000,blue,true,right,54,62,left,orange,652,0
4,323369.6999999881,1,99,4901,blue,false,right,99,16,left,orange,1237,1
5,327131.799999997,0,0,4901,blue,true,left,72,40,right,orange,2294,0
6,331943.89999999106,0,0,4901,blue,true,left,98,88,right,orange,2168,0
7,336628.6999999881,1,54,4847,blue,true,right,6,54,right,blue,2062,0
8,341214,0,0,4847,blue,true,right,64,55,left,orange,2096,0
9,345827.299999997,0,0,4847,blue,false,left,96,45,left,blue,2529,0
10,350873.299999997,0,0,4847,blue,true,right,28,19,left,orange,2066,0
11,355457.1999999881,1,26,4821,blue,true,right,95,26,right,blue,2139,0
12,360119.39999999106,1,29,4792,blue,true,left,90,29,left,blue,1826,0
13,364467.5,0,0,4792,blue,true,left,20,53,right,orange,1843,0
14,368828.89999999106,0,0,4792,blue,true,left,74,56,right,orange,1478,0
15,372822.09999999404,0,0,4792,blue,true,right,18,42,left,orange,2577,0
16,377919.5,0,0,4792,blue,true,right,11,91,left,orange,2805,0
17,383240.09999999404,0,0,4792,blue,false,right,32,31,right,blue,2516,0
18,388275.6999999881,0,0,4792,blue,true,left,36,65,right,orange,2183,0
19,392977.89999999106,1,40,4752,blue,false,left,40,30,right,orange,1323,0
20,396820.39999999106,0,0,4752,blue,true,right,29,26,left,orange,1221,0
21,400559,1,32,4720,blue,false,right,32,36,left,orange,1122,0
22,404198.5,0,0,4720,blue,true,right,72,81,left,orange,1077,0
23,407791.6999999881,1,95,4625,blue,false,left,95,54,right,orange,692,0
24,411008.1999999881,1,40,4585,blue,false,left,40,59,right,orange,1312,0
25,414839.1999999881,1,29,4556,blue,false,right,29,24,left,orange,1094,0
26,418456.09999999404,0,0,4556,blue,false,right,60,51,right,blue,844,0
27,421814.799999997,0,0,4556,blue,false,right,83,65,right,blue,1985,0
28,426319.5,1,98,4458,blue,true,right,78,98,right,blue,2586,0
29,431428.799999997,0,0,4458,blue,false,right,56,51,right,blue,3191,0
30,437139.799999997,1,5,4453,blue,false,right,5,20,left,orange,1496,0
31,441158.39999999106,0,0,4453,blue,false,right,67,2,right,blue,1568,0
32,445245.6999999881,0,0,4453,blue,false,left,85,84,left,blue,881,0
33,448645.5,0,0,4453,blue,true,right,7,49,left,orange,2031,0
34,453192.39999999106,0,0,4453,blue,false,left,37,47,left,blue,2079,0
35,457789.89999999106,0,0,4453,blue,false,right,27,91,right,blue,2105,0
36,462410.799999997,0,0,4453,blue,false,left,44,42,left,blue,1018,0
37,465951.89999999106,1,55,4398,blue,true,left,31,55,left,blue,485,0
38,468955.39999999106,0,0,4398,blue,false,left,97,70,left,blue,1567,0
39,473040.6999999881,0,0,4398,blue,false,left,14,9,left,blue,1530,0
40,477093.1999999881,1,51,4347,blue,true,left,23,51,left,blue,1858,0
41,481474.5,1,79,4268,blue,true,left,89,79,left,blue,1033,0
42,485032.6999999881,1,86,4182,blue,true,right,83,86,right,blue,734,0
43,488287.799999997,0,0,4182,blue,true,left,40,62,right,orange,2227,0
44,493032.09999999404,0,0,4182,blue,true,right,36,23,left,orange,1043,0
45,496590.6999999881,0,0,4182,blue,true,right,65,61,left,orange,645,0
46,499754.09999999404,0,0,4182,blue,true,left,74,67,right,orange,676,0
47,502949.6999999881,0,0,4182,blue,true,left,73,41,right,orange,3404,0
48,512879.5,1,96,4086,blue,false,left,96,54,right,orange,3202,0
49,518597.59999999404,0,0,4086,blue,true,left,86,88,right,orange,413,0
50,521529.09999999404,0,0,4086,blue,true,right,43,66,left,orange,1144,0
51,525191.6999999881,0,0,4086,blue,true,right,72,79,left,orange,1461,0
52,529168.1999999881,0,0,4086,blue,false,left,71,13,left,blue,3208,0
53,534892.6999999881,0,0,4086,blue,true,left,78,53,right,orange,2323,0
54,539733.5,0,0,4086,blue,true,right,57,90,left,orange,2626,0
55,544876.3999999911,1,3,4083,blue,false,right,3,12,left,orange,1784,0
56,549183.099999994,0,0,4083,blue,true,left,2,64,right,orange,2496,0
57,554192.799999997,1,9,4074,blue,true,right,99,9,right,blue,2823,0
58,559536.8999999911,0,0,4074,blue,true,left,21,42,right,orange,1818,0
59,563875.099999994,0,0,4074,blue,true,right,83,72,left,orange,1252,0
60,567643.3999999911,1,11,4063,blue,true,right,37,11,right,blue,2340,0
61,572508.099999994,1,67,3996,blue,false,left,67,81,right,orange,1396,0
62,576426.5,0,0,3996,blue,true,left,12,14,right,orange,760,0
63,579706.599999994,1,78,3918,blue,false,left,78,90,right,orange,1336,0
64,583566.6999999881,1,46,3872,blue,false,right,46,53,left,orange,507,0
65,586594.599999994,0,0,3872,blue,false,right,30,42,right,blue,780,0
66,589891.6999999881,0,0,3872,blue,false,left,36,65,left,blue,543,0
67,592953.3999999911,0,0,3872,blue,false,right,49,49,right,blue,538,0
68,596006.3999999911,0,0,3872,blue,false,left,44,10,left,blue,2061,0
69,600587.1999999881,0,0,3872,blue,false,left,70,64,left,blue,1056,0
70,604162.5,0,0,3872,blue,false,left,68,95,left,blue,1935,0
71,608615.1999999881,0,0,3872,blue,false,left,38,46,left,blue,1118,0
72,612252.799999997,0,0,3872,blue,false,right,18,24,right,blue,1130,0
73,615900.599999994,0,0,3872,blue,false,right,82,78,right,blue,1284,0
74,619702.6999999881,0,0,3872,blue,false,right,59,54,right,blue,437,0
75,622657.6999999881,0,0,3872,blue,false,left,36,33,left,blue,811,0
76,625982.3999999911,1,56,3816,blue,true,left,49,56,left,blue,928,0
77,629430.799999997,0,0,3816,blue,false,right,26,83,right,blue,617,0
78,632564.6999999881,0,0,3816,blue,false,right,38,81,right,blue,1154,0
79,636235.099999994,0,0,3816,blue,false,left,12,3,left,blue,1689,0
80,640437,0,0,3816,blue,false,left,62,38,left,blue,1180,0
81,644137.3999999911,0,0,3816,blue,false,right,43,50,right,blue,429,0
82,647084.6999999881,0,0,3816,blue,false,right,50,47,right,blue,852,0
83,650457.3999999911,1,35,3781,blue,true,right,41,35,right,blue,907,0
84,653886.099999994,1,9,3772,blue,false,left,9,62,right,orange,2215,0
85,658624,0,0,3772,blue,false,left,60,58,left,blue,825,0
86,661969.099999994,0,0,3772,blue,false,left,88,31,left,blue,1874,0
87,666364.8999999911,0,0,3772,blue,false,left,56,44,left,blue,1175,0
88,670059,1,15,3757,blue,true,right,31,15,right,blue,640,0
89,673217,0,0,3757,blue,false,left,90,31,left,blue,560,0
90,676295.799999997,0,0,3757,blue,false,right,80,76,right,blue,646,0
91,679461.3999999911,0,0,3757,blue,false,right,78,4,right,blue,672,0
92,682651.1999999881,0,0,3757,blue,false,left,60,28,left,blue,581,0
93,685753.5,1,99,3658,blue,true,right,56,99,right,blue,501,0
94,692780.3999999911,1,31,3627,blue,false,left,31,45,right,orange,1505,0
95,702314,1,55,3572,blue,false,right,55,16,left,orange,652,1
96,705488.8999999911,1,89,3483,blue,true,right,12,89,right,blue,1759,0
97,709770.5,0,0,3483,blue,false,left,49,4,left,blue,1180,0
98,713470.799999997,0,0,3483,blue,false,right,69,12,right,blue,1075,0
99,717064.299999997,1,26,3457,blue,true,right,49,26,right,blue,1284,0
100,720872.299999997,0,0,3457,blue,false,right,75,76,right,blue,1234,0
101,724624.1999999881,1,22,3435,blue,false,left,22,90,right,orange,1873,0
102,729020,1,23,3412,blue,true,left,26,23,left,blue,909,0
103,732446.8999999911,0,0,3412,blue,false,right,11,68,right,blue,2817,0
104,737781.3999999911,1,82,3330,blue,true,left,71,82,left,blue,1006,0
105,741303.599999994,0,0,3330,blue,false,left,86,95,left,blue,546,0
106,744365.099999994,0,0,3330,blue,false,right,79,88,right,blue,526,0
107,747406.5,0,0,3330,blue,false,left,75,40,left,blue,1808,0
108,751731.799999997,0,0,3330,blue,false,right,11,94,right,blue,2296,0
109,756543.6999999881,1,44,3286,blue,true,left,53,44,left,blue,893,0
110,759956.6999999881,0,0,3286,blue,false,left,85,17,left,blue,595,0
111,763063.099999994,1,32,3254,blue,true,left,85,32,left,blue,634,0
112,766218.8999999911,0,0,3254,blue,false,right,38,68,right,blue,561,0
113,769297.299999997,1,28,3226,blue,false,right,28,93,left,orange,2051,0
114,773865.3999999911,0,0,3226,blue,false,left,13,95,left,blue,1467,0
115,777848.1999999881,0,0,3226,blue,false,left,69,60,left,blue,611,0
116,780977,1,95,3131,blue,true,right,56,95,right,blue,473,0
117,783968.8999999911,0,0,3131,blue,false,left,2,41,left,blue,394,0
118,786880.599999994,0,0,3131,blue,false,left,42,5,left,blue,814,0
119,790211.099999994,0,0,3131,blue,false,left,44,30,left,blue,1203,0
120,793930.1999999881,0,0,3131,blue,false,left,79,4,left,blue,1934,0
121,798379.8999999911,0,0,3131,blue,false,left,83,87,left,blue,1063,0
122,801962.1999999881,0,0,3131,blue,false,right,59,44,right,blue,489,0
123,804967.099999994,1,10,3121,blue,true,left,15,10,left,blue,436,0
124,807929.5,0,0,3121,blue,false,right,60,15,right,blue,334,0
125,810779.599999994,0,0,3121,blue,false,left,73,25,left,blue,353,0
