Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H40097,1,896112,1,10,4990,blue,true,right,23,10,right,blue,804,0
H40097,2,899460,0,0,4990,blue,true,left,45,97,right,orange,811,0
H40097,3,902817,0,0,4990,blue,true,left,54,62,right,orange,488,0
H40097,4,905851,1,99,4891,blue,false,left,99,16,right,orange,343,0
H40097,5,908753,1,40,4851,blue,true,left,72,40,left,blue,1501,0
H40097,6,912826,0,0,4851,blue,true,right,98,88,left,orange,560,0
H40097,7,915931,0,0,4851,blue,true,left,6,54,right,orange,848,0
H40097,8,919334,0,0,4851,blue,true,left,64,55,right,orange,575,0
H40097,9,922460,0,0,4851,blue,false,left,96,45,left,blue,776,0
H40097,10,925765,1,19,4832,blue,true,right,28,19,right,blue,829,0
H40097,11,929146,0,0,4832,blue,true,left,95,26,right,orange,784,0
H40097,12,932473,0,0,4832,blue,true,left,90,29,right,orange,689,0
H40097,13,935694,0,0,4832,blue,true,left,20,53,right,orange,671,0
H40097,14,938927,0,0,4832,blue,true,left,74,56,right,orange,593,0
H40097,15,942085,0,0,4832,blue,true,left,18,42,right,orange,540,0
H40097,16,945167,0,0,4832,blue,true,right,11,91,left,orange,666,0
H40097,17,948356,1,32,4800,blue,false,left,32,31,right,orange,616,0
H40097,18,951526,0,0,4800,blue,true,left,36,65,right,orange,849,0
H40097,19,954914,1,40,4760,blue,false,left,40,30,right,orange,381,0
H40097,20,957841,0,0,4760,blue,true,left,29,26,right,orange,625,0
H40097,21,961017,1,32,4728,blue,false,right,32,36,left,orange,908,0
H40097,22,964465,0,0,4728,blue,true,left,72,81,right,orange,982,0
H40097,23,967978,0,0,4728,blue,false,left,95,54,left,blue,1058,0
H40097,24,971578,1,40,4688,blue,false,right,40,59,left,orange,1052,0
H40097,25,975171,0,0,4688,blue,false,left,29,24,left,blue,1269,0
H40097,26,978986,0,0,4688,blue,false,right,60,51,right,blue,501,0
H40097,27,982020,0,0,4688,blue,false,left,83,65,left,blue,390,0
H40097,28,984951,1,98,4590,blue,true,left,78,98,left,blue,376,0
H40097,29,987880,1,56,4534,blue,false,right,56,51,left,orange,435,0
H40097,30,990884,0,0,4534,blue,false,left,5,20,left,blue,930,0
