Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H40671,1,194944.40000000596,1,37,4963,blue,true,left,44,37,left,blue,1019,0
H40671,2,198529,0,0,4963,blue,true,right,66,12,left,orange,2016,0
H40671,3,203111,0,0,4963,blue,true,right,98,9,left,orange,634,0
H40671,4,206303.60000000894,1,20,4943,blue,false,left,20,91,right,orange,967,0
H40671,5,209853.20000000298,1,8,4935,blue,true,right,28,8,right,blue,1278,0
H40671,6,213726.80000001192,0,0,4935,blue,true,right,30,33,left,orange,786,0
H40671,7,217065.70000000298,0,0,4935,blue,true,right,27,24,left,orange,489,0
H40671,8,220123.30000001192,1,58,4877,blue,false,left,58,43,right,orange,841,0
H40671,9,223538.70000000298,0,0,4877,blue,true,right,72,47,left,orange,644,0
H40671,10,226750.30000001192,0,0,4877,blue,false,right,44,44,right,blue,582,0
H40671,11,229923.80000001192,0,0,4877,blue,true,right,69,26,left,orange,676,0
H40671,12,233160,0,0,4877,blue,true,right,6,41,left,orange,420,0
H40671,13,236140,1,34,4843,blue,true,left,88,34,left,blue,1485,0
H40671,14,240203.70000000298,0,0,4843,blue,false,right,73,18,right,blue,992,0
H40671,15,243753.30000001192,0,0,4843,blue,true,left,60,25,right,orange,540,0
H40671,16,246865.40000000596,0,0,4843,blue,true,right,68,6,left,orange,494,0
H40671,17,249907.30000001192,1,48,4795,blue,false,left,48,39,right,orange,1059,0
H40671,18,253541.30000001192,0,0,4795,blue,true,right,35,76,left,orange,645,0
H40671,19,256741.30000001192,0,0,4795,blue,true,right,23,85,left,orange,554,0
H40671,20,259861.70000000298,1,22,4773,blue,true,right,54,22,right,blue,1923,0
H40671,21,264348.10000000894,1,66,4707,blue,false,left,66,58,right,orange,1030,0
H40671,22,267965.90000000596,0,0,4707,blue,true,right,98,41,left,orange,537,0
H40671,23,271062.60000000894,0,0,4707,blue,true,left,58,80,right,orange,505,0
H40671,24,274121.700000003,0,0,4707,blue,true,left,32,85,right,orange,464,0
H40671,25,277151.10000000894,0,0,4707,blue,false,left,83,15,left,blue,865,0
H40671,26,280583.5,1,16,4691,blue,true,right,18,16,right,blue,1217,0
H40671,27,284365.5,1,99,4592,blue,true,right,56,99,right,blue,596,0
H40671,28,287526.700000003,1,75,4517,blue,true,right,23,75,right,blue,638,0
H40671,29,290754.40000000596,1,18,4499,blue,true,left,68,18,left,blue,854,0
H40671,30,294177.40000000596,1,16,4483,blue,true,left,30,16,left,blue,505,0
H40671,31,297258.10000000894,0,0,4483,blue,true,left,86,37,right,orange,647,0
H40671,32,300468.40000000596,1,44,4439,blue,true,left,47,44,left,blue,425,0
H40671,33,303478,0,0,4439,blue,true,left,3,91,right,orange,537,0
H40671,34,306559.200000003,1,60,4379,blue,false,left,60,14,right,orange,745,0
H40671,35,309871.5,0,0,4379,blue,true,left,54,84,right,orange,515,0
H40671,36,312951.60000000894,0,0,4379,blue,true,left,34,23,right,orange,366,0
H40671,37,315899,0,0,4379,blue,true,right,96,28,left,orange,928,0
H40671,38,319388.3000000119,0,0,4379,blue,false,left,83,94,left,blue,670,0
H40671,39,322626.200000003,0,0,4379,blue,true,right,63,86,left,orange,775,0
H40671,40,325960.8000000119,0,0,4379,blue,true,right,99,53,left,orange,493,0
H40671,41,329004.60000000894,0,0,4379,blue,true,right,29,91,left,orange,1071,0
H40671,42,332635.60000000894,1,64,4315,blue,true,left,88,64,left,blue,1993,0
H40671,43,337195.40000000596,1,70,4245,blue,true,left,84,70,left,blue,508,0
H40671,44,340265,1,61,4184,blue,false,right,61,88,left,orange,1439,0
H40671,45,344271.90000000596,0,0,4184,blue,true,right,61,43,left,orange,441,0
H40671,46,347264,0,0,4184,blue,true,right,87,54,left,orange,430,0
H40671,47,350250.10000000894,1,5,4179,blue,false,left,5,90,right,orange,589,0
H40671,48,357439.90000000596,1,44,4135,blue,true,right,71,44,right,blue,1180,0
H40671,49,361199.5,0,0,4135,blue,true,right,42,52,left,orange,740,0
H40671,50,364504.200000003,1,93,4042,blue,true,left,39,93,left,blue,520,0
H40671,51,367586.200000003,0,0,4042,blue,true,left,39,24,right,orange,580,0
H40671,52,370716.60000000894,1,20,4022,blue,false,left,20,10,right,orange,528,0
H40671,53,373795.40000000596,1,85,3937,blue,false,left,85,43,right,orange,484,0
H40671,54,376841.200000003,1,77,3860,blue,false,left,77,7,right,orange,495,0
H40671,55,379905.10000000894,0,0,3860,blue,true,left,95,90,right,orange,632,0
H40671,56,383085.5,0,0,3860,blue,true,right,56,7,left,orange,1217,0
H40671,57,386873.10000000894,0,0,3860,blue,true,right,50,69,left,orange,446,0
H40671,58,389866.3000000119,1,83,3777,blue,true,right,4,83,right,blue,530,0
