Quiz_round,2,RESULT:,SideGoodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H41493,1,173221,1,10,4990,blue,true,left,23,10,left,blue,995,0
H41493,2,176810,0,0,4990,blue,true,left,45,97,right,orange,1071,0
H41493,3,180397,0,0,4990,blue,true,right,54,62,left,orange,1148,0
H41493,4,184060,0,0,4990,blue,false,left,99,16,left,blue,937,0
H41493,5,187513,1,40,4950,blue,true,left,72,40,left,blue,968,0
H41493,6,191003,0,0,4950,blue,true,right,98,88,left,orange,1056,0
H41493,7,194573,0,0,4950,blue,true,left,6,54,right,orange,1347,0
H41493,8,198436,0,0,4950,blue,true,right,64,55,left,orange,708,0
H41493,9,201661,1,96,4854,blue,false,right,96,45,left,orange,621,0
H41493,10,204797,0,0,4854,blue,true,right,28,19,left,orange,673,0
H41493,11,207988,1,26,4828,blue,true,right,95,26,right,blue,1027,0
H41493,12,211535,0,0,4828,blue,true,left,90,29,right,orange,1458,0
H41493,13,215507,0,0,4828,blue,true,right,20,53,left,orange,1016,0
H41493,14,219039.00000000003,0,0,4828,blue,true,left,74,56,right,orange,599,0
H41493,15,222153,0,0,4828,blue,true,left,18,42,right,orange,695,0
H41493,16,225364,0,0,4828,blue,true,right,11,91,left,orange,594,0
H41493,17,228475,1,32,4796,blue,false,right,32,31,left,orange,549,0
H41493,18,231545.00000000003,0,0,4796,blue,true,left,36,65,right,orange,1337,0
H41493,19,235398,1,40,4756,blue,false,left,40,30,right,orange,1547,0
H41493,20,239465,1,26,4730,blue,true,left,29,26,left,blue,771,0
H41493,21,242758,1,32,4698,blue,false,right,32,36,left,orange,971,0
H41493,22,246249,1,81,4617,blue,true,right,72,81,right,blue,647,0
H41493,23,249415,1,95,4522,blue,false,left,95,54,right,orange,839,0
H41493,24,252780,0,0,4522,blue,false,right,40,59,right,blue,519,0
H41493,25,255814,0,0,4522,blue,false,left,29,24,left,blue,626,0
H41493,26,258954.99999999997,0,0,4522,blue,false,right,60,51,right,blue,762,0
H41493,27,262236,0,0,4522,blue,false,right,83,65,right,blue,831,0
H41493,28,265582,1,98,4424,blue,true,right,78,98,right,blue,830,0
H41493,29,268933,0,0,4424,blue,false,right,56,51,right,blue,591,0
H41493,30,272038,0,0,4424,blue,false,right,5,20,right,blue,460,0
H41493,31,275014,0,0,4424,blue,false,right,67,2,right,blue,658,0
H41493,32,278187,0,0,4424,blue,false,right,85,84,right,blue,667,0
H41493,33,281370,1,49,4375,blue,true,left,7,49,left,blue,709,0
H41493,34,284600,0,0,4375,blue,false,left,37,47,left,blue,561,0
H41493,35,287678,0,0,4375,blue,false,right,27,91,right,blue,474,0
H41493,36,290669,0,0,4375,blue,false,right,44,42,right,blue,464,0
H41493,37,293649,1,55,4320,blue,true,left,31,55,left,blue,633,0
H41493,38,296803,0,0,4320,blue,false,left,97,70,left,blue,518,0
H41493,39,299837,0,0,4320,blue,false,left,14,9,left,blue,475,0
