Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H41746,1,87788.29999995232,1,10,4990,blue,true,left,23,10,left,blue,1336,0
H41746,2,91665,0,0,4990,blue,true,left,45,97,right,orange,652,0
H41746,3,94855.70000004768,0,0,4990,blue,true,right,54,62,left,orange,599,0
H41746,4,97989.5,0,0,4990,blue,false,right,99,16,right,blue,908,0
H41746,5,101415.70000004768,0,0,4990,blue,true,left,72,40,right,orange,1947,0
H41746,6,105889,0,0,4990,blue,true,left,98,88,right,orange,607,0
H41746,7,109035.70000004768,0,0,4990,blue,true,left,6,54,right,orange,342,0
H41746,8,111910.20000004768,0,0,4990,blue,true,left,64,55,right,orange,574,0
H41746,9,115008.60000014305,1,96,4894,blue,false,left,96,45,right,orange,411,0
H41746,10,117953.5,0,0,4894,blue,true,right,28,19,left,orange,541,0
H41746,11,121042,0,0,4894,blue,true,left,95,26,right,orange,454,0
H41746,12,124035.20000004768,0,0,4894,blue,true,right,90,29,left,orange,346,0
H41746,13,126906.60000014305,0,0,4894,blue,true,left,20,53,right,orange,428,0
H41746,14,129871.10000014305,0,0,4894,blue,true,left,74,56,right,orange,408,0
H41746,15,132819.79999995232,0,0,4894,blue,true,left,18,42,right,orange,371,0
H41746,16,135724.5,0,0,4894,blue,true,left,11,91,right,orange,373,0
H41746,17,138628.79999995232,1,32,4862,blue,false,right,32,31,left,orange,422,0
H41746,18,141599.5,0,0,4862,blue,true,left,36,65,right,orange,408,0
H41746,19,144539.40000009537,1,40,4822,blue,false,left,40,30,right,orange,345,0
H41746,20,147431.90000009537,1,26,4796,blue,true,right,29,26,right,blue,1309,0
H41746,21,151277.90000009537,1,32,4764,blue,false,right,32,36,left,orange,396,0
H41746,22,154205.10000014305,0,0,4764,blue,true,right,72,81,left,orange,367,0
H41746,23,157111.79999995232,1,95,4669,blue,false,right,95,54,left,orange,734,0
H41746,24,160392.90000009537,1,40,4629,blue,false,right,40,59,left,orange,405,0
H41746,25,163340.5,1,29,4600,blue,false,right,29,24,left,orange,332,0
H41746,26,166205.29999995232,0,0,4600,blue,false,right,60,51,right,blue,347,0
H41746,27,169092.5,0,0,4600,blue,false,left,83,65,left,blue,469,0
H41746,28,172097,1,98,4502,blue,true,right,78,98,right,blue,473,0
H41746,29,175116.90000009537,0,0,4502,blue,false,right,56,51,right,blue,760,0
H41746,30,178413,0,0,4502,blue,false,right,5,20,right,blue,579,0
H41746,31,181516.20000004768,0,0,4502,blue,false,left,67,2,left,blue,715,0
