Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H42467,1,108567.5,1,10,4990,blue,true,right,23,10,right,blue,1409,0
H42467,2,112546.80000001192,0,0,4990,blue,true,right,45,97,left,orange,689,0
H42467,3,115753.40000003576,0,0,4990,blue,true,right,54,62,left,orange,722,0
H42467,4,119007.10000002384,0,0,4990,blue,false,left,99,16,left,blue,1472,0
H42467,5,123008.30000001192,0,0,4990,blue,true,right,72,40,left,orange,733,0
H42467,6,126273.60000002384,0,0,4990,blue,true,left,98,88,right,orange,733,0
H42467,7,129535.70000004768,0,0,4990,blue,true,right,6,54,left,orange,700,0
H42467,8,132768.60000002384,0,0,4990,blue,true,left,64,55,right,orange,669,0
H42467,9,135958.20000004768,1,96,4894,blue,false,left,96,45,right,orange,547,0
H42467,10,139023.5,0,0,4894,blue,true,right,28,19,left,orange,746,0
H42467,11,142308.40000003576,1,26,4868,blue,true,right,95,26,right,blue,1604,0
H42467,12,146437,1,29,4839,blue,true,left,90,29,left,blue,1238,0
H42467,13,150231.70000004768,0,0,4839,blue,true,right,20,53,left,orange,667,0
H42467,14,153420.60000002384,0,0,4839,blue,true,right,74,56,left,orange,846,0
H42467,15,156795.10000002384,0,0,4839,blue,true,left,18,42,right,orange,558,0
H42467,16,159889.80000001192,0,0,4839,blue,true,right,11,91,left,orange,595,0
H42467,17,163016.20000004768,1,32,4807,blue,false,right,32,31,left,orange,543,0
H42467,18,166083.80000001192,0,0,4807,blue,true,right,36,65,left,orange,778,0
H42467,19,169380.5,1,40,4767,blue,false,left,40,30,right,orange,491,0
H42467,20,172427.40000003576,0,0,4767,blue,true,left,29,26,right,orange,564,0
H42467,21,175515.10000002384,1,32,4735,blue,false,right,32,36,left,orange,534,0
H42467,22,178581.40000003576,0,0,4735,blue,true,left,72,81,right,orange,1076,0
H42467,23,182178.40000003576,1,95,4640,blue,false,left,95,54,right,orange,1592,0
H42467,24,186299.80000001192,1,40,4600,blue,false,right,40,59,left,orange,800,0
