Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H42487,1,148837,1,37,4963,blue,true,left,44,37,left,blue,1043,0
H42487,2,152454,1,12,4951,blue,true,right,66,12,right,blue,668,0
H42487,3,155683,0,0,4951,blue,true,right,98,9,left,orange,812,0
H42487,4,159046,1,20,4931,blue,false,right,20,91,left,orange,548,0
H42487,5,162152,1,8,4923,blue,true,left,28,8,left,blue,852,0
H42487,6,165554,0,0,4923,blue,true,left,30,33,right,orange,741,0
H42487,7,168858,0,0,4923,blue,true,left,27,24,right,orange,533,0
H42487,8,171943,1,58,4865,blue,false,right,58,43,left,orange,547,0
H42487,9,175033,1,47,4818,blue,true,right,72,47,right,blue,1061,0
H42487,10,178655,1,44,4774,blue,false,right,44,44,left,orange,543,0
H42487,11,181753,0,0,4774,blue,true,right,69,26,left,orange,624,0
H42487,12,184923,0,0,4774,blue,true,right,6,41,left,orange,483,0
H42487,13,187977,0,0,4774,blue,true,left,88,34,right,orange,573,0
H42487,14,191102,1,73,4701,blue,false,right,73,18,left,orange,425,0
H42487,15,194066,1,25,4676,blue,true,left,60,25,left,blue,813,0
H42487,16,197449,0,0,4676,blue,true,left,68,6,right,orange,597,0
H42487,17,200597,1,48,4628,blue,false,left,48,39,right,orange,680,0
H42487,18,203823,0,0,4628,blue,true,left,35,76,right,orange,826,0
H42487,19,207182,0,0,4628,blue,true,left,23,85,right,orange,567,0
H42487,20,210320,0,0,4628,blue,true,left,54,22,right,orange,537,0
H42487,21,213411,1,66,4562,blue,false,right,66,58,left,orange,574,0
H42487,22,216544,1,41,4521,blue,true,left,98,41,left,blue,928,0
H42487,23,220016,0,0,4521,blue,true,right,58,80,left,orange,780,0
H42487,24,223363,0,0,4521,blue,true,right,32,85,left,orange,431,0
H42487,25,226322,1,83,4438,blue,false,left,83,15,right,orange,598,0
H42487,26,229469,1,16,4422,blue,true,left,18,16,left,blue,1139,0
H42487,27,233154,0,0,4422,blue,true,left,56,99,right,orange,1118,0
H42487,28,236811,0,0,4422,blue,true,left,23,75,right,orange,657,0
H42487,29,240020,0,0,4422,blue,true,right,68,18,left,orange,635,0
H42487,30,243203,0,0,4422,blue,true,right,30,16,left,orange,561,0
H42487,31,246306,0,0,4422,blue,true,right,86,37,left,orange,548,0
H42487,32,249397,0,0,4422,blue,true,left,47,44,right,orange,552,0
H42487,33,252495,0,0,4422,blue,true,right,3,91,left,orange,579,0
H42487,34,255622,1,60,4362,blue,false,left,60,14,right,orange,717,0
H42487,35,258906,0,0,4362,blue,true,left,54,84,right,orange,544,0
H42487,36,261991,0,0,4362,blue,true,left,34,23,right,orange,653,0
H42487,37,265185,0,0,4362,blue,true,left,96,28,right,orange,1023,0
H42487,38,268750,1,83,4279,blue,false,left,83,94,right,orange,576,0
H42487,39,271871,0,0,4279,blue,true,left,63,86,right,orange,761,0
H42487,40,275180,0,0,4279,blue,true,right,99,53,left,orange,933,0
H42487,41,278666,0,0,4279,blue,true,right,29,91,left,orange,502,0
H42487,42,281713,0,0,4279,blue,true,left,88,64,right,orange,825,0
H42487,43,285104,0,0,4279,blue,true,left,84,70,right,orange,632,0
H42487,44,288280,1,61,4218,blue,false,left,61,88,right,orange,513,0
H42487,45,291326,1,43,4175,blue,true,right,61,43,right,blue,963,0
H42487,46,294846,0,0,4175,blue,true,right,87,54,left,orange,463,0
H42487,47,297865,1,5,4170,blue,false,right,5,90,left,orange,442,0
H42487,48,304897,1,44,4126,blue,true,left,71,44,left,blue,1545,0
H42487,49,308983,0,0,4126,blue,true,right,42,52,left,orange,669,0
H42487,50,312190,0,0,4126,blue,true,right,39,93,left,orange,401,0
H42487,51,315142,0,0,4126,blue,true,right,39,24,left,orange,543,0
H42487,52,318238,1,20,4106,blue,false,right,20,10,left,orange,381,0
H42487,53,321170,1,85,4021,blue,false,right,85,43,left,orange,618,0
H42487,54,324336,0,0,4021,blue,false,right,77,7,right,blue,483,0
H42487,55,327372,1,90,3931,blue,true,right,95,90,right,blue,567,0
H42487,56,330494,1,7,3924,blue,true,left,56,7,left,blue,409,0
H42487,57,333456,0,0,3924,blue,true,right,50,69,left,orange,1040,0
H42487,58,337040,0,0,3924,blue,true,right,4,83,left,orange,403,0
H42487,59,339995,1,40,3884,blue,false,right,40,8,left,orange,632,0
H42487,60,343187,0,0,3884,blue,true,left,47,86,right,orange,971,0
H42487,61,346698,0,0,3884,blue,true,right,15,49,left,orange,519,0
H42487,62,349769,0,0,3884,blue,true,left,17,39,right,orange,485,0
H42487,63,352784,1,76,3808,blue,false,left,76,97,right,orange,600,0
H42487,64,355946,0,0,3808,blue,true,right,73,14,left,orange,769,0
H42487,65,359270,1,29,3779,blue,true,right,67,29,right,blue,965,0
H42487,66,362783,0,0,3779,blue,true,left,48,39,right,orange,626,0
H42487,67,365963,0,0,3779,blue,true,left,30,99,right,orange,521,0
H42487,68,369006,1,13,3766,blue,false,left,13,20,right,orange,395,0
H42487,69,371949,0,0,3766,blue,true,right,66,59,left,orange,422,0
H42487,70,374913,0,0,3766,blue,true,right,20,60,left,orange,377,0
H42487,71,377820,0,0,3766,blue,true,left,41,25,right,orange,422,0
H42487,72,380765,1,76,3690,blue,false,left,76,70,right,orange,660,0
H42487,73,383971,0,0,3690,blue,false,right,73,18,right,blue,683,0
H42487,74,387200,0,0,3690,blue,false,left,41,80,left,blue,619,0
H42487,75,390373,1,76,3614,blue,true,right,25,76,right,blue,566,0
H42487,76,393505,1,34,3580,blue,false,left,34,52,right,orange,811,0
H42487,77,396876,0,0,3580,blue,false,left,30,60,left,blue,861,0
H42487,78,400268,0,0,3580,blue,false,left,91,36,left,blue,1033,0
H42487,79,403849,0,0,3580,blue,false,left,70,59,left,blue,543,0
H42487,80,406929,1,47,3533,blue,true,right,64,47,right,blue,445,0
H42487,81,409924,0,0,3533,blue,false,left,28,44,left,blue,618,0
H42487,82,413109,1,2,3531,blue,false,left,2,80,right,orange,664,0
H42487,83,416328,0,0,3531,blue,false,left,20,39,left,blue,935,0
H42487,84,419806,0,0,3531,blue,false,right,32,61,right,blue,1429,0
H42487,85,423772,0,0,3531,blue,false,left,90,61,left,blue,725,0
H42487,86,427045,1,70,3461,blue,true,right,62,70,right,blue,854,0
H42487,87,430440,1,17,3444,blue,false,right,17,33,left,orange,920,0
H42487,88,433919,0,0,3444,blue,false,right,74,17,right,blue,654,0
H42487,89,437117,1,2,3442,blue,false,left,2,85,right,orange,832,0
H42487,90,440512,0,0,3442,blue,false,left,39,76,left,blue,542,0
H42487,91,443589,0,0,3442,blue,false,left,70,20,left,blue,432,0
H42487,92,446547,1,69,3373,blue,true,right,24,69,right,blue,581,0
H42487,93,449672,1,52,3321,blue,true,right,59,52,right,blue,521,0
H42487,94,456763,0,0,3321,blue,false,right,15,43,right,blue,792,0
H42487,95,460110,1,34,3287,blue,true,right,50,34,right,blue,712,0
H42487,96,463371,1,43,3244,blue,false,right,43,48,left,orange,1048,0
H42487,97,466972,0,0,3244,blue,true,right,14,35,left,orange,580,0
H42487,98,470116,0,0,3244,blue,true,right,12,42,left,orange,705,0
H42487,99,473366,1,44,3200,blue,true,right,40,44,right,blue,688,0
H42487,100,476605,1,50,3150,blue,true,right,88,50,right,blue,642,0
H42487,101,479809,0,0,3150,blue,true,left,51,19,right,orange,631,0
H42487,102,482993,0,0,3150,blue,true,right,44,59,left,orange,389,0
H42487,103,485927,0,0,3150,blue,true,left,23,9,right,orange,836,0
H42487,104,489307,0,0,3150,blue,true,left,23,76,right,orange,468,0
H42487,105,492343,1,47,3103,blue,true,left,94,47,left,blue,834,0
H42487,106,495731,1,67,3036,blue,false,right,67,56,left,orange,401,0
H42487,107,498683,0,0,3036,blue,true,right,50,16,left,orange,520,0
H42487,108,501747,0,0,3036,blue,true,right,83,7,left,orange,417,0
H42487,109,504737,0,0,3036,blue,true,right,86,41,left,orange,578,0
H42487,110,507861,0,0,3036,blue,true,left,61,37,right,orange,552,0
H42487,111,510947,1,82,2954,blue,false,right,82,57,left,orange,545,0
H42487,112,514045,1,68,2886,blue,false,left,68,28,right,orange,826,0
H42487,113,517418,1,65,2821,blue,false,left,65,76,right,orange,874,0
H42487,114,520841,0,0,2821,blue,false,left,25,19,left,blue,631,0
H42487,115,524039,0,0,2821,blue,false,right,67,68,right,blue,555,0
H42487,116,527141,0,0,2821,blue,false,right,82,68,right,blue,570,0
H42487,117,530251,0,0,2821,blue,false,left,88,19,left,blue,408,0
H42487,118,533206,1,11,2810,blue,true,right,55,11,right,blue,434,0
H42487,119,536209,1,36,2774,blue,true,left,74,36,left,blue,374,0
H42487,120,539142,0,0,2774,blue,false,right,18,64,right,blue,426,0
H42487,121,542118,0,0,2774,blue,false,left,15,3,left,blue,388,0
H42487,122,545058,0,0,2774,blue,false,right,91,76,right,blue,489,0
H42487,123,548084,0,0,2774,blue,false,left,66,92,left,blue,383,0
H42487,124,551026,0,0,2774,blue,false,right,67,14,right,blue,400,0
H42487,125,553985,1,77,2697,blue,true,left,11,77,left,blue,514,0
H42487,126,557051,0,0,2697,blue,false,right,36,20,right,blue,512,0
H42487,127,560115,0,0,2697,blue,false,right,44,61,right,blue,405,0
H42487,128,563071,0,0,2697,blue,false,left,4,34,left,blue,511,0
H42487,129,566153,0,0,2697,blue,false,right,86,63,right,blue,448,0
H42487,130,569150,0,0,2697,blue,false,right,99,43,right,blue,514,0
H42487,131,572203,1,56,2641,blue,true,right,95,56,right,blue,385,0
H42487,132,575136,0,0,2641,blue,false,left,89,63,left,blue,387,0
H42487,133,578068,1,80,2561,blue,true,right,88,80,right,blue,374,0
H42487,134,581010,0,0,2561,blue,false,left,5,10,left,blue,386,0
H42487,135,583938,1,80,2481,blue,true,right,35,80,right,blue,385,0
H42487,136,586886,0,0,2481,blue,true,left,8,57,right,orange,828,0
H42487,137,590271,1,47,2434,blue,true,right,78,47,right,blue,845,0
H42487,138,593667,0,0,2434,blue,true,right,5,99,left,orange,426,0
H42487,139,596653,0,0,2434,blue,true,left,62,67,right,orange,380,0
H42487,140,599569,1,95,2339,blue,false,left,95,27,right,orange,454,0
