Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H42656,1,104588.5,1,10,4990,blue,true,left,23,10,left,blue,1376,0
H42656,2,108499.89999999851,0,0,4990,blue,true,right,45,97,left,orange,1117,0
H42656,3,112143.79999999702,0,0,4990,blue,true,right,54,62,left,orange,466,0
H42656,4,115142.29999999702,1,99,4891,blue,false,right,99,16,left,orange,367,0
H42656,5,118042.29999999702,0,0,4891,blue,true,right,72,40,left,orange,410,0
H42656,6,120976.79999999702,0,0,4891,blue,true,right,98,88,left,orange,560,0
H42656,7,124061.19999999553,0,0,4891,blue,true,left,6,54,right,orange,540,0
H42656,8,127126.69999999553,0,0,4891,blue,true,left,64,55,right,orange,496,0
H42656,9,130137.89999999851,1,96,4795,blue,false,left,96,45,right,orange,501,0
H42656,10,133166.8999999985,0,0,4795,blue,true,right,28,19,left,orange,563,0
H42656,11,136260.6000000015,1,26,4769,blue,true,left,95,26,left,blue,926,0
H42656,12,139715.69999999553,0,0,4769,blue,true,left,90,29,right,orange,459,0
H42656,13,142698,0,0,4769,blue,true,right,20,53,left,orange,386,0
H42656,14,145614,1,56,4713,blue,true,left,74,56,left,blue,490,0
H42656,15,148635,0,0,4713,blue,true,left,18,42,right,orange,427,0
H42656,16,151585.8999999985,0,0,4713,blue,true,right,11,91,left,orange,431,0
H42656,17,154547.79999999702,1,32,4681,blue,false,right,32,31,left,orange,499,0
H42656,18,157575.19999999553,0,0,4681,blue,true,right,36,65,left,orange,323,0
H42656,19,160426.19999999553,1,40,4641,blue,false,right,40,30,left,orange,310,0
H42656,20,163262.1000000015,0,0,4641,blue,true,left,29,26,right,orange,414,0
H42656,21,166200.1000000015,1,32,4609,blue,false,left,32,36,right,orange,404,0
H42656,22,169135.69999999553,0,0,4609,blue,true,left,72,81,right,orange,643,0
H42656,23,172300.3999999985,0,0,4609,blue,false,right,95,54,right,blue,1043,0
H42656,24,175867.69999999553,1,40,4569,blue,false,left,40,59,right,orange,846,0
H42656,25,179244.3999999985,1,29,4540,blue,false,right,29,24,left,orange,426,0
H42656,26,182203,0,0,4540,blue,false,left,60,51,left,blue,479,0
H42656,27,185208.69999999553,0,0,4540,blue,false,right,83,65,right,blue,407,0
H42656,28,188138.79999999702,1,98,4442,blue,true,right,78,98,right,blue,410,0
H42656,29,191081.5,0,0,4442,blue,false,right,56,51,right,blue,399,0
H42656,30,194005.1000000015,0,0,4442,blue,false,left,5,20,left,blue,510,0
H42656,31,197051.29999999702,0,0,4442,blue,false,right,67,2,right,blue,361,0
