Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H43667,1,209711.80000019073,0,0,5000,blue,true,right,44,37,left,orange,1644,0
H43667,2,213916.69999980927,0,0,5000,blue,true,left,66,12,right,orange,723,0
H43667,3,217201.09999990463,0,0,5000,blue,true,right,98,9,left,orange,803,0
H43667,4,220553.40000009537,1,20,4980,blue,false,left,20,91,right,orange,759,0
H43667,5,223879.19999980927,0,0,4980,blue,true,right,28,8,left,orange,763,0
H43667,6,227197.30000019073,0,0,4980,blue,true,right,30,33,left,orange,942,0
H43667,7,230684.40000009537,0,0,4980,blue,true,left,27,24,right,orange,733,0
H43667,8,233978.59999990463,1,58,4922,blue,false,left,58,43,right,orange,954,0
H43667,9,237492,1,47,4875,blue,true,left,72,47,left,blue,1181,0
H43667,10,241224.30000019073,1,44,4831,blue,false,left,44,44,right,orange,776,0
H43667,11,244569.80000019073,1,26,4805,blue,true,right,69,26,right,blue,1789,0
H43667,12,248913.09999990463,0,0,4805,blue,true,left,6,41,right,orange,748,0
H43667,13,252209.40000009537,1,34,4771,blue,true,left,88,34,left,blue,1038,0
H43667,14,255805.09999990463,0,0,4771,blue,false,left,73,18,left,blue,1344,0
H43667,15,259698.80000019073,0,0,4771,blue,true,left,60,25,right,orange,1113,0
H43667,16,263379.69999980927,0,0,4771,blue,true,right,68,6,left,orange,850,0
H43667,17,266786.30000019073,1,48,4723,blue,false,right,48,39,left,orange,669,0
H43667,18,270025.69999980927,0,0,4723,blue,true,right,35,76,left,orange,673,0
H43667,19,273252.30000019073,0,0,4723,blue,true,left,23,85,right,orange,775,0
H43667,20,276585.90000009537,0,0,4723,blue,true,right,54,22,left,orange,1284,0
H43667,21,280430,1,66,4657,blue,false,left,66,58,right,orange,886,0
H43667,22,283890.09999990463,1,41,4616,blue,true,right,98,41,right,blue,1287,0
H43667,23,287739.69999980927,0,0,4616,blue,true,left,58,80,right,orange,872,0
H43667,24,291175.40000009537,0,0,4616,blue,true,right,32,85,left,orange,777,0
H43667,25,294496.80000019073,0,0,4616,blue,false,left,83,15,left,blue,1221,0
H43667,26,298264.5,0,0,4616,blue,true,right,18,16,left,orange,1436,0
H43667,27,302257.19999980927,0,0,4616,blue,true,right,56,99,left,orange,1076,0
H43667,28,305884.69999980927,0,0,4616,blue,true,left,23,75,right,orange,775,0
H43667,29,309203.09999990463,0,0,4616,blue,true,right,68,18,left,orange,1048,0
H43667,30,312807.30000019073,0,0,4616,blue,true,right,30,16,left,orange,777,0
H43667,31,316148.30000019073,0,0,4616,blue,true,right,86,37,left,orange,1031,0
H43667,32,319735.59999990463,0,0,4616,blue,true,left,47,44,right,orange,867,0
H43667,33,323149.40000009537,0,0,4616,blue,true,right,3,91,left,orange,693,0
H43667,34,326402.69999980927,1,60,4556,blue,false,left,60,14,right,orange,769,0
