Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H43956,1,132755.79999995232,1,10,4990,blue,true,right,23,10,right,blue,2491,0
H43956,2,137995.5,1,97,4893,blue,true,right,45,97,right,blue,354,0
H43956,3,140881.70000004768,0,0,4893,blue,true,right,54,62,left,orange,312,0
H43956,4,143716.40000009537,1,99,4794,blue,false,right,99,16,left,orange,351,0
H43956,5,146607,1,40,4754,blue,true,right,72,40,right,blue,1540,0
H43956,6,150670.70000004768,0,0,4754,blue,true,left,98,88,right,orange,1057,0
H43956,7,154243.40000009537,0,0,4754,blue,true,right,6,54,left,orange,465,0
H43956,8,157235.90000009537,0,0,4754,blue,true,right,64,55,left,orange,450,0
H43956,9,160218.10000014305,0,0,4754,blue,false,right,96,45,right,blue,836,0
H43956,10,163585.10000014305,0,0,4754,blue,true,right,28,19,left,orange,588,0
H43956,11,166698.90000009537,1,26,4728,blue,true,left,95,26,left,blue,1378,0
H43956,12,170617.79999995232,1,29,4699,blue,true,right,90,29,right,blue,834,0
H43956,13,173985.40000009537,1,53,4646,blue,true,left,20,53,left,blue,221,0
H43956,14,176742.20000004768,1,56,4590,blue,true,left,74,56,left,blue,2033,0
H43956,15,181309,0,0,4590,blue,true,left,18,42,right,orange,616,0
H43956,16,184452,0,0,4590,blue,true,left,11,91,right,orange,432,0
H43956,17,187415.10000014305,1,32,4558,blue,false,right,32,31,left,orange,539,0
H43956,18,190485.5,0,0,4558,blue,true,left,36,65,right,orange,378,0
H43956,19,193390.29999995232,1,40,4518,blue,false,right,40,30,left,orange,375,0
H43956,20,196305.5,0,0,4518,blue,true,left,29,26,right,orange,423,0
H43956,21,199256.10000014305,1,32,4486,blue,false,right,32,36,left,orange,444,0
H43956,22,202240.5,0,0,4486,blue,true,left,72,81,right,orange,388,0
H43956,23,205150.70000004768,1,95,4391,blue,false,right,95,54,left,orange,387,0
H43956,24,208068.5,1,40,4351,blue,false,left,40,59,right,orange,388,0
H43956,25,210990.40000009537,1,29,4322,blue,false,right,29,24,left,orange,387,0
H43956,26,213910.79999995232,1,60,4262,blue,false,left,60,51,right,orange,525,0
