Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H44149,1,148716.40000000596,1,37,4963,blue,true,left,44,37,left,blue,962,0
H44149,2,152217.20000001788,1,12,4951,blue,true,right,66,12,right,blue,1195,0
H44149,3,155962.30000001192,1,9,4942,blue,true,left,98,9,left,blue,871,0
H44149,4,159380.70000001788,0,0,4942,blue,false,right,20,91,right,blue,1057,0
H44149,5,162977.20000001788,0,0,4942,blue,true,right,28,8,left,orange,1873,0
H44149,6,167375.20000001788,0,0,4942,blue,true,left,30,33,right,orange,1178,0
H44149,7,171093.80000001192,0,0,4942,blue,true,left,27,24,right,orange,834,0
H44149,8,174518,1,58,4884,blue,false,right,58,43,left,orange,1371,0
H44149,9,178445.20000001788,0,0,4884,blue,true,left,72,47,right,orange,1358,0
H44149,10,182339.80000001192,1,44,4840,blue,false,left,44,44,right,orange,2486,0
H44149,11,187375,1,26,4814,blue,true,left,69,26,left,blue,1302,0
H44149,12,191215,0,0,4814,blue,true,right,6,41,left,orange,884,0
H44149,13,194630.20000001788,0,0,4814,blue,true,right,88,34,left,orange,1163,0
H44149,14,198342.40000000596,0,0,4814,blue,false,left,73,18,left,blue,697,0
H44149,15,201579.20000001788,0,0,4814,blue,true,right,60,25,left,orange,941,0
H44149,16,205059.09999999404,1,6,4808,blue,true,left,68,6,left,blue,1073,0
H44149,17,208674.40000000596,1,48,4760,blue,false,right,48,39,left,orange,992,0
H44149,18,212209.80000001192,0,0,4760,blue,true,right,35,76,left,orange,1597,0
H44149,19,216340.90000000596,1,85,4675,blue,true,left,23,85,left,blue,1618,0
H44149,20,220504.30000001192,0,0,4675,blue,true,right,54,22,left,orange,1866,0
H44149,21,224907,1,66,4609,blue,false,right,66,58,left,orange,1721,0
H44149,22,229174.90000000596,1,41,4568,blue,true,left,98,41,left,blue,893,0
H44149,23,232626,0,0,4568,blue,true,right,58,80,left,orange,1147,0
H44149,24,236300.59999999404,0,0,4568,blue,true,left,32,85,right,orange,1022,0
H44149,25,239870.09999999404,0,0,4568,blue,false,left,83,15,left,blue,1167,0
H44149,26,243621.30000001192,0,0,4568,blue,true,left,18,16,right,orange,1175,0
H44149,27,247327.09999999404,0,0,4568,blue,true,right,56,99,left,orange,778,0
H44149,28,250641.80000001192,0,0,4568,blue,true,left,23,75,right,orange,1494,0
H44149,29,254677.90000000596,0,0,4568,blue,true,right,68,18,left,orange,1212,0
H44149,30,258440.09999999404,0,0,4568,blue,true,left,30,16,right,orange,934,0
H44149,31,261912.90000000596,0,0,4568,blue,true,right,86,37,left,orange,1457,0
H44149,32,265902.09999999404,0,0,4568,blue,true,left,47,44,right,orange,1163,0
H44149,33,269603.2000000179,0,0,4568,blue,true,left,3,91,right,orange,1039,0
H44149,34,273181.59999999404,1,60,4508,blue,false,right,60,14,left,orange,1333,0
H44149,35,277068.09999999404,0,0,4508,blue,true,right,54,84,left,orange,1650,0
H44149,36,281261.8000000119,0,0,4508,blue,true,left,34,23,right,orange,1231,0
H44149,37,285028.8000000119,1,28,4480,blue,true,right,96,28,right,blue,2498,0
H44149,38,290085.2000000179,1,83,4397,blue,false,left,83,94,right,orange,1489,0
H44149,39,294116.90000000596,0,0,4397,blue,true,right,63,86,left,orange,2163,0
H44149,40,298823.90000000596,1,53,4344,blue,true,left,99,53,left,blue,2399,0
H44149,41,303764.3000000119,0,0,4344,blue,true,right,29,91,left,orange,1431,0
H44149,42,307759,0,0,4344,blue,true,left,88,64,right,orange,1705,0
H44149,43,312004.90000000596,0,0,4344,blue,true,left,84,70,right,orange,1002,0
H44149,44,315541,1,61,4283,blue,false,left,61,88,right,orange,916,0
H44149,45,319014.3000000119,0,0,4283,blue,true,right,61,43,left,orange,461,0
H44149,46,322042.2000000179,0,0,4283,blue,true,right,87,54,left,orange,695,0
H44149,47,325298.5,1,5,4278,blue,false,right,5,90,left,orange,779,0
H44149,48,332780.09999999404,1,44,4234,blue,true,left,71,44,left,blue,2447,0
H44149,49,337760.40000000596,0,0,4234,blue,true,right,42,52,left,orange,1403,0
H44149,50,341712.7000000179,0,0,4234,blue,true,right,39,93,left,orange,2096,0
H44149,51,346359.40000000596,0,0,4234,blue,true,right,39,24,left,orange,733,0
H44149,52,349644.90000000596,1,20,4214,blue,false,right,20,10,left,orange,539,0
H44149,53,352726.7000000179,0,0,4214,blue,false,left,85,43,left,blue,910,0
H44149,54,356183.3000000119,0,0,4214,blue,false,right,77,7,right,blue,957,0
H44149,55,359683.2000000179,1,90,4124,blue,true,right,95,90,right,blue,799,0
H44149,56,363026.3000000119,1,7,4117,blue,true,right,56,7,right,blue,584,0
H44149,57,366151,1,69,4048,blue,true,right,50,69,right,blue,1318,0
H44149,58,370015.3000000119,0,0,4048,blue,true,right,4,83,left,orange,563,0
H44149,59,373128.09999999404,0,0,4048,blue,false,left,40,8,left,blue,1076,0
H44149,60,376735.5,0,0,4048,blue,true,right,47,86,left,orange,702,0
H44149,61,379986.59999999404,0,0,4048,blue,true,left,15,49,right,orange,1916,0
H44149,62,384433.7000000179,0,0,4048,blue,true,left,17,39,right,orange,884,0
H44149,63,387857.5,0,0,4048,blue,false,right,76,97,right,blue,1264,0
H44149,64,391736.09999999404,1,14,4034,blue,true,right,73,14,right,blue,1191,0
H44149,65,395475.7000000179,0,0,4034,blue,true,right,67,29,left,orange,1899,0
H44149,66,399903.09999999404,0,0,4034,blue,true,left,48,39,right,orange,1311,0
H44149,67,403749.8000000119,0,0,4034,blue,true,left,30,99,right,orange,772,0
H44149,68,407071.90000000596,1,13,4021,blue,false,right,13,20,left,orange,576,0
H44149,69,410201.40000000596,0,0,4021,blue,true,left,66,59,right,orange,798,0
H44149,70,413547.8000000119,0,0,4021,blue,true,left,20,60,right,orange,956,0
H44149,71,417047.8000000119,0,0,4021,blue,true,left,41,25,right,orange,1833,0
H44149,72,421409.90000000596,1,76,3945,blue,false,left,76,70,right,orange,965,0
H44149,73,424927.8000000119,0,0,3945,blue,false,left,73,18,left,blue,1192,0
H44149,74,428671.3000000119,1,41,3904,blue,false,right,41,80,left,orange,1715,0
H44149,75,432935.2000000179,0,0,3904,blue,true,left,25,76,right,orange,2057,0
H44149,76,437540.3000000119,1,34,3870,blue,false,right,34,52,left,orange,797,0
H44149,77,440877.7000000179,0,0,3870,blue,false,right,30,60,right,blue,1607,0
H44149,78,445032.09999999404,0,0,3870,blue,false,left,91,36,left,blue,1014,0
H44149,79,448594.09999999404,0,0,3870,blue,false,left,70,59,left,blue,608,0
H44149,80,451737,1,47,3823,blue,true,right,64,47,right,blue,610,0
H44149,81,454899.8000000119,0,0,3823,blue,false,left,28,44,left,blue,1672,0
H44149,82,459102.3000000119,1,2,3821,blue,false,left,2,80,right,orange,1051,0
H44149,83,462704.90000000596,0,0,3821,blue,false,left,20,39,left,blue,863,0
H44149,84,466107.90000000596,0,0,3821,blue,false,right,32,61,right,blue,602,0
H44149,85,469252.59999999404,0,0,3821,blue,false,left,90,61,left,blue,1103,0
H44149,86,472914.8000000119,1,70,3751,blue,true,left,62,70,left,blue,954,0
