Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H44504,1,93170.60000002384,1,37,4963,blue,true,left,44,37,left,blue,614,0
H44504,2,96330,0,0,4963,blue,true,left,66,12,right,orange,420,0
H44504,3,99283.90000003576,0,0,4963,blue,true,left,98,9,right,orange,398,0
H44504,4,102211.10000002384,1,20,4943,blue,false,left,20,91,right,orange,466,0
H44504,5,105221.40000003576,0,0,4943,blue,true,right,28,8,left,orange,411,0
H44504,6,108159.5,0,0,4943,blue,true,right,30,33,left,orange,384,0
H44504,7,111071.69999998808,0,0,4943,blue,true,left,27,24,right,orange,396,0
H44504,8,113992.80000001192,1,58,4885,blue,false,left,58,43,right,orange,384,0
H44504,9,116905.19999998808,1,47,4838,blue,true,left,72,47,left,blue,803,0
H44504,10,120233.5,1,44,4794,blue,false,right,44,44,left,orange,945,0
H44504,11,123710.5,1,26,4768,blue,true,left,69,26,left,blue,500,0
H44504,12,126744.69999998808,1,41,4727,blue,true,left,6,41,left,blue,333,0
H44504,13,129619.30000001192,0,0,4727,blue,true,left,88,34,right,orange,391,0
H44504,14,132529.69999998808,1,73,4654,blue,false,left,73,18,right,orange,362,0
H44504,15,135428.40000003576,1,25,4629,blue,true,left,60,25,left,blue,702,0
H44504,16,138654.19999998808,1,6,4623,blue,true,right,68,6,right,blue,744,0
H44504,17,141931.40000003576,0,0,4623,blue,false,left,48,39,left,blue,404,0
H44504,18,144862.5,1,76,4547,blue,true,right,35,76,right,blue,620,0
H44504,19,148009.10000002384,0,0,4547,blue,true,left,23,85,right,orange,903,0
H44504,20,151433.5,1,22,4525,blue,true,right,54,22,right,blue,711,0
H44504,21,154676.30000001192,1,66,4459,blue,false,left,66,58,right,orange,491,0
H44504,22,157695.10000002384,0,0,4459,blue,true,right,98,41,left,orange,470,0
H44504,23,160691.80000001192,1,80,4379,blue,true,right,58,80,right,blue,770,0
H44504,24,163998.60000002384,0,0,4379,blue,true,left,32,85,right,orange,593,0
H44504,25,167115.10000002384,1,83,4296,blue,false,left,83,15,right,orange,474,0
H44504,26,170117,1,16,4280,blue,true,left,18,16,left,blue,709,0
H44504,27,173355,0,0,4280,blue,true,left,56,99,right,orange,754,0
H44504,28,176640.10000002384,0,0,4280,blue,true,left,23,75,right,orange,588,0
H44504,29,179763.40000003576,1,18,4262,blue,true,right,68,18,right,blue,709,0
H44504,30,183007.30000001192,1,16,4246,blue,true,right,30,16,right,blue,806,0
H44504,31,186338.40000003576,1,37,4209,blue,true,left,86,37,left,blue,549,0
