Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H44639,1,113770.30000019073,1,37,4963,blue,true,left,44,37,left,blue,1264,0
H44639,2,117582.10000014305,0,0,4963,blue,true,right,66,12,left,orange,566,0
H44639,3,120689.70000004768,1,9,4954,blue,true,right,98,9,right,blue,800,0
H44639,4,124051.30000019073,1,20,4934,blue,false,left,20,91,right,orange,413,0
H44639,5,127017.60000014305,1,8,4926,blue,true,left,28,8,left,blue,704,0
H44639,6,130271.90000009537,0,0,4926,blue,true,left,30,33,right,orange,566,0
H44639,7,133384.90000009537,0,0,4926,blue,true,right,27,24,left,orange,366,0
H44639,8,136291.5,1,58,4868,blue,false,right,58,43,left,orange,430,0
H44639,9,139264,0,0,4868,blue,true,right,72,47,left,orange,499,0
H44639,10,142305.80000019073,1,44,4824,blue,false,left,44,44,right,orange,431,0
H44639,11,145289.10000014305,0,0,4824,blue,true,right,69,26,left,orange,348,0
H44639,12,148168.70000004768,0,0,4824,blue,true,right,6,41,left,orange,321,0
H44639,13,151032,0,0,4824,blue,true,right,88,34,left,orange,430,0
H44639,14,154005.70000004768,1,73,4751,blue,false,right,73,18,left,orange,316,0
H44639,15,156886.30000019073,1,25,4726,blue,true,left,60,25,left,blue,485,0
H44639,16,159917.40000009537,1,6,4720,blue,true,left,68,6,left,blue,408,0
H44639,17,162862.10000014305,1,48,4672,blue,false,left,48,39,right,orange,496,0
H44639,18,165919.60000014305,1,76,4596,blue,true,left,35,76,left,blue,489,0
H44639,19,168968.80000019073,0,0,4596,blue,true,right,23,85,left,orange,668,0
H44639,20,172184.30000019073,0,0,4596,blue,true,left,54,22,right,orange,377,0
H44639,21,175116.20000004768,1,66,4530,blue,false,left,66,58,right,orange,772,0
H44639,22,178432.60000014305,0,0,4530,blue,true,left,98,41,right,orange,626,0
H44639,23,181592.30000019073,0,0,4530,blue,true,left,58,80,right,orange,536,0
H44639,24,184666.5,0,0,4530,blue,true,right,32,85,left,orange,612,0
H44639,25,187816.40000009537,1,83,4447,blue,false,left,83,15,right,orange,542,0
H44639,26,190916.40000009537,0,0,4447,blue,true,left,18,16,right,orange,778,0
H44639,27,194234.80000019073,0,0,4447,blue,true,right,56,99,left,orange,429,0
H44639,28,197222.40000009537,0,0,4447,blue,true,left,23,75,right,orange,511,0
H44639,29,200265.60000014305,0,0,4447,blue,true,left,68,18,right,orange,462,0
H44639,30,203263.10000014305,0,0,4447,blue,true,left,30,16,right,orange,353,0
H44639,31,206160.40000009537,0,0,4447,blue,true,left,86,37,right,orange,326,0
H44639,32,209015.70000004768,0,0,4447,blue,true,left,47,44,right,orange,305,0
H44639,33,211862.60000014305,0,0,4447,blue,true,left,3,91,right,orange,414,0
H44639,34,214835.10000014305,1,60,4387,blue,false,left,60,14,right,orange,378,0
H44639,35,217764.60000014305,0,0,4387,blue,true,right,54,84,left,orange,398,0
H44639,36,220696.80000019073,0,0,4387,blue,true,right,34,23,left,orange,360,0
H44639,37,223597.90000009537,0,0,4387,blue,true,right,96,28,left,orange,327,0
H44639,38,226467,1,83,4304,blue,false,right,83,94,left,orange,319,0
H44639,39,229328.60000014305,0,0,4304,blue,true,left,63,86,right,orange,370,0
H44639,40,232238.5,0,0,4304,blue,true,right,99,53,left,orange,324,0
H44639,41,235104.70000004768,0,0,4304,blue,true,right,29,91,left,orange,381,0
H44639,42,238022,0,0,4304,blue,true,right,88,64,left,orange,485,0
H44639,43,241068.40000009537,0,0,4304,blue,true,left,84,70,right,orange,543,0
H44639,44,244172.80000019073,1,61,4243,blue,false,left,61,88,right,orange,540,0
H44639,45,247256.40000009537,0,0,4243,blue,true,left,61,43,right,orange,394,0
H44639,46,250194,0,0,4243,blue,true,left,87,54,right,orange,365,0
H44639,47,253095,1,5,4238,blue,false,left,5,90,right,orange,261,0
H44639,48,259932.5,0,0,4238,blue,true,right,71,44,left,orange,173,0
H44639,49,262646.60000014305,0,0,4238,blue,true,right,42,52,left,orange,365,0
H44639,50,265548.7000000477,0,0,4238,blue,true,right,39,93,left,orange,310,0
H44639,51,268413.30000019073,0,0,4238,blue,true,right,39,24,left,orange,313,0
H44639,52,271277.5,1,20,4218,blue,false,right,20,10,left,orange,308,0
H44639,53,274142.60000014305,1,85,4133,blue,false,left,85,43,right,orange,392,0
H44639,54,277096.10000014305,0,0,4133,blue,false,right,77,7,right,blue,387,0
H44639,55,280044.30000019073,1,90,4043,blue,true,left,95,90,left,blue,323,0
H44639,56,282926.40000009537,1,7,4036,blue,true,left,56,7,left,blue,321,0
H44639,57,285827.2000000477,1,69,3967,blue,true,left,50,69,left,blue,383,0
H44639,58,288765.7000000477,1,83,3884,blue,true,right,4,83,right,blue,427,0
H44639,59,291745.90000009537,0,0,3884,blue,false,left,40,8,left,blue,482,0
H44639,60,294771.10000014305,0,0,3884,blue,true,left,47,86,right,orange,871,0
H44639,61,298195.7000000477,0,0,3884,blue,true,right,15,49,left,orange,473,0
H44639,62,301226.10000014305,0,0,3884,blue,true,right,17,39,left,orange,543,0
H44639,63,304315.7000000477,1,76,3808,blue,false,right,76,97,left,orange,326,0
H44639,64,307196.10000014305,0,0,3808,blue,true,right,73,14,left,orange,503,0
H44639,65,310246.90000009537,0,0,3808,blue,true,left,67,29,right,orange,798,0
H44639,66,313587.90000009537,1,39,3769,blue,true,right,48,39,right,blue,597,0
H44639,67,316766.10000014305,1,99,3670,blue,true,left,30,99,left,blue,318,0
H44639,68,319646.80000019073,1,13,3657,blue,false,right,13,20,left,orange,459,0
H44639,69,322684.90000009537,0,0,3657,blue,true,left,66,59,right,orange,573,0
H44639,70,325805.80000019073,0,0,3657,blue,true,right,20,60,left,orange,492,0
H44639,71,328855.5,0,0,3657,blue,true,right,41,25,left,orange,360,0
H44639,72,331766.90000009537,1,76,3581,blue,false,right,76,70,left,orange,979,0
H44639,73,335284.7000000477,0,0,3581,blue,false,left,73,18,left,blue,472,0
H44639,74,338292.80000019073,1,41,3540,blue,false,right,41,80,left,orange,1056,0
H44639,75,341893.90000009537,0,0,3540,blue,true,left,25,76,right,orange,1179,0
H44639,76,345609.30000019073,1,34,3506,blue,false,right,34,52,left,orange,536,0
H44639,77,348705.2000000477,1,30,3476,blue,false,left,30,60,right,orange,482,0
H44639,78,351734.30000019073,0,0,3476,blue,false,left,91,36,left,blue,472,0
H44639,79,354747.5,0,0,3476,blue,false,right,70,59,right,blue,413,0
H44639,80,357696.7000000477,1,47,3429,blue,true,left,64,47,left,blue,330,0
H44639,81,360590.40000009537,0,0,3429,blue,false,right,28,44,right,blue,457,0
H44639,82,363582,0,0,3429,blue,false,left,2,80,left,blue,412,0
H44639,83,366534.40000009537,0,0,3429,blue,false,right,20,39,right,blue,393,0
H44639,84,369476.2000000477,0,0,3429,blue,false,left,32,61,left,blue,429,0
H44639,85,372439.40000009537,0,0,3429,blue,false,right,90,61,right,blue,357,0
H44639,86,375338.40000009537,1,70,3359,blue,true,left,62,70,left,blue,313,0
H44639,87,378220.30000019073,0,0,3359,blue,false,left,17,33,left,blue,325,0
H44639,88,381083.60000014305,1,74,3285,blue,false,right,74,17,left,orange,412,0
H44639,89,384052.5,0,0,3285,blue,false,left,2,85,left,blue,347,0
H44639,90,386938.40000009537,0,0,3285,blue,false,left,39,76,left,blue,333,0
H44639,91,389801.60000014305,0,0,3285,blue,false,left,70,20,left,blue,346,0
H44639,92,392712.10000014305,1,69,3216,blue,true,left,24,69,left,blue,235,0
H44639,93,395505.2000000477,0,0,3216,blue,true,right,59,52,left,orange,406,0
H44639,94,402461.90000009537,1,15,3201,blue,false,right,15,43,left,orange,630,0
H44639,95,405635.80000019073,1,34,3167,blue,true,right,50,34,right,blue,749,0
H44639,96,408943.10000014305,0,0,3167,blue,false,left,43,48,left,blue,426,0
H44639,97,411904,1,35,3132,blue,true,left,14,35,left,blue,502,0
H44639,98,414947.2000000477,1,42,3090,blue,true,right,12,42,right,blue,450,0
H44639,99,417949.80000019073,0,0,3090,blue,true,left,40,44,right,orange,434,0
H44639,100,420919.90000009537,0,0,3090,blue,true,left,88,50,right,orange,646,0
H44639,101,424109.10000014305,0,0,3090,blue,true,right,51,19,left,orange,388,0
H44639,102,427035.90000009537,0,0,3090,blue,true,left,44,59,right,orange,557,0
H44639,103,430125.30000019073,1,9,3081,blue,true,right,23,9,right,blue,256,0
H44639,104,432930.30000019073,0,0,3081,blue,true,right,23,76,left,orange,423,0
H44639,105,435893.5,0,0,3081,blue,true,right,94,47,left,orange,370,0
H44639,106,438811.60000014305,1,67,3014,blue,false,right,67,56,left,orange,414,0
H44639,107,441770.60000014305,0,0,3014,blue,true,right,50,16,left,orange,357,0
H44639,108,444679.10000014305,0,0,3014,blue,true,right,83,7,left,orange,303,0
H44639,109,447526.5,0,0,3014,blue,true,right,86,41,left,orange,361,0
H44639,110,450436.10000014305,0,0,3014,blue,true,right,61,37,left,orange,474,0
H44639,111,453454,1,82,2932,blue,false,right,82,57,left,orange,334,0
H44639,112,456327.10000014305,1,68,2864,blue,false,right,68,28,left,orange,365,0
H44639,113,459251.60000014305,1,65,2799,blue,false,left,65,76,right,orange,492,0
H44639,114,462300.80000019073,1,25,2774,blue,false,left,25,19,right,orange,659,0
H44639,115,465512.60000014305,0,0,2774,blue,false,right,67,68,right,blue,559,0
H44639,116,468611.60000014305,0,0,2774,blue,false,right,82,68,right,blue,583,0
H44639,117,471747.80000019073,0,0,2774,blue,false,left,88,19,left,blue,317,0
H44639,118,474610.90000009537,1,11,2763,blue,true,right,55,11,right,blue,365,0
H44639,119,477516.7000000477,1,36,2727,blue,true,left,74,36,left,blue,541,0
