Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H46146,1,128461.80000019073,1,10,4990,blue,true,left,23,10,left,blue,834,0
H46146,2,131876.69999980927,1,97,4893,blue,true,left,45,97,left,blue,349,0
H46146,3,134796.0999994278,0,0,4893,blue,true,left,54,62,right,orange,859,0
H46146,4,138221.69999980927,1,99,4794,blue,false,right,99,16,left,orange,683,0
H46146,5,141493.30000019073,1,40,4754,blue,true,left,72,40,left,blue,1077,0
H46146,6,145151.0999994278,1,88,4666,blue,true,left,98,88,left,blue,717,0
H46146,7,148430.89999961853,1,54,4612,blue,true,left,6,54,left,blue,544,0
H46146,8,151528.89999961853,0,0,4612,blue,true,right,64,55,left,orange,687,0
H46146,9,154767.0999994278,1,96,4516,blue,false,left,96,45,right,orange,383,0
H46146,10,157714.69999980927,0,0,4516,blue,true,left,28,19,right,orange,552,0
H46146,11,160812.5999994278,1,26,4490,blue,true,right,95,26,right,blue,397,0
H46146,12,163773.89999961853,0,0,4490,blue,true,right,90,29,left,orange,412,0
H46146,13,166730.69999980927,0,0,4490,blue,true,right,20,53,left,orange,384,0
H46146,14,169677.30000019073,0,0,4490,blue,true,right,74,56,left,orange,294,0
H46146,15,172540.5999994278,0,0,4490,blue,true,right,18,42,left,orange,450,0
H46146,16,175548.69999980927,1,91,4399,blue,true,left,11,91,left,blue,496,0
H46146,17,178608.19999980927,1,32,4367,blue,false,right,32,31,left,orange,342,0
H46146,18,181528.19999980927,0,0,4367,blue,true,left,36,65,right,orange,454,0
H46146,19,184558.80000019073,0,0,4367,blue,false,right,40,30,right,blue,478,0
H46146,20,187591.39999961853,1,26,4341,blue,true,right,29,26,right,blue,331,0
H46146,21,190498.0999994278,1,32,4309,blue,false,right,32,36,left,orange,524,0
H46146,22,193584.39999961853,1,81,4228,blue,true,left,72,81,left,blue,435,0
H46146,23,196597,0,0,4228,blue,false,left,95,54,left,blue,430,0
H46146,24,199585.89999961853,1,40,4188,blue,false,left,40,59,right,orange,854,0
H46146,25,202998.69999980927,1,29,4159,blue,false,left,29,24,right,orange,514,0
H46146,26,206078.5999994278,0,0,4159,blue,false,right,60,51,right,blue,445,0
H46146,27,209079.39999961853,1,83,4076,blue,false,right,83,65,left,orange,377,0
H46146,28,212018.5,0,0,4076,blue,true,right,78,98,left,orange,375,0
H46146,29,214947.69999980927,1,56,4020,blue,false,right,56,51,left,orange,327,0
H46146,30,217833.0999994278,0,0,4020,blue,false,right,5,20,right,blue,390,0
H46146,31,220789.69999980927,0,0,4020,blue,false,right,67,2,right,blue,378,0
H46146,32,223729.39999961853,1,85,3935,blue,false,left,85,84,right,orange,313,0
H46146,33,226604.5,0,0,3935,blue,true,right,7,49,left,orange,438,0
H46146,34,229604.89999961853,1,37,3898,blue,false,right,37,47,left,orange,397,0
H46146,35,232569.89999961853,0,0,3898,blue,false,left,27,91,left,blue,334,0
H46146,36,235454.5,0,0,3898,blue,false,left,44,42,left,blue,441,0
H46146,37,238454.80000019073,1,55,3843,blue,true,left,31,55,left,blue,342,0
H46146,38,241351.39999961853,1,97,3746,blue,false,left,97,70,right,orange,393,0
H46146,39,244305.89999961853,0,0,3746,blue,false,right,14,9,right,blue,250,0
H46146,40,247110.5,1,51,3695,blue,true,right,23,51,right,blue,364,0
H46146,41,250052.30000019073,1,79,3616,blue,true,left,89,79,left,blue,349,0
H46146,42,252976.39999961853,0,0,3616,blue,true,right,83,86,left,orange,361,0
H46146,43,255883.39999961853,0,0,3616,blue,true,left,40,62,right,orange,830,0
H46146,44,259274.39999961853,0,0,3616,blue,true,left,36,23,right,orange,417,0
H46146,45,262244.89999961853,0,0,3616,blue,true,left,65,61,right,orange,376,0
H46146,46,265169.69999980927,1,67,3549,blue,true,left,74,67,left,blue,481,0
H46146,47,268209.80000019073,0,0,3549,blue,true,left,73,41,right,orange,444,0
H46146,48,275221.5,1,96,3453,blue,false,left,96,54,right,orange,693,0
H46146,49,278471,0,0,3453,blue,true,left,86,88,right,orange,325,0
H46146,50,281350.89999961853,0,0,3453,blue,true,left,43,66,right,orange,414,0
H46146,51,284324.80000019073,0,0,3453,blue,true,left,72,79,right,orange,437,0
H46146,52,287323.5999994278,1,71,3382,blue,false,right,71,13,left,orange,825,0
H46146,53,290695.80000019073,0,0,3382,blue,true,left,78,53,right,orange,395,0
H46146,54,293649.39999961853,1,90,3292,blue,true,right,57,90,right,blue,719,0
H46146,55,296937.69999980927,1,3,3289,blue,false,right,3,12,left,orange,317,0
H46146,56,299819.80000019073,0,0,3289,blue,true,left,2,64,right,orange,1823,0
H46146,57,304201.19999980927,1,9,3280,blue,true,right,99,9,right,blue,438,0
H46146,58,307197.39999961853,0,0,3280,blue,true,left,21,42,right,orange,711,0
H46146,59,310477.0999994278,0,0,3280,blue,true,right,83,72,left,orange,480,0
H46146,60,313517.69999980927,0,0,3280,blue,true,right,37,11,left,orange,451,0
H46146,61,316515.69999980927,1,67,3213,blue,false,left,67,81,right,orange,463,0
H46146,62,319526.0999994278,0,0,3213,blue,true,right,12,14,left,orange,489,0
H46146,63,322564.30000019073,0,0,3213,blue,false,left,78,90,left,blue,516,0
H46146,64,325630.89999961853,1,46,3167,blue,false,left,46,53,right,orange,361,0
H46146,65,328556.80000019073,1,30,3137,blue,false,right,30,42,left,orange,460,0
H46146,66,331582.69999980927,0,0,3137,blue,false,right,36,65,right,blue,373,0
H46146,67,334515.69999980927,0,0,3137,blue,false,right,49,49,right,blue,415,0
H46146,68,337492.19999980927,0,0,3137,blue,false,right,44,10,right,blue,454,0
H46146,69,340507.89999961853,0,0,3137,blue,false,right,70,64,right,blue,430,0
H46146,70,343495.5999994278,1,68,3069,blue,false,left,68,95,right,orange,536,0
H46146,71,346598.5,0,0,3069,blue,false,left,38,46,left,blue,384,0
H46146,72,349549.0999994278,0,0,3069,blue,false,right,18,24,right,blue,441,0
H46146,73,352541.5999994278,0,0,3069,blue,false,left,82,78,left,blue,749,0
H46146,74,355832.19999980927,0,0,3069,blue,false,right,59,54,right,blue,441,0
H46146,75,358841.89999961853,0,0,3069,blue,false,right,36,33,right,blue,480,0
H46146,76,361862.80000019073,1,56,3013,blue,true,right,49,56,right,blue,445,0
H46146,77,364861.89999961853,1,26,2987,blue,false,left,26,83,right,orange,343,0
H46146,78,367760.5999994278,1,38,2949,blue,false,left,38,81,right,orange,323,0
H46146,79,370636.30000019073,1,12,2937,blue,false,right,12,3,left,orange,430,0
H46146,80,373625.89999961853,1,62,2875,blue,false,left,62,38,right,orange,422,0
H46146,81,376621.89999961853,0,0,2875,blue,false,right,43,50,right,blue,517,0
H46146,82,379704.19999980927,0,0,2875,blue,false,right,50,47,right,blue,429,0
H46146,83,382682.5999994278,1,35,2840,blue,true,left,41,35,left,blue,476,0
H46146,84,385740.5,0,0,2840,blue,false,left,9,62,left,blue,387,0
H46146,85,388684.5999994278,0,0,2840,blue,false,left,60,58,left,blue,530,0
H46146,86,391762.80000019073,0,0,2840,blue,false,right,88,31,right,blue,552,0
H46146,87,394866.0999994278,0,0,2840,blue,false,right,56,44,right,blue,424,0
H46146,88,397855,1,15,2825,blue,true,left,31,15,left,blue,468,0
H46146,89,400891.89999961853,0,0,2825,blue,false,left,90,31,left,blue,382,0
H46146,90,403835.39999961853,0,0,2825,blue,false,left,80,76,left,blue,378,0
H46146,91,406776.19999980927,0,0,2825,blue,false,right,78,4,right,blue,786,0
H46146,92,410131.80000019073,0,0,2825,blue,false,right,60,28,right,blue,465,0
H46146,93,413154.39999961853,1,99,2726,blue,true,right,56,99,right,blue,344,0
H46146,94,420062.19999980927,1,31,2695,blue,false,right,31,45,left,orange,501,0
H46146,95,423129.5,1,55,2640,blue,false,right,55,16,left,orange,283,0
H46146,96,425966.5999994278,0,0,2640,blue,true,right,12,89,left,orange,412,0
H46146,97,428931.5999994278,0,0,2640,blue,false,right,49,4,right,blue,341,0
H46146,98,431836.69999980927,0,0,2640,blue,false,left,69,12,left,blue,633,0
H46146,99,435028.89999961853,1,26,2614,blue,true,left,49,26,left,blue,362,0
H46146,100,437964.0999994278,0,0,2614,blue,false,left,75,76,left,blue,427,0
H46146,101,440945,0,0,2614,blue,false,right,22,90,right,blue,553,0
H46146,102,444054.69999980927,1,23,2591,blue,true,right,26,23,right,blue,501,0
H46146,103,447134.30000019073,0,0,2591,blue,false,left,11,68,left,blue,412,0
H46146,104,450092.19999980927,1,82,2509,blue,true,right,71,82,right,blue,591,0
H46146,105,453239.69999980927,0,0,2509,blue,false,left,86,95,left,blue,311,0
H46146,106,456096.69999980927,0,0,2509,blue,false,left,79,88,left,blue,238,0
H46146,107,458903.69999980927,0,0,2509,blue,false,right,75,40,right,blue,697,0
H46146,108,462151.89999961853,0,0,2509,blue,false,right,11,94,right,blue,496,0
H46146,109,465197.0999994278,1,44,2465,blue,true,left,53,44,left,blue,478,0
H46146,110,468250.19999980927,0,0,2465,blue,false,right,85,17,right,blue,393,0
H46146,111,471202.30000019073,1,32,2433,blue,true,left,85,32,left,blue,600,0
H46146,112,474372.69999980927,0,0,2433,blue,false,right,38,68,right,blue,410,0
H46146,113,477335.5,1,28,2405,blue,false,left,28,93,right,orange,244,0
H46146,114,480147.69999980927,1,13,2392,blue,false,right,13,95,left,orange,342,0
H46146,115,483069.30000019073,0,0,2392,blue,false,right,69,60,right,blue,365,0
H46146,116,485986.69999980927,1,95,2297,blue,true,right,56,95,right,blue,323,0
H46146,117,488873.30000019073,0,0,2297,blue,false,left,2,41,left,blue,315,0
H46146,118,491745.39999961853,1,42,2255,blue,false,left,42,5,right,orange,265,0
H46146,119,494578.30000019073,0,0,2255,blue,false,left,44,30,left,blue,325,0
H46146,120,497453,1,79,2176,blue,false,right,79,4,left,orange,347,0
H46146,121,500370.0999994278,0,0,2176,blue,false,left,83,87,left,blue,456,0
H46146,122,503385.5,0,0,2176,blue,false,left,59,44,left,blue,462,0
H46146,123,506387.5999994278,1,10,2166,blue,true,right,15,10,right,blue,585,0
H46146,124,509553.80000019073,0,0,2166,blue,false,left,60,15,left,blue,545,0
H46146,125,512665.19999980927,0,0,2166,blue,false,right,73,25,right,blue,851,0
H46146,126,516084.0999994278,0,0,2166,blue,false,left,43,23,left,blue,768,0
H46146,127,519412.19999980927,0,0,2166,blue,false,right,22,87,right,blue,659,0
H46146,128,522635.80000019073,1,77,2089,blue,true,right,27,77,right,blue,464,0
H46146,129,525661.6999998093,1,99,1990,blue,false,right,99,35,left,orange,351,0
H46146,130,528574.8000001907,0,0,1990,blue,true,right,49,39,left,orange,372,0
H46146,131,531513.6999998093,1,83,1907,blue,false,right,83,60,left,orange,513,0
H46146,132,534591.0999994278,1,54,1853,blue,true,right,61,54,right,blue,323,0
H46146,133,537475.8999996185,1,82,1771,blue,false,right,82,34,left,orange,770,0
H46146,134,540820.6999998093,1,96,1675,blue,false,right,96,86,left,orange,277,0
H46146,135,543643.0999994278,1,65,1610,blue,false,right,65,27,left,orange,400,0
H46146,136,546609.3000001907,1,63,1547,blue,false,right,63,93,left,orange,311,0
H46146,137,549489.3999996185,1,65,1482,blue,false,left,65,40,right,orange,391,0
H46146,138,552435.3000001907,0,0,1482,blue,false,right,7,69,right,blue,462,0
H46146,139,555462.1999998093,1,28,1454,blue,true,left,94,28,left,blue,658,0
H46146,140,558670,0,0,1454,blue,false,right,90,4,right,blue,445,0
