Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H46915,1,177060.80000001192,1,10,4990,blue,true,right,23,10,right,blue,934,0
H46915,2,180535.5,0,0,4990,blue,true,right,45,97,left,orange,369,0
H46915,3,183448.70000004768,0,0,4990,blue,true,right,54,62,left,orange,535,0
H46915,4,186508.5,0,0,4990,blue,false,left,99,16,left,blue,1035,0
H46915,5,190083.10000002384,0,0,4990,blue,true,left,72,40,right,orange,468,0
H46915,6,193084,0,0,4990,blue,true,right,98,88,left,orange,1532,0
H46915,7,197152.10000002384,0,0,4990,blue,true,right,6,54,left,orange,650,0
H46915,8,200337.60000002384,0,0,4990,blue,true,right,64,55,left,orange,554,0
H46915,9,203428.90000003576,0,0,4990,blue,false,left,96,45,left,blue,814,0
H46915,10,206769.90000003576,0,0,4990,blue,true,right,28,19,left,orange,501,0
H46915,11,209801.90000003576,0,0,4990,blue,true,right,95,26,left,orange,395,0
H46915,12,212733.60000002384,0,0,4990,blue,true,right,90,29,left,orange,411,0
H46915,13,215674.60000002384,0,0,4990,blue,true,right,20,53,left,orange,1177,0
H46915,14,219392.10000002384,1,56,4934,blue,true,right,74,56,right,blue,1205,0
H46915,15,223140.30000001192,0,0,4934,blue,true,right,18,42,left,orange,351,0
H46915,16,226032,0,0,4934,blue,true,left,11,91,right,orange,505,0
H46915,17,229069.10000002384,1,32,4902,blue,false,left,32,31,right,orange,598,0
H46915,18,232214.60000002384,0,0,4902,blue,true,left,36,65,right,orange,791,0
H46915,19,235539.60000002384,1,40,4862,blue,false,right,40,30,left,orange,552,0
H46915,20,238631.80000001192,0,0,4862,blue,true,right,29,26,left,orange,668,0
H46915,21,241837.80000001192,1,32,4830,blue,false,left,32,36,right,orange,544,0
H46915,22,244928.70000004768,0,0,4830,blue,true,left,72,81,right,orange,730,0
H46915,23,248195.60000002384,0,0,4830,blue,false,left,95,54,left,blue,1077,0
H46915,24,251802.10000002384,1,40,4790,blue,false,left,40,59,right,orange,852,0
H46915,25,255191.10000002384,0,0,4790,blue,false,left,29,24,left,blue,426,0
H46915,26,258152.80000001192,0,0,4790,blue,false,left,60,51,left,blue,338,0
H46915,27,261034.20000004768,0,0,4790,blue,false,right,83,65,right,blue,423,0
H46915,28,263992.3000000119,1,98,4692,blue,true,left,78,98,left,blue,353,0
H46915,29,266884.90000003576,0,0,4692,blue,false,right,56,51,right,blue,848,0
H46915,30,270256.3000000119,0,0,4692,blue,false,right,5,20,right,blue,461,0
H46915,31,273255.7000000477,0,0,4692,blue,false,left,67,2,left,blue,635,0
H46915,32,276429.60000002384,0,0,4692,blue,false,left,85,84,left,blue,900,0
H46915,33,279864.5,0,0,4692,blue,true,left,7,49,right,orange,828,0
H46915,34,283223.90000003576,0,0,4692,blue,false,left,37,47,left,blue,689,0
H46915,35,286439.8000000119,0,0,4692,blue,false,left,27,91,left,blue,717,0
H46915,36,289688.10000002384,0,0,4692,blue,false,left,44,42,left,blue,995,0
H46915,37,293209.8000000119,0,0,4692,blue,true,right,31,55,left,orange,1060,0
H46915,38,296795.5,0,0,4692,blue,false,right,97,70,right,blue,678,0
H46915,39,300003.7000000477,0,0,4692,blue,false,left,14,9,left,blue,460,0
H46915,40,302986.2000000477,1,51,4641,blue,true,right,23,51,right,blue,842,0
H46915,41,306370,1,79,4562,blue,true,right,89,79,right,blue,684,0
