Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H48058,1,126640,1,10,4990,blue,true,left,23,10,left,blue,1097,0
H48058,2,130282,0,0,4990,blue,true,left,45,97,right,orange,386,0
H48058,3,133202,0,0,4990,blue,true,right,54,62,left,orange,480,0
H48058,4,136231,0,0,4990,blue,false,left,99,16,left,blue,2494,0
H48058,5,141268,0,0,4990,blue,true,left,72,40,right,orange,831,0
H48058,6,144645,0,0,4990,blue,true,left,98,88,right,orange,530,0
H48058,7,147713,0,0,4990,blue,true,left,6,54,right,orange,509,0
H48058,8,150760,1,55,4935,blue,true,left,64,55,left,blue,939,0
H48058,9,154230,1,96,4839,blue,false,right,96,45,left,orange,3262,0
H48058,10,160027,1,19,4820,blue,true,left,28,19,left,blue,569,0
H48058,11,163149,0,0,4820,blue,true,right,95,26,left,orange,828,0
H48058,12,166515,0,0,4820,blue,true,left,90,29,right,orange,394,0
H48058,13,169451,0,0,4820,blue,true,left,20,53,right,orange,412,0
H48058,14,172409,0,0,4820,blue,true,left,74,56,right,orange,380,0
H48058,15,175323,0,0,4820,blue,true,left,18,42,right,orange,480,0
H48058,16,178345,0,0,4820,blue,true,left,11,91,right,orange,812,0
H48058,17,181689,1,32,4788,blue,false,right,32,31,left,orange,608,0
H48058,18,184850,0,0,4788,blue,true,left,36,65,right,orange,556,0
H48058,19,187939,1,40,4748,blue,false,right,40,30,left,orange,1025,0
H48058,20,191505,0,0,4748,blue,true,left,29,26,right,orange,3679,0
H48058,21,197742,1,32,4716,blue,false,right,32,36,left,orange,635,0
H48058,22,200920,0,0,4716,blue,true,left,72,81,right,orange,21,0
H48058,23,203493,0,0,4716,blue,false,right,95,54,right,blue,78,0
H48058,24,206108,0,0,4716,blue,false,right,40,59,right,blue,360,0
H48058,25,209000,1,29,4687,blue,false,left,29,24,right,orange,421,0
H48058,26,211977,0,0,4687,blue,false,right,60,51,right,blue,430,0
H48058,27,214946,0,0,4687,blue,false,left,83,65,left,blue,446,0
H48058,28,217932,1,98,4589,blue,true,right,78,98,right,blue,391,0
H48058,29,220872,0,0,4589,blue,false,left,56,51,left,blue,436,0
H48058,30,223853,0,0,4589,blue,false,right,5,20,right,blue,773,0
H48058,31,227158,0,0,4589,blue,false,right,67,2,right,blue,392,0
H48058,32,230088,0,0,4589,blue,false,left,85,84,left,blue,1087,0
H48058,33,233715,0,0,4589,blue,true,right,7,49,left,orange,1749,0
H48058,34,238016,0,0,4589,blue,false,right,37,47,right,blue,2011,0
H48058,35,242566,0,0,4589,blue,false,right,27,91,right,blue,595,0
H48058,36,245704,0,0,4589,blue,false,right,44,42,right,blue,596,0
H48058,37,248827,1,55,4534,blue,true,right,31,55,right,blue,517,0
H48058,38,251896,0,0,4534,blue,false,left,97,70,left,blue,560,0
H48058,39,255003,0,0,4534,blue,false,left,14,9,left,blue,409,0
H48058,40,257949,1,51,4483,blue,true,left,23,51,left,blue,449,0
H48058,41,260927,1,79,4404,blue,true,left,89,79,left,blue,457,0
H48058,42,263918,0,0,4404,blue,true,left,83,86,right,orange,363,0
H48058,43,266828,0,0,4404,blue,true,right,40,62,left,orange,407,0
H48058,44,269780,1,23,4381,blue,true,right,36,23,right,blue,1104,0
H48058,45,273435,0,0,4381,blue,true,left,65,61,right,orange,683,0
H48058,46,276670,0,0,4381,blue,true,left,74,67,right,orange,674,0
