Quiz_round,2,RESULT:,Steal1Goodness,Incorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H48250,1,907859,1,10,4990,blue,true,right,23,10,right,blue,2250,0
H48250,2,912637,0,0,4990,blue,true,left,45,97,right,orange,1005,0
H48250,3,916157,0,0,4990,blue,true,right,54,62,left,orange,497,0
H48250,4,919171,1,99,4891,blue,false,left,99,16,right,orange,808,0
H48250,5,922503,0,0,4891,blue,true,left,72,40,right,orange,495,0
H48250,6,925516,0,0,4891,blue,true,left,98,88,right,orange,678,0
H48250,7,928714,0,0,4891,blue,true,left,6,54,right,orange,646,0
H48250,8,931874,0,0,4891,blue,true,left,64,55,right,orange,800,0
H48250,9,935193,1,96,4795,blue,false,right,96,45,left,orange,485,0
H48250,10,938200,0,0,4795,blue,true,right,28,19,left,orange,1036,0
H48250,11,941752.0000000001,0,0,4795,blue,true,right,95,26,left,orange,495,0
H48250,12,944759,0,0,4795,blue,true,left,90,29,right,orange,543,0
H48250,13,947822,0,0,4795,blue,true,left,20,53,right,orange,398,0
H48250,14,950738,0,0,4795,blue,true,left,74,56,right,orange,678,0
H48250,15,953936,0,0,4795,blue,true,left,18,42,right,orange,398,0
H48250,16,956854,0,0,4795,blue,true,right,11,91,left,orange,606,0
H48250,17,959975,1,32,4763,blue,false,right,32,31,left,orange,514,0
H48250,18,963011,0,0,4763,blue,true,left,36,65,right,orange,462,0
H48250,19,965991,1,40,4723,blue,false,left,40,30,right,orange,458,0
H48250,20,968968.0000000001,0,0,4723,blue,true,left,29,26,right,orange,605,0
H48250,21,972091,1,32,4691,blue,false,left,32,36,right,orange,393,0
H48250,22,975009,0,0,4691,blue,true,right,72,81,left,orange,1621,0
H48250,23,979147,0,0,4691,blue,false,right,95,54,right,blue,1024,0
H48250,24,982688,1,40,4651,blue,false,right,40,59,left,orange,954,0
H48250,25,986167,0,0,4651,blue,false,right,29,24,right,blue,551,0
H48250,26,989236,0,0,4651,blue,false,left,60,51,left,blue,464,0
H48250,27,992217,0,0,4651,blue,false,right,83,65,right,blue,446,0
H48250,28,995180.0000000001,1,98,4553,blue,true,left,78,98,left,blue,471,0
