Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H48537,1,268044,1,37,4963,blue,true,right,44,37,right,blue,1059,0
H48537,2,271664,1,12,4951,blue,true,right,66,12,right,blue,780,0
H48537,3,275020,0,0,4951,blue,true,left,98,9,right,orange,752,0
H48537,4,278327,1,20,4931,blue,false,left,20,91,right,orange,731,0
H48537,5,281623,1,8,4923,blue,true,left,28,8,left,blue,857,0
H48537,6,285034,1,33,4890,blue,true,left,30,33,left,blue,1360,0
H48537,7,288951,0,0,4890,blue,true,left,27,24,right,orange,698,0
H48537,8,292207,1,58,4832,blue,false,left,58,43,right,orange,558,0
H48537,9,295327,1,47,4785,blue,true,left,72,47,left,blue,997,0
H48537,10,298881,0,0,4785,blue,false,right,44,44,right,blue,1912,0
H48537,11,303358,1,26,4759,blue,true,left,69,26,left,blue,640,0
H48537,12,306566,1,41,4718,blue,true,left,6,41,left,blue,910,0
H48537,13,310037,0,0,4718,blue,true,right,88,34,left,orange,743,0
H48537,14,313327,1,73,4645,blue,false,left,73,18,right,orange,692,0
H48537,15,316575,0,0,4645,blue,true,left,60,25,right,orange,533,0
H48537,16,319639,0,0,4645,blue,true,right,68,6,left,orange,911,0
H48537,17,323109,1,48,4597,blue,false,left,48,39,right,orange,661,0
H48537,18,326341,0,0,4597,blue,true,right,35,76,left,orange,1209,0
H48537,19,330102,0,0,4597,blue,true,left,23,85,right,orange,582,0
H48537,20,333242,0,0,4597,blue,true,right,54,22,left,orange,495,0
H48537,21,336283,1,66,4531,blue,false,left,66,58,right,orange,650,0
H48537,22,339491,0,0,4531,blue,true,right,98,41,left,orange,482,0
H48537,23,342519,0,0,4531,blue,true,right,58,80,left,orange,525,0
H48537,24,345591,0,0,4531,blue,true,right,32,85,left,orange,838,0
H48537,25,348989,1,83,4448,blue,false,left,83,15,right,orange,508,0
H48537,26,352048,0,0,4448,blue,true,right,18,16,left,orange,651,0
H48537,27,355255,0,0,4448,blue,true,right,56,99,left,orange,637,0
H48537,28,358437,0,0,4448,blue,true,left,23,75,right,orange,551,0
H48537,29,361546,1,18,4430,blue,true,right,68,18,right,blue,1117,0
H48537,30,365219,0,0,4430,blue,true,left,30,16,right,orange,521,0
