Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H49229,1,189898,1,37,4963,blue,true,left,44,37,left,blue,1154,0
H49229,2,193578,1,12,4951,blue,true,left,66,12,left,blue,1014,0
H49229,3,197115,1,9,4942,blue,true,left,98,9,left,blue,1832,0
H49229,4,201468.00000000003,1,20,4922,blue,false,left,20,91,right,orange,799,0
H49229,5,204791,0,0,4922,blue,true,left,28,8,right,orange,803,0
H49229,6,208111.00000000003,0,0,4922,blue,true,left,30,33,right,orange,717,0
H49229,7,211345,0,0,4922,blue,true,right,27,24,left,orange,654,0
H49229,8,214517,1,58,4864,blue,false,left,58,43,right,orange,930,0
H49229,9,217969,0,0,4864,blue,true,left,72,47,right,orange,1004,0
H49229,10,221491,1,44,4820,blue,false,left,44,44,right,orange,684,0
H49229,11,224696,1,26,4794,blue,true,right,69,26,right,blue,1030,0
H49229,12,228248.00000000003,0,0,4794,blue,true,right,6,41,left,orange,920,0
H49229,13,231687,0,0,4794,blue,true,left,88,34,right,orange,1779,0
H49229,14,235981,1,73,4721,blue,false,right,73,18,left,orange,1594,0
H49229,15,240097,1,25,4696,blue,true,right,60,25,right,blue,1275,0
H49229,16,243895,1,6,4690,blue,true,left,68,6,left,blue,905,0
H49229,17,247320,1,48,4642,blue,false,right,48,39,left,orange,1002,0
H49229,18,250847,0,0,4642,blue,true,left,35,76,right,orange,1326,0
H49229,19,254690,0,0,4642,blue,true,left,23,85,right,orange,890,0
H49229,20,258096.99999999997,0,0,4642,blue,true,left,54,22,right,orange,896,0
H49229,21,261511.00000000003,1,66,4576,blue,false,right,66,58,left,orange,916,0
H49229,22,264948,0,0,4576,blue,true,right,98,41,left,orange,2578,0
H49229,23,270042.00000000006,0,0,4576,blue,true,left,58,80,right,orange,798,0
H49229,24,273359,0,0,4576,blue,true,left,32,85,right,orange,783,0
H49229,25,276658,0,0,4576,blue,false,left,83,15,left,blue,1374,0
H49229,26,280546,0,0,4576,blue,true,right,18,16,left,orange,1540,0
H49229,27,284597,0,0,4576,blue,true,left,56,99,right,orange,794,0
H49229,28,287901,0,0,4576,blue,true,right,23,75,left,orange,1307,0
H49229,29,291719,0,0,4576,blue,true,right,68,18,left,orange,1998,0
H49229,30,296228,0,0,4576,blue,true,right,30,16,left,orange,1025,0
H49229,31,299764,0,0,4576,blue,true,right,86,37,left,orange,1249,0
H49229,32,303523,0,0,4576,blue,true,left,47,44,right,orange,800,0
H49229,33,306834,0,0,4576,blue,true,right,3,91,left,orange,622,0
H49229,34,309967,1,60,4516,blue,false,right,60,14,left,orange,1446,0
H49229,35,313933,0,0,4516,blue,true,left,54,84,right,orange,1420,0
H49229,36,317869,0,0,4516,blue,true,right,34,23,left,orange,792,0
