Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H49543,1,412846.7999999989,1,10,4990,blue,true,right,23,10,right,blue,1217,0
H49543,2,416612.3999999985,0,0,4990,blue,true,right,45,97,left,orange,942,0
H49543,3,420122.7999999989,0,0,4990,blue,true,left,54,62,right,orange,1410,0
H49543,4,424077.2999999989,0,0,4990,blue,false,right,99,16,right,blue,801,0
H49543,5,427437.7999999989,1,40,4950,blue,true,left,72,40,left,blue,978,0
H49543,6,430990.19999999925,1,88,4862,blue,true,left,98,88,left,blue,1359,0
H49543,7,434915.5999999996,0,0,4862,blue,true,left,6,54,right,orange,668,0
H49543,8,438126.7999999989,0,0,4862,blue,true,right,64,55,left,orange,1518,0
H49543,9,442185.8999999985,1,96,4766,blue,false,right,96,45,left,orange,820,0
H49543,10,445577.5999999996,0,0,4766,blue,true,right,28,19,left,orange,558,0
H49543,11,448687.5999999996,1,26,4740,blue,true,left,95,26,left,blue,1017,0
H49543,12,452279.3999999985,1,29,4711,blue,true,left,90,29,left,blue,1251,0
H49543,13,456109.0999999996,0,0,4711,blue,true,left,20,53,right,orange,859,0
H49543,14,459519,1,56,4655,blue,true,left,74,56,left,blue,1004,0
H49543,15,463079.0999999996,0,0,4655,blue,true,right,18,42,left,orange,1716,0
H49543,16,467334.69999999925,0,0,4655,blue,true,right,11,91,left,orange,576,0
H49543,17,470453.3999999985,1,32,4623,blue,false,left,32,31,right,orange,702,0
H49543,18,473697.3999999985,0,0,4623,blue,true,right,36,65,left,orange,585,0
H49543,19,476815.7999999989,1,40,4583,blue,false,left,40,30,right,orange,494,0
H49543,20,479879,1,26,4557,blue,true,right,29,26,right,blue,877,0
H49543,21,483308.2999999989,1,32,4525,blue,false,right,32,36,left,orange,406,0
H49543,22,486268,0,0,4525,blue,true,right,72,81,left,orange,838,0
H49543,23,489646,0,0,4525,blue,false,left,95,54,left,blue,1239,0
H49543,24,493440.3999999985,1,40,4485,blue,false,right,40,59,left,orange,714,0
H49543,25,496732.5999999996,0,0,4485,blue,false,right,29,24,right,blue,700,0
