Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
H49583,1,328129.59999996424,1,37,4963,blue,true,left,44,37,left,blue,1429,0
H49583,2,332167.2999999523,1,12,4951,blue,true,right,66,12,right,blue,543,0
H49583,3,335354.89999997616,0,0,4951,blue,true,left,98,9,right,orange,360,0
H49583,4,338361.89999997616,1,20,4931,blue,false,left,20,91,right,orange,378,0
H49583,5,341386.59999996424,0,0,4931,blue,true,left,28,8,right,orange,731,0
H49583,6,344752.6999999881,0,0,4931,blue,true,right,30,33,left,orange,606,0
H49583,7,348004.1999999881,0,0,4931,blue,true,right,27,24,left,orange,440,0
H49583,8,351104.7999999523,1,58,4873,blue,false,right,58,43,left,orange,388,0
H49583,9,354138.7999999523,1,47,4826,blue,true,right,72,47,right,blue,862,0
H49583,10,357650.5,1,44,4782,blue,false,right,44,44,left,orange,582,0
H49583,11,360872.59999996424,0,0,4782,blue,true,right,69,26,left,orange,334,0
H49583,12,363851.09999996424,0,0,4782,blue,true,right,6,41,left,orange,482,0
H49583,13,366990.6999999881,0,0,4782,blue,true,right,88,34,left,orange,350,0
H49583,14,370010.09999996424,1,73,4709,blue,false,right,73,18,left,orange,461,0
H49583,15,373161.5,1,25,4684,blue,true,left,60,25,left,blue,907,0
H49583,16,376705.6999999881,1,6,4678,blue,true,left,68,6,left,blue,485,0
H49583,17,379822.59999996424,1,48,4630,blue,false,right,48,39,left,orange,1151,0
H49583,18,383608.5,0,0,4630,blue,true,left,35,76,right,orange,384,0
H49583,19,386619.5,0,0,4630,blue,true,left,23,85,right,orange,842,0
H49583,20,390079.1999999881,1,22,4608,blue,true,right,54,22,right,blue,801,0
H49583,21,393520.6999999881,0,0,4608,blue,false,right,66,58,right,blue,774,0
H49583,22,396903.39999997616,1,41,4567,blue,true,right,98,41,right,blue,590,0
H49583,23,400139.2999999523,0,0,4567,blue,true,left,58,80,right,orange,788,0
H49583,24,403534.7999999523,0,0,4567,blue,true,right,32,85,left,orange,838,0
H49583,25,407001.1999999881,1,83,4484,blue,false,left,83,15,right,orange,764,0
H49583,26,410391.7999999523,0,0,4484,blue,true,left,18,16,right,orange,671,0
H49583,27,413677.7999999523,1,99,4385,blue,true,right,56,99,right,blue,811,0
H49583,28,417109.09999996424,0,0,4385,blue,true,left,23,75,right,orange,692,0
H49583,29,420422.5,1,18,4367,blue,true,left,68,18,left,blue,855,0
H49583,30,423914.09999996424,0,0,4367,blue,true,left,30,16,right,orange,585,0
H49583,31,427151.5,0,0,4367,blue,true,right,86,37,left,orange,468,0
H49583,32,430244.5,0,0,4367,blue,true,right,47,44,left,orange,498,0
H49583,33,433375.09999996424,0,0,4367,blue,true,left,3,91,right,orange,624,0
H49583,34,436644.09999996424,0,0,4367,blue,false,left,60,14,left,blue,965,0
H49583,35,440259.1999999881,0,0,4367,blue,true,left,54,84,right,orange,1153,0
H49583,36,444071.7999999523,0,0,4367,blue,true,left,34,23,right,orange,557,0
H49583,37,447288.7999999523,1,28,4339,blue,true,left,96,28,left,blue,1010,0
H49583,38,450944.59999996424,1,83,4256,blue,false,right,83,94,left,orange,1432,0
H49583,39,455045.7999999523,1,86,4170,blue,true,left,63,86,left,blue,710,0
H49583,40,458381.2999999523,1,53,4117,blue,true,left,99,53,left,blue,783,0
H49583,41,461800.59999996424,0,0,4117,blue,true,left,29,91,right,orange,603,0
H49583,42,465038.6999999881,1,64,4053,blue,true,left,88,64,left,blue,838,0
H49583,43,468538.7999999523,0,0,4053,blue,true,left,84,70,right,orange,769,0
H49583,44,471952.09999996424,1,61,3992,blue,false,right,61,88,left,orange,526,0
H49583,45,475149.39999997616,0,0,3992,blue,true,right,61,43,left,orange,391,0
H49583,46,478179.1999999881,1,54,3938,blue,true,right,87,54,right,blue,825,0
H49583,47,481666,1,5,3933,blue,false,right,5,90,left,orange,641,0
H49583,48,489049.1999999881,0,0,3933,blue,true,left,71,44,right,orange,750,0
H49583,49,492480.2999999523,0,0,3933,blue,true,right,42,52,left,orange,594,0
H49583,50,495747.09999996424,0,0,3933,blue,true,right,39,93,left,orange,424,0
H49583,51,498825.2999999523,0,0,3933,blue,true,left,39,24,right,orange,515,0
H49583,52,501994.6999999881,1,20,3913,blue,false,left,20,10,right,orange,455,0
H49583,53,505128.1999999881,0,0,3913,blue,false,left,85,43,left,blue,677,0
H49583,54,508454.6999999881,0,0,3913,blue,false,left,77,7,left,blue,539,0
H49583,55,511670.2999999523,0,0,3913,blue,true,left,95,90,right,orange,791,0
H49583,56,515161.09999996424,1,7,3906,blue,true,right,56,7,right,blue,626,0
H49583,57,518429.39999997616,0,0,3906,blue,true,left,50,69,right,orange,743,0
H49583,58,521809,0,0,3906,blue,true,right,4,83,left,orange,727,0
H49583,59,525224.0999999642,1,40,3866,blue,false,left,40,8,right,orange,1204,0
H49583,60,529099.2999999523,1,86,3780,blue,true,left,47,86,left,blue,507,0
H49583,61,532267.3999999762,0,0,3780,blue,true,left,15,49,right,orange,530,0
H49583,62,535471.2999999523,0,0,3780,blue,true,right,17,39,left,orange,396,0
H49583,63,538499.1999999881,1,76,3704,blue,false,left,76,97,right,orange,1311,0
H49583,64,542435.5,1,14,3690,blue,true,left,73,14,left,blue,1478,0
H49583,65,546546.7999999523,1,29,3661,blue,true,right,67,29,right,blue,848,0
H49583,66,550067.8999999762,1,39,3622,blue,true,left,48,39,left,blue,868,0
H49583,67,553619.0999999642,0,0,3622,blue,true,right,30,99,left,orange,1071,0
H49583,68,557343.1999999881,0,0,3622,blue,false,right,13,20,right,blue,556,0
H49583,69,560582.3999999762,0,0,3622,blue,true,left,66,59,right,orange,718,0
H49583,70,563955.0999999642,0,0,3622,blue,true,left,20,60,right,orange,611,0
H49583,71,567209.1999999881,1,25,3597,blue,true,right,41,25,right,blue,787,0
H49583,72,570665.7999999523,0,0,3597,blue,false,right,76,70,right,blue,967,0
H49583,73,574294.1999999881,0,0,3597,blue,false,right,73,18,right,blue,725,0
H49583,74,577688.3999999762,1,41,3556,blue,false,right,41,80,left,orange,666,0
H49583,75,581033.5999999642,0,0,3556,blue,true,left,25,76,right,orange,552,0
H49583,76,584226.5,1,34,3522,blue,false,right,34,52,left,orange,1086,0
H49583,77,588009.1999999881,1,30,3492,blue,false,left,30,60,right,orange,588,0
H49583,78,591268.5999999642,0,0,3492,blue,false,right,91,36,right,blue,955,0
H49583,79,594911.7999999523,0,0,3492,blue,false,left,70,59,left,blue,993,0
H49583,80,598588.1999999881,1,47,3445,blue,true,left,64,47,left,blue,732,0
H49583,81,601966.8999999762,1,28,3417,blue,false,left,28,44,right,orange,606,0
H49583,82,605232,1,2,3415,blue,false,left,2,80,right,orange,514,0
H49583,83,608416.5,0,0,3415,blue,false,left,20,39,left,blue,709,0
H49583,84,611767.8999999762,1,32,3383,blue,false,right,32,61,left,orange,817,0
H49583,85,615231,1,90,3293,blue,false,left,90,61,right,orange,624,0
H49583,86,618514.3999999762,0,0,3293,blue,true,left,62,70,right,orange,918,0
H49583,87,622116.5,1,17,3276,blue,false,left,17,33,right,orange,616,0
H49583,88,625412.3999999762,0,0,3276,blue,false,left,74,17,left,blue,432,0
H49583,89,628517.0999999642,1,2,3274,blue,false,right,2,85,left,orange,576,0
H49583,90,631776.3999999762,1,39,3235,blue,false,right,39,76,left,orange,748,0
H49583,91,635190.6999999881,0,0,3235,blue,false,left,70,20,left,blue,659,0
H49583,92,638527.5999999642,0,0,3235,blue,true,right,24,69,left,orange,683,0
H49583,93,641858.5,1,52,3183,blue,true,right,59,52,right,blue,555,0
H49583,94,649101.2999999523,1,15,3168,blue,false,right,15,43,left,orange,952,0
