Quiz_round,2,RESULT:,-,allCorrect
num_trial,optionsPresented_time,outcome,loss_amount,running_total,anchor_stim,blue_aversive,blue_side,amount_orange,amount_blue,chosen_side,chosen_color,response_time,trial_repeat_count
1,203718.28499999992,1,37,4963,blue,true,left,44,37,left,blue,1673,0
2,207928.5399999999,1,12,4951,blue,true,right,66,12,right,blue,1333,0
3,211804.91499999972,1,9,4942,blue,true,left,98,9,left,blue,2986,0
4,217335.43999999983,0,0,4942,blue,false,left,20,91,left,blue,1450,0
5,221333.52999999988,1,8,4934,blue,true,left,28,8,left,blue,2310,0
6,226202.5249999997,0,0,4934,blue,true,right,30,33,left,orange,846,0
7,229582.33500000005,0,0,4934,blue,true,left,27,24,right,orange,856,0
8,232976.20499999993,1,58,4876,blue,false,left,58,43,right,orange,2823,0
9,238338.33000000048,1,47,4829,blue,true,right,72,47,right,blue,1135,0
10,242017.74000000022,1,44,4785,blue,false,left,44,44,right,orange,1865,0
11,246442.99000000046,1,26,4759,blue,true,right,69,26,right,blue,903,0
12,249893.32000000012,0,0,4759,blue,true,left,6,41,right,orange,1177,0
13,253612.46000000028,1,34,4725,blue,true,right,88,34,right,blue,1441,0
14,257600.23999999976,0,0,4725,blue,false,right,73,18,right,blue,1187,0
15,261330.35500000004,1,25,4700,blue,true,right,60,25,right,blue,1157,0
16,265030.8500000001,1,6,4694,blue,true,left,68,6,left,blue,888,0
17,268457.40000000026,1,48,4646,blue,false,right,48,39,left,orange,844,0
18,271861.13000000024,0,0,4646,blue,true,right,35,76,left,orange,1036,0
19,275442.12500000047,0,0,4646,blue,true,left,23,85,right,orange,852,0
20,278836.0050000001,0,0,4646,blue,true,right,54,22,left,orange,2754,0
21,284144.7100000005,1,66,4580,blue,false,left,66,58,right,orange,2104,0
22,288791.1949999998,1,41,4539,blue,true,right,98,41,right,blue,2421,0
23,293772.09500000026,0,0,4539,blue,true,right,58,80,left,orange,1099,0
24,297406.78000000026,0,0,4539,blue,true,right,32,85,left,orange,1150,0
25,301097.2750000001,1,83,4456,blue,false,left,83,15,right,orange,1210,0
26,304849.1000000004,1,16,4440,blue,true,right,18,16,right,blue,1421,0
27,308814.95499999984,0,0,4440,blue,true,left,56,99,right,orange,1463,0
28,312815.0800000003,0,0,4440,blue,true,right,23,75,left,orange,1413,0
29,316760.05499999976,0,0,4440,blue,true,left,68,18,right,orange,1250,0
30,320554.435,0,0,4440,blue,true,left,30,16,right,orange,775,0
31,323862.34500000044,0,0,4440,blue,true,right,86,37,left,orange,672,0
32,327080.8100000004,0,0,4440,blue,true,left,47,44,right,orange,1944,0
33,331567.49000000034,0,0,4440,blue,true,left,3,91,right,orange,1761,0
34,335861.54499999975,1,60,4380,blue,false,left,60,14,right,orange,1092,0
35,339507.4800000002,0,0,4380,blue,true,right,54,84,left,orange,1316,0
36,343353.22,0,0,4380,blue,true,right,34,23,left,orange,743,0
37,346627.305,1,28,4352,blue,true,right,96,28,right,blue,3377,0
38,352559.36500000005,1,83,4269,blue,false,right,83,94,left,orange,1280,0
39,356388.75499999995,0,0,4269,blue,true,left,63,86,right,orange,1734,0
40,360663.18000000046,0,0,4269,blue,true,left,99,53,right,orange,2858,0
41,366057.4999999999,0,0,4269,blue,true,right,29,91,left,orange,997,0
42,369598.4150000004,0,0,4269,blue,true,right,88,64,left,orange,2108,0
43,374242.3850000005,0,0,4269,blue,true,left,84,70,right,orange,2151,0
44,378930.5999999997,1,61,4208,blue,false,left,61,88,right,orange,1072,0
45,382551.30499999993,0,0,4208,blue,true,left,61,43,right,orange,3423,0
46,388511.73500000004,0,0,4208,blue,true,left,87,54,right,orange,1380,0
47,392453.1800000004,1,5,4203,blue,false,left,5,90,right,orange,783,0
48,399793.54500000045,1,44,4159,blue,true,left,71,44,left,blue,1580,0
49,403923.9349999998,0,0,4159,blue,true,left,42,52,right,orange,969,0
